List of markets for the selected product Product: 1005 Maize (corn)
"Partners"	"Balance in value in 2001"	"Balance in value in 2002"	"Balance in value in 2003"	"Balance in value in 2004"	"Balance in value in 2005"	"Balance in value in 2006"	"Balance in value in 2007"	"Balance in value in 2008"	"Balance in value in 2009"	"Balance in value in 2010"	"Balance in value in 2011"	"Balance in value in 2012"	"Balance in value in 2013"	"Exported value in 2013"	"Imported value in 2013"	
World	-1264818	-1161375	-1605560	-2750932	-2201270	-1882828	-3864208	-4566407	-2529248	-2398424	-2106735	-2897043	-3369634	34942225	38311859	
Brazil	435285	232841	304553	562880	62179	401087	1785823	1255656	1139724	2138978	2575047	5212110	6147799	6307631	159832	
Argentina	980760	919374	1230472	1189258	1361753	1256396	2236012	3506446	1599005	3120523	4495077	4804701	5835481	5848042	12561	
United States of America	4619256	4980369	4802412	5997216	4896667	7090935	9764906	13457070	8770290	9766521	13551706	8690328	5189339	6882884	1693545	
Ukraine	35403	39748	93057	145323	242367	145394	121308	566496	950078	676575	1815737	3688762	3578192	3833302	255110	
France	950638	1132956	1188401	1239428	1346453	1176056	1179663	2051209	1520383	1585183	2276737	2124507	2311873	2643615	331742	
India	14214	17911	29406	188674	73270	103713	311233	919664	526506	522831	1077683	1130785	1246694	1258528	11834	
Romania	-48143	16269	-23792	-14425	43005	35483	-70394	-4264	168752	401061	637182	525414	816830	977432	160602	
South Africa	65473	29675	72194	39704	250814	30130	-175130	503340	428470	294005	777354	325813	753001	764873	11872	
Hungary	150281	197250	194067	227401	271601	377806	1068495	911387	778182	825118	1131238	1216248	686240	793587	107347	
Bulgaria	-9240	-2720	12965	-7541	48503	24481	-37786	-44123	62953	126621	216883	162048	444160	494466	50306	
Russian Federation	-26616	-46793	-28989	-72825	-30031	-59006	-53512	-152119	127839	-18519	50775	473520	429359	590059	160700	
Paraguay	38651	19596	70568	16089	32526	148916	242680	115142	209743	201118	290391	484883	385514	463750	78236	
Canada	-294125	-388039	-341457	-193839	-190090	-197486	-332109	-350526	-295473	-89169	17716	-22229	269977	578717	308740	
Serbia					101216	176648	82165	122948	280138	330918	444199	554514	188581	210006	21425	
Thailand	51726	24177	32766	129292	18219	51330	83717	164978	200633	85521	133073	54654	155072	194955	39883	
Zambia	154	-25417	-29851	41128	8150	-22415	58765	49505	907	32696	189419	417319	146811	153167	6356	
Poland	-46825	-32789	-40864	-88477	-685	-23531	-123469	-248250	-43114	-60742	-78692	123320	120043	262001	141958	
Slovakia	-23566	3694	17682	13434	10232	71889	25724	3790	66339	6996	86785	97331	69481	132473	62992	
Australia	7084	7297	-2306	4112	2736	1965	1966	10517	4432	3024	15366	33510	43368	44987	1619	
Lao People's Democratic Republic	56	-1392	455	2410	3112	9339	8959	14406	28397	30960	31385	33813	39702	41506	1804	
Chile	-74407	-70788	-59450	-68604	-69185	-156154	-256373	-248744	38812	19636	-62759	-31893	39247	343362	304115	
Czech Republic	-7444	-9769	-2791	-9650	-3356	25806	12834	29450	53125	20123	68092	72206	37993	100210	62217	
Uganda	11373	-3536	-8772	-3501	5589	11594	12309	4263	15360	26225	15938	41246	26081	26749	668	
Uruguay	-4883	-1166	-5611	-9632	-11970	-26789	458	-37477	-23493	23810	-27298	30773	24276	71063	46787	
Republic of Moldova	7697	15175	16131	14843	22611	10973	1787	-1215	11213	13185	36582	8511	22290	28080	5790	
New Zealand	-2273	-3416	-3380	-1520	-1462	-1475	-4033	-2162	450	1702	486	2154	17628	21841	4213	
Croatia	-24121	17423	12037	-17006	9279	25448	-26183	11771	61341	34113	35307	17315	16997	40100	23103	
Cambodia	-41	-226	-344	3291	107	-914	1205	-602	-1066	1307	-840	-1977	7358	10026	2668	
Belize	-169	-464	-583	-440	-186	-99	-1976	-540	-1079	1192	-614	2110	5507	8039	2532	
Myanmar										11756	51970	10572	4433	10664	6231	
Burkina Faso	1048	-276	-174	4294	221		3002	2217	4035	6022	4195	2135	2820	2976	156	
Benin	-657	-752	-53	-66	-116	-174	-89	-380	-321	9330	-546	7060	1672	2429	757	
Bolivia	-90	-641	-1869	-591	-3131	197	-2003	-5819	1149	-11374	-36060	2538	311	9021	8710	
Togo	-24	-10	-32	-36	-88		-67	-1100	-268	1238	-268	9665	81	209	128	
British Virgin Islands		-1016	84	37	-8	-11	-19	-1	1485	2127	-5384	2174	67	67	0	
Cocos (Keeling) Islands		1											22	22	0	
Ship stores and bunkers			-1	1		-1	-64	-527	-6	-5			-1	0	1	
Kiribati					0		0	-3	0	-1	-6	-11	-2	0	2	
Guinea-Bissau			0	0	0	-1	-7	-2	-3	-3	-28	-2	-3	0	3	
Cayman Islands	-125	-241	-2260	-2193	-3305	-25735	-18340	-3841	-3068	-9	-477	-10	-6	0	6	
Montserrat	-5	-4	-5	-4	-5	-6	-4	-6	-5			-6	-7	0	7	
Palau												-10	-7	0	7	
St. Pierre and Miquelon									-1	-1	-1	-1	-7	0	7	
Tuvalu		0		-1							-1		-7	0	7	
Samoa	-15	-34	-34	-45	-25	-18	-16	-9	-10	-7	-6	-12	-7	0	7	
Saint Kitts and Nevis	-31	-30	-34	-33	-49	-45	-33	-73	-85	-50	-54	-71	-10	0	10	
Cook Islands					-1	63	832	-5	-6	-5	-3	-4	-10	0	10	
Bhutan					-356	-395	-637	-716	-859	-1538	-2452		-10	0	10	
Faroe Islands	-249	-11	-12	-23	-24	-28	-24	-29	-28	-28	-22	-16	-13	0	13	
Falkland Islands (Malvinas)	-3	-3	-6	-3	-8	-9	-11	-16	-10	-12	-17	-16	-16	0	16	
Palestine State of							-5782	-10370	-10638	-8153	-8815	-12968	-16	0	16	
Saint Helena		-1	-22	-6	-4	-5	-9	-28	-10	-20	-17	-23	-16	0	16	
Fiji		-21	-68	-67	-56	-55	-76	-122	-90	-113	-21	-79	-19	24	43	
Andorra	-17	-23	-25	-18	-15	-15	-43	-45	-25	-11	-19	17	-19	0	19	
Greenland	-11	-16	-40	-40	-45	-38	-44	-39	-36	-41	-41	-24	-20	0	20	
Vanuatu						-7	-20		-8	-76	-22	-14	-20	0	20	
Dominica	-12	-19	-16	-22	-30	-25	-25	-23	-31	-28	-26	-22	-21	0	21	
Aruba					0				-316	-323	-325	-357	-23	0	23	
Equatorial Guinea					-20			-2	-18	-1	-22	-33	-32	0	32	
Macao China	-2	0	-1	-6	-10	-8	-9	-19	8	-2		0	-33	0	33	
Turkmenistan	-29	-64		-65	-128	-173	-22	-231	-600	-120	-248	-113	-42	0	42	
Netherland Antilles					-313	-277	-377	-415	-99	-79	-52	-44	-51	0	51	
Gambia	-2	-1	-30	-1	-4	-146	0	0	-6	0	-21		-54	0	54	
Sao Tome and Principe	-1	-12	-27	-14	-5	-11	-6	-13	-10	-52	-80	-34	-65	0	65	
Antigua and Barbuda					-53		-63		-60	-52	-66	-83	-81	0	81	
Comoros	-1	-3	-1	-3	-2	-2	-11	-6	0				-83	0	83	
Bermuda												-72	-84	0	84	
Mongolia	-3		-4	-4	0	-7	-18						-110	0	110	
Solomon Islands								-30	-46	-50	-68	-73	-130	0	130	
Congo							-66	-27	-156	-149	-152	-141	-134	0	134	
Afghanistan								0	0	0	0	0	-154	0	154	
Saint Lucia	-33	-31	-50	-41	-90	-52	-73	-62	-7	-5	-18		-156	0	156	
Maldives	-7	-21	-21	-26	-15	-25	-40	-65	-48	-78	-67	-70	-182	0	182	
Bahamas	-100	-166	-240	-193	-307	-350	-319	-415	-913	-271	-304	-318	-202	0	202	
Central African Republic	0	-29	0			0	0	0	-340	-10	-127	0	-214	0	214	
Timor-Leste				-9	0			-521	-107	-380	-1495	-262	-217	0	217	
Bahrain	-1546	-2695	-1825	-155	-914	-93	-560	-5990	-3452	-4825	-5669	-223	-279	0	279	
Mali	475	-328	-83	215	-1503	61	-86	-479		-142	-297	-3075	-280	21	301	
Sierra Leone		-111	-193	-134	-115	-111	155	-231	-62	-182	-91	-271	-311	0	311	
Gabon	-224	0	-175	-84	-113	-68	-13	-31	-2	-138	-234	-159	-393	0	393	
Guinea	-13	-12		-25	-259	-19	-29	-2911		-1197	-132	-245	-396	0	396	
Seychelles	-559	-602	-2027		-1904	-2452		-3607	-1680	-1436	-789	-100	-449	0	449	
Liberia	-18	-73	-1525	-190	-333	-121	-230	-307	-152	-305	-4439	-460	-482	0	482	
Kyrgyzstan	-758	-352	-308	-264	-293	-114	-441	-48	-177	14	-935	-484	-492	2	494	
Mayotte	-63	-100	-131	-153	-173	-127	-306	-502	-547	-2747	-505	-779	-534	0	534	
Kazakhstan	1065	746	2497	1911	386	1420	-196	-240	-1164	127	3538	1236	-620	1381	2001	
Eritrea			-1314	127	95	-49	-288	-12	-986	-168	-6	-464	-650	0	650	
