List of markets for the selected product Product: 2711 Petroleum gases
"Partners"	"Balance in value in 2001"	"Balance in value in 2002"	"Balance in value in 2003"	"Balance in value in 2004"	"Balance in value in 2005"	"Balance in value in 2006"	"Balance in value in 2007"	"Balance in value in 2008"	"Balance in value in 2009"	"Balance in value in 2010"	"Balance in value in 2011"	"Balance in value in 2012"	"Balance in value in 2013"	"Exported value in 2013"	"Imported value in 2013"	
World	-4,525,469	-6,364,284	-10,365,088	-4,418,743	-1,989,089	-4,046,607	36,917	-6,568,956	-29,166,220	-11,617,269	-1,988,144	-4,665,288	-76,185,056	381,684,464	457,869,520	
Qatar	4,098,798	3,736,653	4,656,992	6,460,996	8,710,096	13,001,910	16,799,762	22,281,975	25,433,426	41,783,889	71,308,547	82,880,844	87,716,547	87,717,672	1,125	
Norway	7,612,609	8,339,127	9,970,254	12,470,728	18,166,626	25,658,020	26,212,040	43,541,819	26,845,186	29,652,716	39,944,650	47,828,790	44,870,167	44,876,213	6,046	
Algeria	8,540,787	7,829,662	10,052,229	10,992,609	17,175,470	19,162,654	19,473,011	28,989,828	17,855,228	22,461,753	25,278,480	27,001,137	25,609,751	25,676,524	66,773	
Malaysia	3,378,911	2,986,420	3,910,330	5,004,396	6,347,888	7,264,021	8,980,837	13,447,430	9,667,493	12,530,143	17,512,348	19,187,132	18,635,179	20,372,000	1,736,821	
Indonesia	5,722,051	5,577,400	6,455,167	7,741,022	9,138,836	10,167,089	9,894,547	12,899,962	8,446,570	12,806,237	21,459,023	17,438,915	15,016,242	18,129,195	3,112,953	
Australia	1,850,912	1,674,896	2,023,565	2,322,719	3,381,081	3,958,939	4,244,043	7,228,881	4,977,667	7,589,478	9,950,109	12,449,672	12,538,638	15,254,979	2,716,341	
Nigeria	245,208	647,289	-191,859			-29,819	322,092	210,973	2,892,090	4,714,154	6,475,948	8,964,241	11,419,648	11,449,540	29,892	
United Arab Emirates					1,496,378		2,492,937	-55,825	3,786,140	5,444,899	9,066,583	11,348,913	10,771,938	13,150,133	2,378,195	
Turkmenistan	1,848,135	2,071,322	2,062,398	2,587,044	3,470,838	4,004,418	4,826,348	6,032,555	862,263	1,011,749	5,380,633	8,690,930	9,001,720	9,001,745	25	
Canada	17,716,910	12,401,610	18,883,945	20,661,185	28,910,474	24,728,617	25,563,498	29,524,863	12,995,582	13,650,861	11,620,304	7,703,729	7,842,797	12,513,341	4,670,544	
Trinidad and Tobago	514,556	554,847	1,101,429	2,206,444	2,354,215	4,782,570	4,963,290	5,844,766	3,828,782	1,883,321	6,450,673	7,211,966	7,707,266	7,714,316	7,050	
Russian Federation	17,316,937	15,354,400	19,314,468	21,084,023	30,644,287	43,110,194	43,423,867	66,912,362	40,754,784	52,171,195	69,377,484	68,465,383	7,350,579	7,406,822	56,243	
Saudi Arabia	-349	-263	4,113,010	4,729,608	5,886,829	7,870,263	8,834,103	10,286,267	5,252,102	7,049,958	8,176,503	8,155,231	6,702,516	6,705,979	3,463	
Brunei Darussalam	1,513,856	1,400,154	1,593,651	1,724,610		2,214,212				4,030,587	5,654,295	6,175,943	6,016,952	6,017,272	320	
Bolivia	243,590	264,567	383,449	623,596	985,285	1,669,029	1,988,674	3,159,045	1,965,288	2,775,218	3,831,560	5,407,447	5,254,055	5,258,460	4,405	
Myanmar										2,935,901	3,069,507	3,424,547	3,765,126	3,769,688	4,562	
Equatorial Guinea	10,076	8,780	8,005	5,698	83,544	307,385	539,058	3,271,593	2,191,281	1,715,034	2,717,492	3,356,739	3,569,320	3,574,766	5,446	
Yemen				20,540	22,431	9,819	40	-15	66,189	732,418	1,254,203	555,209	3,552,674	3,552,709	35	
Kuwait	779,375	657,980	842,571	1,127,812		1,788,055	1,937,482	2,650,764	1,633,126	1,919,888	2,751,068	3,495,980	3,176,367	4,159,984	983,617	
Kazakhstan	-32,217	36,602	84,219	326,220	306,121	426,678	768,261	1,489,018	1,517,079	1,399,316	3,517,456	3,119,886	2,893,062	3,385,294	492,232	
Libya							986,875	1,305,507	585,092	4,589,575	1,301,303	3,652,178	2,798,075	2,798,158	83	
Peru	-63,196	-65,678	-107,080	-78,064	52,892	21,668	-65,301	-109,298	141,719	521,637	1,486,781	1,436,465	2,074,232	2,074,994	762	
Uzbekistan	303,821	120,571	207,776	262,306	539,509	735,049	800,381	2,319,612	1,835,287	292,601	768,590	251,450	1,149,246	1,149,283	37	
Angola	27,213	9,007	1,643	-4,068	79,431	256,034	357,566	385,232	271,852	317,265	353,465	409,036	576,927	577,495	568	
Colombia	19,301	11,157	15,941	9,558	15,390	21,299	21,318	151,321	261,907	161,788	313,971	460,907	455,813	457,722	1,909	
Iran (Islamic Republic of)	424,373	303,490	363,709	393,122	720,827	1,536,604				3,149,920	5,517,114	2,391,429	431,938	443,168	11,230	
Azerbaijan	-171,802	-213,027	-214,421	-250,791	-273,944	-455,507	-25,755	92,436	131,384	303,498	586,837	661,427	345,557	345,617	60	
Congo							37,255	112,607	93,111	142,913	211,516	73,326	208,658	209,225	567	
Bahrain	-66	-8	-146	-91	-27	-153	-34	-182	-10	-12	-193	363,136	77,827	77,863	36	
Honduras	-49,718	-15,084	-21,305	-27,500	-37,957	-57,418	59,555	233,205	63,887	189,962	68,041	125,557	77,288	145,714	68,426	
Oman	1,175,368	1,138,430	-1,791,329	1,649,172	2,311,329	3,362,011	3,661,330	4,668,976	2,423,645	2,325,434	2,292,080	4,215,126	64,737	70,522	5,785	
Guinea	-208	-217		-215	-431	-369	-372	-392		-456	-258	-356	50,537	51,026	489	
Austria	-41,902	-34,953	-1,146,648	-1,220,383	-1,802,939	-2,371,822	-1,601,289	-2,490,485	-47,698	602	22,626	37,874	24,526	27,097	2,571	
New Zealand	15,302	12,181	1,165	-512	-3,305	-22,795	-55,607	-87,864	-55,130	-5,023	6,488	6,876	21,394	25,823	4,429	
Niger	-669	-618	-679	-844	-1,021	-1,413	-1,563	-2,220	-1,790	-3,107	-4,074	6,662	19,391	19,549	158	
Panama	-5,958	-35,637	-46,932		-72,570	-39,333	-35,271	-48,602	-24,519	-21,313	-35,134	-20,843	13,064	343,764	330,700	
Timor-Leste				-224	-174	23,636	21,254	137,945	82,648	18,127	49,645	29,785	5,497	6,359	862	
Liberia	1,709	-4	2,888	-57	-460	-455	-725	2,520	-402	-469	-1,126	-318	5,308	5,504	196	
Zambia	-124	222	550	988	598	1,481	1,921	3,550	3,571	3,544	6,946	43,751	4,777	6,305	1,528	
Netherland Antilles					0	0	0	0	4,782	-6,786	15,183	-167	4,012	4,408	396	
Iraq	17,952	22,204	-98,635	-195,973	-421,284	-52,571	-276	3,054	-3	-45	-57,260	2,656	3,783	4,026	243	
Central African Republic	-70	-58	-22			0	-47	-17	0	-1	0	0	0			
Palestine, State of							-100,853	-123,577	-75,287	-219,840	-196,729	-154,951	-1	0	1	
Saint Vincent and the Grenadines	-1,891	-1,898	-2,113	-2,836	-3,309	-3,378	-4,083	-7,878	-7,089	-4,914	-7,605	-5,771	-1	0	1	
Pitcairn		-360		-265		-3	-8	-8	-3	-677			-2	0	2	
Saint Lucia	-2,385	-3,292	-3,807	-3,912	-5,315	-4,851	-7,874	-11,872	-2,075	-4,214	-19	257	-3	0	3	
French South Antarctic Territories	-29	-388	-613	-842	14,664	-2,147	-14		-1	-67	-3	-9	-3	0	3	
Grenada	-2,405	-2,053	-2,560	-2,574	-2,355	-657	-2,477	-2,387	-1,629	-2,553	-14	-3	-4	0	4	
Antigua and Barbuda					-3,985		-763		-8	-4	-12	0	-5	0	5	
Seychelles	-77	-471	-992		-1,939	-2,118		-1,249	-1	-6	-7	-40	-9	0	9	
Sudan (North + South)	21,881	17,904	29,412	12,288	-1,339	4,297		1,253	-115	-33,558	-88,549	-28,020	-10	0	10	
Norfolk Island				-1		-527	-45	-3	-10			-181	-12	0	12	
Tokelau	-16	-4	-2		-16	-1	-27						-19	0	19	
Wallis and Futuna Islands	-58	-48	-30	-50	-922	-55	-96	-1,255	-528	-1,016	-83		-25	0	25	
Cocos (Keeling) Islands		-7	-13	-16	-9	-15	-17	-28	-19,356	-22	-11	-52	-29	0	29	
Ethiopia	-497	-738	-526	-598	-2,023	-2,027	-3,374	-7,086	-4,261	-6,580	-10,446	-10,304	-35	0	35	
Kiribati					-155		-272	-269	-179	-177	-254	-282	-36	0	36	
Chad	-66	-13	26	13	-49	5	-32	-24	-1,832	-2,092	-45	-46	-67	0	67	
St. Pierre and Miquelon	-56	-45	-59	-53	-13		-1	-12	-40	-8	-68	-140	-86	0	86	
Christmas Islands		-25	-22	-43	-53	-43	-64	-41	-43	-78	-107	-138	-87	0	87	
Cuba	-28,597	-27,600	-25,717	-51,423	-68,680	0	-18	-3	-111	-6	-82	-6	-115	0	115	
Saint Helena	-33	-48	-42	-54	-124	-118	-118	-139	-77	-206	-102	-152	-123	0	123	
Nauru	-32	-14		496	-5	-2		-25	-14	-7	-49	-51	-126	0	126	
Venezuela	53	198	148	60	-132	-148		-365	-332	-49	-6	-19	-140	0	140	
Djibouti									-20	-8		-415	-159	0	159	
Suriname	-6,053			-6,219	-8,393	-9,101	-9,741		-8,159	-8,123	-12,018	-41	-164	0	164	
Sao Tome and Principe	-4	-12	-15	-29	-66	-70	-66	-105	-138	-128	-182	-204	-173	0	173	
Niue				-8	-12	-19	-11	-65	-66,667	-1,261	-561	-71	-174	0	174	
Bhutan					-1,700	-1,930	-2,358	-2,661	-2,503	-3,170	-3,920	-34	-178	0	178	
Falkland Islands (Malvinas)	-4	-13	-2	-28	-35	-82	-107	-95	-392	-113	-48	-159	-195	0	195	
Democratic Republic of the Congo	-59	-323	4,517	368	28	3,691	2,278	1,859	1,696	40,633	35,542	19,724	-218	0	218	
Mayotte	-584	-673	-873	-912	-1,378	-1,550	-1,965	-3,481	-2,136	-246	-311	-362	-272	4	276	
Sierra Leone		-244	-203	-68	-62	-67	-41	-53	-99	-210	-464	-327	-323	0	323	
Micronesia (Federated States of)	-5	-14	-1				-15			-28	-52	-218	-337	0	337	
Palau												-1,142	-378	0	378	
Lao People's Democratic Republic	-549	-675	-982	4,278	-5,024	-2,788	-1,863	-1,161	-1,833	-1,755	-1,057	-850	-381	0	381	
Cook Islands					-523	-204	-2,203	-2,813	-1,149	-2,324	-1,458	-265	-400	0	400	
Kenya	-5,421	-4,248	-4,863	-1,914	-4,612	-15,993	-23,701	-25,743	-27,194	-40,274	-54,220	-44,015	-404	5,996	6,400	
Marshall Islands	-84	-95	-127	-143	-125	-207	-190	525	-19	853	-447	-645	-485	120	605	
Anguilla	-607	-576	-690	-250	-573	-918	-976	-1,512	-571	-968	-625	-585	-538	0	538	
Burundi	-38	-71	-57	-74	-157	-137	-166	-190	-135	-319	-420	-556	-562	0	562	
Comoros	-106	-6	-25	-27	-46	-45	-104	-163	-170	-410	-566	-446	-624	0	624	
Montserrat	-281	-385	-375	-386	-401	-468	-444	-739	-451			-678	-663	0	663	
Greenland	-49	-545	-674	-845	-833	-620	-778	-591	-316	-202	-511	-612	-687	0	687	
British Virgin Islands	-686	-2,411	-865	-840	-9,940	-952	-21,575	-8,934	-110,268	-177,883	-5,597	-526	-906	0	906	
Solomon Islands								-1,215	-12	-747	-691	-1,597	-1,070	0	1,070	
Malawi	-205	-1,804	-221	529	-341	-427	-633	-774	-633	-1,048	-1,063	-1,358	-1,212	0	1,212	
