#List of markets for the selected product Product: 2709 Crude petroleum oils
#"Partners"	"Balance in value in 2001"	"Balance in value in 2002"	"Balance in value in 2003"	"Balance in value in 2004"	"Balance in value in 2005"	"Balance in value in 2006"	"Balance in value in 2007"	"Balance in value in 2008"	"Balance in value in 2009"	"Balance in value in 2010"	"Balance in value in 2011"	"Balance in value in 2012"	"Balance in value in 2013"	"Exported value in 2013"	"Imported value in 2013"	
World	-30274355	-23868583	-35345659	-46807314	-47967614	-43480208	-59603792	-96456639	-54436925	-93785281	-66293965	-137059936	-149325604	1482522783	1631848387	
Saudi Arabia	50889027	55070883	70641437	92855996	137175928	162218777	180030389	247097215	142194191	189433610	284976018	305237241	289279417	289279455	38	
Russian Federation	23164356	27209577	36426413	54549999	79138345	96129577	113613782	150781259	93222306	128055702	171686160	180756586	173513543	173668305	154762	
United Arab Emirates					40575251		59067497	80476786	46449932	61098590	92880600	101277598	105294404	105294596	192	
Iraq	11819507	9564057	8644537	16574194	18144642	28500585	35452873	59290188	38163430	50294696	76866395	91888960	88402736	88402832	96	
Nigeria	17731612	16597742	23207188			54871675	50145562	74832117	42207827	60904543	90094386	99054530	80105757	80107103	1346	
Kuwait	9586802	8174614	11516431	16652962		36652003	38610941	57754482	35873198	46594837	67002286	82162950	77975301	77975301	0	
Angola	5971787	7197427	8798581	12332737	20937645	30667981	38342082	65403755	38000715	51399899	63245893	70445861	67373617	67374211	594	
Canada	2224819	3828535	4728585	7009116	6698224	12844789	16481056	31680650	19115553	27376679	40652763	44510037	53099314	79344848	26245534	
Kazakhstan	4022514	4797257	6753070	10906206	16617399	22118690	26299503	40735057	24760722	35641380	52671932	54243577	52381583	55221442	2839859	
Norway	26814390	25679893	28882038	36834631	46749394	50800662	53563394	66355470	39348975	46920465	58295550	53505951	47466479	48906490	1440011	
Mexico	11590841	13108886	16832087	21257819	28329488	34707138	37937155	43341533	25693513	35907426	49363264	46788238	42822396	42822488	92	
Iran (Islamic Republic of)	19762052	19218990	26124000	34288596	48286000	50223930				46709441	84381572	52748016	37698576	37698576	0	
Libya							25484020	35641144	21978949	30544935	15638389	51774280	34458341	34520412	62071	
Algeria	7120765	7956805	11365746	17567326	24518790	30383593	33799091	41649227	21284445	24779425	35027506	32879388	30380084	30380113	29	
Colombia	2536979	2548018	2437158	2945116	3905677	4341574	5181198	9057986	8053479	13393966	23020127	26550023	27644189	27644198	9	
Azerbaijan	1725479	1476267	1816098	2264435	2218812	3848498	3214194	44170798	11989736	18489553	22911024	20232597	26466241	26466241	0	
Qatar	5610467	2881436	6716841	8529111	12843478	15981152	19181243	25760580	15758426	20230722	26426284	26187668	24928836	24928836	0	
Ecuador	1722331	1838494	2372314	3898508	5396837	6934010	7428347	10567940	6284126	8951938	11799966	12711212	13411733	13411759	26	
Equatorial Guinea	1590005	1746954	2447492	3990335	6138124	7728814	8202337	12157061	3084197	4463668	8455929	11518885	9663955	9663955	0	
Congo							5294572	7486754	5541607	4461916	12376462	5888840	7687979	7687979	0	
Gabon	2055639	1970240	10610	2079076	4185202	5077716	5179580	8329051	4347153	5286493	7834041	8127145	7186169	7195776	9607	
Viet Nam	3125602	3251133	3816018	5651796	7373484	8312047	8487604	10356846	6193671	4688722	6674508	7750425	6235703	7023695	787992	
Brunei Darussalam	1556434	1688787	2022091	2908230		5140803				4554027	6416849	6271267	5196420	5196420	0	
Sudan (North + South)	0	128326	-29	0	0	-529		8684468	6928610	9655989	7170672	2698957	5186322	5186327	5	
Yemen				3576026	4754226	5636213	4971945	5879518	5034302	4517789	4480214	5335167	4690217	4690241	24	
Ghana	-285442		-576465		-617157	-684932	-790643	-1083977	-100125	-3	2861932	3463149	3785488	3786076	588	
Malaysia	1435065	1856652	2524209	3986464	4654415	4008480	4281434	6174787	3033693	3957910	2913867	1476815	3049652	10212388	7162736	
Chad		22	15956	1152414	1593179	2276146	2379821	3686049	2110211	2587218	3717696	2737921	2996351	2996351	0	
Cameroon	513792	614195	831782	652215	181711	856302	400687	12	-6	183889	-85	533187	2227254	2254561	27307	
Argentina	2109970	2184727	2244153	2175132	2440189	2371601	1276981	1615209	2466356	2583531	2182219	2457329	1491349	1736775	245426	
Denmark	1478351	1714124	2020755	2935801	4223634	4194440	3809213	4469976	2378282	2794560	3445520	2120370	1328760	4910025	3581265	
Egypt	295897	315315	340922	403051	-282740	-158321	-140782	599633	489328	456363	1313759	89378	1030976	3059529	2028553	
Democratic Republic of the Congo	126693	196388	114546	87113	231045	127390	305173	163315	452361	549439	1138118	724113	1003928	1003980	52	
Côte d'Ivoire	-485415	-328326	-346983	-740018	-1078688	-449295	-852206	-1144476	-481862	-598370	-443362	-1497221	983749	989329	5580	
Tunisia	270352	288966	229876	434577	659586	641288	1473095	1695332	1050665	1918373	2014910	1016402	790939	1748136	957197	
Guinea	0	0		0	0	-15	-4	0		0	0	-2	680140	680141	1	
Albania	32	-1	-5	-8	9887	17904	59054	75084	51781	149689	293641	492715	658043	658043	0	
Timor-Leste				-2	0			-39487		23566	34549	604486	542845	542845	0	
Mongolia	1227		1524	5339	9262	19841	53304						515456	515456	0	
Mauritania	-7	0	0	0	0		338717	326431	-19	0	107486	271296	304289	304620	331	
