Date,Open,High,Low,Close,Volume
2005-11-30,7.9,8.25,7.75,8.0,2366893.0
2005-12-01,8.02,8.14,8.0,8.0,501381.0
2005-12-02,8.1,9.25,8.01,8.2,234458.0
2005-12-05,8.3,8.37,8.0,8.06,109678.0
2005-12-06,8.24,8.24,8.01,8.05,47597.0
2005-12-07,8.15,8.15,7.97,8.15,345074.0
2005-12-08,8.23,8.23,8.0,8.01,24473.0
2005-12-09,8.23,8.25,8.01,8.03,8040.0
2005-12-12,8.23,8.23,7.55,7.65,249720.0
2005-12-13,7.62,7.76,7.5,7.6,48669.0
2005-12-14,7.5,7.52,7.16,7.22,319657.0
2005-12-15,7.21,7.4,7.1,7.3,6872.0
2005-12-16,7.25,7.25,7.08,7.09,106739.0
2005-12-19,7.12,7.21,7.08,7.2,65090.0
2005-12-20,7.17,7.27,7.17,7.21,13499.0
2005-12-21,7.21,7.46,7.21,7.46,6801.0
2005-12-22,7.5,7.7,7.5,7.59,9714.0
2005-12-23,7.5,7.92,7.5,7.8,30679.0
2005-12-27,8.24,8.25,7.88,7.89,81585.0
2005-12-28,8.0,8.0,7.8,7.9,37290.0
2005-12-29,7.88,8.08,7.8,7.95,41496.0
2005-12-30,7.95,8.0,7.9,7.92,12280.0
2006-01-03,7.94,7.94,7.6,7.74,70984.0
2006-01-04,7.58,7.75,7.49,7.63,13979.0
2006-01-05,7.63,7.7,7.47,7.5,34160.0
2006-01-06,7.5,7.78,7.46,7.54,99205.0
2006-01-09,7.89,8.0,7.55,7.55,81265.0
2006-01-10,7.71,7.75,7.53,7.64,72000.0
2006-01-11,7.75,7.92,7.65,7.65,99520.0
2006-01-12,7.87,7.87,7.69,7.74,39466.0
2006-01-13,7.7,7.7,7.46,7.48,71095.0
2006-01-17,7.5,7.5,7.21,7.21,57748.0
2006-01-18,7.2,7.2,6.82,6.95,101406.0
2006-01-19,7.0,7.21,6.83,6.83,89468.0
2006-01-20,6.94,7.0,6.65,6.77,40613.0
2006-01-23,6.8,6.88,6.66,6.75,17660.0
2006-01-24,6.7,6.72,6.56,6.63,109550.0
2006-01-25,6.63,6.77,6.61,6.64,58773.0
2006-01-26,6.55,7.08,6.55,6.9,60687.0
2006-01-27,7.0,7.17,6.9,7.0,83313.0
2006-01-30,7.0,7.55,6.99,7.54,51216.0
2006-01-31,7.75,7.84,7.45,7.65,72723.0
2006-02-01,7.84,7.84,7.55,7.55,58879.0
2006-02-02,7.54,7.69,7.48,7.48,22812.0
2006-02-03,7.59,8.8,7.53,8.45,258137.0
2006-02-06,8.75,8.9,7.8,8.61,462755.0
2006-02-07,8.4,8.4,7.51,7.72,230749.0
