Date,Open,High,Low,Close,Volume
2010-07-01,13.0,14.45,12.62,13.5,4848917.0
2010-07-02,13.5,14.9,13.5,14.9,1381319.0
2010-07-05,,,,14.9,0.0
2010-07-06,15.0,15.25,14.2,14.22,396009.0
2010-07-07,13.96,14.4,13.94,14.25,135750.0
2010-07-08,14.04,14.2,13.57,14.1,156803.0
2010-07-09,14.92,14.95,13.94,14.2,133438.0
2010-07-12,14.2,14.2,13.7,13.79,27786.0
2010-07-13,13.92,14.41,13.11,13.56,189342.0
2010-07-14,13.48,13.65,13.11,13.52,94470.0
2010-07-15,13.89,13.89,12.8,13.25,251255.0
2010-07-16,13.36,13.48,13.06,13.24,122783.0
2010-07-19,13.21,13.38,13.21,13.25,34326.0
2010-07-20,13.25,14.35,13.25,14.15,45034.0
2010-07-21,13.82,14.09,13.8,13.95,94738.0
2010-07-22,14.32,14.34,13.77,14.0,33202.0
2010-07-23,14.29,14.29,13.8,13.9,6350.0
2010-07-26,13.8,13.99,13.43,13.57,55978.0
2010-07-27,13.56,13.66,13.0,13.65,104404.0
2010-07-28,13.65,14.28,13.65,14.25,337914.0
2010-07-29,14.24,14.24,14.0,14.0,41584.0
2010-07-30,13.99,14.82,13.99,14.63,345897.0
2010-08-02,14.99,16.15,14.5,15.6,191319.0
2010-08-03,15.97,16.19,15.55,16.01,22770.0
2010-08-04,16.0,16.45,15.93,16.3,31388.0
2010-08-05,16.31,16.89,16.22,16.89,41114.0
2010-08-06,16.6,16.85,16.45,16.57,68901.0
2010-08-09,16.76,16.84,15.81,16.84,60079.0
2010-08-10,16.75,16.96,16.43,16.92,114136.0
2010-08-11,16.49,16.7,15.86,16.07,65845.0
2010-08-12,15.47,16.25,14.94,16.0,57930.0
2010-08-13,15.91,16.0,15.24,15.28,23970.0
2010-08-16,15.3,15.3,15.01,15.2,11309.0
2010-08-17,15.44,15.92,15.16,15.8,32229.0
2010-08-18,16.06,16.06,15.75,15.85,11700.0
2010-08-19,15.79,15.79,14.71,15.15,20189.0
2010-08-20,15.23,15.23,15.0,15.23,2116.0
2010-08-23,15.25,15.53,15.2,15.26,54478.0
2010-08-24,15.25,15.3,15.19,15.21,83665.0
2010-08-25,15.24,15.48,14.99,15.14,77463.0
2010-08-26,15.25,15.25,14.91,14.91,101427.0
2010-08-27,15.05,15.18,14.6,14.91,70661.0
2010-08-30,14.85,15.09,14.85,15.06,164560.0
2010-08-31,15.1,15.71,15.0,15.54,72761.0
2010-09-01,15.84,15.84,15.28,15.68,130066.0
2010-09-02,15.9,15.97,15.1,15.2,13349.0
2010-09-03,15.46,16.21,15.36,16.0,88178.0
2010-09-06,,,,16.0,0.0
2010-09-07,15.88,16.0,15.0,16.0,7323.0
2010-09-08,16.13,16.13,15.2,15.24,13618.0
2010-09-09,15.78,15.99,15.78,15.87,2700.0
2010-09-10,15.56,16.05,15.56,15.99,151300.0
2010-09-13,16.48,16.5,15.76,16.0,7301.0
2010-09-14,16.02,16.48,16.0,16.48,76370.0
2010-09-15,16.52,17.51,16.13,16.75,25965.0
2010-09-16,16.82,17.0,16.04,16.55,21396.0
2010-09-17,16.28,17.45,16.28,17.12,100955.0
2010-09-20,17.16,17.99,16.9,17.0,72815.0
2010-09-21,17.1,17.99,16.78,17.0,25181.0
2010-09-22,16.86,16.86,16.2,16.3,26981.0
2010-09-23,16.28,16.5,16.05,16.23,23798.0
2010-09-24,16.41,16.94,16.4,16.7,13900.0
2010-09-27,16.8,17.15,16.52,16.88,63378.0
2010-09-28,17.02,17.02,16.4,16.4,47066.0
2010-09-29,16.48,16.68,16.36,16.4,61385.0
2010-09-30,16.5,18.05,16.39,17.5,118752.0
2010-10-01,17.71,18.24,16.85,17.25,50398.0
2010-10-04,17.32,17.9,17.03,17.58,21753.0
2010-10-05,17.84,18.04,17.26,17.89,76129.0
2010-10-06,17.97,18.64,17.7,18.05,45098.0
2010-10-07,18.25,18.94,18.0,18.01,53062.0
2010-10-08,18.26,18.8,17.67,18.41,100198.0
2010-10-11,18.29,18.74,17.98,18.27,45011.0
2010-10-12,17.68,18.5,17.68,18.0,32882.0
2010-10-13,18.19,18.5,18.03,18.42,87783.0
2010-10-14,18.29,19.95,18.11,19.73,187970.0
2010-10-15,19.98,20.5,19.43,20.0,107990.0
2010-10-18,19.96,20.07,19.58,19.83,61789.0
2010-10-19,19.77,19.77,18.85,19.15,162821.0
2010-10-20,19.06,19.45,18.28,19.21,15700.0
2010-10-21,19.21,19.79,18.82,19.08,109520.0
2010-10-22,18.99,19.13,18.88,19.0,26640.0
2010-10-25,19.0,19.84,18.96,19.3,104225.0
2010-10-26,19.36,19.88,19.25,19.44,133854.0
2010-10-27,19.47,19.77,19.05,19.65,48608.0
2010-10-28,20.05,20.44,19.48,20.35,28767.0
2010-10-29,20.41,21.08,20.24,20.94,22598.0
2010-11-01,21.02,21.53,20.56,21.35,40016.0
2010-11-02,21.5,22.37,21.36,22.01,110876.0
2010-11-03,22.36,22.55,22.06,22.4,105752.0
2010-11-04,22.62,22.72,21.8,21.82,92923.0
2010-11-05,21.82,22.07,21.15,21.41,100679.0
2010-11-08,21.5,21.64,20.59,21.02,118487.0
2010-11-09,20.9,20.99,19.92,20.32,68864.0
2010-11-10,20.24,20.31,19.73,19.92,73574.0
2010-11-11,19.69,21.11,19.69,20.91,49733.0
2010-11-12,20.75,20.75,19.9,20.04,13494.0
2010-11-15,20.0,20.46,19.69,19.81,14013.0
2010-11-16,19.76,19.9,19.42,19.78,48996.0
2010-11-17,20.2,21.6,19.78,20.24,187076.0
2010-11-18,20.32,20.73,19.83,20.14,89617.0
2010-11-19,20.03,20.46,19.66,19.9,101876.0
2010-11-22,19.78,20.18,18.71,19.0,37664.0
2010-11-23,18.89,18.89,17.68,18.1,40703.0
2010-11-24,18.24,18.99,18.07,18.8,28265.0
2010-11-26,19.4,20.01,19.21,19.9,44921.0
2010-11-29,19.21,20.22,19.21,19.74,46361.0
2010-11-30,19.75,19.77,18.97,19.17,123176.0
2010-12-01,19.48,19.48,18.45,18.92,38851.0
2010-12-02,19.06,19.08,18.16,18.42,67658.0
2010-12-03,18.26,18.41,17.69,17.91,101752.0
2010-12-06,18.0,18.0,17.5,17.76,203567.0
2010-12-07,17.88,18.21,17.5,17.7,39167.0
2010-12-08,17.63,17.63,16.72,17.17,46379.0
2010-12-09,17.0,17.05,16.3,16.44,57396.0
2010-12-10,16.36,16.54,15.3,15.77,105051.0
2010-12-13,15.74,16.09,15.53,15.65,100016.0
2010-12-14,15.82,16.5,15.59,16.23,178219.0
2010-12-15,16.03,16.37,15.93,16.28,63979.0
2010-12-16,16.72,16.72,16.06,16.5,33861.0
2010-12-17,16.67,17.5,16.67,17.4,69582.0
2010-12-20,17.4,17.99,17.39,17.55,69613.0
2010-12-21,17.5,17.73,17.03,17.6,26430.0
2010-12-22,17.68,18.0,17.6,17.84,31017.0
2010-12-23,17.71,17.93,17.63,17.88,13119.0
2010-12-27,17.41,17.79,16.77,17.01,41605.0
2010-12-28,16.85,16.91,16.52,16.76,27900.0
2010-12-29,16.5,16.64,15.26,15.83,249487.0
2010-12-30,15.7,16.0,15.1,15.83,181465.0
2010-12-31,16.01,16.25,15.79,16.03,63693.0
2011-01-03,16.3,17.26,16.3,16.98,100923.0
2011-01-04,17.06,17.55,17.01,17.43,90390.0
2011-01-05,17.95,18.48,17.42,18.0,33370.0
2011-01-06,18.0,19.08,18.0,18.9,80406.0
2011-01-07,18.2,19.0,18.2,18.9,59799.0
2011-01-10,18.82,19.16,18.8,18.98,13040.0
2011-01-11,19.0,19.16,18.92,19.04,47260.0
2011-01-12,19.0,19.9,18.97,19.24,105713.0
2011-01-13,19.12,19.37,18.38,19.2,153466.0
2011-01-14,19.21,19.21,18.86,19.12,80409.0
2011-01-18,19.1,19.21,18.95,19.06,152837.0
2011-01-19,18.91,19.08,18.67,18.78,81685.0
2011-01-20,18.6,18.96,18.11,18.71,28980.0
2011-01-21,18.75,18.94,18.24,18.75,84980.0
2011-01-24,18.66,18.66,17.32,18.05,147781.0
2011-01-25,17.78,17.82,17.34,17.57,27801.0
2011-01-26,17.71,17.81,17.3,17.42,93442.0
2011-01-27,17.61,17.61,16.79,17.0,82000.0
2011-01-28,16.95,17.07,16.18,16.39,102845.0
2011-01-31,16.5,16.56,16.13,16.36,126310.0
2011-02-01,16.36,16.39,15.55,15.78,177094.0
2011-02-02,15.93,16.2,15.87,16.18,33498.0
2011-02-03,16.1,16.21,15.94,16.04,11428.0
2011-02-04,16.05,16.05,15.77,15.82,2300.0
2011-02-07,15.81,16.04,15.81,15.97,40419.0
2011-02-08,15.97,16.14,15.75,16.11,50590.0
2011-02-09,16.28,16.28,16.01,16.02,26990.0
2011-02-10,16.09,16.16,15.76,16.02,58175.0
2011-02-11,16.0,16.08,15.99,16.0,35218.0
2011-02-14,15.91,16.1,15.55,15.97,38361.0
2011-02-15,15.61,16.0,15.51,15.69,100632.0
2011-02-16,15.98,16.07,15.33,15.73,72243.0
2011-02-17,15.67,16.05,15.67,15.95,20955.0
2011-02-18,15.88,16.0,15.61,15.77,14450.0
2011-02-22,15.75,15.83,15.3,15.43,39272.0
