Date,Open,High,Low,Close,Volume
2010-01-26,6.3,6.5,5.71,5.77,1113631.0
2010-01-27,5.92,6.11,5.81,6.07,162531.0
2010-01-28,6.11,6.17,6.0,6.16,66354.0
2010-01-29,6.16,6.27,6.0,6.15,100060.0
2010-02-01,6.15,6.24,6.05,6.15,18411.0
2010-02-02,6.22,6.22,5.97,6.0,47501.0
2010-02-03,6.0,6.19,6.0,6.0,54677.0
2010-02-04,6.03,6.09,5.81,5.83,106264.0
2010-02-05,5.83,5.83,5.57,5.6,58491.0
2010-02-08,5.78,5.78,5.61,5.74,18045.0
2010-02-09,5.7,5.75,5.69,5.71,9213.0
2010-02-10,5.75,5.8,5.6,5.73,64977.0
2010-02-11,5.76,5.89,5.6,5.84,18293.0
2010-02-12,5.75,5.92,5.72,5.87,16909.0
2010-02-15,,,,5.87,0.0
2010-02-16,5.81,5.95,5.76,5.9,27182.0
2010-02-17,5.76,6.04,5.76,5.94,14103.0
2010-02-18,5.89,6.02,5.83,5.83,25798.0
2010-02-19,6.03,6.03,5.81,6.0,33140.0
2010-02-22,5.93,5.98,5.79,5.86,18000.0
2010-02-23,5.98,5.98,5.75,5.8,28940.0
2010-02-24,5.89,5.89,5.8,5.89,4911.0
2010-02-25,5.85,5.85,5.76,5.82,5300.0
2010-02-26,5.95,5.95,5.76,5.85,30400.0
2010-03-01,5.9,5.9,5.81,5.84,10251.0
2010-03-02,5.85,6.07,5.82,5.93,78567.0
2010-03-03,7.25,7.85,7.01,7.11,2493580.0
2010-03-04,7.15,7.52,7.03,7.43,572504.0
2010-03-05,7.5,8.23,7.49,7.9,919868.0
2010-03-08,7.72,8.5,7.71,7.91,545342.0
2010-03-09,7.91,7.96,7.5,7.5,229017.0
2010-03-10,8.0,8.1,7.31,7.59,323211.0
2010-03-11,7.59,7.9,7.5,7.9,150938.0
2010-03-12,7.94,7.98,7.42,7.73,192511.0
2010-03-15,7.85,7.9,7.55,7.74,90439.0
2010-03-16,7.61,7.64,7.15,7.34,208910.0
2010-03-17,7.21,7.48,7.2,7.41,143350.0
2010-03-18,7.41,7.72,7.11,7.19,68993.0
2010-03-19,7.24,7.5,7.12,7.22,45838.0
2010-03-22,7.28,7.41,6.81,7.0,101490.0
2010-03-23,7.11,7.23,6.9,6.91,50139.0
2010-03-24,6.83,7.04,6.83,6.99,28113.0
2010-03-25,7.14,7.22,6.83,6.92,58916.0
2010-03-26,6.83,6.9,6.63,6.64,111639.0
2010-03-29,6.64,6.77,6.51,6.69,78771.0
2010-03-30,6.74,6.98,6.31,6.5,237128.0
2010-03-31,6.45,6.57,6.31,6.36,41568.0
2010-04-01,6.36,6.68,6.34,6.46,129298.0
2010-04-02,,,,6.46,0.0
2010-04-05,6.51,6.58,6.37,6.48,72495.0
2010-04-06,6.47,6.87,6.45,6.76,85130.0
2010-04-07,6.84,7.09,6.76,6.86,108560.0
2010-04-08,6.92,6.92,6.7,6.77,20390.0
2010-04-09,6.66,6.82,6.55,6.64,32715.0
2010-04-12,6.69,7.0,6.65,6.93,78463.0
2010-04-13,6.99,6.99,6.6,6.71,45664.0
2010-04-14,6.83,6.83,6.55,6.61,41541.0
2010-04-15,6.57,6.64,6.34,6.39,107728.0
2010-04-16,6.37,6.37,6.12,6.21,78938.0
2010-04-19,6.15,6.22,6.06,6.09,101524.0
2010-04-20,6.08,6.49,6.08,6.42,82558.0
2010-04-21,6.53,6.53,6.3,6.39,32420.0
2010-04-22,6.3,6.3,6.23,6.29,29958.0
2010-04-23,6.37,6.37,6.22,6.32,17073.0
2010-04-26,6.32,6.41,6.03,6.18,12256.0
2010-04-27,6.2,6.4,6.11,6.15,64012.0
2010-04-28,6.15,6.29,5.94,6.05,99671.0
2010-04-29,6.06,6.22,5.92,6.0,61070.0
2010-04-30,5.96,6.19,5.82,5.83,66585.0
2010-05-03,5.9,5.92,5.72,5.82,37755.0
2010-05-04,5.8,5.8,5.56,5.63,78710.0
2010-05-05,5.55,5.68,5.4,5.4,64319.0
2010-05-06,5.4,5.4,4.75,5.05,202320.0
2010-05-07,5.05,5.06,4.69,4.92,95677.0
2010-05-10,5.09,5.09,4.95,5.05,82871.0
2010-05-11,4.95,5.19,4.9,5.07,51050.0
2010-05-12,5.05,5.66,5.02,5.63,158175.0
2010-05-13,5.65,5.8,5.45,5.7,43470.0
2010-05-14,5.65,5.73,5.48,5.55,61140.0
2010-05-17,5.2,5.2,4.53,4.64,123982.0
2010-05-18,4.7,4.8,4.44,4.44,69183.0
2010-05-19,4.4,4.55,4.06,4.27,160354.0
2010-05-20,4.23,4.25,3.96,4.03,81580.0
2010-05-21,3.96,4.27,3.91,4.13,46220.0
2010-05-24,4.12,4.3,4.11,4.24,24540.0
2010-05-25,4.18,4.18,4.02,4.07,52008.0
2010-05-26,4.17,4.19,4.1,4.14,21018.0
2010-05-27,4.2,4.25,4.11,4.25,57117.0
