Date,Open,High,Low,Close,Volume
2010-12-09,8.5,8.5,6.45,6.6,10558399.0
2010-12-10,6.4,7.66,6.02,6.96,2977851.0
2010-12-13,7.21,7.25,6.95,7.15,854346.0
2010-12-14,7.16,7.17,6.82,7.0,378475.0
2010-12-15,6.91,7.1,6.26,6.47,616874.0
2010-12-16,6.52,6.63,6.25,6.5,250498.0
2010-12-17,6.81,6.82,6.25,6.27,290708.0
2010-12-20,6.05,6.33,5.98,6.05,270325.0
2010-12-21,6.08,6.17,6.0,6.03,160983.0
2010-12-22,6.0,6.12,5.8,5.92,624644.0
2010-12-23,5.92,6.1,5.85,5.86,199238.0
2010-12-27,5.81,6.0,5.77,5.81,72736.0
2010-12-28,5.83,5.85,5.7,5.72,126818.0
2010-12-29,6.0,6.0,5.55,5.72,164597.0
2010-12-30,5.66,5.9,5.62,5.67,54644.0
2010-12-31,5.66,5.66,5.18,5.46,186319.0
2011-01-03,5.59,5.84,5.56,5.78,160287.0
2011-01-04,5.61,6.05,5.51,6.02,296717.0
2011-01-05,6.1,6.4,6.01,6.38,333944.0
2011-01-06,6.45,6.46,6.15,6.33,160332.0
2011-01-07,6.38,6.45,6.34,6.34,135826.0
2011-01-10,6.38,6.4,6.01,6.11,113834.0
2011-01-11,6.04,6.17,5.9,5.9,67175.0
2011-01-12,5.96,6.15,5.96,6.0,14568.0
2011-01-13,5.97,6.18,5.96,6.02,53448.0
2011-01-14,6.05,6.19,6.05,6.14,25052.0
2011-01-18,6.76,6.9,6.24,6.8,394494.0
2011-01-19,6.8,6.95,6.58,6.91,802896.0
2011-01-20,6.78,7.38,6.7,7.32,340103.0
2011-01-21,7.24,7.3,6.99,7.19,280227.0
2011-01-24,7.09,7.23,6.98,7.22,291553.0
2011-01-25,7.08,7.18,6.96,7.17,223720.0
2011-01-26,7.11,7.4,6.99,7.35,332960.0
2011-01-27,7.54,7.54,7.2,7.3,71960.0
2011-01-28,7.89,7.89,7.15,7.31,142938.0
2011-01-31,7.59,7.59,7.26,7.44,57450.0
2011-02-01,7.35,7.45,7.2,7.35,174191.0
2011-02-02,7.35,7.39,7.15,7.25,38452.0
2011-02-03,7.3,7.3,7.01,7.21,14314.0
2011-02-04,7.07,7.49,7.05,7.49,29858.0
2011-02-07,7.49,7.49,7.26,7.35,19487.0
2011-02-08,7.35,7.46,7.25,7.34,34058.0
2011-02-09,7.35,7.38,7.27,7.35,49515.0
2011-02-10,7.42,7.42,7.25,7.33,220144.0
2011-02-11,7.3,7.41,7.25,7.41,33273.0
2011-02-14,7.4,7.41,7.3,7.36,141098.0
2011-02-15,7.25,7.51,7.25,7.46,422930.0
2011-02-16,7.42,7.42,7.33,7.4,118931.0
2011-02-17,7.35,7.45,7.31,7.4,297225.0
2011-02-18,7.4,7.54,7.33,7.47,86248.0
2011-02-22,7.4,7.49,7.32,7.45,213288.0
2011-02-23,7.54,7.6,7.48,7.55,77712.0
2011-02-24,7.55,7.74,7.5,7.54,60131.0
2011-02-25,7.52,7.52,7.3,7.48,74763.0
2011-02-28,7.64,7.73,7.3,7.6,156360.0
2011-03-01,7.71,7.71,7.39,7.44,73120.0
2011-03-02,7.39,7.39,7.0,7.21,101160.0
2011-03-03,7.13,7.13,7.01,7.02,70690.0
2011-03-04,7.01,7.1,7.0,7.02,11375.0
2011-03-07,7.1,7.1,6.99,7.05,60915.0
2011-03-08,7.05,7.07,6.7,6.7,26441.0
2011-03-09,6.78,6.78,6.21,6.3,120180.0
2011-03-10,6.32,6.56,6.28,6.32,70293.0
2011-03-11,6.11,6.81,6.11,6.72,115630.0
2011-03-14,6.5,6.7,6.5,6.69,17170.0
2011-03-15,6.21,6.61,6.11,6.58,162402.0
2011-03-16,6.39,6.6,6.39,6.46,116950.0
2011-03-17,6.16,6.68,6.16,6.54,81582.0
2011-03-18,6.54,7.12,6.31,7.0,102104.0
2011-03-21,7.0,7.2,6.8,6.97,37019.0
2011-03-22,6.84,7.1,6.41,6.65,262722.0
2011-03-23,6.54,6.54,6.0,6.18,154163.0
2011-03-24,6.24,6.85,6.08,6.52,96764.0
2011-03-25,6.65,6.78,6.37,6.63,72606.0
2011-03-28,6.71,6.71,6.36,6.53,46010.0
2011-03-29,6.56,7.0,6.54,6.66,94699.0
2011-03-30,6.46,6.72,6.4,6.72,119383.0
2011-03-31,6.72,6.72,6.33,6.4,63763.0
2011-04-01,6.36,6.57,6.3,6.5,20707.0
2011-04-04,6.5,6.5,6.25,6.35,42139.0
2011-04-05,6.9,6.9,6.35,6.46,37341.0
2011-04-06,6.37,6.57,6.35,6.55,32297.0
2011-04-07,6.75,6.75,6.38,6.53,30600.0
2011-04-08,6.49,6.74,6.38,6.47,91346.0
