Date,Open,High,Low,Close,Volume
2010-04-23,16.5,16.53,14.22,15.3,130083.0
2010-04-26,15.45,15.45,12.27,12.33,665401.0
2010-04-27,13.95,14.1,13.11,13.29,282431.0
2010-04-28,13.5,13.8,13.35,13.77,74816.0
2010-04-29,14.1,14.1,12.9,13.26,71147.0
2010-04-30,13.5,13.5,13.05,13.26,49819.0
2010-05-03,13.41,13.41,12.3,12.75,65791.0
2010-05-04,12.54,12.57,11.7,11.91,108940.0
2010-05-05,12.12,12.3,11.46,11.88,99530.0
2010-05-06,12.51,12.51,10.65,11.46,105487.0
2010-05-07,12.0,12.0,10.5,10.95,61631.0
2010-05-10,12.0,12.06,11.4,11.76,71996.0
2010-05-11,12.15,12.15,11.85,11.96,50099.0
2010-05-12,12.18,12.42,12.0,12.3,62290.0
2010-05-13,12.36,12.72,12.09,12.3,55666.0
2010-05-14,12.69,12.69,11.58,12.0,56273.0
2010-05-17,11.43,11.44,10.68,11.07,106324.0
2010-05-18,11.4,11.4,10.8,10.86,51501.0
2010-05-19,10.8,10.8,9.75,10.53,113348.0
2010-05-20,10.44,10.44,9.48,9.69,113969.0
2010-05-21,10.5,10.5,9.3,10.35,54294.0
2010-05-24,10.5,10.53,9.78,9.9,33441.0
2010-05-25,9.75,10.05,9.45,9.9,60852.0
2010-05-26,10.2,10.47,9.75,9.78,39680.0
2010-05-27,10.35,10.44,9.75,10.08,14224.0
2010-05-28,10.29,10.5,10.11,10.5,14122.0
2010-05-31,,,,10.5,0.0
2010-06-01,10.38,10.41,9.99,10.32,17055.0
2010-06-02,10.32,10.44,10.05,10.35,15969.0
2010-06-03,10.35,10.71,10.14,10.59,20767.0
2010-06-04,10.14,10.44,9.75,10.17,23695.0
2010-06-07,10.17,10.2,9.15,9.3,50029.0
2010-06-08,9.0,9.69,9.0,9.69,38155.0
2010-06-09,9.66,9.81,9.3,9.6,7033.0
2010-06-10,9.69,9.81,9.24,9.63,17625.0
2010-06-11,9.39,9.57,9.06,9.54,49507.0
2010-06-14,9.6,9.84,9.6,9.72,14904.0
2010-06-15,9.87,10.08,9.68,10.05,14973.0
2010-06-16,10.05,10.05,9.72,9.75,20471.0
2010-06-17,9.69,9.69,9.3,9.39,28933.0
2010-06-18,9.33,9.33,8.61,9.06,55893.0
2010-06-21,9.18,9.48,9.0,9.0,29418.0
2010-06-22,9.12,9.18,8.97,9.06,23423.0
2010-06-23,9.0,9.15,8.73,8.85,11819.0
2010-06-24,8.85,9.15,8.73,8.97,8498.0
2010-06-25,8.88,9.14,8.88,8.91,18544.0
2010-06-28,9.12,9.24,8.88,9.24,35808.0
2010-06-29,8.85,9.09,8.7,9.09,32508.0
2010-06-30,8.91,9.0,8.46,8.91,35634.0
2010-07-01,8.82,8.82,7.7,8.31,53802.0
2010-07-02,8.25,8.67,7.71,7.83,46183.0
2010-07-05,,,,7.83,0.0
2010-07-06,7.8,8.1,7.5,7.6,55460.0
2010-07-07,7.59,7.59,7.11,7.38,51385.0
2010-07-08,7.41,7.71,7.41,7.53,15852.0
2010-07-09,7.5,8.37,7.5,8.07,22946.0
2010-07-12,8.13,8.22,7.71,7.77,14194.0
2010-07-13,7.83,8.1,7.71,8.07,11327.0
2010-07-14,8.16,8.16,7.86,7.98,9967.0
2010-07-15,8.07,8.16,7.8,7.86,5901.0
2010-07-16,7.86,7.89,7.32,7.44,24415.0
2010-07-19,7.56,7.62,7.38,7.5,11320.0
2010-07-20,7.47,7.62,7.41,7.59,3723.0
2010-07-21,7.74,8.04,7.53,7.71,11616.0
2010-07-22,7.74,8.22,7.74,8.16,14387.0
2010-07-23,8.22,8.22,8.05,8.16,11341.0
2010-07-26,8.1,8.16,7.89,8.04,5755.0
2010-07-27,8.22,8.37,8.1,8.16,12470.0
2010-07-28,7.92,7.92,7.74,7.74,18621.0
2010-07-29,7.86,7.92,7.59,7.83,12293.0
2010-07-30,7.65,7.95,7.65,7.95,8018.0
2010-08-02,7.89,8.16,7.82,8.01,27879.0
2010-08-03,7.95,8.22,7.86,8.22,12377.0
2010-08-04,8.34,8.34,7.89,8.19,5940.0
2010-08-05,8.04,8.1,7.74,7.8,8157.0
2010-08-06,7.8,7.95,7.53,7.77,10771.0
2010-08-09,7.83,8.07,7.74,8.07,18895.0
2010-08-10,7.95,8.55,7.65,8.46,13778.0
2010-08-11,8.52,8.52,7.71,8.4,17188.0
2010-08-12,8.37,8.37,7.98,8.25,8110.0
2010-08-13,8.7,8.88,8.13,8.52,35555.0
2010-08-16,8.1,8.4,7.83,8.4,27452.0
2010-08-17,9.3,9.42,8.88,9.09,134916.0
2010-08-18,9.0,9.09,8.64,8.7,31064.0
2010-08-19,8.7,8.7,8.4,8.52,18274.0
2010-08-20,8.64,8.64,8.28,8.28,16274.0
2010-08-23,8.28,8.67,8.28,8.4,17318.0
2010-08-24,8.28,8.28,7.86,8.07,23032.0
2010-08-25,7.86,7.86,7.65,7.83,22440.0
2010-08-26,7.71,7.89,7.53,7.53,19830.0
2010-08-27,7.53,7.92,7.53,7.92,11976.0
2010-08-30,7.92,8.04,7.41,7.41,20556.0
2010-08-31,7.35,7.5,7.2,7.38,24305.0
2010-09-01,7.5,7.5,7.02,7.05,49691.0
2010-09-02,7.14,7.35,7.05,7.35,14430.0
2010-09-03,7.2,7.83,7.08,7.65,37080.0
2010-09-06,,,,7.65,0.0
2010-09-07,7.77,7.8,7.26,7.35,25015.0
2010-09-08,7.47,7.56,7.26,7.56,8065.0
2010-09-09,7.59,7.71,7.2,7.29,11692.0
2010-09-10,7.38,7.38,7.08,7.11,18914.0
2010-09-13,7.29,7.8,7.08,7.68,56951.0
2010-09-14,7.8,7.8,7.35,7.5,18258.0
2010-09-15,7.44,7.44,6.96,7.05,57610.0
2010-09-16,6.99,7.26,6.96,6.96,23357.0
2010-09-17,6.96,7.38,6.96,7.08,33145.0
2010-09-20,7.05,7.26,6.96,6.99,20206.0
2010-09-21,6.96,7.23,6.96,7.11,36030.0
2010-09-22,7.05,7.29,6.99,7.14,39735.0
2010-09-23,7.02,7.59,6.96,7.56,83337.0
2010-09-24,7.65,8.04,7.38,7.68,48243.0
2010-09-27,7.68,7.77,7.41,7.68,9840.0
2010-09-28,7.71,8.28,7.53,8.13,48695.0
2010-09-29,7.98,8.49,7.56,8.31,37617.0
2010-09-30,7.98,8.64,7.98,8.43,21837.0
2010-10-01,8.34,8.53,8.25,8.53,21117.0
