Date,Open,High,Low,Close,Volume
2005-01-03,12.46,12.46,11.8,11.99,57010.0
2005-01-04,12.2,12.25,11.0,11.47,113281.0
2005-01-05,11.36,11.85,11.08,11.4,52645.0
2005-01-06,11.45,11.55,11.11,11.42,38578.0
2005-01-07,11.36,11.8,11.36,11.52,41545.0
2005-01-10,12.17,12.17,9.86,9.96,271395.0
2005-01-11,9.89,10.04,9.01,9.2,171062.0
2005-01-12,9.22,9.91,8.8,9.9,132506.0
2005-01-13,10.1,10.25,9.55,9.69,98936.0
2005-01-14,11.61,12.17,10.4,10.69,694715.0
2005-01-18,10.94,10.94,10.5,10.65,56478.0
2005-01-19,10.51,10.94,10.1,10.35,81961.0
2005-01-20,10.16,10.57,10.1,10.45,62999.0
2005-01-21,10.84,10.85,10.1,10.18,30826.0
2005-01-24,10.06,10.18,9.64,9.77,33287.0
2005-01-25,9.94,10.17,9.64,10.16,32871.0
2005-01-26,10.68,10.68,9.81,9.95,25104.0
2005-01-27,10.2,10.2,9.73,9.79,18790.0
2005-01-28,9.65,9.99,9.65,9.83,23081.0
2005-01-31,9.75,10.25,9.75,10.25,50846.0
2005-02-01,10.25,10.53,10.01,10.03,23077.0
2005-02-02,10.01,10.6,9.72,9.89,104161.0
2005-02-03,10.13,10.24,9.85,9.98,38420.0
2005-02-04,9.86,11.02,9.85,10.49,55520.0
2005-02-07,10.5,10.59,10.12,10.18,30829.0
2005-02-08,10.01,10.44,9.81,9.82,80073.0
2005-02-09,9.82,10.35,9.73,9.83,25995.0
2005-02-10,9.84,9.87,9.58,9.58,41453.0
2005-02-11,9.25,9.55,9.07,9.41,51174.0
2005-02-14,9.45,9.45,9.13,9.25,28069.0
2005-02-15,9.17,10.19,9.15,9.57,47970.0
2005-02-16,9.78,10.19,9.5,9.8,36949.0
2005-02-17,9.2,9.95,9.2,9.61,12510.0
2005-02-18,9.31,9.68,9.31,9.38,10056.0
2005-02-22,9.23,9.4,9.19,9.27,25048.0
2005-02-23,9.27,9.29,9.2,9.23,11419.0
2005-02-24,9.24,9.37,9.2,9.25,16599.0
2005-02-25,9.21,9.45,9.21,9.43,14400.0
2005-02-28,9.21,9.45,9.21,9.29,5935.0
2005-03-01,9.3,9.48,9.3,9.44,19275.0
2005-03-02,9.17,10.9,9.17,10.43,325291.0
2005-03-03,10.16,10.74,9.57,9.98,91593.0
2005-03-04,9.81,10.71,9.81,10.24,64691.0
2005-03-07,11.46,11.46,10.2,11.2,113652.0
2005-03-08,11.5,11.5,10.37,10.45,49366.0
2005-03-09,10.3,10.69,10.3,10.34,38493.0
2005-03-10,10.31,10.55,10.21,10.25,10299.0
2005-03-11,10.75,10.75,9.77,9.95,33810.0
2005-03-14,9.95,9.99,9.75,9.94,21573.0
2005-03-15,9.81,10.47,9.5,9.72,30516.0
2005-03-16,9.75,9.75,9.5,9.65,17685.0
2005-03-17,9.32,9.81,9.32,9.6,16187.0
2005-03-18,9.6,9.85,9.1,9.2,96665.0
2005-03-21,9.2,9.39,8.89,8.99,78338.0
2005-03-22,9.36,9.36,9.05,9.07,25266.0
2005-03-23,8.91,9.13,8.91,8.96,23515.0
2005-03-24,8.85,9.09,8.85,8.92,17579.0
2005-03-28,8.82,9.05,8.81,8.84,21026.0
2005-03-29,9.0,9.0,8.75,8.79,14347.0
2005-03-30,8.94,9.58,8.94,9.25,48163.0
2005-03-31,8.85,10.21,8.52,9.11,171653.0
2005-04-01,8.86,9.8,8.6,8.65,55858.0
2005-04-04,8.74,8.84,8.61,8.66,19084.0
2005-04-05,8.65,8.92,8.63,8.84,21415.0
2005-04-06,8.9,8.9,8.53,8.61,44290.0
2005-04-07,8.54,8.85,8.5,8.7,21639.0
2005-04-08,8.68,8.69,8.54,8.59,11859.0
2005-04-11,8.52,8.59,8.47,8.51,4765.0
2005-04-12,8.45,8.5,8.15,8.32,20614.0
2005-04-13,8.29,8.29,7.35,7.55,84635.0
2005-04-14,7.35,7.97,7.2,7.41,42219.0
2005-04-15,6.45,7.46,6.45,6.72,66133.0
2005-04-18,6.65,6.79,6.26,6.39,48109.0
2005-04-19,6.7,6.7,6.14,6.45,31986.0
2005-04-20,6.7,6.8,6.25,6.26,38946.0
2005-04-21,6.26,6.7,6.26,6.62,19242.0
2005-04-22,6.8,7.66,6.25,6.8,131308.0
2005-04-25,6.96,7.85,6.96,7.35,75907.0
2005-04-26,7.73,8.07,7.25,7.78,85396.0
2005-04-27,7.53,8.22,7.37,7.76,21238.0
2005-04-28,8.12,8.12,6.77,7.09,85102.0
2005-04-29,7.5,7.89,6.75,6.94,14906.0
2005-05-02,6.76,7.1,6.51,7.1,54726.0
2005-05-03,6.73,7.33,6.73,7.03,23323.0
2005-05-04,7.09,7.25,6.93,6.95,19922.0
2005-05-05,6.9,7.15,6.66,6.73,57486.0
2005-05-06,6.8,6.84,6.51,6.71,18921.0
2005-05-09,6.85,6.88,6.59,6.68,10930.0
2005-05-10,6.5,6.75,6.5,6.59,6863.0
2005-05-11,6.5,7.0,6.5,6.55,30019.0
2005-05-12,6.64,6.64,6.31,6.33,18900.0
2005-05-13,6.59,6.59,6.39,6.4,13044.0
2005-05-16,6.97,6.97,6.42,6.6,12633.0
2005-05-17,6.46,6.58,6.45,6.57,3529.0
2005-05-18,6.35,6.93,6.35,6.73,28085.0
2005-05-19,6.97,7.01,6.62,6.62,21860.0
2005-05-20,6.61,6.68,6.56,6.6,14355.0
2005-05-23,6.56,6.83,6.43,6.43,17565.0
2005-05-24,6.5,6.66,6.43,6.49,14649.0
2005-05-25,6.9,6.9,6.47,6.55,7400.0
2005-05-26,6.79,6.79,6.53,6.54,30515.0
2005-05-27,6.6,6.6,6.45,6.52,14118.0
2005-05-31,6.59,6.83,6.38,6.38,25590.0
2005-06-01,6.38,6.72,6.38,6.69,19015.0
2005-06-02,6.61,6.61,6.49,6.49,11450.0
2005-06-03,6.38,8.12,6.38,7.89,210306.0
2005-06-06,7.89,8.21,7.4,7.53,89239.0
2005-06-07,7.98,7.98,7.2,7.2,37055.0
2005-06-08,7.15,7.49,7.0,7.0,43606.0
2005-06-09,7.18,7.18,7.0,7.03,13500.0
2005-06-10,7.1,7.24,7.03,7.12,18775.0
2005-06-13,7.13,7.36,7.07,7.08,8712.0
2005-06-14,7.09,7.14,6.84,7.09,29733.0
2005-06-15,7.1,7.14,6.94,6.96,13755.0
2005-06-16,7.34,7.34,6.96,6.96,14642.0
2005-06-17,6.96,7.2,6.96,6.98,9000.0
2005-06-20,7.2,7.2,7.0,7.16,19831.0
2005-06-21,7.25,7.25,7.01,7.2,22800.0
2005-06-22,7.63,7.63,7.01,7.04,19830.0
2005-06-23,7.19,7.19,6.66,6.83,26742.0
2005-06-24,6.66,6.93,6.63,6.73,24739.0
2005-06-27,6.61,6.71,6.52,6.7,35877.0
2005-06-28,6.8,6.94,6.75,6.83,12351.0
2005-06-29,6.85,6.85,6.56,6.57,14214.0
2005-06-30,6.8,6.8,6.57,6.75,10005.0
2005-07-01,6.77,6.8,6.76,6.76,2800.0
2005-07-05,6.54,6.83,6.53,6.73,7588.0
2005-07-06,6.75,6.9,6.75,6.88,18206.0
2005-07-07,6.61,6.93,6.5,6.77,12583.0
2005-07-08,6.78,7.29,6.78,7.18,61541.0
2005-07-11,7.2,7.33,7.0,7.14,30383.0
2005-07-12,7.04,7.32,7.04,7.25,14592.0
2005-07-13,7.03,7.25,7.03,7.18,10105.0
2005-07-14,7.1,7.22,6.95,6.95,12810.0
2005-07-15,7.01,7.14,6.89,6.97,14622.0
2005-07-18,6.99,6.99,6.7,6.76,17000.0
2005-07-19,6.8,6.83,6.75,6.77,13244.0
2005-07-20,6.75,6.96,6.75,6.75,12430.0
2005-07-21,6.75,7.85,6.74,6.96,51207.0
2005-07-22,7.0,7.21,6.99,7.21,21496.0
2005-07-25,7.62,7.69,6.85,7.17,37288.0
2005-07-26,7.17,7.17,6.77,7.04,15050.0
2005-07-27,6.85,7.15,6.78,6.79,23899.0
2005-07-28,6.9,6.96,6.76,6.78,10130.0
2005-07-29,6.57,6.82,6.57,6.78,7655.0
2005-08-01,6.77,6.77,6.5,6.51,45355.0
2005-08-02,6.53,6.94,6.53,6.94,36017.0
2005-08-03,7.0,7.03,6.69,6.82,21339.0
2005-08-04,6.85,6.85,6.71,6.79,4750.0
2005-08-05,6.8,6.9,6.7,6.71,8410.0
2005-08-08,6.8,6.8,6.55,6.55,10187.0
2005-08-09,6.6,6.6,6.0,6.33,59648.0
2005-08-10,6.5,6.5,6.3,6.3,16222.0
2005-08-11,6.01,6.13,5.88,6.03,23443.0
2005-08-12,5.88,5.96,5.4,5.6,64884.0
2005-08-15,5.8,5.8,5.6,5.63,16912.0
2005-08-16,5.63,5.63,5.5,5.58,11441.0
2005-08-17,5.47,5.6,5.4,5.49,11184.0
2005-08-18,5.5,5.61,5.5,5.52,4540.0
2005-08-19,5.55,5.55,5.06,5.15,39893.0
2005-08-22,5.49,5.49,5.05,5.07,23120.0
2005-08-23,5.04,5.1,4.75,5.06,26763.0
2005-08-24,4.98,5.09,4.83,5.03,14919.0
2005-08-25,5.0,5.16,5.0,5.05,19109.0
2005-08-26,5.19,5.19,5.01,5.17,4500.0
2005-08-29,4.95,5.11,4.92,5.01,21409.0
2005-08-30,5.0,5.05,4.97,5.02,4601.0
2005-08-31,5.1,5.1,5.04,5.09,4733.0
2005-09-01,5.15,5.15,4.87,4.99,16508.0
2005-09-02,5.03,5.06,4.96,5.0,10625.0
2005-09-06,5.02,5.09,5.02,5.07,6090.0
2005-09-07,5.0,5.04,4.92,4.94,20705.0
2005-09-08,4.95,4.95,4.8,4.83,14464.0
2005-09-09,4.79,5.05,4.79,4.94,18979.0
2005-09-12,4.99,5.0,4.98,4.98,4083.0
2005-09-13,4.93,4.93,4.81,4.84,6300.0
2005-09-14,4.85,4.86,4.51,4.67,34283.0
2005-09-15,4.6,4.61,4.25,4.43,36305.0
2005-09-16,4.31,4.46,4.3,4.42,22325.0
2005-09-19,4.48,4.48,4.13,4.27,38170.0
2005-09-20,4.27,4.43,4.26,4.39,11792.0
2005-09-21,4.5,4.5,4.1,4.2,16482.0
2005-09-22,4.56,4.56,4.18,4.2,15525.0
2005-09-23,4.43,4.43,4.26,4.26,5210.0
2005-09-26,4.27,4.41,4.26,4.27,15137.0
2005-09-27,4.45,4.48,4.22,4.22,16080.0
2005-09-28,4.27,4.4,4.18,4.29,7830.0
2005-09-29,4.3,4.64,4.2,4.48,13548.0
2005-09-30,4.78,4.94,4.51,4.9,25509.0
2005-10-03,4.95,5.48,4.95,5.39,55815.0
2005-10-04,5.39,5.88,5.39,5.66,48194.0
2005-10-05,5.9,5.9,5.2,5.2,21716.0
2005-10-06,5.06,5.06,4.77,4.84,25642.0
2005-10-07,4.84,4.85,4.82,4.85,3900.0
2005-10-10,4.83,4.83,4.5,4.68,10617.0
2005-10-11,4.54,4.66,4.54,4.56,5199.0
2005-10-12,4.5,4.55,4.38,4.45,5503.0
2005-10-13,4.35,4.64,4.35,4.51,13080.0
2005-10-14,4.55,4.59,4.55,4.59,800.0
2005-10-17,4.69,5.03,4.69,4.82,9011.0
2005-10-18,5.15,5.15,4.61,4.61,15144.0
2005-10-19,4.62,4.67,4.62,4.64,5000.0
2005-10-20,4.79,4.79,4.66,4.67,5825.0
2005-10-21,4.61,4.61,4.27,4.39,9200.0
2005-10-24,4.6,4.6,4.39,4.42,4502.0
2005-10-25,4.4,4.45,4.27,4.3,5530.0
2005-10-26,4.28,4.6,4.28,4.58,6648.0
2005-10-27,4.52,4.52,4.35,4.35,1700.0
2005-10-28,4.31,4.35,4.31,4.35,3784.0
2005-10-31,4.3,4.54,4.3,4.41,1949.0
2005-11-01,4.51,4.59,4.5,4.5,1250.0
2005-11-02,4.38,4.44,4.37,4.43,8050.0
2005-11-03,4.58,4.58,4.45,4.51,2677.0
2005-11-04,4.58,4.79,4.57,4.71,16699.0
2005-11-07,4.84,4.84,4.49,4.54,7407.0
2005-11-08,4.75,5.08,4.75,4.9,24682.0
2005-11-09,4.62,4.96,4.62,4.89,3820.0
2005-11-10,4.9,4.99,4.71,4.82,6222.0
2005-11-11,4.7,4.7,4.7,4.7,1400.0
2005-11-14,4.7,4.7,4.52,4.52,8700.0
2005-11-15,4.75,5.35,4.63,4.72,26810.0
2005-11-16,4.59,5.03,4.59,5.0,4571.0
2005-11-17,5.05,5.58,5.0,5.21,36991.0
2005-11-18,5.73,6.25,5.35,6.12,137211.0
2005-11-21,6.7,8.65,6.42,8.23,951616.0
2005-11-22,8.5,10.0,8.15,9.47,1077471.0
2005-11-23,9.57,9.75,8.51,8.66,378777.0
2005-11-25,8.07,8.61,8.07,8.22,118886.0
2005-11-28,8.19,8.75,7.83,7.9,205740.0
2005-11-29,7.84,7.93,6.85,7.05,346684.0
2005-11-30,6.98,7.32,6.66,6.91,181873.0
2005-12-01,7.17,7.7,6.96,7.61,375122.0
2005-12-02,7.61,8.0,7.16,7.27,160416.0
2005-12-05,8.66,8.66,7.68,7.98,370948.0
2005-12-06,7.99,8.34,7.54,7.85,154951.0
2005-12-07,7.77,8.0,7.71,7.79,76636.0
2005-12-08,7.84,7.9,7.39,7.57,92829.0
2005-12-09,7.82,7.83,7.35,7.48,41742.0
2005-12-12,7.4,7.95,7.4,7.85,64600.0
2005-12-13,7.9,7.92,7.52,7.59,35538.0
2005-12-14,7.56,7.74,7.25,7.41,52928.0
2005-12-15,7.69,7.69,7.25,7.31,20976.0
2005-12-16,7.33,7.36,7.01,7.05,24680.0
2005-12-19,6.86,7.0,6.45,6.68,75140.0
2005-12-20,6.66,6.69,6.35,6.69,41692.0
2005-12-21,6.6,7.23,6.6,7.14,57435.0
2005-12-22,7.01,7.4,7.01,7.07,33927.0
2005-12-23,7.21,7.21,6.9,7.11,26141.0
2005-12-27,7.2,7.21,6.99,6.99,17782.0
2005-12-28,6.92,6.92,6.66,6.71,23437.0
2005-12-29,6.9,7.15,6.66,6.89,57132.0
2005-12-30,7.18,7.18,6.75,6.8,43526.0
2006-01-03,6.64,6.81,6.6,6.69,23041.0
2006-01-04,6.6,6.64,6.5,6.57,33825.0
2006-01-05,6.56,7.19,6.56,7.19,81373.0
2006-01-06,7.2,7.75,7.06,7.63,133647.0
2006-01-09,7.65,7.93,7.41,7.73,53903.0
2006-01-10,7.99,7.99,7.56,7.76,42583.0
2006-01-11,7.7,7.94,7.63,7.66,23550.0
2006-01-12,7.5,7.58,7.2,7.2,25663.0
2006-01-13,7.07,7.16,7.07,7.15,11670.0
2006-01-17,6.92,7.14,6.73,7.0,39867.0
2006-01-18,6.69,6.93,6.66,6.69,32752.0
2006-01-19,6.9,7.1,6.81,7.06,26365.0
2006-01-20,7.15,7.18,6.97,7.0,20799.0
2006-01-23,6.9,7.0,6.84,6.85,17364.0
2006-01-24,6.9,7.19,6.81,6.86,16830.0
2006-01-25,6.83,6.88,6.7,6.8,23702.0
2006-01-26,6.79,7.94,6.79,7.51,114429.0
2006-01-27,7.49,7.49,7.0,7.15,51059.0
2006-01-30,7.4,7.4,7.02,7.07,20766.0
2006-01-31,7.58,7.58,7.1,7.2,18440.0
