Date,Open,High,Low,Close,Volume
2009-11-02,74.4,78.0,72.24,75.6,1130.0
2009-11-03,77.52,79.68,75.0,78.0,3565.0
2009-11-04,78.0,78.12,75.6,76.2,2242.0
2009-11-05,76.44,76.8,72.36,72.36,2091.0
2009-11-06,72.0,74.07,69.12,72.24,3240.0
2009-11-09,74.28,79.8,72.96,78.0,3232.0
2009-11-10,78.0,86.52,74.4,77.04,3515.0
2009-11-11,77.04,79.2,76.2,79.2,414.0
2009-11-12,80.28,80.4,77.4,78.15,788.0
2009-11-13,78.0,79.2,77.76,78.12,1737.0
2009-11-16,77.76,77.76,74.4,74.64,4715.0
2009-11-17,72.6,72.6,60.48,71.64,9733.0
2009-11-18,71.76,71.76,64.38,65.04,2552.0
2009-11-19,64.8,64.8,57.0,59.98,2842.0
2009-11-20,59.88,61.2,57.72,60.0,2976.0
2009-11-23,60.6,66.48,60.6,66.0,2637.0
2009-11-24,67.56,67.68,64.92,65.4,1738.0
2009-11-25,67.2,68.4,66.6,66.6,1621.0
2009-11-27,63.72,66.24,62.88,66.24,913.0
2009-11-30,66.0,66.0,64.38,66.0,1233.0
2009-12-01,67.08,67.92,65.4,66.96,1396.0
2009-12-02,66.0,66.0,64.2,64.2,2090.0
2009-12-03,66.0,66.0,62.88,62.88,342.0
2009-12-04,65.28,65.28,60.12,62.88,1699.0
2009-12-07,62.4,62.4,60.0,62.16,2688.0
2009-12-08,60.96,66.0,60.0,66.0,2613.0
2009-12-09,66.0,66.0,60.6,60.6,1314.0
2009-12-10,61.44,61.44,60.36,60.36,908.0
2009-12-11,60.36,61.2,60.36,60.48,1246.0
2009-12-14,61.2,61.2,60.36,60.84,1365.0
2009-12-15,60.36,61.08,60.0,60.36,742.0
2009-12-16,60.0,60.0,55.68,55.68,3185.0
2009-12-17,55.32,57.24,55.32,56.4,500.0
2009-12-18,55.92,55.92,50.64,55.2,3664.0
2009-12-21,53.4,56.64,52.44,54.0,1635.0
2009-12-22,50.52,53.64,50.52,52.32,2567.0
2009-12-23,52.32,52.8,50.4,52.56,2212.0
2009-12-24,51.24,54.0,51.24,54.0,1454.0
2009-12-25,,,,54.0,0.0
2009-12-28,60.0,62.4,57.48,59.52,4657.0
2009-12-29,58.92,70.8,58.8,69.24,8216.0
2009-12-30,70.8,75.0,63.6,65.28,9287.0
2009-12-31,69.24,69.96,59.16,59.76,12114.0
2010-01-01,,,,59.76,0.0
2010-01-04,81.48,81.48,64.56,71.4,7079.0
2010-01-05,77.4,90.84,76.98,89.76,36775.0
2010-01-06,89.76,91.2,78.12,89.4,8536.0
2010-01-07,90.96,90.96,84.84,87.24,8186.0
2010-01-08,90.0,93.0,84.96,85.2,5866.0
2010-01-11,87.6,90.0,84.0,87.36,3696.0
2010-01-12,90.0,90.0,82.2,87.12,2859.0
2010-01-13,85.8,86.02,79.2,83.33,3282.0
2010-01-14,82.44,85.2,81.0,83.4,1058.0
2010-01-15,84.6,84.6,82.82,82.92,2997.0
2010-01-18,,,,82.92,0.0
2010-01-19,89.88,90.0,84.6,85.2,811.0
2010-01-20,83.52,83.52,69.0,76.56,12880.0
2010-01-21,80.4,80.4,70.29,70.8,3374.0
2010-01-22,69.96,69.96,63.24,64.56,4500.0
2010-01-25,65.76,84.0,65.76,73.68,6007.0
2010-01-26,74.4,78.48,69.0,70.56,1390.0
2010-01-27,69.72,72.0,66.0,67.8,2550.0
2010-01-28,68.64,68.64,63.96,66.36,2972.0
2010-01-29,72.0,72.0,63.48,63.6,2492.0
2010-02-01,63.6,68.34,61.2,61.56,3438.0
2010-02-02,63.06,64.92,60.12,64.2,2243.0
2010-02-03,65.28,67.74,64.2,64.68,2026.0
2010-02-04,61.56,66.6,54.0,54.24,7257.0
2010-02-05,66.6,66.6,48.12,53.4,4356.0
2010-02-08,56.4,56.4,54.0,54.48,947.0
2010-02-09,57.6,74.4,52.2,61.8,34466.0
2010-02-10,63.48,65.88,58.8,60.0,17639.0
2010-02-11,61.08,61.44,57.0,61.2,8607.0
