Date,Open,High,Low,Close,Volume
2009-06-30,23.7,24.78,23.4,24.78,2575.0
2009-07-01,24.3,25.2,23.94,24.24,9421.0
2009-07-02,23.4,24.06,22.2,24.0,4588.0
2009-07-03,,,,24.0,0.0
2009-07-06,24.0,24.0,21.6,22.8,13001.0
2009-07-07,22.5,23.4,21.72,23.28,2333.0
2009-07-08,22.8,22.8,21.0,22.5,950.0
2009-07-09,21.9,22.8,21.6,22.4,1518.0
2009-07-10,22.5,23.4,22.2,23.4,1926.0
2009-07-13,22.8,23.94,22.8,23.94,691.0
2009-07-14,22.5,23.94,22.5,23.94,167.0
2009-07-15,22.8,23.94,22.5,22.8,700.0
2009-07-16,23.16,24.0,22.8,24.0,483.0
2009-07-17,22.2,24.0,18.0,24.0,675.0
2009-07-20,22.5,24.0,22.5,24.0,692.0
2009-07-21,24.0,24.0,23.94,23.94,1322.0
2009-07-22,22.8,22.8,22.8,22.8,167.0
2009-07-23,22.2,23.7,22.2,23.4,2200.0
2009-07-24,23.4,23.46,22.86,22.86,2475.0
2009-07-27,23.88,24.0,22.56,23.4,467.0
2009-07-28,23.4,23.94,22.5,23.76,914.0
2009-07-29,23.64,23.64,22.5,23.4,1357.0
2009-07-30,22.26,23.34,21.6,23.34,3368.0
2009-07-31,23.58,23.58,22.56,23.4,1442.0
2009-08-03,23.22,23.22,22.8,23.1,692.0
2009-08-04,22.26,23.22,22.2,23.04,870.0
2009-08-05,22.8,23.1,22.5,23.1,308.0
2009-08-06,,,,23.1,0.0
2009-08-07,22.5,24.0,22.2,23.46,2103.0
2009-08-10,23.64,24.0,23.64,24.0,350.0
2009-08-11,24.0,24.0,23.4,23.88,572.0
2009-08-12,23.4,25.5,23.4,24.36,9698.0
2009-08-13,25.02,25.08,22.2,22.8,5308.0
2009-08-14,23.7,24.3,22.68,23.14,2567.0
2009-08-17,23.16,23.16,16.26,20.82,5907.0
2009-08-18,23.4,23.4,21.0,21.0,625.0
2009-08-19,21.18,21.54,19.8,21.0,1252.0
2009-08-20,20.46,21.0,19.8,21.0,960.0
2009-08-21,21.0,21.0,21.0,21.0,50.0
2009-08-24,20.4,20.98,19.2,20.64,1894.0
2009-08-25,23.04,23.04,21.84,21.84,650.0
2009-08-26,22.74,22.74,22.74,22.74,17.0
2009-08-27,22.98,22.98,22.98,22.98,50.0
