Date,Open,High,Low,Close,Volume
2009-12-02,10.0,10.07,9.34,9.55,97258.0
2009-12-03,9.7,9.94,9.09,9.3,49681.0
2009-12-04,9.15,9.69,9.03,9.06,53034.0
2009-12-07,9.59,9.59,9.1,9.3,48357.0
2009-12-08,9.45,9.45,8.86,9.1,75557.0
2009-12-09,9.0,9.25,8.75,9.25,142528.0
2009-12-10,9.1,9.1,8.94,8.97,18054.0
2009-12-11,9.05,9.43,8.85,9.2,58337.0
2009-12-14,9.48,10.77,9.48,10.2,380000.0
2009-12-15,10.18,10.43,9.9,9.95,244169.0
2009-12-16,10.38,10.4,9.7,9.8,111249.0
2009-12-17,10.15,10.24,9.8,10.1,451890.0
2009-12-18,10.4,10.8,10.16,10.52,142148.0
2009-12-21,10.9,11.6,10.9,11.6,198200.0
2009-12-22,11.6,11.95,11.3,11.3,122044.0
2009-12-23,11.45,11.94,11.4,11.75,67386.0
2009-12-24,11.87,12.17,11.8,12.06,58742.0
2009-12-25,,,,12.06,0.0
2009-12-28,12.29,12.49,11.0,11.2,154980.0
2009-12-29,11.12,11.45,10.92,11.45,156869.0
2009-12-30,11.57,12.05,11.37,12.05,155927.0
2009-12-31,12.13,12.33,11.9,12.08,112213.0
2010-01-01,,,,12.08,0.0
2010-01-04,12.16,12.8,12.06,12.8,139343.0
2010-01-05,12.96,13.09,12.89,13.0,141969.0
2010-01-06,13.02,13.02,12.25,12.6,187673.0
2010-01-07,12.7,12.9,12.6,12.8,137726.0
2010-01-08,13.0,13.04,12.66,12.92,57535.0
2010-01-11,13.1,13.7,13.1,13.48,251873.0
2010-01-12,13.5,13.5,12.75,12.89,79692.0
2010-01-13,12.88,13.18,12.63,12.75,147028.0
2010-01-14,12.75,13.19,12.63,12.97,92753.0
2010-01-15,13.16,13.17,12.45,12.56,116269.0
2010-01-18,,,,12.56,0.0
2010-01-19,12.6,12.8,11.75,12.24,183591.0
2010-01-20,12.05,12.1,11.5,11.79,287643.0
2010-01-21,11.8,12.0,10.2,10.99,366815.0
2010-01-22,11.49,11.5,10.73,11.04,158967.0
2010-01-25,10.86,11.79,10.8,11.76,108909.0
2010-01-26,11.66,11.7,8.44,8.71,1004690.0
2010-01-27,8.5,10.15,8.13,10.06,529179.0
2010-01-28,10.14,10.3,8.62,9.8,332952.0
2010-01-29,9.87,10.0,9.21,9.91,122051.0
2010-02-01,10.0,10.0,9.63,9.82,152230.0
2010-02-02,10.0,10.3,9.91,10.19,220759.0
2010-02-03,10.27,10.8,10.2,10.66,84549.0
2010-02-04,10.52,10.58,10.12,10.41,114436.0
2010-02-05,10.39,10.39,9.8,10.02,169650.0
2010-02-08,9.98,9.98,9.51,9.82,61429.0
2010-02-09,9.55,9.7,9.0,9.6,69257.0
2010-02-10,9.55,9.59,9.3,9.5,67686.0
2010-02-11,9.42,9.42,8.9,8.91,134323.0
2010-02-12,8.76,8.92,8.69,8.92,74054.0
2010-02-15,,,,8.92,0.0
2010-02-16,9.0,9.0,7.85,8.02,227482.0
2010-02-17,7.78,7.92,7.5,7.62,201570.0
2010-02-18,7.55,8.19,7.55,8.11,135531.0
2010-02-19,8.19,9.16,7.91,9.12,192856.0
2010-02-22,9.09,9.17,8.8,8.87,53659.0
2010-02-23,8.87,9.07,8.67,9.05,34883.0
2010-02-24,9.08,9.26,8.61,8.74,85098.0
2010-02-25,8.9,9.13,8.77,8.85,117181.0
2010-02-26,9.05,9.48,8.95,9.33,76957.0
2010-03-01,9.39,9.72,9.02,9.54,88174.0
2010-03-02,9.53,9.55,9.2,9.36,55120.0
2010-03-03,9.33,9.8,9.3,9.53,54806.0
2010-03-04,9.6,9.78,9.55,9.7,20236.0
2010-03-05,9.8,9.8,9.54,9.59,71547.0
2010-03-08,9.74,9.75,9.38,9.74,71334.0
2010-03-09,9.8,9.8,9.49,9.8,23950.0
2010-03-10,9.74,9.98,9.54,9.98,33242.0
2010-03-11,9.95,9.99,9.71,9.76,39720.0
2010-03-12,9.75,9.76,9.5,9.57,43681.0
2010-03-15,9.52,9.52,9.07,9.44,60841.0
2010-03-16,9.41,9.62,9.16,9.4,40800.0
2010-03-17,9.42,9.46,9.06,9.3,38621.0
2010-03-18,9.42,9.62,9.11,9.3,37948.0
2010-03-19,9.27,9.46,9.15,9.16,23199.0
2010-03-22,9.03,9.2,8.0,9.17,89267.0
2010-03-23,9.3,9.3,8.91,9.08,31351.0
2010-03-24,10.13,11.38,10.1,11.26,504800.0
2010-03-25,11.37,11.7,10.95,11.35,149880.0
2010-03-26,11.39,12.14,11.39,11.5,128748.0
2010-03-29,11.35,11.59,10.9,11.09,147868.0
2010-03-30,11.09,11.56,11.03,11.35,229980.0
2010-03-31,11.2,11.3,10.95,11.04,147001.0
2010-04-01,11.07,11.3,10.64,10.98,114798.0
2010-04-02,,,,10.98,0.0
2010-04-05,11.3,11.3,10.77,10.95,74234.0
2010-04-06,10.88,11.01,10.51,10.96,59818.0
2010-04-07,11.0,11.1,10.75,11.08,126497.0
