Date,Open,High,Low,Close,Volume
2010-11-03,7.7,8.94,7.7,8.89,63680.0
2010-11-04,9.18,10.1,8.72,9.9,106631.0
2010-11-05,9.4,9.4,8.87,9.05,69441.0
2010-11-08,9.25,9.5,8.5,8.9,60046.0
2010-11-09,8.56,8.86,8.56,8.76,10100.0
2010-11-10,8.8,8.95,8.3,8.93,14696.0
2010-11-11,9.15,9.5,8.93,8.97,52775.0
2010-11-12,8.71,8.71,8.31,8.45,6783.0
2010-11-15,8.7,8.85,8.67,8.75,9430.0
2010-11-16,8.13,8.65,8.13,8.53,5549.0
2010-11-17,8.88,8.88,8.15,8.25,26846.0
2010-11-18,8.8,8.8,8.35,8.45,5667.0
2010-11-19,7.75,7.91,7.75,7.76,536198.0
2010-11-22,7.89,8.1,7.75,7.76,578779.0
2010-11-23,7.94,7.94,7.74,7.74,82125.0
2010-11-24,7.77,7.78,7.51,7.64,41883.0
2010-11-26,7.75,7.77,7.56,7.67,26980.0
2010-11-29,7.62,7.64,7.35,7.56,26028.0
2010-11-30,7.41,7.58,7.11,7.35,42905.0
2010-12-01,7.59,7.59,7.32,7.42,17527.0
2010-12-02,7.5,7.5,7.26,7.4,52759.0
2010-12-03,7.41,7.53,7.32,7.43,18380.0
2010-12-06,7.55,7.62,7.36,7.48,35050.0
2010-12-07,7.69,7.69,6.89,7.34,39492.0
2010-12-08,7.2,7.34,6.86,7.23,18137.0
2010-12-09,7.1,7.32,7.1,7.2,6900.0
2010-12-10,7.2,7.36,6.92,7.24,10000.0
2010-12-13,7.3,7.36,7.1,7.26,38735.0
2010-12-14,7.3,7.34,7.14,7.16,30248.0
2010-12-15,7.3,7.3,7.16,7.23,1878.0
2010-12-16,7.29,7.29,7.18,7.19,6280.0
2010-12-17,7.49,7.63,7.2,7.61,31562.0
2010-12-20,7.66,7.76,7.45,7.45,47950.0
2010-12-21,7.6,7.6,7.25,7.35,22443.0
2010-12-22,7.4,7.4,7.2,7.26,7391.0
2010-12-23,7.47,7.67,7.35,7.43,9457.0
2010-12-27,7.59,7.6,7.37,7.45,5360.0
2010-12-28,7.46,7.8,7.46,7.7,21823.0
2010-12-29,7.7,7.79,7.45,7.7,22963.0
2010-12-30,7.8,7.8,7.51,7.8,50539.0
2010-12-31,7.8,7.91,7.63,7.83,28051.0
2011-01-03,7.9,8.47,7.9,8.07,33948.0
2011-01-04,8.13,8.2,7.85,8.09,13791.0
2011-01-05,8.2,8.45,8.15,8.4,21218.0
2011-01-06,8.47,8.47,8.3,8.38,27394.0
2011-01-07,8.47,8.47,8.3,8.38,8370.0
2011-01-10,8.47,8.48,8.29,8.3,13034.0
2011-01-11,8.4,8.4,7.85,8.0,43663.0
2011-01-12,8.11,8.36,8.08,8.24,44781.0
2011-01-13,8.25,8.25,8.16,8.18,11272.0
2011-01-14,8.27,8.27,7.96,7.96,16665.0
2011-01-18,8.2,8.2,7.83,7.86,23036.0
2011-01-19,7.95,7.95,7.72,7.85,40543.0
2011-01-20,7.71,7.75,7.29,7.58,30759.0
2011-01-21,7.6,7.67,7.43,7.53,27190.0
2011-01-24,7.53,7.7,7.53,7.55,3130.0
2011-01-25,7.53,7.54,7.37,7.48,6970.0
2011-01-26,7.5,7.5,7.34,7.46,8307.0
2011-01-27,7.5,7.7,7.47,7.65,64595.0
2011-01-28,7.61,7.92,7.61,7.91,22975.0
2011-01-31,7.72,7.85,7.6,7.65,13519.0
2011-02-01,7.6,7.85,7.57,7.6,31742.0
2011-02-02,7.6,7.69,7.57,7.68,28550.0
2011-02-03,7.7,7.7,7.45,7.63,56614.0
2011-02-04,7.49,7.53,7.45,7.51,10635.0
2011-02-07,7.51,7.57,7.46,7.56,59322.0
2011-02-08,7.56,7.58,7.52,7.58,22400.0
2011-02-09,7.52,7.55,7.51,7.55,29400.0
2011-02-10,7.48,7.55,7.39,7.54,41004.0
2011-02-11,7.55,7.55,7.35,7.44,21585.0
2011-02-14,7.44,7.52,7.44,7.47,12342.0
2011-02-15,7.46,7.46,7.27,7.3,31077.0
2011-02-16,7.38,7.38,7.24,7.3,7600.0
2011-02-17,7.38,7.38,7.16,7.2,9761.0
2011-02-18,7.43,7.43,7.14,7.26,10550.0
2011-02-22,7.28,7.28,7.13,7.13,7261.0
2011-02-23,7.12,7.2,6.7,7.11,73584.0
2011-02-24,7.12,7.12,6.94,6.94,3865.0
2011-02-25,7.0,7.12,6.93,7.12,40729.0
2011-02-28,7.12,7.46,7.12,7.29,66208.0
2011-03-01,7.43,7.46,7.01,7.05,35063.0
2011-03-02,7.05,7.09,6.89,6.95,7433.0
2011-03-03,6.92,7.2,6.65,6.83,25317.0
2011-03-04,7.06,7.08,6.8,6.85,18870.0
2011-03-07,7.0,7.14,6.8,6.83,18594.0
2011-03-08,6.9,7.05,6.8,6.9,11100.0
2011-03-09,7.12,7.12,6.64,6.93,122484.0
2011-03-10,7.08,7.08,6.63,6.76,75370.0
2011-03-11,6.65,6.69,6.31,6.35,79531.0
2011-03-14,6.55,6.84,6.43,6.67,163565.0
2011-03-15,6.35,6.5,5.88,6.45,81517.0
2011-03-16,6.4,6.66,6.39,6.65,47812.0
2011-03-17,6.6,6.65,6.42,6.42,13898.0
2011-03-18,6.64,6.64,6.31,6.62,39254.0
2011-03-21,6.66,6.66,6.45,6.53,69022.0
2011-03-22,6.32,6.51,5.98,6.27,184148.0
2011-03-23,6.06,6.23,5.52,6.02,79956.0
2011-03-24,6.08,6.08,5.72,5.84,50383.0
2011-03-25,5.93,6.1,5.85,6.0,81673.0
2011-03-28,5.94,5.94,5.55,5.82,164485.0
2011-03-29,5.85,6.14,5.67,6.14,87986.0
2011-03-30,5.9,6.25,5.89,6.25,72202.0
2011-03-31,6.25,6.25,6.1,6.17,44706.0
2011-04-01,6.2,6.2,5.93,6.04,20086.0
2011-04-04,5.97,6.08,5.47,5.61,203188.0
2011-04-05,5.68,5.74,5.45,5.65,78957.0
2011-04-06,5.67,5.67,5.41,5.43,63311.0
2011-04-07,5.47,5.47,5.16,5.23,69288.0
2011-04-08,5.2,5.33,5.15,5.2,44348.0
2011-04-11,5.25,5.25,4.71,4.87,188109.0
2011-04-12,4.87,4.87,4.16,4.38,387186.0
2011-04-13,4.38,4.66,3.96,4.4,233532.0
2011-04-14,4.38,4.61,4.38,4.55,99967.0
2011-04-15,4.5,4.75,4.45,4.72,96474.0
2011-04-18,4.74,4.9,4.7,4.85,60782.0
2011-04-19,5.0,5.58,5.0,5.4,87872.0
2011-04-20,5.83,5.83,5.47,5.79,146331.0
2011-04-21,5.85,5.85,5.37,5.5,160385.0
2011-04-25,5.54,5.57,4.98,5.3,102310.0
2011-04-26,5.27,5.35,4.99,5.16,51342.0
2011-04-27,5.23,5.76,4.9,5.42,88270.0
2011-04-28,5.47,5.52,5.4,5.51,43357.0
2011-04-29,5.66,5.66,5.43,5.5,10133.0
2011-05-02,5.5,5.5,5.35,5.45,21545.0
2011-05-03,5.45,5.45,5.2,5.33,17906.0
2011-05-04,5.21,5.21,5.04,5.14,30530.0
2011-05-05,5.11,5.35,5.11,5.2,18036.0
2011-05-06,5.66,5.66,5.2,5.24,32809.0
2011-05-09,5.51,5.51,5.03,5.1,62564.0
2011-05-10,5.03,5.18,5.0,5.12,24863.0
2011-05-11,5.18,5.2,4.84,4.94,255521.0
2011-05-12,4.99,4.99,4.69,4.75,89312.0
2011-05-13,4.77,4.98,4.71,4.75,183281.0
2011-05-16,4.89,4.89,4.75,4.76,152553.0
2011-05-17,4.8,5.12,4.79,4.95,52264.0
2011-05-18,4.8,5.1,4.75,5.0,50290.0
2011-05-19,4.95,5.16,4.9,5.15,61228.0
2011-05-20,5.16,5.16,5.01,5.12,32946.0
2011-05-23,5.16,5.18,4.96,5.02,35298.0
2011-05-24,5.16,5.17,4.97,5.04,43120.0
2011-05-25,5.02,5.07,4.93,4.95,59256.0
2011-05-26,4.95,4.95,4.77,4.8,36000.0
2011-05-27,4.76,4.9,4.75,4.81,39120.0
2011-05-31,4.92,4.96,4.85,4.95,64437.0
2011-06-01,5.0,5.0,4.78,4.78,15600.0
2011-06-02,4.84,4.84,4.55,4.58,26637.0
2011-06-03,4.57,4.72,4.51,4.55,49198.0
2011-06-06,4.5,4.53,4.25,4.41,21840.0
2011-06-07,4.33,4.38,4.15,4.22,64815.0
2011-06-08,4.23,4.45,4.15,4.34,31447.0
2011-06-09,4.34,4.5,4.13,4.25,85029.0
2011-06-10,4.17,4.2,4.05,4.1,16250.0
2011-06-13,4.3,4.3,3.85,4.04,15288.0
2011-06-14,4.1,4.3,3.95,4.0,46323.0
2011-06-15,4.04,4.13,4.04,4.11,2667.0
2011-06-16,4.07,4.53,3.85,3.91,17574.0
2011-06-17,3.85,4.17,3.8,3.95,43360.0
2011-06-20,3.97,4.02,3.83,3.91,7750.0
2011-06-21,3.86,3.95,3.86,3.94,7372.0
2011-06-22,4.03,4.17,3.9,3.95,45306.0
2011-06-23,3.95,4.16,3.95,4.16,15445.0
2011-06-24,4.16,4.21,4.06,4.21,25981.0
2011-06-27,4.26,4.6,4.22,4.54,45320.0
2011-06-28,4.6,4.63,4.35,4.4,12176.0
2011-06-29,4.4,4.52,4.4,4.4,10585.0
2011-06-30,4.4,4.5,4.4,4.49,12020.0
2011-07-01,4.51,4.63,4.48,4.58,19891.0
2011-07-05,4.79,4.82,4.73,4.82,15838.0
2011-07-06,4.73,5.04,4.71,5.01,46884.0
2011-07-07,5.09,5.45,5.09,5.14,27920.0
2011-07-08,5.16,5.29,5.13,5.15,24551.0
2011-07-11,5.21,5.21,4.9,5.02,15522.0
2011-07-12,5.2,5.2,4.83,5.02,5685.0
2011-07-13,5.01,5.1,4.9,4.96,7060.0
2011-07-14,4.91,5.22,4.91,5.05,38781.0
2011-07-15,5.09,5.09,4.95,5.0,21019.0
2011-07-18,5.03,5.03,4.96,5.0,3425.0
2011-07-19,5.0,5.1,4.8,5.09,69937.0
2011-07-20,5.04,5.04,4.82,4.95,71802.0
2011-07-21,5.09,5.13,5.03,5.06,144852.0
2011-07-22,5.14,5.14,4.98,5.14,42370.0
2011-07-25,5.19,5.35,5.0,5.07,28288.0
2011-07-26,5.24,5.24,5.0,5.13,26702.0
2011-07-27,5.04,5.04,4.9,4.93,20916.0
2011-07-28,4.96,5.08,4.85,4.93,7599.0
2011-07-29,4.95,4.99,4.81,4.85,6118.0
2011-08-01,4.92,4.98,4.47,4.65,57943.0
2011-08-02,4.53,4.52,4.12,4.36,47340.0
2011-08-03,4.4,4.52,4.12,4.37,50046.0
2011-08-04,4.32,4.37,4.2,4.31,34280.0
2011-08-05,4.47,4.47,4.0,4.18,19896.0
2011-08-08,3.86,4.14,3.67,3.86,58119.0
2011-08-09,4.0,4.5,3.84,4.21,34060.0
2011-08-10,4.36,4.36,3.95,4.05,52408.0
2011-08-11,4.76,4.76,3.83,4.24,90996.0
2011-08-12,4.31,4.47,4.02,4.08,10041.0
2011-08-15,4.24,4.24,4.06,4.22,12400.0
2011-08-16,4.18,4.23,4.01,4.13,11544.0
2011-08-17,4.11,4.18,3.98,4.03,7300.0
2011-08-18,4.0,4.0,3.82,3.87,53945.0
2011-08-19,3.72,3.84,3.7,3.76,32354.0
2011-08-22,3.84,3.97,3.77,3.85,19082.0
2011-08-23,3.91,4.0,3.85,3.97,1600.0
2011-08-24,3.86,3.98,3.85,3.96,110380.0
2011-08-25,3.99,3.99,3.79,3.8,15800.0
2011-08-26,3.74,3.78,3.65,3.7,5550.0
