Date,Open,High,Low,Close,Volume
2013-08-13,6.0,7.4,5.99,6.39,326409.0
2013-08-14,6.5,13.48,6.49,12.45,1286364.0
2013-08-15,12.88,19.39,11.4,14.24,1024012.0
2013-08-16,16.2,16.2,9.75,10.27,1496247.0
2013-08-19,10.22,10.65,9.0,9.0,540046.0
2013-08-20,9.1,9.5,8.68,8.75,306510.0
2013-08-21,8.75,10.2,8.52,9.8,508671.0
2013-08-22,10.25,11.37,10.1,10.65,553040.0
2013-08-23,10.81,11.08,9.8,10.35,324235.0
2013-08-26,10.9,10.9,9.7,9.8,157461.0
2013-08-27,11.85,12.76,10.7,11.05,860728.0
2013-08-28,10.97,11.22,10.19,10.88,205799.0
2013-08-29,10.9,10.99,10.21,10.29,111767.0
2013-08-30,10.37,10.7,9.85,10.09,150736.0
2013-09-03,10.01,10.42,9.98,10.12,59558.0
2013-09-04,10.19,10.28,10.0,10.03,57892.0
2013-09-05,10.14,10.14,9.8,9.81,88832.0
2013-09-06,9.95,9.95,9.71,9.82,82848.0
2013-09-09,9.8,9.8,9.25,9.5,95654.0
2013-09-10,9.7,9.87,9.43,9.73,66242.0
2013-09-11,9.67,9.7,9.54,9.58,32295.0
2013-09-12,9.52,9.6,9.14,9.27,39794.0
2013-09-13,9.49,9.49,9.2,9.44,24894.0
2013-09-16,9.58,9.59,9.2,9.2,16750.0
2013-09-17,9.2,9.7,9.11,9.51,31796.0
2013-09-18,9.53,9.62,9.23,9.25,22678.0
2013-09-19,9.2,10.88,9.2,10.78,273894.0
2013-09-20,10.77,10.89,10.06,10.29,112286.0
2013-09-23,10.3,10.3,9.45,9.97,43624.0
2013-09-24,9.6,10.25,9.48,9.7,55763.0
2013-09-25,10.18,10.5,9.77,10.0,41168.0
2013-09-26,10.13,10.28,9.5,9.55,63245.0
2013-09-27,9.59,9.74,9.45,9.46,31744.0
2013-09-30,9.32,9.78,9.32,9.39,38906.0
2013-10-01,9.35,9.54,9.33,9.5,6429.0
2013-10-02,9.49,9.82,9.43,9.67,32648.0
2013-10-03,9.72,9.72,9.38,9.47,13156.0
2013-10-04,9.49,9.51,9.38,9.42,19404.0
2013-10-07,9.45,10.33,9.4,9.88,111084.0
2013-10-08,9.9,10.2,9.25,9.37,76471.0
2013-10-09,9.41,9.53,9.1,9.33,55290.0
2013-10-10,9.4,9.69,9.33,9.48,13403.0
2013-10-11,9.35,9.49,9.3,9.34,18890.0
2013-10-14,9.4,9.45,9.2,9.32,11934.0
2013-10-15,9.31,10.3,9.22,9.95,151864.0
2013-10-16,10.19,12.6,10.05,12.18,751868.0
2013-10-17,12.33,13.24,10.81,10.92,567599.0
2013-10-18,11.04,11.32,10.25,10.8,136154.0
2013-10-21,10.86,10.86,10.0,10.09,180005.0
2013-10-22,10.09,10.52,9.68,9.76,72604.0
2013-10-23,10.0,10.68,9.8,10.44,91674.0
2013-10-24,10.36,10.38,10.0,10.01,53875.0
2013-10-25,10.05,10.18,9.98,10.01,53003.0
2013-10-28,10.03,10.03,9.5,9.56,58958.0
2013-10-29,9.71,9.74,9.5,9.56,30963.0
2013-10-30,9.56,9.8,9.5,9.52,21959.0
2013-10-31,9.8,9.95,9.51,9.75,49800.0
2013-11-01,9.57,9.76,9.5,9.53,35138.0
2013-11-04,9.54,9.9,9.51,9.66,24189.0
2013-11-05,9.72,10.56,9.72,10.11,80957.0
2013-11-06,10.14,10.14,9.7,9.7,14304.0
2013-11-07,9.83,10.09,9.63,9.76,57544.0
2013-11-08,9.75,9.76,9.56,9.56,9373.0
2013-11-11,9.7,9.77,9.59,9.77,20853.0
2013-11-12,9.8,9.83,9.51,9.78,13755.0
2013-11-13,9.63,9.67,9.54,9.67,10627.0
2013-11-14,9.7,9.78,9.55,9.58,21017.0
2013-11-15,9.86,10.64,9.8,9.95,156566.0
2013-11-18,10.18,10.4,9.6,9.6,51046.0
2013-11-19,9.74,9.75,9.35,9.42,34401.0
2013-11-20,9.45,9.54,9.22,9.26,39640.0
2013-11-21,9.25,9.4,8.65,8.97,107950.0
2013-11-22,8.9,9.16,8.9,8.91,23629.0
2013-11-25,8.88,8.88,8.67,8.8,18526.0
2013-11-26,9.0,9.0,8.69,8.83,19411.0
2013-11-27,8.76,9.04,8.7,8.82,6748.0
2013-11-29,8.75,8.83,8.72,8.8,11662.0
2013-12-02,8.72,8.93,8.72,8.72,6900.0
2013-12-03,8.69,8.7,8.3,8.31,28842.0
2013-12-04,8.2,8.2,8.05,8.15,20113.0
2013-12-05,8.09,8.11,8.0,8.06,10489.0
2013-12-06,8.16,8.4,8.06,8.33,29180.0
2013-12-09,8.33,8.82,8.26,8.69,18802.0
2013-12-10,8.61,8.83,8.52,8.68,17412.0
2013-12-11,8.68,8.8,8.52,8.67,3544.0
2013-12-12,8.6,8.78,8.53,8.53,6529.0
2013-12-13,8.58,8.8,8.21,8.48,32206.0
2013-12-16,8.53,8.57,8.2,8.2,10110.0
2013-12-17,8.27,8.45,8.2,8.2,5708.0
2013-12-18,8.35,8.38,8.32,8.33,7416.0
2013-12-19,8.28,8.4,8.08,8.09,23844.0
2013-12-20,8.21,8.22,8.1,8.15,16272.0
2013-12-23,8.3,8.4,8.14,8.4,5920.0
2013-12-24,8.49,8.5,8.21,8.48,2716.0
2013-12-26,8.45,8.47,8.18,8.2,4761.0
2013-12-27,8.15,8.2,8.15,8.16,3953.0
2013-12-30,8.21,8.28,7.7,7.8,29691.0
2013-12-31,7.77,7.92,7.38,7.45,30406.0
2014-01-02,7.45,7.45,7.06,7.37,22905.0
2014-01-03,7.19,8.2,7.19,7.84,35565.0
2014-01-06,8.03,8.45,8.03,8.13,24472.0
2014-01-07,8.16,8.38,8.16,8.32,24193.0
2014-01-08,8.24,8.24,7.4,7.95,52436.0
2014-01-09,7.95,7.95,7.7,7.73,14022.0
2014-01-10,7.6,7.63,7.41,7.45,19714.0
2014-01-13,7.38,7.47,7.2,7.25,21037.0
2014-01-14,7.32,7.32,7.01,7.12,19644.0
2014-01-15,7.15,7.27,7.09,7.2,25507.0
2014-01-16,7.26,7.48,7.24,7.48,18792.0
2014-01-17,7.48,7.48,7.11,7.2,8007.0
2014-01-21,7.31,7.79,7.31,7.69,30186.0
2014-01-22,7.77,8.16,7.6,7.74,36483.0
2014-01-23,7.67,7.83,7.41,7.79,13222.0
2014-01-24,7.67,7.72,7.5,7.54,12121.0
2014-01-27,7.51,7.7,7.5,7.51,11518.0
2014-01-28,7.51,7.51,7.26,7.37,5143.0
2014-01-29,7.3,7.5,7.17,7.2,11617.0
2014-01-30,7.17,7.17,6.9,6.93,42016.0
2014-01-31,6.89,6.99,6.88,6.98,8383.0
2014-02-03,6.94,6.94,6.7,6.73,9520.0
2014-02-04,6.51,6.69,6.51,6.66,9070.0
2014-02-05,6.54,6.54,6.22,6.25,10126.0
2014-02-06,6.2,6.22,6.06,6.07,23301.0
2014-02-07,6.11,6.38,6.02,6.1,16888.0
2014-02-10,6.2,6.74,6.2,6.49,51099.0
2014-02-11,6.5,6.68,6.5,6.53,10581.0
2014-02-12,6.61,6.69,6.4,6.4,16495.0
2014-02-13,6.5,6.62,6.4,6.47,11910.0
2014-02-14,6.5,6.78,6.45,6.66,18210.0
2014-02-18,6.96,6.96,6.5,6.65,23630.0
2014-02-19,6.51,6.51,6.5,6.5,299.0
2014-02-20,6.51,6.6,6.29,6.4,22983.0
2014-02-21,6.5,6.68,6.35,6.68,21459.0
2014-02-24,6.71,6.71,6.41,6.42,6406.0
2014-02-25,6.45,6.47,6.1,6.1,18310.0
2014-02-26,6.1,6.27,6.1,6.22,9916.0
2014-02-27,6.09,6.38,6.09,6.35,13526.0
2014-02-28,6.11,9.63,6.11,8.4,622143.0
2014-03-03,8.28,8.42,7.42,7.61,98815.0
2014-03-04,7.69,7.75,7.13,7.25,63980.0
2014-03-05,7.34,7.61,7.2,7.21,57349.0
2014-03-06,7.26,7.47,6.84,6.98,38491.0
2014-03-07,6.96,7.39,6.95,7.05,53889.0
2014-03-10,7.16,7.16,6.71,6.79,63296.0
2014-03-11,6.79,6.79,6.5,6.54,55030.0
2014-03-12,6.5,6.82,6.3,6.36,94615.0
2014-03-13,6.47,6.65,6.4,6.44,24889.0
2014-03-14,6.52,6.59,6.08,6.42,24665.0
2014-03-17,6.5,6.66,6.33,6.34,19046.0
2014-03-18,6.43,6.45,6.23,6.45,28452.0
2014-03-19,6.4,6.6,6.28,6.3,14434.0
2014-03-20,6.37,6.37,6.15,6.2,5554.0
2014-03-21,6.49,6.49,6.16,6.18,23528.0
2014-03-24,6.25,6.25,6.01,6.13,34151.0
2014-03-25,6.06,6.2,6.06,6.1,6539.0
2014-03-26,6.09,6.1,6.07,6.08,9011.0
2014-03-27,6.07,6.07,5.17,5.91,52206.0
2014-03-28,5.86,5.86,5.51,5.59,21764.0
2014-03-31,5.6,6.23,5.6,5.76,37808.0
2014-04-01,5.85,6.13,5.71,5.88,26348.0
2014-04-02,5.97,6.29,5.94,6.15,26071.0
2014-04-03,6.12,6.13,5.75,5.99,16444.0
2014-04-04,6.01,6.11,5.73,5.73,8363.0
2014-04-07,5.78,5.8,5.37,5.46,26050.0
2014-04-08,5.58,5.68,5.5,5.64,8207.0
2014-04-09,5.58,5.64,5.56,5.6,6291.0
2014-04-10,5.67,5.79,5.5,5.77,7000.0
2014-04-11,5.69,5.8,5.59,5.76,4470.0
2014-04-14,5.83,5.83,5.64,5.64,1712.0
2014-04-15,5.61,5.61,5.4,5.5,15946.0
2014-04-16,5.52,5.6,5.42,5.5,6370.0
2014-04-17,5.4,5.6,5.4,5.4,8682.0
2014-04-21,5.38,5.52,5.38,5.41,8761.0
2014-04-22,5.39,5.39,5.33,5.36,31671.0
2014-04-23,5.36,5.42,5.35,5.36,6549.0
2014-04-24,5.37,5.44,5.36,5.36,1267.0
2014-04-25,5.32,5.5,5.3,5.36,13925.0
2014-04-28,5.18,5.52,5.06,5.52,17150.0
2014-04-29,5.4,5.4,5.24,5.31,1500.0
2014-04-30,5.24,5.53,5.18,5.41,4754.0
2014-05-01,5.48,5.5,5.37,5.44,4766.0
2014-05-02,5.44,5.44,4.79,5.05,29243.0
2014-05-05,4.96,4.96,4.38,4.5,84989.0
2014-05-06,4.3,4.5,4.19,4.2,106448.0
2014-05-07,4.25,4.49,4.19,4.39,84575.0
2014-05-08,3.9,3.94,3.7,3.7,376857.0
2014-05-09,3.73,3.86,3.7,3.85,93283.0
2014-05-12,3.85,4.0,3.81,3.94,43762.0
2014-05-13,3.83,4.05,3.83,3.9,84525.0
2014-05-14,3.87,3.95,3.75,3.88,66438.0
2014-05-15,3.87,3.94,3.8,3.8,78558.0
2014-05-16,3.76,3.85,3.63,3.69,41154.0
2014-05-19,3.63,3.82,3.63,3.77,25244.0
2014-05-20,3.81,3.83,3.7,3.72,22294.0
2014-05-21,3.69,4.04,3.69,3.8,117410.0
2014-05-22,3.82,3.85,3.64,3.66,86187.0
2014-05-23,3.65,4.03,3.63,3.77,205360.0
2014-05-27,3.78,3.78,3.6,3.7,71401.0
2014-05-28,3.7,3.72,3.61,3.64,18985.0
2014-05-29,3.7,3.8,3.56,3.71,50568.0
2014-05-30,3.66,3.7,3.65,3.67,8160.0
2014-06-02,3.66,3.7,3.65,3.66,37614.0
2014-06-03,3.7,3.7,3.57,3.62,61842.0
2014-06-04,3.63,3.86,3.6,3.82,153049.0
2014-06-05,3.84,4.03,3.8,3.82,334087.0
2014-06-06,3.79,3.81,3.63,3.8,46269.0
2014-06-09,3.86,3.9,3.66,3.71,57780.0
