Date,Open,High,Low,Close,Volume
2010-05-05,9.51,10.0,9.24,9.4,2372392.0
2010-05-06,9.5,9.5,9.0,9.38,236108.0
2010-05-07,9.77,9.77,9.0,9.0,245955.0
2010-05-10,9.5,9.5,9.06,9.21,112594.0
2010-05-11,9.25,9.25,8.45,9.0,92550.0
2010-05-12,9.47,9.8,8.97,9.08,86940.0
2010-05-13,9.3,9.3,8.87,9.11,24604.0
2010-05-14,9.22,9.43,8.59,9.11,280100.0
2010-05-17,9.1,9.45,9.05,9.45,132000.0
2010-05-18,9.45,9.45,9.02,9.15,84860.0
2010-05-19,9.19,9.21,8.86,8.89,45600.0
2010-05-20,8.9,9.0,8.45,8.78,23037.0
2010-05-21,8.51,8.77,8.45,8.6,16160.0
2010-05-24,9.0,9.0,8.31,8.31,117775.0
2010-05-25,8.0,8.0,7.52,7.77,33010.0
2010-05-26,7.75,7.75,7.61,7.65,91410.0
2010-05-27,7.57,8.98,7.57,8.13,78858.0
2010-05-28,,,,8.15,0.0
2010-05-31,,,,8.15,0.0
2010-06-01,8.01,8.35,7.99,8.19,54044.0
2010-06-02,7.74,8.43,7.74,8.21,46466.0
2010-06-03,8.15,8.74,8.06,8.7,13600.0
2010-06-04,8.51,8.51,7.98,8.19,53112.0
2010-06-07,8.15,8.15,7.74,7.88,29222.0
2010-06-08,8.15,8.43,7.72,8.0,16089.0
2010-06-09,7.75,8.2,7.61,8.15,27233.0
2010-06-10,8.14,8.15,7.98,8.1,20593.0
2010-06-11,8.15,8.15,7.58,7.76,87760.0
2010-06-14,8.15,8.44,7.8,7.82,57408.0
2010-06-15,7.71,8.23,7.7,8.08,30522.0
2010-06-16,8.01,8.22,8.01,8.06,17373.0
2010-06-17,8.13,8.41,8.11,8.21,9897.0
2010-06-18,8.2,8.47,7.7,7.7,40208.0
2010-06-21,8.0,8.39,7.8,7.8,80741.0
2010-06-22,7.93,8.05,7.76,7.8,71793.0
2010-06-23,7.87,8.05,7.8,8.0,40200.0
2010-06-24,8.1,8.1,7.81,7.98,33657.0
2010-06-25,8.0,8.0,7.9,8.0,31668.0
2010-06-28,8.0,8.05,7.9,8.0,107825.0
2010-06-29,7.78,7.99,7.65,7.82,86804.0
2010-06-30,7.93,8.08,7.53,7.56,29800.0
2010-07-01,7.76,7.76,7.61,7.63,13419.0
2010-07-02,,,,7.57,0.0
2010-07-05,,,,7.57,0.0
2010-07-06,7.65,7.94,7.25,7.37,32232.0
2010-07-07,7.31,7.36,7.01,7.16,66851.0
2010-07-08,7.25,7.25,6.98,6.98,22975.0
2010-07-09,7.07,7.07,6.95,6.95,3400.0
2010-07-12,7.04,7.18,6.85,6.97,30077.0
2010-07-13,7.1,7.35,7.0,7.2,42132.0
2010-07-14,7.16,7.34,7.0,7.23,83071.0
2010-07-15,7.12,7.19,6.67,6.94,16895.0
2010-07-16,6.8,6.96,6.58,6.64,63490.0
2010-07-19,6.7,6.7,6.3,6.4,52791.0
2010-07-20,6.5,6.79,6.4,6.43,120019.0
2010-07-21,6.42,6.47,6.32,6.38,34400.0
2010-07-22,6.35,6.39,6.25,6.3,36366.0
2010-07-23,6.44,6.59,6.18,6.25,43410.0
2010-07-26,6.18,6.78,6.12,6.16,125647.0
2010-07-27,6.17,6.5,6.16,6.35,19881.0
2010-07-28,6.83,6.83,6.45,6.5,151261.0
2010-07-29,6.57,6.57,6.34,6.39,110077.0
2010-07-30,6.52,6.7,6.34,6.49,59096.0
2010-08-02,6.7,6.84,6.52,6.83,96732.0
2010-08-03,6.89,7.55,6.89,7.16,31041.0
2010-08-04,7.5,7.79,7.25,7.64,103216.0
2010-08-05,7.79,8.3,7.55,7.85,41715.0
2010-08-06,7.76,8.04,7.53,7.56,72767.0
2010-08-09,7.68,7.96,7.53,7.94,17223.0
2010-08-10,8.0,8.18,7.9,8.12,19621.0
2010-08-11,7.99,8.1,7.84,8.0,363796.0
2010-08-12,8.0,8.01,7.81,8.0,39718.0
2010-08-13,7.98,8.02,7.86,7.86,17100.0
2010-08-16,8.0,8.05,7.87,8.0,129469.0
2010-08-17,8.14,8.15,7.76,7.93,14611.0
2010-08-18,8.05,8.11,8.0,8.1,37562.0
2010-08-19,8.09,8.29,8.09,8.1,132378.0
2010-08-20,8.1,8.15,7.88,7.9,17319.0
2010-08-23,8.3,8.3,7.95,8.08,23769.0
2010-08-24,7.94,8.11,7.91,8.07,34134.0
2010-08-25,8.0,8.06,7.95,7.95,5500.0
2010-08-26,8.06,8.08,8.0,8.08,21332.0
2010-08-27,7.58,7.91,7.58,8.06,12561.0
2010-08-30,8.08,8.08,7.9,8.06,4648.0
2010-08-31,8.13,8.14,7.9,8.14,29400.0
2010-09-01,8.15,8.28,8.0,8.24,38678.0
2010-09-02,8.3,8.3,7.9,8.2,15317.0
2010-09-03,,,,8.17,0.0
2010-09-06,,,,8.17,0.0
2010-09-07,8.2,8.2,7.67,7.75,23475.0
2010-09-08,7.66,7.68,7.43,7.68,14625.0
2010-09-09,7.43,7.77,7.43,7.69,6536.0
2010-09-10,7.48,7.81,7.48,7.73,12400.0
2010-09-13,7.65,7.97,7.65,7.68,22897.0
2010-09-14,7.67,7.99,7.5,7.6,8737.0
2010-09-15,7.53,7.87,7.5,7.77,65200.0
2010-09-16,7.7,8.0,7.49,7.85,10351.0
2010-09-17,7.75,7.93,7.66,7.85,17429.0
2010-09-20,7.95,8.2,7.85,8.16,105445.0
2010-09-21,8.19,8.71,8.1,8.19,13083.0
2010-09-22,8.19,8.2,8.13,8.13,1100.0
2010-09-23,8.0,8.45,8.0,8.25,17380.0
2010-09-24,8.21,8.48,8.12,8.34,7059.0
2010-09-27,8.22,8.34,8.1,8.11,20308.0
2010-09-28,8.05,8.15,7.75,8.0,11300.0
2010-09-29,7.95,7.99,7.66,7.82,17489.0
2010-09-30,7.8,8.0,7.79,7.82,29900.0
2010-10-01,7.85,7.93,7.78,7.93,718.0
2010-10-04,7.93,8.09,7.9,8.03,25242.0
2010-10-05,8.0,8.06,8.0,8.0,2200.0
2010-10-06,8.02,8.03,8.0,8.03,3300.0
2010-10-07,8.03,8.31,8.0,8.22,29760.0
2010-10-08,8.29,8.29,8.13,8.14,3931.0
2010-10-11,8.2,8.28,8.0,8.03,19144.0
2010-10-12,8.14,8.26,8.09,8.17,5167.0
2010-10-13,8.31,8.99,8.2,8.89,15914.0
2010-10-14,8.9,9.22,8.57,9.0,7099.0
2010-10-15,9.0,9.2,9.0,9.09,5958.0
2010-10-18,9.22,9.39,9.04,9.39,11545.0
2010-10-19,9.23,9.55,9.23,9.55,5829.0
2010-10-20,9.49,9.5,9.25,9.28,10200.0
2010-10-21,9.38,9.38,9.02,9.31,9011.0
2010-10-22,9.1,9.38,9.0,9.33,21311.0
2010-10-25,9.35,10.0,9.25,10.0,23449.0
2010-10-26,9.98,10.2,9.56,10.18,23732.0
2010-10-27,10.19,10.19,9.64,10.01,6400.0
2010-10-28,9.92,9.92,9.63,9.63,890.0
2010-10-29,8.17,10.1,8.17,9.74,16410.0
2010-11-01,10.0,10.2,10.0,10.15,14212.0
2010-11-02,10.2,10.2,10.0,10.0,8990.0
2010-11-03,9.6,10.5,9.48,10.5,46175.0
2010-11-04,10.5,12.49,10.12,12.27,119336.0
2010-11-05,12.0,12.6,10.91,12.23,49824.0
2010-11-08,11.94,12.47,11.57,11.78,17360.0
2010-11-09,11.93,12.24,11.82,12.01,8212.0
2010-11-10,12.01,12.01,11.45,11.6,2200.0
2010-11-11,11.47,11.47,11.32,11.37,1500.0
2010-11-12,11.2,11.2,10.25,10.26,31293.0
2010-11-15,10.61,10.61,9.12,9.62,38153.0
2010-11-16,,,,9.16,0.0
2010-11-17,9.07,9.51,9.07,9.5,8030.0
2010-11-18,9.5,9.57,9.36,9.44,2300.0
2010-11-19,9.5,9.57,9.5,9.57,1400.0
2010-11-22,9.6,9.64,9.5,9.51,3220.0
2010-11-23,10.26,10.34,9.5,9.5,7889.0
2010-11-24,,,,9.53,0.0
2010-11-26,9.5,9.5,9.5,9.5,400.0
2010-11-29,9.51,9.65,9.5,9.55,3600.0
2010-11-30,9.56,10.48,9.56,9.58,3651.0
2010-12-01,10.17,10.17,9.9,10.0,3304.0
2010-12-02,9.84,9.84,9.6,9.68,4101.0
2010-12-03,10.14,10.14,9.8,9.9,13142.0
