Date,Open,High,Low,Close,Volume
2007-10-31,25.0,28.74,24.03,25.29,10282007.0
2007-11-01,25.35,25.5,22.58,23.9,3265673.0
2007-11-02,24.81,24.81,23.55,24.6,711681.0
2007-11-05,23.05,23.45,20.88,22.9,1253938.0
2007-11-06,22.3,22.65,20.15,21.54,823729.0
2007-11-07,19.91,20.49,18.51,19.61,724355.0
2007-11-08,18.5,18.98,18.0,18.79,654814.0
2007-11-09,18.0,19.0,16.79,18.7,538209.0
2007-11-12,18.06,20.33,17.5,19.74,458536.0
2007-11-13,19.78,20.76,19.13,20.37,406223.0
2007-11-14,20.42,22.18,19.1,19.25,245155.0
2007-11-15,19.0,19.0,18.0,18.0,293289.0
2007-11-16,18.0,18.14,17.0,17.28,192811.0
2007-11-19,17.16,17.16,15.5,15.9,614955.0
2007-11-20,16.0,16.66,13.98,13.98,408830.0
2007-11-21,13.0,13.28,12.0,13.0,735871.0
2007-11-23,13.28,16.46,13.2,15.88,214724.0
2007-11-26,16.2,17.76,15.46,17.68,261816.0
2007-11-27,16.64,17.82,16.45,17.6,132892.0
2007-11-28,17.14,18.82,17.11,18.5,200683.0
2007-11-29,18.25,18.45,17.47,18.45,84763.0
2007-11-30,18.58,18.82,16.36,17.95,237435.0
2007-12-03,17.8,17.8,16.8,17.0,93302.0
2007-12-04,17.0,17.0,16.12,16.5,134604.0
2007-12-05,16.8,17.23,16.5,16.51,48977.0
2007-12-06,16.53,16.87,16.37,16.63,46374.0
2007-12-07,16.41,17.86,16.41,17.26,99002.0
2007-12-10,17.0,18.0,17.0,17.6,61908.0
2007-12-11,17.5,19.95,17.5,18.9,273418.0
2007-12-12,19.16,19.18,18.41,18.7,56382.0
2007-12-13,18.37,18.37,17.24,17.25,105575.0
2007-12-14,18.78,19.0,15.88,15.89,433843.0
2007-12-17,15.71,15.99,13.86,13.98,385856.0
2007-12-18,14.87,15.0,14.21,14.5,304117.0
2007-12-19,14.19,15.1,14.06,14.08,55043.0
2007-12-20,14.0,14.39,12.89,13.38,239756.0
2007-12-21,13.96,14.25,13.0,13.3,319876.0
2007-12-24,14.0,15.34,13.65,14.25,163149.0
2007-12-26,14.59,15.0,14.03,14.94,119082.0
2007-12-27,14.91,14.91,14.25,14.4,107200.0
2007-12-28,14.74,14.74,13.95,14.0,160748.0
2007-12-31,14.33,16.25,13.92,15.75,247785.0
2008-01-02,15.65,15.69,14.25,14.5,136354.0
2008-01-03,14.38,14.57,13.26,14.0,389153.0
2008-01-04,14.1,14.1,13.3,13.51,59890.0
2008-01-07,13.75,14.25,13.56,14.23,230628.0
2008-01-08,14.01,14.72,14.0,14.44,58310.0
2008-01-09,14.4,14.78,14.25,14.6,159200.0
2008-01-10,14.6,14.87,14.34,14.8,91763.0
2008-01-11,15.0,15.0,14.01,14.17,287162.0
2008-01-14,14.02,14.02,12.55,12.88,350023.0
2008-01-15,12.61,12.98,9.83,10.28,943630.0
2008-01-16,9.91,10.5,9.8,9.9,325103.0
2008-01-17,10.1,10.65,9.91,10.18,221725.0
2008-01-18,10.05,11.79,10.05,11.16,158582.0
2008-01-22,9.7,10.74,8.51,10.42,107663.0
2008-01-23,9.62,11.48,9.6,10.96,116172.0
2008-01-24,11.05,11.59,10.91,11.5,47088.0
2008-01-25,11.6,12.68,11.6,12.51,134211.0
2008-01-28,12.03,12.62,11.96,12.45,84702.0
2008-01-29,13.15,13.15,12.13,12.14,170910.0
2008-01-30,11.88,11.88,11.0,11.18,78693.0
2008-01-31,11.0,11.06,10.6,10.74,200755.0
2008-02-01,11.0,11.0,10.45,10.83,126292.0
2008-02-04,11.45,11.64,10.92,11.18,164551.0
2008-02-05,11.0,11.04,10.6,10.6,153300.0
2008-02-06,10.6,10.75,10.5,10.61,78433.0
2008-02-07,10.73,10.73,10.4,10.53,34504.0
2008-02-08,10.66,10.66,10.25,10.27,45095.0
2008-02-11,10.44,10.5,10.01,10.07,44038.0
2008-02-12,10.01,10.5,9.91,10.05,93661.0
2008-02-13,9.97,10.14,9.75,10.02,152623.0
2008-02-14,10.17,10.17,9.93,9.93,141545.0
2008-02-15,9.95,9.97,9.8,9.83,35565.0
2008-02-19,10.0,10.0,9.8,9.9,58315.0
2008-02-20,10.17,10.17,9.84,9.9,41420.0
2008-02-21,9.91,9.93,9.76,9.85,156683.0
2008-02-22,9.8,9.8,9.5,9.76,102705.0
2008-02-25,9.86,10.0,9.51,9.83,179668.0
2008-02-26,9.94,11.54,9.84,11.5,809150.0
2008-02-27,11.27,13.5,11.13,13.13,481930.0
2008-02-28,12.89,13.5,12.38,12.95,193314.0
2008-02-29,12.69,13.12,12.11,12.7,138164.0
2008-03-03,12.71,13.5,12.66,13.18,182578.0
2008-03-04,13.18,13.4,12.12,12.66,92437.0
2008-03-05,12.17,12.78,12.16,12.65,158569.0
2008-03-06,12.29,12.55,11.66,11.85,155373.0
2008-03-07,11.69,12.3,11.5,11.86,113136.0
2008-03-10,11.74,11.76,11.02,11.49,87246.0
2008-03-11,11.82,11.9,10.87,11.54,404065.0
2008-03-12,11.7,11.7,10.95,11.01,73413.0
