Date,Open,High,Low,Close,Volume
2010-04-22,4.61,5.0,4.13,4.78,488336.0
2010-04-23,4.76,4.8,4.6,4.65,132306.0
2010-04-26,4.55,4.8,4.36,4.79,87841.0
2010-04-27,4.79,4.8,4.72,4.72,20420.0
2010-04-28,4.85,4.97,4.8,4.8,18100.0
2010-04-29,4.96,4.96,4.8,4.83,3300.0
2010-04-30,4.76,4.8,4.75,4.75,11900.0
2010-05-03,4.75,4.83,4.75,4.8,7263.0
2010-05-04,4.84,4.9,4.7,4.74,26375.0
2010-05-05,4.88,4.88,4.6,4.6,38150.0
2010-05-06,4.65,4.65,4.25,4.5,19803.0
2010-05-07,4.7,4.85,4.14,4.4,7960.0
2010-05-10,4.5,4.88,4.5,4.7,3900.0
2010-05-11,4.7,4.81,4.7,4.76,15900.0
2010-05-12,4.5,4.84,3.8,4.75,9915.0
2010-05-13,4.8,4.88,4.8,4.85,25500.0
2010-05-14,4.71,5.49,4.5,4.66,511778.0
2010-05-17,4.65,4.77,4.65,4.65,8605.0
2010-05-18,4.76,4.85,4.7,4.7,3800.0
2010-05-19,4.71,4.8,4.51,4.51,5152.0
2010-05-20,4.87,4.87,4.2,4.2,23599.0
2010-05-21,4.2,4.33,4.11,4.2,356579.0
2010-05-24,4.47,4.73,4.29,4.31,12074.0
2010-05-25,4.2,4.2,4.19,4.2,6800.0
2010-05-26,4.2,4.4,4.2,4.35,20400.0
2010-05-27,4.5,4.75,4.5,4.54,7300.0
2010-05-28,4.6,4.6,4.3,4.38,14760.0
2010-05-31,,,,4.38,0.0
2010-06-01,,,,4.38,0.0
2010-06-02,4.61,4.61,4.3,4.3,2806.0
2010-06-03,,,,4.3,0.0
2010-06-04,4.25,4.3,4.25,4.3,1100.0
2010-06-07,4.34,4.35,4.34,4.35,200.0
2010-06-08,4.27,4.37,4.27,4.37,5700.0
2010-06-09,4.35,4.35,4.26,4.26,7030.0
2010-06-10,4.25,4.25,4.24,4.25,4500.0
2010-06-11,4.03,4.16,4.03,4.16,3895.0
2010-06-14,4.24,4.25,4.24,4.25,8042.0
2010-06-15,4.25,4.25,4.25,4.25,5994.0
2010-06-16,4.25,4.25,4.11,4.11,20500.0
2010-06-17,4.16,4.21,4.16,4.2,2824.0
2010-06-18,4.39,4.39,4.15,4.2,7720.0
2010-06-21,4.28,4.28,4.19,4.19,7152.0
2010-06-22,4.13,4.13,3.95,3.95,8948.0
2010-06-23,3.95,4.0,3.95,3.95,1575.0
2010-06-24,3.95,4.0,3.95,4.0,6450.0
2010-06-25,3.99,4.03,3.95,4.0,7748.0
2010-06-28,4.0,4.03,3.95,3.95,26200.0
2010-06-29,3.9,4.0,3.87,3.87,7896.0
2010-06-30,4.3,4.38,4.1,4.2,67496.0
2010-07-01,4.2,4.33,4.11,4.11,54178.0
2010-07-02,4.15,4.15,4.15,4.15,11660.0
2010-07-05,,,,4.15,0.0
2010-07-06,4.2,4.2,4.1,4.15,7500.0
