Date,Open,High,Low,Close,Volume
2009-12-29,69.8,69.8,57.7,63.5,86368.0
2009-12-30,63.9,63.9,55.2,56.0,37540.0
2009-12-31,57.0,57.9,52.5,53.6,21333.0
2010-01-04,53.6,65.5,53.6,65.0,40760.0
2010-01-05,65.5,66.7,60.1,63.7,25788.0
2010-01-06,64.9,69.0,63.3,67.4,43883.0
2010-01-07,68.9,69.0,62.6,64.2,18948.0
2010-01-08,66.7,71.4,62.2,69.8,43176.0
2010-01-11,72.1,82.0,69.3,77.3,161884.0
2010-01-12,77.3,79.5,71.8,72.8,57582.0
2010-01-13,72.6,74.4,68.0,72.8,44429.0
2010-01-14,74.4,75.8,70.0,71.0,30286.0
2010-01-15,74.4,74.4,65.5,67.5,24472.0
2010-01-19,69.5,71.0,68.4,69.1,17949.0
2010-01-20,70.3,70.3,65.0,65.1,13274.0
2010-01-21,65.9,66.7,53.9,55.5,54026.0
2010-01-22,59.7,59.7,53.5,53.5,27452.0
2010-01-25,53.5,56.5,53.5,55.5,14647.0
2010-01-26,56.0,56.0,51.0,51.6,23427.0
2010-01-27,51.6,51.6,46.4,49.5,38813.0
2010-01-28,50.5,51.5,48.78,50.38,13677.0
2010-01-29,51.2,54.2,50.1,51.0,11178.0
2010-02-01,51.9,52.5,49.7,50.7,5333.0
2010-02-02,51.0,54.2,50.2,52.2,12348.0
2010-02-03,53.25,54.6,52.4,53.8,7796.0
2010-02-04,54.7,54.7,50.0,50.6,12107.0
2010-02-05,50.0,50.5,48.2,50.2,8822.0
2010-02-08,51.3,54.7,50.0,52.8,10104.0
2010-02-09,55.1,56.5,53.5,56.26,13259.0
2010-02-10,57.5,59.4,57.0,57.6,8598.0
2010-02-11,57.1,58.7,56.2,58.3,7158.0
2010-02-12,59.0,59.0,55.0,55.6,8221.0
2010-02-16,55.6,57.5,55.3,56.3,6544.0
2010-02-17,56.6,57.5,56.5,57.1,4327.0
2010-02-18,57.1,57.5,55.0,56.0,2958.0
2010-02-19,56.0,56.0,55.0,55.3,3894.0
2010-02-22,57.4,57.5,54.0,55.93,8086.0
2010-02-23,57.0,57.1,52.5,53.0,5540.0
2010-02-24,53.2,56.4,52.5,54.3,8119.0
2010-02-25,54.0,54.0,53.0,53.5,3190.0
2010-02-26,53.6,53.9,51.7,52.2,5183.0
2010-03-01,53.0,56.3,53.0,55.8,8250.0
2010-03-02,56.0,61.8,56.0,60.98,22349.0
2010-03-03,62.2,63.0,59.98,60.8,27034.0
2010-03-04,61.0,62.0,59.0,59.2,8894.0
2010-03-05,59.5,59.7,56.8,57.0,11861.0
2010-03-08,57.4,58.4,56.86,57.4,5764.0
2010-03-09,57.8,58.6,57.8,58.2,3570.0
2010-03-10,57.8,57.84,55.3,57.0,8137.0
2010-03-11,57.4,57.4,54.8,55.2,8231.0
2010-03-12,55.5,56.5,55.5,56.0,3844.0
2010-03-15,57.0,57.0,55.4,55.9,2581.0
2010-03-16,57.0,57.0,55.9,56.6,7132.0
2010-03-17,57.0,57.0,51.5,53.1,16207.0
2010-03-18,54.7,54.8,52.5,53.2,3783.0
2010-03-19,53.1,54.4,51.1,51.6,8317.0
2010-03-22,51.1,52.0,50.0,50.5,7073.0
2010-03-23,50.3,52.0,49.5,52.0,11683.0
2010-03-24,52.0,53.5,51.0,52.0,3528.0
2010-03-25,53.0,53.0,51.5,52.0,4144.0
2010-03-26,51.5,52.4,49.0,49.0,7327.0
2010-03-29,50.5,50.5,49.0,49.6,9474.0
2010-03-30,49.7,50.0,47.0,49.8,20724.0
2010-03-31,51.4,51.9,48.0,48.3,24990.0
2010-04-01,48.7,48.8,46.5,47.5,5262.0
2010-04-05,49.9,49.9,48.1,48.7,9646.0
2010-04-06,49.5,51.0,48.3,50.0,9188.0
2010-04-07,50.4,51.9,49.9,51.5,6163.0
2010-04-08,52.0,52.0,50.7,50.9,3367.0
2010-04-09,51.0,51.9,50.4,50.4,3291.0
2010-04-12,50.3,51.0,48.9,49.3,6823.0
2010-04-13,49.2,49.5,48.8,49.2,4805.0
2010-04-14,49.9,49.9,48.6,48.6,2828.0
2010-04-15,48.5,49.5,48.5,49.2,6238.0
2010-04-16,49.0,49.2,47.8,47.9,6004.0
2010-04-19,47.9,48.1,47.5,47.9,5079.0
2010-04-20,48.0,48.5,47.71,48.2,3388.0
2010-04-21,48.0,48.5,47.2,47.8,4447.0
2010-04-22,47.5,48.5,47.2,48.2,4614.0
2010-04-23,48.2,48.5,47.5,47.66,2946.0
2010-04-26,48.0,49.0,47.5,48.0,8775.0
2010-04-27,47.5,48.17,45.6,47.3,5062.0
2010-04-28,47.6,49.0,42.7,43.7,8992.0
2010-04-29,43.7,48.4,43.0,44.7,21439.0
2010-04-30,46.0,47.2,45.2,47.2,2528.0
2010-05-03,47.5,47.5,44.4,44.4,6304.0
2010-05-04,44.5,44.5,39.2,40.8,18384.0
2010-05-05,39.6,40.5,37.5,39.5,7251.0
2010-05-06,39.0,40.3,35.0,37.2,12629.0
2010-05-07,36.6,37.4,32.8,35.9,14290.0
2010-05-10,38.5,40.0,38.0,39.1,9948.0
2010-05-11,37.4,38.0,36.0,37.7,4992.0
2010-05-12,43.9,48.4,43.9,47.3,44582.0
2010-05-13,49.5,54.6,48.1,54.3,60697.0
2010-05-14,55.0,58.0,50.1,52.1,67132.0
2010-05-17,51.9,52.0,46.9,49.4,19670.0
2010-05-18,50.0,52.1,46.5,46.8,16100.0
2010-05-19,46.6,47.0,43.9,45.0,10211.0
2010-05-20,44.0,44.0,40.0,40.0,21614.0
2010-05-21,41.0,47.0,40.1,43.6,17115.0
2010-05-24,44.0,46.9,43.7,43.7,8122.0
2010-05-25,42.0,46.1,41.3,46.0,9349.0
2010-05-26,47.9,49.0,47.0,47.35,9955.0
2010-05-27,49.5,49.5,45.9,45.9,13611.0
2010-05-28,47.4,47.4,45.5,46.6,3569.0
2010-06-01,46.3,46.3,42.0,42.8,5367.0
2010-06-02,43.3,44.0,41.5,42.5,6269.0
2010-06-03,42.9,44.6,42.5,43.4,2775.0
2010-06-04,41.3,43.8,41.3,42.6,3219.0
2010-06-07,42.6,42.6,41.4,41.8,2929.0
2010-06-08,42.5,42.6,39.0,41.2,8597.0
2010-06-09,41.8,42.3,39.9,40.0,1903.0
2010-06-10,41.5,42.4,40.9,41.0,4704.0
2010-06-11,41.9,45.6,40.4,44.46,17235.0
