Date,Open,High,Low,Close,Volume
2010-09-14,4.54,4.54,4.18,4.35,14028.0
2010-09-15,4.35,4.46,4.35,4.45,10800.0
2010-09-16,4.46,4.46,4.15,4.25,10610.0
2010-09-17,4.35,4.35,4.2,4.2,1500.0
2010-09-20,4.39,4.5,4.21,4.45,22502.0
2010-09-21,4.45,4.45,4.25,4.45,9588.0
2010-09-22,4.26,4.44,4.25,4.4,8179.0
2010-09-23,4.27,4.44,4.11,4.32,14394.0
2010-09-24,4.21,4.31,4.12,4.13,14079.0
2010-09-27,4.13,4.44,3.86,4.01,15421.0
2010-09-28,3.98,4.36,3.5,4.11,13490.0
2010-09-29,4.13,4.39,3.93,3.98,16421.0
2010-09-30,4.05,4.15,3.98,4.14,9961.0
2010-10-01,4.14,4.39,4.13,4.15,1375.0
2010-10-04,4.1,4.41,4.05,4.13,45562.0
2010-10-05,4.35,4.35,4.15,4.15,5050.0
2010-10-06,4.16,4.16,4.06,4.06,38610.0
2010-10-07,4.15,4.16,3.84,4.12,40829.0
2010-10-08,4.15,4.39,4.15,4.29,62634.0
2010-10-11,4.3,4.3,4.15,4.18,31304.0
2010-10-12,4.24,4.26,4.15,4.16,22150.0
2010-10-13,4.18,4.18,3.93,4.06,49260.0
2010-10-14,4.15,4.18,4.04,4.04,51935.0
2010-10-15,4.15,4.15,4.0,4.0,32428.0
2010-10-18,4.0,4.01,4.0,4.0,14853.0
2010-10-19,3.99,4.03,3.99,4.0,17479.0
2010-10-20,4.0,4.05,3.97,4.0,12411.0
2010-10-21,4.04,4.04,3.95,3.95,1990.0
2010-10-22,4.04,4.05,3.9,3.99,11065.0
2010-10-25,3.91,4.21,3.91,4.2,54455.0
2010-10-26,4.2,4.37,4.06,4.15,40887.0
2010-10-27,4.12,4.19,4.12,4.19,8100.0
2010-10-28,4.14,4.18,4.09,4.09,1600.0
2010-10-29,4.0,4.09,4.0,4.09,3450.0
2010-11-01,4.05,4.18,3.99,4.15,22125.0
2010-11-02,4.15,4.37,4.1,4.3,50036.0
2010-11-03,4.3,4.32,4.03,4.04,30837.0
2010-11-04,4.1,4.3,4.03,4.09,13845.0
2010-11-05,4.1,4.15,3.9,4.15,5400.0
2010-11-08,4.24,4.29,4.11,4.27,44410.0
2010-11-09,4.24,4.3,4.17,4.29,5236.0
2010-11-10,4.19,4.31,4.19,4.31,9657.0
2010-11-11,4.33,4.33,4.23,4.32,27920.0
2010-11-12,4.32,4.33,4.13,4.33,11555.0
2010-11-15,4.32,4.32,4.18,4.3,14800.0
2010-11-16,4.13,4.3,4.01,4.23,16701.0
2010-11-17,4.29,4.29,4.06,4.19,5500.0
2010-11-18,4.3,4.3,4.02,4.2,7010.0
2010-11-19,4.29,4.29,4.0,4.09,14330.0
2010-11-22,4.08,4.08,3.87,3.91,19155.0
2010-11-23,3.89,4.05,3.85,4.05,5000.0
2010-11-24,4.12,4.12,3.89,3.96,17658.0
2010-11-26,4.11,4.11,4.0,4.01,15845.0
2010-11-29,4.05,4.08,3.87,3.88,13300.0
2010-11-30,4.0,4.0,3.85,3.95,5820.0
2010-12-01,3.95,4.0,3.75,3.9,20678.0
2010-12-02,4.04,4.05,3.9,3.94,23671.0
2010-12-03,4.01,4.01,3.85,3.95,26883.0
2010-12-06,3.96,3.96,3.86,3.9,10025.0
2010-12-07,3.98,3.98,3.77,3.78,24574.0
2010-12-08,3.92,3.92,3.86,3.87,2024.0
2010-12-09,3.87,3.89,3.75,3.89,14370.0
2010-12-10,3.8,3.88,3.76,3.87,3100.0
2010-12-13,3.89,3.89,3.65,3.75,41443.0
2010-12-14,3.74,3.82,3.57,3.81,10939.0
2010-12-15,3.76,3.82,3.65,3.77,6888.0
2010-12-16,3.81,3.81,3.62,3.65,16187.0
2010-12-17,3.69,3.78,3.58,3.6,16401.0
2010-12-20,3.64,3.64,3.45,3.5,18178.0
2010-12-21,3.59,3.63,3.52,3.56,9326.0
2010-12-22,3.56,4.44,3.56,4.32,283919.0
2010-12-23,4.27,4.33,4.11,4.2,82371.0
2010-12-27,4.24,4.3,4.06,4.15,31936.0
2010-12-28,4.1,4.29,3.92,4.17,66711.0
2010-12-29,4.15,4.15,4.06,4.1,44558.0
2010-12-30,4.14,4.5,4.09,4.44,179643.0
2010-12-31,4.5,4.8,4.33,4.53,213702.0
2011-01-03,4.8,4.95,4.56,4.65,190318.0
2011-01-04,4.7,4.85,4.47,4.56,103494.0
2011-01-05,4.6,4.6,4.36,4.56,62755.0
2011-01-06,4.6,4.6,4.44,4.52,54712.0
2011-01-07,4.6,4.6,4.37,4.44,44322.0
2011-01-10,4.55,4.6,4.35,4.4,59717.0
2011-01-11,4.56,4.6,4.33,4.41,98392.0
2011-01-12,4.6,4.63,4.45,4.5,52754.0
2011-01-13,4.89,5.24,4.48,4.63,156575.0
2011-01-14,4.65,4.66,4.4,4.51,51435.0
2011-01-18,4.7,4.7,4.38,4.45,71536.0
2011-01-19,4.45,4.45,4.06,4.15,79593.0
2011-01-20,4.45,4.45,4.0,4.03,30931.0
2011-01-21,4.0,4.25,3.6,3.83,119579.0
2011-01-24,4.38,4.38,4.0,4.16,93187.0
2011-01-25,4.12,4.21,4.02,4.1,24123.0
2011-01-26,4.1,4.39,4.1,4.16,13350.0
2011-01-27,4.15,4.15,4.0,4.05,40555.0
2011-01-28,4.05,4.1,3.97,4.1,14301.0
2011-01-31,3.93,4.25,3.9,3.94,40825.0
2011-02-01,3.91,4.06,3.9,3.91,42753.0
2011-02-02,3.91,4.09,3.91,4.09,14950.0
2011-02-03,4.04,4.04,3.88,3.88,24454.0
2011-02-04,3.88,4.01,3.76,3.95,29068.0
2011-02-07,3.95,4.0,3.79,3.88,25675.0
2011-02-08,3.84,4.28,3.8,3.99,61463.0
2011-02-09,3.99,4.0,3.81,3.89,18949.0
2011-02-10,3.94,3.95,3.91,3.92,1530.0
2011-02-11,3.94,3.95,3.77,3.77,26083.0
2011-02-14,3.77,3.82,3.71,3.81,15484.0
2011-02-15,3.83,3.88,3.81,3.84,7500.0
2011-02-16,3.87,4.0,3.87,3.98,30902.0
2011-02-17,3.99,4.17,3.93,4.13,49032.0
2011-02-18,4.1,4.13,4.01,4.03,14638.0
2011-02-22,3.81,4.26,3.81,4.18,46162.0
2011-02-23,4.16,4.29,4.0,4.22,22808.0
2011-02-24,4.3,4.3,4.11,4.12,4472.0
2011-02-25,4.18,4.19,4.01,4.01,13443.0
2011-02-28,4.01,4.24,4.01,4.24,11824.0
2011-03-01,4.24,4.24,4.08,4.08,6856.0
2011-03-02,4.17,4.17,4.04,4.1,7147.0
2011-03-03,4.1,4.1,4.01,4.01,4405.0
2011-03-04,4.05,4.05,4.01,4.01,3100.0
2011-03-07,4.01,4.03,3.94,3.94,19405.0
2011-03-08,4.0,4.14,3.86,3.86,18848.0
2011-03-09,3.85,4.1,3.85,3.92,6200.0
2011-03-10,3.99,4.1,3.91,4.01,8230.0
2011-03-11,4.09,4.09,3.93,3.95,14946.0
2011-03-14,4.0,4.02,3.8,3.88,18162.0
2011-03-15,3.87,3.87,3.29,3.44,67491.0
2011-03-16,3.43,3.63,3.39,3.4,49567.0
2011-03-17,3.45,3.61,3.4,3.6,13182.0
2011-03-18,3.55,3.88,3.5,3.78,15027.0
2011-03-21,3.71,3.79,3.68,3.73,14364.0
2011-03-22,3.73,3.73,3.14,3.33,97658.0
2011-03-23,3.33,3.33,3.1,3.25,60841.0
2011-03-24,3.23,3.48,3.1,3.48,36389.0
2011-03-25,3.49,3.53,3.39,3.4,35456.0
2011-03-28,3.45,3.7,3.45,3.63,19399.0
2011-03-29,3.6,3.7,3.55,3.7,21350.0
2011-03-30,3.69,3.71,3.47,3.6,46278.0
2011-03-31,3.85,3.85,3.52,3.64,17295.0
2011-04-01,3.56,3.73,3.56,3.71,14986.0
2011-04-04,3.78,3.83,3.69,3.8,55911.0
2011-04-05,3.8,3.8,3.69,3.71,17672.0
2011-04-06,3.69,3.69,3.55,3.56,9363.0
2011-04-07,3.56,3.68,3.52,3.52,11697.0
2011-04-08,3.59,3.59,3.31,3.51,19124.0
2011-04-11,3.5,3.55,3.3,3.3,57588.0
2011-04-12,3.3,3.32,3.04,3.3,23035.0
2011-04-13,3.3,3.32,3.1,3.15,31670.0
2011-04-14,3.02,3.29,3.0,3.09,39451.0
2011-04-15,3.02,3.26,3.02,3.26,33436.0
2011-04-18,3.16,3.25,3.02,3.02,67114.0
2011-04-19,3.1,3.24,2.96,3.24,309038.0
2011-04-20,3.22,3.52,3.19,3.49,33836.0
2011-04-21,3.46,3.5,3.38,3.49,25189.0
2011-04-25,3.54,3.56,3.37,3.4,37653.0
2011-04-26,3.4,3.45,3.32,3.39,26652.0
2011-04-27,3.49,3.49,3.27,3.28,22143.0
2011-04-28,3.23,3.45,3.22,3.31,23787.0
2011-04-29,3.32,3.32,3.19,3.2,12057.0
2011-05-02,3.2,3.77,3.19,3.2,45188.0
2011-05-03,3.24,3.25,3.07,3.25,10160.0
2011-05-04,3.2,3.2,2.96,2.99,26439.0
2011-05-05,3.0,3.07,2.95,3.01,22984.0
2011-05-06,2.96,3.2,2.96,3.02,10460.0
