Date,Open,High,Low,Close,Volume
2010-08-26,9.92,10.6,9.92,10.04,21005.0
2010-08-27,10.0,10.04,9.84,9.9,108148.0
2010-08-30,9.24,10.26,9.24,10.12,174362.0
2010-08-31,10.2,10.24,9.98,10.12,46252.0
2010-09-01,10.2,10.2,10.0,10.18,96380.0
2010-09-02,10.22,10.32,10.14,10.26,134626.0
2010-09-03,,,,10.34,0.0
2010-09-06,,,,10.34,0.0
2010-09-07,10.4,10.4,9.84,9.96,178222.0
2010-09-08,10.0,10.14,9.86,10.0,95258.0
2010-09-09,10.2,10.2,9.84,9.94,61308.0
2010-09-10,9.98,10.12,9.88,9.96,56875.0
2010-09-13,10.02,10.04,9.88,9.94,80338.0
2010-09-14,9.88,10.0,9.82,10.0,61435.0
2010-09-15,10.0,10.12,9.96,10.06,71035.0
2010-09-16,10.0,10.14,9.8,10.08,92504.0
2010-09-17,10.08,10.08,9.88,9.94,68306.0
2010-09-20,9.9,9.98,9.8,9.8,125568.0
2010-09-21,9.76,9.96,9.6,9.66,132922.0
2010-09-22,9.84,9.84,9.08,9.24,165826.0
2010-09-23,9.2,9.26,8.92,9.22,113614.0
2010-09-24,9.3,9.46,9.02,9.04,94678.0
2010-09-27,9.22,9.74,9.0,9.4,195857.0
2010-09-28,9.58,9.68,9.2,9.44,95990.0
2010-09-29,9.56,9.9,9.56,9.7,107730.0
2010-09-30,9.72,9.9,9.6,9.74,59026.0
2010-10-01,9.78,9.88,9.68,9.78,61938.0
2010-10-04,9.74,9.78,9.62,9.7,60742.0
2010-10-05,9.78,10.1,9.74,10.06,101466.0
2010-10-06,10.1,10.28,10.08,10.24,62262.0
2010-10-07,10.28,10.4,10.2,10.28,43064.0
2010-10-08,10.24,10.48,10.24,10.48,38414.0
2010-10-11,10.54,11.1,10.54,10.94,127974.0
2010-10-12,11.0,11.7,10.88,11.7,163488.0
2010-10-13,11.68,12.34,11.68,12.34,263774.0
2010-10-14,12.4,13.42,12.36,13.31,738486.0
2010-10-15,13.26,13.56,12.92,13.5,535204.0
2010-10-18,13.48,13.48,12.8,12.92,321078.0
2010-10-19,12.78,12.92,12.2,12.3,344064.0
2010-10-20,12.38,12.62,11.9,12.62,141902.0
2010-10-21,12.8,12.8,12.32,12.38,96326.0
2010-10-22,12.32,12.4,12.1,12.2,75587.0
2010-10-25,12.5,12.56,12.22,12.44,95912.0
2010-10-26,12.34,12.54,12.3,12.38,73162.0
2010-10-27,12.3,12.46,12.16,12.4,48322.0
2010-10-28,12.5,12.96,12.5,12.68,131568.0
2010-10-29,12.82,12.82,12.62,12.74,71682.0
2010-11-01,13.0,13.14,12.54,12.58,114974.0
2010-11-02,13.0,13.0,12.58,12.8,70360.0
2010-11-03,12.8,12.8,12.54,12.62,80604.0
2010-11-04,12.8,12.88,12.58,12.62,118262.0
2010-11-05,12.68,12.68,12.6,12.62,99442.0
2010-11-08,12.66,13.1,12.6,12.94,257472.0
2010-11-09,12.9,12.9,12.08,12.36,215705.0
2010-11-10,12.2,12.38,11.62,12.24,200717.0
2010-11-11,11.84,11.9,11.54,11.56,195334.0
2010-11-12,11.4,11.86,11.4,11.8,138722.0
2010-11-15,11.82,11.94,11.5,11.52,63876.0
2010-11-16,11.48,11.56,11.04,11.36,110836.0
2010-11-17,11.32,11.48,11.18,11.2,52800.0
2010-11-18,11.24,11.96,11.24,11.82,146838.0
2010-11-19,11.78,11.78,11.24,11.42,51112.0
2010-11-22,11.32,11.44,11.04,11.06,59170.0
2010-11-23,11.0,11.02,10.4,10.58,100996.0
2010-11-24,,,,10.58,0.0
2010-11-26,10.54,10.64,10.44,10.44,33764.0
2010-11-29,10.42,10.64,10.3,10.34,53921.0
2010-11-30,10.3,10.56,10.22,10.56,84545.0
2010-12-01,10.68,10.8,10.48,10.58,108646.0
2010-12-02,10.7,10.96,10.7,10.94,117949.0
2010-12-03,10.96,11.0,10.84,11.0,52550.0
2010-12-06,11.14,11.16,10.92,10.96,87285.0
2010-12-07,11.04,11.24,10.36,10.46,142886.0
2010-12-08,10.48,10.5,10.24,10.5,82161.0
2010-12-09,10.6,10.66,10.5,10.58,57315.0
2010-12-10,10.64,10.86,10.5,10.86,69094.0
2010-12-13,10.98,11.0,10.74,10.8,81648.0
2010-12-14,10.8,10.8,10.44,10.48,116732.0
2010-12-15,10.44,10.6,10.0,10.0,173474.0
2010-12-16,10.0,10.5,10.0,10.2,148913.0
2010-12-17,10.2,10.28,10.12,10.2,88688.0
2010-12-20,10.14,10.58,10.14,10.3,99256.0
2010-12-21,10.36,10.66,10.36,10.64,82636.0
2010-12-22,10.7,10.7,10.28,10.48,89534.0
2010-12-23,,,,10.4,0.0
2010-12-27,10.34,10.52,10.32,10.42,33978.0
2010-12-28,10.48,10.58,10.24,10.44,137470.0
2010-12-29,10.42,10.47,10.22,10.36,76878.0
2010-12-30,10.28,10.7,10.26,10.64,107260.0
2010-12-31,10.64,10.68,10.34,10.42,95378.0
2011-01-03,10.56,10.58,10.32,10.32,104521.0
2011-01-04,10.42,10.62,10.26,10.26,137798.0
2011-01-05,10.22,10.5,10.22,10.44,109911.0
2011-01-06,10.44,10.5,10.24,10.34,53108.0
2011-01-07,10.32,10.34,10.0,10.02,116502.0
2011-01-10,10.02,10.04,9.78,9.88,106564.0
2011-01-11,9.96,10.06,9.64,9.78,203746.0
2011-01-12,,,,9.92,0.0
2011-01-13,9.92,9.96,9.8,9.84,58888.0
2011-01-14,,,,10.16,0.0
2011-01-18,10.18,10.26,9.96,10.06,142648.0
2011-01-19,10.06,10.12,9.92,10.04,137678.0
2011-01-20,9.96,10.0,9.74,9.8,79164.0
2011-01-21,9.84,9.84,9.58,9.58,96839.0
2011-01-24,,,,9.48,0.0
2011-01-25,9.54,9.6,9.36,9.56,67600.0
2011-01-26,9.56,9.78,9.4,9.42,73678.0
2011-01-27,,,,9.34,0.0
2011-01-28,9.22,9.28,9.02,9.1,120416.0
2011-01-31,9.1,9.1,9.0,9.0,119736.0
2011-02-01,9.0,9.32,8.98,9.06,242168.0
2011-02-02,9.06,9.24,9.04,9.04,138638.0
2011-02-03,9.06,9.18,8.96,9.16,110524.0
2011-02-04,9.2,9.2,8.92,9.06,82434.0
2011-02-07,9.1,9.2,9.0,9.16,79431.0
2011-02-08,9.18,9.2,9.1,9.16,62556.0
2011-02-09,9.04,9.24,9.0,9.14,215445.0
2011-02-10,,,,9.18,0.0
2011-02-11,9.18,9.2,9.1,9.16,87492.0
2011-02-14,9.28,9.4,9.1,9.36,149302.0
2011-02-15,,,,9.18,0.0
2011-02-16,9.2,9.2,9.16,9.16,82837.0
2011-02-17,,,,9.14,0.0
2011-02-18,,,,9.38,0.0
2011-02-22,9.26,9.36,9.12,9.24,93730.0
2011-02-23,9.2,9.3,9.1,9.18,58032.0
2011-02-24,9.2,9.3,9.06,9.1,71982.0
2011-02-25,9.08,9.8,9.04,9.76,110748.0
2011-02-28,9.78,10.18,9.5,9.7,214052.0
2011-03-01,,,,9.8,0.0
2011-03-02,9.76,9.84,9.6,9.66,45570.0
2011-03-03,9.72,9.98,9.7,9.94,62236.0
2011-03-04,10.0,10.12,9.9,10.1,92130.0
2011-03-07,10.2,10.2,9.56,9.94,167902.0
2011-03-08,,,,8.82,0.0
2011-03-09,8.5,8.66,7.94,8.1,395997.0
2011-03-10,8.0,8.01,7.3,7.38,458018.0
2011-03-11,,,,7.66,0.0
2011-03-14,7.6,7.7,7.28,7.4,181020.0
2011-03-15,7.16,7.4,6.71,7.34,164029.0
2011-03-16,7.36,7.4,6.86,6.98,122162.0
2011-03-17,7.2,7.2,6.88,6.92,116520.0
2011-03-18,7.02,7.06,6.8,6.8,111164.0
2011-03-21,6.86,6.9,6.2,6.3,306520.0
2011-03-22,6.42,6.42,5.82,6.28,375968.0
2011-03-23,,,,6.26,0.0
2011-03-24,5.7,6.0,5.06,5.22,1414062.0
