Date,Open,High,Low,Close,Volume
2005-05-06,16.27,16.4,14.75,15.32,2345699.0
2005-05-09,15.28,15.8,15.28,15.74,435623.0
2005-05-10,15.75,15.8,15.5,15.65,78406.0
2005-05-11,15.5,15.92,15.5,15.92,63036.0
2005-05-12,15.66,16.15,15.66,15.77,310502.0
2005-05-13,15.78,16.0,15.66,15.85,99366.0
2005-05-16,16.0,16.1,15.75,15.94,23537.0
2005-05-17,15.82,15.96,15.75,15.9,69254.0
2005-05-18,15.9,16.18,15.9,16.05,229121.0
2005-05-19,15.75,16.25,15.75,16.0,20727.0
2005-05-20,16.25,16.59,15.9,16.5,94772.0
2005-05-23,16.5,16.75,16.13,16.55,115755.0
2005-05-24,16.43,16.85,16.35,16.8,58158.0
2005-05-25,16.8,16.85,16.47,16.69,120025.0
2005-05-26,16.6,16.8,16.5,16.53,72170.0
2005-05-27,16.38,17.22,16.38,16.75,137414.0
2005-05-31,17.0,17.65,16.75,17.4,121904.0
2005-06-01,17.06,19.39,17.06,18.0,277427.0
2005-06-02,17.66,18.07,17.66,17.8,99245.0
2005-06-03,18.02,18.02,17.7,17.8,36872.0
2005-06-06,18.0,19.88,17.98,18.6,71572.0
2005-06-07,18.27,18.7,17.95,18.0,162341.0
2005-06-08,17.8,17.82,17.25,17.26,112421.0
2005-06-09,17.11,17.11,16.0,16.65,92877.0
2005-06-10,16.35,16.53,16.05,16.33,54371.0
2005-06-13,16.5,16.8,16.25,16.27,57040.0
2005-06-14,16.68,16.68,15.96,16.18,122590.0
2005-06-15,16.51,16.65,16.1,16.24,9083.0
2005-06-16,16.5,16.6,16.15,16.59,118264.0
2005-06-17,16.71,17.24,16.7,16.99,11529.0
2005-06-20,17.24,17.54,16.91,17.15,77640.0
2005-06-21,17.5,18.88,17.22,17.74,374802.0
2005-06-22,18.25,18.25,17.23,17.41,34558.0
2005-06-23,17.07,17.41,16.35,16.5,192199.0
2005-06-24,16.4,16.99,16.35,16.68,33630.0
2005-06-27,16.69,16.69,16.17,16.5,15807.0
2005-06-28,16.6,16.69,16.4,16.42,8859.0
2005-06-29,16.3,16.75,16.22,16.7,9520.0
2005-06-30,17.0,17.1,16.18,16.27,19782.0
2005-07-01,16.4,16.73,16.4,16.73,112277.0
2005-07-05,16.81,16.85,16.42,16.76,7509.0
2005-07-06,16.76,16.98,16.29,16.75,36082.0
2005-07-07,16.55,17.0,16.55,16.95,11921.0
2005-07-08,17.72,17.72,16.54,16.93,16524.0
2005-07-11,16.83,17.95,16.83,17.95,21255.0
2005-07-12,17.6,19.0,17.59,18.8,103881.0
2005-07-13,18.4,19.0,18.4,18.69,22107.0
2005-07-14,18.7,18.7,18.3,18.68,176753.0
2005-07-15,18.8,18.8,18.25,18.25,12647.0
2005-07-18,18.25,18.95,18.25,18.44,31665.0
2005-07-19,18.25,18.85,18.25,18.35,48421.0
2005-07-20,18.6,19.07,18.45,18.6,28271.0
2005-07-21,18.6,18.95,18.5,18.78,112622.0
2005-07-22,19.1,19.5,18.25,18.5,93236.0
2005-07-25,18.8,18.95,18.0,18.75,64192.0
2005-07-26,18.98,19.2,18.06,19.0,38113.0
2005-07-27,19.33,19.39,18.85,19.0,27850.0
2005-07-28,19.0,19.0,18.5,18.75,51724.0
2005-07-29,18.35,18.68,18.35,18.68,129926.0
