Date,Open,High,Low,Close,Volume
2009-12-07,79.0,80.0,77.0,80.0,1359.0
2009-12-08,80.0,82.25,80.0,80.25,777.0
2009-12-09,80.3,81.5,77.0,77.0,583.0
2009-12-10,77.0,77.0,72.0,74.2,2115.0
2009-12-11,74.2,74.35,74.2,74.25,264.0
2009-12-14,76.1,78.85,76.1,78.7,735.0
2009-12-15,77.25,77.25,75.5,75.5,80.0
2009-12-16,76.85,76.85,76.85,76.85,22.0
2009-12-17,76.75,76.75,76.58,76.58,60.0
2009-12-18,76.25,76.25,76.25,76.25,34.0
2009-12-21,76.2,76.25,73.67,74.0,530.0
2009-12-22,73.75,73.8,72.5,72.5,1606.0
2009-12-23,72.5,76.25,72.5,75.85,240.0
2009-12-24,75.82,76.25,75.2,76.25,227.0
2009-12-28,75.0,75.0,71.75,72.5,2153.0
2009-12-29,75.0,75.0,71.0,71.25,2484.0
2009-12-30,72.2,72.4,71.95,72.25,660.0
2009-12-31,71.9,72.25,68.75,69.55,3949.0
2010-01-04,70.0,73.55,70.0,72.7,360.0
2010-01-05,74.95,77.5,71.0,71.0,1429.0
2010-01-06,72.5,72.65,71.05,72.15,2328.0
2010-01-07,72.5,72.65,68.75,68.75,3958.0
2010-01-08,70.75,70.75,70.72,70.75,80.0
2010-01-11,71.25,71.75,69.5,70.0,998.0
2010-01-12,70.6,70.6,69.3,69.75,772.0
2010-01-13,69.3,70.75,69.3,70.7,967.0
2010-01-14,70.75,70.75,69.75,69.8,740.0
2010-01-15,69.5,70.0,69.5,70.0,40.0
2010-01-19,69.5,70.0,69.25,69.95,559.0
2010-01-20,70.0,70.0,68.75,69.99,369.0
2010-01-21,68.85,68.95,66.45,67.35,349.0
2010-01-22,67.3,67.3,45.7,53.25,83698.0
2010-01-25,58.65,60.0,56.75,58.5,10088.0
2010-01-26,57.5,57.5,55.0,55.65,12270.0
2010-01-27,57.4,58.75,55.18,58.75,3320.0
2010-01-28,58.75,58.75,56.75,57.5,1556.0
2010-01-29,57.5,58.5,57.5,57.5,5410.0
