Date,Open,High,Low,Close,Volume
2010-12-10,4.0,4.5,3.5,3.99,1551885.0
2010-12-13,4.2,4.2,3.95,4.0,333465.0
2010-12-14,4.01,4.02,3.8,3.96,469500.0
2010-12-15,4.0,4.0,3.8,3.99,30921.0
2010-12-16,3.87,3.98,3.87,3.93,44300.0
2010-12-17,3.97,3.98,3.9,3.97,104650.0
2010-12-20,3.98,4.05,3.9,4.05,137887.0
2010-12-21,3.98,3.98,3.73,3.91,41003.0
2010-12-22,3.9,3.98,3.7,3.98,157781.0
2010-12-23,3.9,3.99,3.9,3.97,148720.0
2010-12-27,3.85,3.89,3.85,3.86,7400.0
2010-12-28,3.9,3.9,3.85,3.86,14750.0
2010-12-29,3.9,3.9,3.87,3.87,4102.0
2010-12-30,3.9,3.99,3.82,3.99,44100.0
2010-12-31,3.96,4.0,3.86,3.97,17020.0
2011-01-03,3.89,3.9,3.86,3.86,39500.0
2011-01-04,3.9,3.9,3.81,3.84,16330.0
2011-01-05,3.82,3.82,3.54,3.72,24055.0
2011-01-06,3.98,3.99,3.72,3.82,47405.0
2011-01-07,3.72,3.99,3.55,3.99,38841.0
2011-01-10,3.99,3.99,3.81,3.9,31734.0
2011-01-11,3.98,3.98,3.85,3.88,95942.0
2011-01-12,3.98,3.98,3.86,3.89,56749.0
2011-01-13,3.87,3.97,3.86,3.93,74200.0
2011-01-14,3.87,3.91,3.86,3.9,30597.0
2011-01-18,3.9,3.95,3.88,3.95,36718.0
2011-01-19,3.95,3.95,3.81,3.95,102669.0
2011-01-20,3.94,3.95,3.86,3.95,58620.0
2011-01-21,3.87,3.95,3.86,3.86,20600.0
2011-01-24,3.87,3.87,3.78,3.81,59700.0
2011-01-25,3.82,3.94,3.78,3.93,45848.0
2011-01-26,3.86,3.9,3.86,3.9,18400.0
2011-01-27,3.9,3.94,3.9,3.9,7450.0
2011-01-28,3.87,3.94,3.87,3.9,36935.0
2011-01-31,3.87,3.99,3.86,3.98,22800.0
2011-02-01,3.97,3.97,3.86,3.89,6250.0
2011-02-02,3.86,3.86,3.81,3.81,5314.0
2011-02-03,3.79,3.8,3.78,3.78,16800.0
2011-02-04,3.8,3.95,3.76,3.9,15450.0
2011-02-08,3.9,3.9,3.7,3.71,25700.0
2011-02-09,3.53,3.75,3.45,3.53,45307.0
2011-02-10,3.53,3.55,3.42,3.42,13500.0
2011-02-11,3.6,3.61,3.39,3.52,62130.0
2011-02-14,3.6,3.6,3.42,3.44,18839.0
2011-02-15,3.38,3.45,3.31,3.4,60357.0
2011-02-16,3.4,3.4,3.33,3.4,12389.0
2011-02-17,3.45,3.45,3.25,3.28,20035.0
2011-02-18,3.3,3.5,3.26,3.5,132100.0
2011-02-22,3.32,3.49,3.25,3.4,66300.0
2011-02-23,3.31,3.35,3.15,3.35,28186.0
2011-02-24,3.33,3.35,3.28,3.3,16000.0
2011-02-25,3.3,3.33,3.3,3.3,14393.0
2011-02-28,3.3,3.33,3.25,3.3,30201.0
2011-03-01,3.3,3.3,3.26,3.3,9928.0
2011-03-02,3.3,3.35,3.3,3.32,8700.0
2011-03-03,3.35,3.35,3.13,3.25,30850.0
2011-03-04,3.34,3.34,3.34,3.34,12968.0
2011-03-07,3.42,3.5,3.36,3.43,85082.0
2011-03-08,3.4,3.4,3.4,3.4,2100.0
2011-03-09,3.4,3.49,3.4,3.4,15725.0
2011-03-10,3.47,3.47,3.3,3.3,48500.0
2011-03-11,3.21,3.4,3.2,3.35,8950.0
2011-03-14,3.2,3.4,3.1,3.25,12650.0
2011-03-15,3.2,3.3,3.15,3.3,14355.0
2011-03-16,3.16,3.16,3.15,3.15,6700.0
2011-03-17,3.14,3.21,2.97,3.02,66500.0
2011-03-18,3.03,3.03,2.81,2.89,68896.0
2011-03-21,2.98,3.0,2.95,2.95,3684.0
2011-03-22,3.0,3.0,2.81,2.81,7000.0
2011-03-23,2.83,2.86,2.71,2.8,22703.0
2011-03-24,2.87,2.87,2.7,2.73,20100.0
