Date,Open,High,Low,Close,Volume
2010-03-22,5.75,5.78,5.19,5.45,176144.0
2010-03-23,5.6,5.6,5.15,5.18,78310.0
2010-03-24,5.21,6.16,4.92,5.65,973885.0
2010-03-25,6.0,6.14,5.65,5.9,549893.0
2010-03-26,6.02,6.02,5.63,5.7,111353.0
2010-03-29,5.78,5.82,5.3,5.43,118262.0
2010-03-30,5.43,5.43,5.05,5.09,170318.0
2010-03-31,5.1,5.25,4.92,5.0,114370.0
2010-04-01,5.0,5.12,4.92,4.99,71882.0
2010-04-02,,,,4.99,0.0
2010-04-05,4.99,5.16,4.83,5.09,118254.0
2010-04-06,5.07,5.15,4.9,4.95,53679.0
2010-04-07,5.0,5.05,4.21,4.5,202711.0
2010-04-08,4.54,4.54,4.01,4.13,284130.0
2010-04-09,4.1,4.64,4.1,4.52,175221.0
2010-04-12,4.53,4.7,4.21,4.3,135533.0
2010-04-13,4.3,4.54,4.07,4.15,142456.0
2010-04-14,4.12,4.33,4.09,4.21,74109.0
2010-04-15,4.22,4.22,4.18,4.19,63074.0
2010-04-16,4.22,4.22,4.05,4.06,37383.0
2010-04-19,4.03,4.15,4.0,4.13,65814.0
2010-04-20,4.13,4.13,4.0,4.0,62390.0
2010-04-21,4.0,4.1,3.9,4.02,97716.0
2010-04-22,4.06,4.06,3.77,3.85,79970.0
2010-04-23,3.85,4.0,3.85,3.94,45988.0
2010-04-26,4.06,4.06,3.95,4.04,73130.0
2010-04-27,4.06,4.06,3.87,3.87,41933.0
2010-04-28,4.0,4.0,3.85,3.93,32727.0
2010-04-29,3.9,3.9,3.57,3.62,73646.0
2010-04-30,3.7,3.7,3.0,3.16,203596.0
2010-05-03,3.28,3.29,3.2,3.25,65347.0
2010-05-04,3.25,3.25,3.03,3.23,109779.0
2010-05-05,3.2,3.23,2.9,3.23,100912.0
2010-05-06,3.19,3.19,2.9,3.05,87583.0
2010-05-07,2.99,3.01,2.8,2.91,93517.0
2010-05-10,2.96,3.49,2.91,3.41,94692.0
2010-05-11,4.0,4.0,3.42,3.65,137014.0
2010-05-12,3.94,4.0,3.84,4.0,173930.0
2010-05-13,4.0,4.0,3.36,3.6,144328.0
2010-05-14,3.67,3.74,3.6,3.62,20204.0
2010-05-17,3.6,3.6,3.15,3.31,74440.0
2010-05-18,3.56,3.63,3.4,3.41,32460.0
2010-05-19,3.3,3.37,3.16,3.16,58871.0
2010-05-20,3.26,3.26,2.95,2.95,119834.0
2010-05-21,2.9,3.3,2.8,3.2,60814.0
2010-05-24,3.49,3.49,3.29,3.35,9800.0
2010-05-25,3.35,3.35,3.12,3.35,37903.0
2010-05-26,3.37,3.48,3.35,3.45,8639.0
2010-05-27,3.5,3.55,3.37,3.53,32585.0
2010-05-28,3.75,3.75,3.3,3.42,11148.0
2010-05-31,,,,3.42,0.0
2010-06-01,3.34,3.34,3.18,3.25,27710.0
2010-06-02,3.24,3.3,3.11,3.12,16009.0
2010-06-03,3.28,3.49,3.2,3.25,10120.0
2010-06-04,3.11,3.29,3.11,3.11,14220.0
2010-06-07,3.29,3.35,3.11,3.11,31964.0
2010-06-08,3.11,3.22,3.05,3.12,32645.0
2010-06-09,3.12,3.19,3.12,3.12,9660.0
2010-06-10,3.16,3.25,3.0,3.0,43765.0
2010-06-11,3.12,3.12,2.98,3.0,38043.0
2010-06-14,3.0,3.06,3.0,3.02,4650.0
2010-06-15,3.01,3.14,2.95,3.0,35942.0
2010-06-16,3.05,3.14,2.97,2.97,10784.0
2010-06-17,3.07,3.08,2.85,3.08,61638.0
2010-06-18,3.08,3.23,3.04,3.18,15000.0
2010-06-21,3.22,3.33,3.18,3.23,17302.0
2010-06-22,3.33,3.33,3.1,3.1,22760.0
2010-06-23,3.26,3.26,3.1,3.1,8400.0
2010-06-24,3.3,3.3,3.11,3.2,7360.0
2010-06-25,3.18,3.18,3.1,3.15,7242.0
2010-06-28,3.13,3.6,3.13,3.6,72956.0
2010-06-29,3.5,3.63,3.16,3.63,110043.0
2010-06-30,3.7,3.75,3.61,3.75,106560.0
2010-07-01,3.7,3.75,3.3,3.3,55345.0
2010-07-02,3.36,3.54,3.29,3.29,7288.0
2010-07-05,,,,3.29,0.0
2010-07-06,3.26,3.42,3.25,3.3,36293.0
2010-07-07,3.31,3.31,3.05,3.06,16748.0
2010-07-08,3.09,3.12,3.05,3.1,6500.0
2010-07-09,3.1,3.16,3.05,3.16,3120.0
2010-07-12,3.16,3.2,3.16,3.2,10270.0
2010-07-13,3.22,3.39,3.22,3.29,5377.0
2010-07-14,3.35,3.38,3.29,3.29,3400.0
2010-07-15,3.35,3.35,3.22,3.27,6352.0
2010-07-16,3.3,3.32,3.24,3.25,11189.0
2010-07-19,3.19,3.19,3.01,3.15,20673.0
2010-07-20,3.15,3.19,3.13,3.16,4000.0
2010-07-21,3.18,3.18,3.13,3.15,16775.0
2010-07-22,3.13,3.27,3.13,3.19,16871.0
2010-07-23,3.22,3.65,3.2,3.59,54115.0
2010-07-26,3.62,3.62,3.5,3.6,30550.0
2010-07-27,3.6,3.63,3.55,3.6,16250.0
2010-07-28,3.54,3.61,3.51,3.6,10221.0
2010-07-29,3.51,3.57,3.47,3.57,26688.0
2010-07-30,3.61,3.61,3.39,3.6,22655.0
2010-08-02,3.63,3.63,3.55,3.6,17187.0
2010-08-03,3.63,3.63,3.59,3.62,26486.0
2010-08-04,3.6,3.62,3.6,3.61,6933.0
2010-08-05,3.6,3.61,3.41,3.43,37441.0
2010-08-06,3.46,3.57,3.46,3.49,500.0
2010-08-09,3.5,3.5,3.35,3.35,8626.0
2010-08-10,3.33,3.33,3.28,3.28,380.0
2010-08-11,3.34,3.34,3.2,3.34,13859.0
2010-08-12,3.28,3.28,3.05,3.14,24051.0
2010-08-13,3.33,3.38,3.05,3.05,4955.0
2010-08-16,3.06,3.28,3.06,3.25,9716.0
2010-08-17,3.6,3.6,3.1,3.18,56495.0
2010-08-18,3.18,3.6,3.0,3.09,179280.0
2010-08-19,3.12,3.33,3.12,3.24,13151.0
2010-08-20,3.42,3.42,3.2,3.2,14325.0
2010-08-23,3.3,3.37,3.3,3.35,11965.0
2010-08-24,3.3,3.38,3.3,3.37,20875.0
2010-08-25,3.29,3.29,3.25,3.28,10847.0
2010-08-26,3.36,3.36,3.25,3.29,5718.0
2010-08-27,3.22,3.31,3.2,3.2,7915.0
2010-08-30,3.3,3.38,3.3,3.35,5098.0
2010-08-31,3.23,3.36,3.18,3.29,1200.0
2010-09-01,3.27,3.3,3.19,3.23,9450.0
2010-09-02,3.16,3.22,3.16,3.16,9061.0
2010-09-03,3.25,3.25,3.2,3.22,8338.0
2010-09-06,,,,3.22,0.0
2010-09-07,3.13,3.25,3.12,3.13,13756.0
2010-09-08,3.12,3.19,3.1,3.18,14965.0
2010-09-09,3.14,3.15,2.95,2.98,40913.0
2010-09-10,3.01,3.11,3.01,3.1,11586.0
2010-09-13,3.1,3.19,3.1,3.19,5299.0
2010-09-14,3.12,3.16,2.97,3.05,16550.0
2010-09-15,3.01,3.04,2.9,2.9,14748.0
2010-09-16,2.9,2.9,2.85,2.9,24561.0
2010-09-17,2.87,3.3,2.87,3.17,43017.0
2010-09-20,3.17,3.17,3.0,3.01,7161.0
2010-09-21,3.01,3.05,2.87,2.9,12105.0
2010-09-22,2.9,3.0,2.9,2.96,12800.0
2010-09-23,2.99,3.1,2.99,3.04,1966.0
2010-09-24,3.01,3.03,3.01,3.01,7400.0
2010-09-27,3.01,3.01,2.94,2.95,23363.0
2010-09-28,2.98,3.1,2.95,2.95,16447.0
2010-09-29,2.96,3.04,2.95,3.0,32446.0
2010-09-30,3.15,3.2,3.08,3.13,17710.0
2010-10-01,3.14,3.16,3.1,3.12,6505.0
2010-10-04,3.15,3.15,3.08,3.08,2290.0
2010-10-05,3.01,3.03,3.01,3.03,3709.0
2010-10-06,3.08,3.08,3.0,3.0,20680.0
2010-10-07,3.0,3.03,2.97,2.98,3500.0
2010-10-08,3.0,3.11,3.0,3.05,11108.0
2010-10-11,3.0,3.25,2.95,3.24,51644.0
2010-10-12,3.19,3.19,3.11,3.15,21575.0
2010-10-13,3.2,3.38,3.12,3.35,53971.0
2010-10-14,3.35,3.35,3.2,3.21,29501.0
2010-10-15,3.25,3.25,3.01,3.14,18610.0
2010-10-18,3.08,3.3,3.05,3.27,28969.0
2010-10-19,3.18,3.19,3.16,3.18,1701.0
2010-10-20,3.18,3.26,3.1,3.12,18025.0
2010-10-21,3.1,3.2,3.1,3.15,9292.0
2010-10-22,3.11,3.15,3.11,3.15,300.0
2010-10-25,3.22,3.22,3.05,3.15,10249.0
2010-10-26,3.16,3.19,3.13,3.14,14846.0
2010-10-27,3.15,3.25,3.15,3.2,20762.0
2010-10-28,3.2,3.2,3.15,3.2,17416.0
2010-10-29,3.2,3.25,3.15,3.15,24776.0
2010-11-01,3.15,3.21,3.15,3.16,12152.0
2010-11-02,3.19,3.35,3.16,3.25,83977.0
2010-11-03,3.25,3.29,3.16,3.2,19135.0
2010-11-04,3.24,3.27,3.2,3.24,15709.0
2010-11-05,3.22,3.28,3.22,3.28,16035.0
2010-11-08,3.28,3.34,3.25,3.33,67350.0
2010-11-09,3.35,3.5,3.35,3.5,52082.0
2010-11-10,3.5,3.5,3.35,3.43,35371.0
2010-11-11,3.32,3.39,3.19,3.29,30499.0
2010-11-12,3.3,3.37,3.2,3.21,26999.0
2010-11-15,3.27,3.3,3.18,3.28,16020.0
2010-11-16,3.25,3.25,3.15,3.18,35243.0
2010-11-17,3.17,3.17,3.08,3.12,19707.0
2010-11-18,3.1,3.12,3.08,3.12,6500.0
2010-11-19,3.12,3.13,3.1,3.1,28644.0
2010-11-22,3.05,3.11,3.05,3.1,23554.0
2010-11-23,3.1,3.23,3.05,3.08,40692.0
2010-11-24,3.12,3.26,3.05,3.05,22831.0
2010-11-26,3.05,3.06,3.0,3.0,22445.0
2010-11-29,2.98,3.09,2.9,2.96,23911.0
2010-11-30,3.0,3.0,2.85,2.98,58231.0
2010-12-01,2.98,2.98,2.85,2.88,50764.0
2010-12-02,2.95,2.95,2.85,2.85,41447.0
2010-12-03,2.81,2.93,2.81,2.85,15050.0
2010-12-06,2.85,2.85,2.6,2.64,94951.0
2010-12-07,2.7,2.7,2.63,2.65,18889.0
2010-12-08,2.62,3.08,2.58,2.91,78501.0
2010-12-09,2.99,3.0,2.93,2.98,23475.0
