Date,Open,High,Low,Close,Volume
2007-05-17,36.0,50.1,35.31,49.68,4165540.0
2007-05-18,46.44,49.5,42.42,42.54,2123761.0
2007-05-21,42.09,45.72,41.25,43.32,507324.0
2007-05-22,43.65,47.25,42.18,44.7,555606.0
2007-05-23,46.77,47.31,43.5,43.8,383024.0
2007-05-24,44.52,44.58,40.65,41.13,474797.0
2007-05-25,42.69,42.72,40.5,40.95,157139.0
2007-05-29,40.95,41.94,38.4,38.7,283705.0
2007-05-30,37.02,37.02,34.68,35.4,657076.0
2007-05-31,36.3,37.26,34.86,36.33,351764.0
2007-06-01,37.2,37.5,35.4,35.4,245542.0
2007-06-04,34.95,35.28,33.18,34.2,291306.0
2007-06-05,34.8,34.8,32.13,32.67,281358.0
2007-06-06,32.4,34.41,32.4,33.39,299103.0
2007-06-07,33.45,34.2,32.85,33.0,156651.0
2007-06-08,32.46,33.57,32.46,33.33,191678.0
2007-06-11,33.27,33.84,32.49,33.0,126306.0
2007-06-12,32.7,33.69,32.7,33.03,78363.0
2007-06-13,33.3,35.1,32.7,34.26,201628.0
2007-06-14,34.11,35.73,33.42,35.18,287763.0
2007-06-15,35.16,38.55,35.16,37.83,254338.0
2007-06-18,38.4,39.54,38.25,38.64,271071.0
2007-06-19,38.64,39.3,37.08,37.26,124139.0
2007-06-20,37.23,39.0,36.03,36.54,128735.0
2007-06-21,36.9,38.1,36.15,36.9,79083.0
2007-06-22,36.9,39.63,36.9,39.06,231219.0
2007-06-25,39.0,42.87,38.55,41.49,534863.0
2007-06-26,42.0,42.84,39.87,41.91,314322.0
2007-06-27,41.55,41.82,39.75,40.5,203471.0
2007-06-28,41.07,42.66,40.35,41.88,228886.0
2007-06-29,42.54,42.54,40.35,41.1,146008.0
2007-07-02,41.4,44.7,40.11,41.91,396115.0
2007-07-03,40.98,41.31,33.6,33.84,1220506.0
2007-07-05,33.99,34.56,32.25,32.49,559866.0
2007-07-06,32.91,35.4,31.74,34.32,596542.0
2007-07-09,35.43,35.94,34.44,34.98,386788.0
2007-07-10,34.95,35.1,33.78,34.08,169097.0
2007-07-11,33.9,34.71,33.18,33.45,154087.0
2007-07-12,34.2,35.85,34.2,35.43,379339.0
2007-07-13,35.25,39.21,34.95,38.31,711975.0
2007-07-16,39.6,40.53,38.55,39.0,328464.0
2007-07-17,39.3,39.87,37.32,37.77,162737.0
2007-07-18,37.41,37.62,36.33,37.29,134741.0
2007-07-19,37.77,38.46,37.32,37.53,99783.0
2007-07-20,37.62,37.62,36.09,36.75,103844.0
2007-07-23,37.05,37.44,36.27,36.78,74489.0
2007-07-24,36.48,36.75,35.1,35.25,108440.0
2007-07-25,36.0,36.0,33.03,34.2,163109.0
2007-07-26,33.78,34.2,33.03,33.51,149480.0
2007-07-27,33.63,34.44,32.55,33.45,103793.0
2007-07-30,33.93,35.25,33.36,34.38,88657.0
2007-07-31,34.56,35.64,34.5,34.53,105323.0
2007-08-01,34.5,34.8,32.7,33.24,121443.0
2007-08-02,33.21,33.42,31.77,31.77,167511.0
2007-08-03,32.01,32.07,28.53,28.83,296078.0
2007-08-06,28.8,29.22,23.55,25.44,436126.0
2007-08-07,25.11,26.1,24.33,25.59,179006.0
2007-08-08,26.01,29.19,26.01,27.3,374072.0
2007-08-09,26.91,28.95,26.55,26.82,173430.0
2007-08-10,26.7,27.66,25.86,27.27,334750.0
2007-08-13,29.79,29.79,27.0,27.15,97137.0
2007-08-14,27.45,27.75,25.38,25.53,208603.0
2007-08-15,25.5,25.53,24.39,24.39,132709.0
2007-08-16,23.91,23.97,20.4,22.26,366606.0
2007-08-17,24.0,24.6,21.42,21.51,226683.0
2007-08-20,22.05,22.47,21.27,21.93,118370.0
2007-08-21,21.66,23.52,21.66,22.38,106737.0
2007-08-22,22.74,23.85,22.5,22.8,169195.0
2007-08-23,23.4,23.4,22.08,22.35,198289.0
2007-08-24,16.8,18.3,14.91,17.73,1252596.0
2007-08-27,17.73,17.73,16.53,16.65,322398.0
2007-08-28,17.4,17.4,14.91,15.15,350869.0
