Date,Open,High,Low,Close,Volume
2005-01-03,23.0,23.3,22.12,22.76,394404.0
2005-01-04,22.87,23.23,21.66,22.0,230110.0
2005-01-05,21.76,22.13,21.36,21.42,488448.0
2005-01-06,21.56,21.99,21.1,21.24,273394.0
2005-01-07,21.28,21.38,20.22,20.64,618380.0
2005-01-10,20.52,22.18,20.5,21.5,1221756.0
2005-01-11,21.27,22.07,21.27,21.69,616934.0
2005-01-12,21.56,22.0,21.39,22.0,337342.0
2005-01-13,22.2,22.9,21.92,22.54,611738.0
2005-01-14,22.45,22.88,22.25,22.56,562060.0
2005-01-18,20.52,22.2,20.2,21.94,669174.0
2005-01-19,21.67,22.34,20.9,21.04,465724.0
2005-01-20,20.74,21.12,20.51,20.51,279400.0
2005-01-21,20.52,21.26,19.88,19.94,567576.0
2005-01-24,19.86,20.08,19.38,19.46,321968.0
2005-01-25,19.51,20.04,19.16,19.16,487158.0
2005-01-26,19.49,20.18,19.2,19.86,508586.0
2005-01-27,19.68,20.24,19.68,20.06,149448.0
2005-01-28,20.05,20.14,19.82,19.89,117236.0
2005-01-31,20.24,20.72,20.06,20.55,200342.0
2005-02-01,20.76,21.04,20.56,20.68,129426.0
2005-02-02,21.0,21.2,20.76,20.92,124012.0
2005-02-03,20.96,20.96,20.28,20.48,158902.0
2005-02-04,20.98,21.84,20.75,21.8,278452.0
2005-02-07,21.8,22.14,21.5,21.66,230260.0
2005-02-08,21.12,21.72,20.76,21.23,145412.0
2005-02-09,21.15,21.39,20.5,20.65,185478.0
2005-02-10,20.75,21.0,20.56,20.8,64892.0
2005-02-11,21.0,21.1,20.6,20.99,254934.0
2005-02-14,21.14,21.35,21.0,21.12,282376.0
2005-02-15,21.32,21.36,21.0,21.32,89634.0
2005-02-16,21.21,21.38,19.62,19.84,707288.0
2005-02-17,19.68,20.21,19.02,19.2,468132.0
2005-02-18,19.47,19.5,19.15,19.2,573762.0
2005-02-22,19.75,20.22,19.52,19.55,817710.0
2005-02-23,19.51,20.14,19.42,19.8,406492.0
2005-02-24,19.75,19.9,19.26,19.7,337034.0
