Date,Open,High,Low,Close,Volume
2009-11-27,10.3,10.78,10.29,10.78,76083.0
2009-11-30,10.75,10.75,7.91,8.12,105595.0
2009-12-01,8.15,8.15,7.24,7.25,76444.0
2009-12-02,7.25,7.3,7.01,7.03,54929.0
2009-12-03,7.08,7.47,7.05,7.43,39967.0
2009-12-04,7.43,7.72,7.25,7.4,29911.0
2009-12-07,7.53,7.67,7.4,7.67,41270.0
2009-12-08,7.6,7.72,7.4,7.72,14645.0
2009-12-09,7.63,7.76,7.63,7.76,15367.0
2009-12-10,7.7,7.74,7.54,7.72,10831.0
2009-12-11,7.74,7.76,7.6,7.69,10169.0
2009-12-14,7.78,8.12,7.48,7.9,99705.0
2009-12-15,7.9,7.95,7.06,7.85,31380.0
2009-12-16,7.94,7.95,7.86,7.88,15781.0
2009-12-17,7.7,7.88,7.7,7.72,10124.0
2009-12-18,7.78,7.82,7.74,7.76,12618.0
2009-12-21,7.9,7.92,7.85,7.87,14038.0
2009-12-22,7.88,7.92,7.85,7.88,17251.0
2009-12-23,7.8,7.86,7.2,7.86,27979.0
2009-12-24,7.78,7.78,7.5,7.65,7128.0
2009-12-25,,,,7.65,0.0
2009-12-28,7.71,7.8,7.65,7.68,8095.0
2009-12-29,7.64,8.18,7.63,8.18,76904.0
2009-12-30,7.7,8.25,7.5,8.25,90580.0
2009-12-31,8.2,8.24,7.83,8.01,30647.0
2010-01-01,,,,8.01,0.0
2010-01-04,8.2,8.25,7.9,8.1,29842.0
2010-01-05,8.0,8.28,8.0,8.04,14213.0
2010-01-06,8.06,8.24,7.88,8.0,21353.0
2010-01-07,8.04,8.22,7.95,8.04,21825.0
2010-01-08,8.01,8.12,7.51,7.91,19012.0
2010-01-11,8.24,8.29,7.96,8.0,23052.0
2010-01-12,7.9,8.01,7.8,7.98,19106.0
2010-01-13,7.85,8.03,7.85,7.97,22934.0
2010-01-14,7.8,8.02,7.66,8.02,13765.0
2010-01-15,8.15,8.15,7.73,7.82,11024.0
2010-01-18,,,,7.82,0.0
2010-01-19,8.19,8.23,7.88,8.2,60869.0
2010-01-20,8.15,8.15,7.9,7.99,15264.0
2010-01-21,8.0,8.08,7.85,7.85,22802.0
2010-01-22,7.98,8.3,7.98,8.25,69668.0
2010-01-25,8.28,8.3,7.7,8.13,38850.0
2010-01-26,8.15,8.15,7.95,8.15,20250.0
2010-01-27,8.16,8.3,7.95,8.3,26339.0
2010-01-28,8.28,8.29,7.7,8.29,12353.0
2010-01-29,8.29,8.29,7.95,7.99,14177.0
2010-02-01,7.84,8.24,7.72,7.99,7365.0
2010-02-02,7.86,8.19,7.7,8.0,33820.0
2010-02-03,7.81,8.13,7.7,7.98,10830.0
2010-02-04,7.98,7.98,7.5,7.62,29216.0
2010-02-05,7.21,7.35,7.05,7.28,40008.0
2010-02-08,7.72,8.1,7.7,8.09,36891.0
2010-02-09,8.2,8.39,7.65,8.39,38146.0
2010-02-10,8.44,8.44,8.17,8.36,19871.0
2010-02-11,8.44,8.49,8.04,8.43,12980.0
2010-02-12,8.5,8.55,8.0,8.33,32907.0
2010-02-15,,,,8.33,0.0
2010-02-16,8.46,8.75,8.23,8.75,25592.0
2010-02-17,8.91,8.95,8.76,8.84,17114.0
2010-02-18,8.81,8.86,8.3,8.86,17090.0
2010-02-19,8.86,8.92,8.75,8.84,11149.0
2010-02-22,8.75,8.76,7.13,8.21,673677.0
2010-02-23,8.3,8.3,7.7,7.95,28329.0
2010-02-24,7.98,8.2,7.75,8.08,37119.0
2010-02-25,8.1,8.1,7.75,7.88,53967.0
2010-02-26,7.9,8.15,7.6,8.15,94340.0
2010-03-01,8.39,8.45,7.35,7.35,143725.0
