Date,Open,High,Low,Close,Volume
2009-04-02,15.0,23.93,20.02,20.02,8944977.0
2009-04-03,19.56,20.55,19.26,19.4,1473009.0
2009-04-06,19.7,21.74,19.0,21.63,1195625.0
2009-04-07,21.8,24.18,21.63,23.84,1719191.0
2009-04-08,24.5,24.94,22.55,23.26,760535.0
2009-04-09,24.0,25.0,23.37,25.0,631380.0
2009-04-10,,,,25.0,0.0
2009-04-13,25.1,29.51,24.48,28.0,1565667.0
2009-04-14,29.3,29.3,26.0,26.96,817428.0
2009-04-15,26.26,29.01,26.26,27.29,607747.0
2009-04-16,28.25,28.48,26.18,27.31,576679.0
2009-04-17,27.6,29.1,26.25,26.92,684810.0
2009-04-20,26.4,26.71,23.89,24.82,737972.0
2009-04-21,24.11,25.73,23.97,24.76,402160.0
2009-04-22,24.67,28.0,24.54,26.18,597781.0
2009-04-23,26.67,26.95,25.33,25.91,275335.0
2009-04-24,26.57,28.0,26.1,26.63,495941.0
2009-04-27,26.01,28.75,25.7,26.8,464790.0
2009-04-28,26.5,30.75,26.3,28.0,1683417.0
2009-04-29,28.84,31.27,28.52,31.05,1227623.0
2009-04-30,31.8,33.48,30.02,30.75,1122482.0
2009-05-01,31.52,32.28,30.14,32.15,825934.0
2009-05-04,37.43,37.71,32.4,32.62,2937430.0
2009-05-05,33.34,33.8,31.88,32.02,660596.0
2009-05-06,31.9,33.48,31.15,32.4,513541.0
2009-05-07,32.6,32.7,29.94,30.96,802963.0
2009-05-08,31.0,31.74,30.0,30.02,491991.0
2009-05-11,29.5,30.44,29.01,29.8,489652.0
2009-05-12,30.94,30.94,29.54,29.54,506286.0
2009-05-13,29.44,29.67,27.05,27.26,665386.0
2009-05-14,27.73,30.25,27.0,29.4,759715.0
2009-05-15,29.98,30.35,28.85,29.69,345183.0
2009-05-18,30.2,30.48,28.65,30.24,345533.0
2009-05-19,30.25,31.75,29.65,30.44,545442.0
2009-05-20,30.84,30.95,29.19,29.42,359452.0
2009-05-21,29.47,29.47,27.1,27.85,464861.0
2009-05-22,28.2,29.2,27.65,29.01,153174.0
2009-05-26,29.95,34.0,29.86,33.65,1404134.0
2009-05-27,33.95,35.1,31.72,31.99,1036154.0
2009-05-28,32.5,32.9,31.82,32.0,632009.0
2009-05-29,32.11,32.9,31.5,32.9,412113.0
2009-06-01,33.9,36.24,33.6,35.77,980542.0
2009-06-02,35.77,38.73,35.2,37.65,991990.0
2009-06-03,37.0,39.77,36.82,38.5,948627.0
2009-06-04,38.5,39.5,36.82,39.34,711674.0
2009-06-05,40.0,40.73,38.5,38.8,708573.0
2009-06-08,37.71,39.32,36.86,38.7,531865.0
2009-06-09,39.11,42.25,38.54,41.87,921728.0
2009-06-10,42.4,44.24,39.9,43.87,1039568.0
2009-06-11,43.7,44.85,42.7,42.85,523733.0
2009-06-12,42.85,43.99,40.79,41.45,771341.0
2009-06-15,40.85,41.85,38.15,38.61,742178.0
2009-06-16,39.27,39.93,35.43,35.59,1196699.0
2009-06-17,35.72,35.99,33.15,35.0,1342240.0
2009-06-18,35.45,37.89,34.71,37.26,855113.0
2009-06-19,37.99,39.1,37.89,38.53,665246.0
2009-06-22,38.27,38.27,35.0,35.38,546807.0
2009-06-23,35.44,36.88,34.0,36.57,590430.0
2009-06-24,37.46,39.2,37.33,39.03,604143.0
2009-06-25,38.89,43.5,37.81,43.06,1134777.0
2009-06-26,43.33,45.95,42.5,45.52,1342750.0
2009-06-29,46.74,46.85,40.81,41.96,1805568.0
2009-06-30,41.8,41.95,38.3,38.38,1706233.0
2009-07-01,38.62,42.09,38.62,40.92,1100069.0
2009-07-02,39.3,40.21,38.2,39.8,805688.0
2009-07-03,,,,39.8,0.0
2009-07-06,39.0,40.89,38.6,39.84,651640.0
2009-07-07,39.92,42.41,38.2,38.44,1269810.0
2009-07-08,38.9,39.49,36.1,37.25,1150793.0
2009-07-09,37.65,39.63,37.17,39.51,749583.0
2009-07-10,38.84,39.77,37.6,38.45,410644.0
2009-07-13,39.33,39.53,37.0,37.61,498309.0
2009-07-14,37.99,39.0,37.3,38.6,425695.0
2009-07-15,39.5,42.89,39.29,42.67,1355615.0
2009-07-16,42.01,43.42,41.3,42.86,723834.0
2009-07-17,42.93,42.93,41.01,41.34,521965.0
