Date,Open,High,Low,Close,Volume
2011-05-11,11.0,11.62,9.76,10.52,7226774.0
2011-05-12,10.65,11.01,10.12,10.69,885144.0
2011-05-13,10.66,10.85,10.13,10.7,389174.0
2011-05-16,10.89,11.39,10.6,11.25,350535.0
2011-05-17,11.16,11.32,10.02,10.88,408456.0
2011-05-18,11.08,11.25,10.43,11.0,664881.0
2011-05-19,11.0,12.45,10.84,12.0,1032949.0
2011-05-20,12.25,14.77,12.1,14.34,1413967.0
2011-05-23,13.64,15.49,12.82,15.21,1318869.0
2011-05-24,15.37,15.8,15.1,15.23,834642.0
2011-05-25,15.23,15.32,14.8,14.98,349810.0
2011-05-26,14.92,14.93,13.71,14.0,338252.0
2011-05-27,14.0,14.48,13.58,14.36,272059.0
2011-05-31,14.6,14.99,13.9,13.94,305906.0
2011-06-01,14.01,14.1,12.8,12.83,283619.0
2011-06-02,12.77,13.47,12.57,13.37,241918.0
2011-06-03,13.11,13.75,12.7,12.72,361964.0
2011-06-06,12.8,13.07,11.33,12.2,401388.0
2011-06-07,12.2,12.44,11.7,11.96,222184.0
2011-06-08,11.93,13.29,11.21,11.4,733852.0
2011-06-09,11.32,11.44,10.03,10.22,778264.0
2011-06-10,10.36,10.81,9.65,10.06,515922.0
2011-06-13,10.45,10.59,9.82,9.87,415250.0
2011-06-14,9.99,10.35,9.75,9.92,368145.0
2011-06-15,9.79,10.05,9.55,9.96,225078.0
2011-06-16,9.93,10.35,9.65,9.93,246526.0
2011-06-17,10.12,10.2,9.92,10.0,109351.0
2011-06-20,10.05,10.1,9.12,9.19,263406.0
2011-06-21,9.69,10.99,9.69,10.19,535248.0
2011-06-22,10.1,10.59,10.05,10.39,126636.0
2011-06-23,10.67,10.67,9.96,10.29,139895.0
2011-06-24,10.96,10.96,10.02,10.51,221430.0
2011-06-27,10.8,10.89,10.17,10.55,110254.0
2011-06-28,10.61,11.35,10.61,11.0,443659.0
2011-06-29,11.06,12.04,10.8,11.47,520417.0
2011-06-30,11.96,11.99,11.01,11.43,180782.0
2011-07-01,11.75,11.75,11.0,11.42,155248.0
2011-07-05,11.9,12.25,11.5,12.12,192544.0
2011-07-06,12.5,12.85,11.8,12.5,234344.0
2011-07-07,12.53,12.97,12.35,12.42,145141.0
2011-07-08,12.45,12.45,11.05,11.9,190422.0
2011-07-11,11.9,11.94,10.82,10.94,105585.0
2011-07-12,10.98,11.57,10.28,11.16,126794.0
2011-07-13,11.14,12.68,11.14,11.89,261722.0
2011-07-14,12.12,13.49,12.03,13.47,384662.0
2011-07-15,13.5,14.22,12.91,14.0,211301.0
2011-07-18,14.05,14.45,13.67,14.33,374267.0
2011-07-19,14.32,16.12,14.31,14.73,637671.0
2011-07-20,15.0,15.3,14.0,14.13,200591.0
2011-07-21,14.13,14.34,13.0,13.24,314564.0
2011-07-22,13.7,13.97,13.02,13.86,118449.0
2011-07-25,13.69,14.48,13.25,14.13,208208.0
2011-07-26,14.16,14.59,14.16,14.45,118612.0
2011-07-27,14.55,14.55,13.75,13.86,192748.0
2011-07-28,14.49,15.4,14.1,14.95,441922.0
2011-07-29,15.0,15.5,13.98,14.39,430757.0
2011-08-01,15.47,15.49,14.51,14.74,176939.0
2011-08-02,15.0,15.15,14.08,14.42,275826.0
2011-08-03,14.43,15.15,14.08,14.85,162824.0
2011-08-04,14.99,14.99,13.25,13.68,190942.0
2011-08-05,13.61,14.25,11.6,12.6,237023.0
2011-08-08,12.14,12.34,11.5,11.51,169557.0
2011-08-09,11.64,14.25,11.64,12.83,464112.0
2011-08-10,13.84,14.16,12.52,12.85,493151.0
2011-08-11,13.3,13.58,12.5,12.77,293885.0
2011-08-12,13.5,13.5,12.7,13.0,112309.0
2011-08-15,13.26,13.68,13.11,13.54,122208.0
2011-08-16,13.31,13.85,13.22,13.72,95222.0
2011-08-17,13.7,14.87,13.38,14.25,301109.0
2011-08-18,13.74,13.98,13.15,13.74,163648.0
2011-08-19,13.76,13.98,13.02,13.09,182656.0
2011-08-22,13.35,13.7,12.83,13.41,120062.0
2011-08-23,13.34,13.9,13.1,13.75,169639.0
2011-08-24,13.61,13.61,12.68,13.09,233933.0
2011-08-25,13.13,13.15,12.03,12.65,276546.0
2011-08-26,12.44,13.0,12.16,12.87,142796.0
2011-08-29,13.73,13.73,12.3,13.24,185397.0
2011-08-30,13.24,13.65,13.05,13.17,112873.0
2011-08-31,13.17,13.44,12.69,12.91,227375.0
2011-09-01,12.85,13.34,12.51,12.67,74879.0
2011-09-02,12.5,12.86,12.36,12.73,167953.0
2011-09-06,12.45,13.24,12.45,13.04,122584.0
2011-09-07,13.46,13.46,12.85,12.94,138275.0
2011-09-08,12.76,13.31,11.9,12.03,210692.0
2011-09-09,12.07,12.34,11.08,11.33,177969.0
2011-09-12,11.04,11.06,10.0,10.46,358245.0
2011-09-13,10.46,11.16,10.4,10.63,164357.0
2011-09-14,10.85,11.05,10.16,10.34,187391.0
2011-09-15,10.6,10.74,9.55,9.81,392736.0
2011-09-16,9.9,10.34,9.5,9.59,245591.0
2011-09-19,9.55,9.63,9.2,9.51,131752.0
2011-09-20,9.49,9.49,8.07,8.41,478056.0
2011-09-21,8.17,8.82,8.08,8.46,209528.0
2011-09-22,8.2,8.27,7.56,7.83,235508.0
2011-09-23,7.77,8.0,7.5,7.85,137401.0
2011-09-26,8.01,8.23,7.75,8.03,280933.0
2011-09-27,8.36,8.98,8.11,8.83,315287.0
2011-09-28,8.91,9.05,8.41,8.74,186632.0
2011-09-29,8.75,8.98,8.42,8.48,251391.0
2011-09-30,8.29,8.29,7.77,8.0,138421.0
2011-10-03,7.74,7.85,7.0,7.21,231531.0
2011-10-04,7.1,8.0,6.7,8.0,94104.0
2011-10-05,8.18,8.18,7.57,8.15,59326.0
2011-10-06,8.17,8.78,8.13,8.75,51439.0
2011-10-07,8.74,8.87,7.95,8.06,67590.0
2011-10-10,8.18,8.55,8.14,8.47,55721.0
2011-10-11,8.36,9.01,8.11,8.95,96199.0
2011-10-12,8.97,9.75,8.95,9.31,116940.0
2011-10-13,9.47,9.47,8.9,8.99,62919.0
2011-10-14,9.14,9.26,8.57,8.69,56243.0
2011-10-17,8.61,8.97,8.03,8.56,98074.0
2011-10-18,8.56,8.88,8.0,8.54,89177.0
2011-10-19,8.48,8.6,8.2,8.5,66135.0
2011-10-20,8.35,8.54,8.22,8.46,45799.0
2011-10-21,8.61,8.93,8.4,8.54,29127.0
2011-10-24,8.63,8.85,8.42,8.66,95285.0
2011-10-25,8.64,8.71,8.35,8.46,50691.0
2011-10-26,8.69,8.7,8.4,8.6,86791.0
2011-10-27,8.82,10.39,8.72,10.2,226824.0
2011-10-28,10.3,10.86,9.93,10.8,144784.0
2011-10-31,10.64,10.84,9.88,10.37,101705.0
2011-11-01,9.81,9.82,8.13,8.6,237810.0
2011-11-02,9.02,9.15,8.51,8.78,92310.0
2011-11-03,9.2,9.39,8.5,8.76,75871.0
2011-11-04,8.93,9.12,8.53,8.79,74623.0
2011-11-07,9.29,10.71,8.99,10.61,184471.0
2011-11-08,10.88,10.88,10.12,10.39,123294.0
2011-11-09,10.3,10.52,9.59,9.66,80103.0
2011-11-10,10.0,10.47,9.08,9.77,49617.0
2011-11-11,10.06,10.37,9.39,10.18,43986.0
2011-11-14,9.93,10.2,9.5,9.74,28351.0
2011-11-15,9.7,9.74,9.41,9.47,45436.0
2011-11-16,9.3,9.61,9.18,9.3,42725.0
2011-11-17,9.75,9.75,8.62,8.7,81966.0
2011-11-18,8.67,8.75,8.12,8.19,128466.0
2011-11-21,8.0,8.2,7.7,7.99,204216.0
2011-11-22,8.0,8.14,7.4,7.77,119737.0
2011-11-23,7.62,7.67,7.21,7.37,204674.0
2011-11-25,7.4,7.74,7.14,7.34,45160.0
2011-11-28,7.58,7.8,7.21,7.36,124345.0
2011-11-29,7.31,7.32,7.0,7.21,72515.0
2011-11-30,7.21,7.78,7.2,7.38,189023.0
2011-12-01,7.6,7.6,7.31,7.45,65101.0
2011-12-02,7.45,7.55,7.25,7.29,125259.0
2011-12-05,7.37,7.42,7.21,7.29,95270.0
2011-12-06,7.49,7.49,7.08,7.17,51317.0
2011-12-07,7.11,7.2,6.93,7.14,73763.0
2011-12-08,7.16,7.2,6.88,6.96,83003.0
2011-12-09,6.92,7.03,6.85,7.0,83961.0
2011-12-12,6.84,6.96,6.57,6.63,75373.0
2011-12-13,6.63,6.97,6.55,6.57,165256.0
2011-12-14,6.41,6.56,6.24,6.3,151465.0
2011-12-15,6.35,6.5,6.22,6.36,116882.0
2011-12-16,6.26,6.38,6.13,6.21,137626.0
2011-12-19,6.23,6.23,5.9,5.93,92233.0
2011-12-20,5.97,6.14,5.75,5.77,283053.0
2011-12-21,5.85,5.88,5.5,5.76,181401.0
2011-12-22,6.0,6.59,5.99,6.44,278529.0
2011-12-23,6.42,6.6,6.14,6.29,71253.0
2011-12-27,6.22,6.25,6.0,6.0,95330.0
2011-12-28,5.97,6.08,5.91,5.98,257642.0
2011-12-29,6.01,6.07,5.7,5.97,247316.0
2011-12-30,5.95,6.0,5.74,5.84,163300.0
2012-01-03,6.0,6.05,5.84,5.97,111495.0
2012-01-04,5.9,6.04,5.83,6.04,74911.0
2012-01-05,6.0,6.02,5.72,5.83,131430.0
2012-01-06,5.78,5.95,5.77,5.94,32504.0
2012-01-09,5.86,5.94,5.61,5.81,83170.0
2012-01-10,5.84,6.24,5.84,6.19,235209.0
2012-01-11,6.29,6.87,6.15,6.8,260885.0
2012-01-12,7.1,7.1,6.71,6.85,112529.0
2012-01-13,6.85,6.85,6.48,6.62,133916.0
2012-01-17,6.58,6.8,6.5,6.61,73640.0
2012-01-18,6.5,6.65,6.49,6.63,64219.0
2012-01-19,6.61,6.68,6.48,6.6,96277.0
2012-01-20,6.51,7.24,6.51,7.14,191010.0
2012-01-23,7.05,7.21,6.9,7.14,117683.0
2012-01-24,7.01,7.17,6.91,6.94,35771.0
2012-01-25,6.86,6.91,6.64,6.8,68112.0
2012-01-26,6.93,6.93,6.72,6.75,84994.0
2012-01-27,6.87,7.6,6.76,7.52,296003.0
2012-01-30,7.47,7.47,7.11,7.4,159262.0
2012-01-31,7.45,7.45,7.18,7.27,74827.0
2012-02-01,7.28,7.28,7.01,7.08,127516.0
2012-02-02,7.03,7.44,7.03,7.32,183201.0
2012-02-03,7.53,7.95,7.33,7.46,202763.0
2012-02-06,7.45,7.47,7.3,7.36,99542.0
2012-02-07,7.48,7.69,7.26,7.54,112434.0
2012-02-08,7.62,7.68,7.43,7.52,57575.0
2012-02-09,7.6,7.6,7.12,7.36,95130.0
2012-02-10,7.22,7.3,6.83,7.18,87170.0
2012-02-13,7.16,7.36,7.16,7.34,56160.0
2012-02-14,7.42,7.42,7.16,7.27,51422.0
2012-02-15,7.24,7.33,7.01,7.22,71915.0
2012-02-16,7.12,7.32,7.04,7.18,105255.0
2012-02-17,7.3,7.3,7.07,7.2,49520.0
2012-02-21,7.06,7.25,7.05,7.1,101006.0
2012-02-22,7.17,7.21,7.0,7.03,42151.0
2012-02-23,6.58,7.07,6.51,6.99,88882.0
2012-02-24,6.85,7.04,6.85,6.9,41316.0
2012-02-27,6.86,7.05,6.75,6.95,117348.0
