Date,Open,High,Low,Close,Volume
2010-04-22,10.25,12.69,10.25,12.58,1385713.0
2010-04-23,12.4,13.46,12.11,12.39,324627.0
2010-04-26,12.88,12.88,11.11,11.59,321167.0
2010-04-27,11.4,12.2,10.8,12.0,199372.0
2010-04-28,12.0,12.0,11.33,11.4,35335.0
2010-04-29,11.34,11.5,10.8,10.91,36495.0
2010-04-30,11.5,12.25,10.4,10.6,64491.0
2010-05-03,10.77,10.81,10.06,10.06,36007.0
2010-05-04,10.04,10.19,8.21,8.7,148150.0
2010-05-05,8.42,9.48,8.42,9.02,66445.0
2010-05-06,8.8,8.9,8.26,8.7,20563.0
2010-05-07,8.43,8.7,8.06,8.38,22825.0
2010-05-10,8.21,8.44,8.08,8.11,9187.0
2010-05-11,8.1,8.25,7.91,8.25,24650.0
2010-05-12,8.3,8.46,8.02,8.46,33575.0
2010-05-13,8.43,8.44,8.13,8.25,5300.0
2010-05-14,8.47,9.0,8.31,8.7,30657.0
2010-05-17,8.69,8.7,8.3,8.4,7300.0
2010-05-18,8.37,8.4,7.01,7.2,42633.0
2010-05-19,7.5,7.5,6.5,6.6,39576.0
2010-05-20,6.31,7.25,6.3,7.17,22771.0
2010-05-21,7.17,7.4,6.94,7.19,10123.0
2010-05-24,7.39,7.39,6.98,7.29,5662.0
2010-05-25,7.19,7.37,6.89,6.89,7730.0
2010-05-26,7.3,7.46,7.04,7.2,15204.0
2010-05-27,7.46,7.69,7.46,7.69,13000.0
2010-05-28,7.73,7.88,7.49,7.76,16000.0
2010-05-31,,,,7.76,0.0
2010-06-01,7.75,8.0,7.7,8.0,10650.0
2010-06-02,7.95,8.0,7.7,7.93,11650.0
2010-06-03,7.78,7.78,7.26,7.26,300.0
2010-06-04,7.56,7.74,7.56,7.57,594.0
2010-06-07,7.74,7.74,7.49,7.51,2399.0
2010-06-08,7.8,7.8,7.15,7.2,1650.0
2010-06-09,7.26,7.28,6.85,6.85,12700.0
2010-06-10,7.1,7.5,6.9,7.0,5950.0
2010-06-11,6.66,7.79,6.6,7.62,11032.0
2010-06-14,7.67,7.75,7.15,7.15,4470.0
2010-06-15,7.5,7.5,7.15,7.2,1860.0
2010-06-16,7.35,7.35,6.71,6.74,6750.0
2010-06-17,7.2,7.2,7.02,7.02,1100.0
2010-06-18,7.14,7.39,6.85,6.85,2097.0
2010-06-21,7.2,7.2,6.88,6.89,900.0
2010-06-22,6.94,7.4,6.7,7.0,15257.0
2010-06-23,7.01,7.01,6.8,6.9,768.0
2010-06-24,6.83,7.07,6.64,6.79,3412.0
2010-06-25,6.6,6.6,6.5,6.6,6020.0
2010-06-28,6.7,6.7,6.32,6.45,1231.0
2010-06-29,6.45,6.45,6.24,6.3,6190.0
2010-06-30,6.3,6.3,6.3,6.3,1650.0
2010-07-01,6.2,6.2,6.0,6.03,6350.0
2010-07-02,5.92,5.92,5.92,5.92,1000.0
2010-07-05,,,,5.92,0.0
2010-07-06,5.92,6.14,5.55,6.0,14563.0
2010-07-07,6.15,6.41,6.15,6.28,6701.0
2010-07-08,6.25,6.25,5.99,5.99,1900.0
2010-07-09,6.0,6.0,5.66,5.97,1650.0
2010-07-12,5.99,5.99,5.18,5.25,4250.0
2010-07-13,5.99,5.99,5.39,5.55,2830.0
2010-07-14,5.5,5.5,5.4,5.48,1000.0
2010-07-15,5.32,5.34,5.24,5.24,1240.0
2010-07-16,5.14,5.14,4.84,4.9,5330.0
2010-07-19,4.87,5.15,4.75,4.75,3000.0
2010-07-20,4.95,5.47,4.86,5.23,6449.0
