Date,Open,High,Low,Close,Volume
2006-10-31,6.75,7.0,6.75,7.0,4800.0
2006-11-01,7.0,15.93,6.83,10.8,435711.0
2006-11-02,11.6,13.6,11.0,11.4,599108.0
2006-11-03,11.99,12.1,10.35,10.66,160391.0
2006-11-06,11.5,12.4,11.0,11.47,276629.0
2006-11-07,11.74,11.75,10.85,11.38,46373.0
2006-11-08,11.54,11.54,10.62,11.04,42884.0
2006-11-09,11.0,14.43,10.52,14.28,635370.0
2006-11-10,14.9,20.16,14.51,19.89,1761705.0
2006-11-13,22.77,29.55,21.75,29.49,3194613.0
2006-11-14,34.67,48.64,33.81,43.6,14267029.0
2006-11-15,39.66,41.73,29.66,29.89,5182968.0
2006-11-16,34.45,38.23,33.09,34.35,2987862.0
2006-11-17,34.95,36.72,32.64,33.8,1483082.0
2006-11-20,35.0,41.37,33.6,41.3,2202811.0
2006-11-21,44.9,49.9,41.18,43.48,8188586.0
2006-11-22,46.42,48.14,44.51,45.78,3378645.0
2006-11-24,46.57,48.0,44.8,45.93,1769456.0
2006-11-27,46.0,47.5,43.06,43.5,1491013.0
2006-11-28,44.28,45.0,40.36,41.75,957186.0
2006-11-29,42.64,42.9,38.56,39.72,830455.0
2006-11-30,38.86,39.22,36.6,36.85,663884.0
2006-12-01,37.7,42.36,35.0,42.24,2138363.0
2006-12-04,41.76,43.24,40.01,40.1,945585.0
2006-12-05,40.1,40.88,39.0,39.29,337654.0
2006-12-06,39.6,42.7,39.3,40.69,1009054.0
2006-12-07,39.75,41.87,39.75,40.35,336733.0
2006-12-08,40.67,41.44,39.25,39.66,242760.0
2006-12-11,39.66,41.97,39.22,40.3,573472.0
2006-12-12,40.38,41.48,39.54,40.27,291214.0
2006-12-13,40.89,41.19,37.1,38.35,382284.0
2006-12-14,37.6,38.54,37.01,37.35,233702.0
2006-12-15,38.34,40.4,37.3,37.85,717178.0
2006-12-18,38.52,39.05,37.07,37.44,187553.0
2006-12-19,37.04,37.5,36.02,36.19,220805.0
2006-12-20,36.0,37.44,36.0,36.6,165477.0
2006-12-21,36.6,36.88,34.55,34.71,160353.0
2006-12-22,34.72,34.9,32.18,32.24,242733.0
2006-12-26,32.67,33.86,30.72,31.24,257804.0
2006-12-27,30.96,37.93,30.16,37.3,1186038.0
2006-12-28,38.51,39.93,36.83,37.22,1557675.0
2006-12-29,36.59,36.98,34.0,34.04,406751.0
2007-01-03,35.4,36.35,33.5,33.94,191674.0
2007-01-04,34.0,35.95,33.45,34.2,142480.0
2007-01-05,34.9,34.9,33.16,33.6,96866.0
2007-01-08,34.0,35.88,33.31,34.3,215591.0
2007-01-09,36.35,37.26,34.6,35.0,422124.0
2007-01-10,34.67,36.71,33.75,34.78,460348.0
2007-01-11,34.68,35.75,34.01,34.3,181132.0
2007-01-12,34.28,36.2,34.16,34.37,419030.0
2007-01-16,35.27,35.3,33.65,33.99,203370.0
2007-01-17,34.66,34.66,33.1,33.6,126643.0
2007-01-18,33.22,33.49,32.38,32.57,102035.0
2007-01-19,32.03,32.66,31.21,31.41,78073.0
2007-01-22,36.29,38.84,34.21,34.41,2932287.0
2007-01-23,34.34,35.35,32.91,33.08,567873.0
2007-01-24,33.26,33.72,33.0,33.24,157829.0
2007-01-25,33.26,35.56,33.0,34.39,505888.0
2007-01-26,34.2,34.94,33.38,33.5,123421.0
2007-01-29,33.1,34.45,33.1,33.23,98890.0
2007-01-30,33.55,33.99,33.23,33.49,59492.0
2007-01-31,36.7,37.8,34.03,34.05,795820.0
2007-02-01,34.3,34.74,33.5,33.69,143157.0
2007-02-02,33.77,36.09,33.53,34.08,398177.0
2007-02-05,33.82,34.7,33.82,33.96,71331.0
2007-02-06,34.4,34.49,33.8,33.97,65648.0
2007-02-07,34.4,35.5,33.5,34.13,235790.0
2007-02-08,33.97,34.37,33.67,33.9,66964.0
2007-02-09,34.18,34.18,32.5,32.98,146022.0
2007-02-12,34.28,34.79,33.01,33.05,186403.0
2007-02-13,32.96,33.29,32.45,32.74,78352.0
2007-02-14,32.75,32.81,31.75,32.35,73033.0
2007-02-15,31.89,32.65,31.41,31.61,101935.0
2007-02-16,31.8,32.69,31.5,31.94,72314.0
2007-02-20,32.1,33.5,31.6,32.11,94450.0
2007-02-21,31.85,32.67,31.82,31.92,43435.0
2007-02-22,31.8,32.0,31.3,31.79,48864.0
2007-02-23,31.35,31.8,31.32,31.4,26387.0
2007-02-26,31.23,31.49,30.7,30.8,48219.0
2007-02-27,28.97,29.32,27.66,28.0,168389.0
2007-02-28,27.9,27.9,26.27,26.81,153065.0
2007-03-01,26.12,26.12,24.9,25.37,149109.0
2007-03-02,25.72,27.95,25.37,26.15,284897.0
2007-03-05,25.82,25.9,24.35,24.35,119840.0
2007-03-06,25.75,26.0,24.35,24.53,121449.0
2007-03-07,25.02,25.02,23.53,23.67,117325.0
2007-03-08,23.85,24.68,23.35,23.54,98041.0
2007-03-09,23.47,23.61,22.28,22.67,137108.0
2007-03-12,22.5,23.23,22.28,22.33,52339.0
2007-03-13,22.33,22.65,21.14,21.32,79499.0
2007-03-14,21.05,21.15,19.38,19.56,287984.0
2007-03-15,20.28,21.89,19.94,20.47,338872.0
2007-03-16,20.28,20.88,19.4,19.5,121181.0
2007-03-19,19.48,20.3,18.68,19.1,120503.0
2007-03-20,19.7,21.18,19.1,20.6,329880.0
2007-03-21,20.47,21.9,20.47,21.1,156034.0
2007-03-22,21.25,21.75,20.69,21.02,108490.0
2007-03-23,21.2,24.21,21.06,24.07,655308.0
2007-03-26,24.01,24.49,23.15,23.87,219547.0
2007-03-27,23.96,24.07,22.73,22.75,139173.0
2007-03-28,22.21,22.5,21.56,21.79,98886.0
2007-03-29,22.67,22.67,20.94,21.34,98045.0
2007-03-30,21.95,22.35,20.57,20.83,138670.0
2007-04-02,21.29,21.3,20.05,20.39,73625.0
2007-04-03,20.38,20.97,20.28,20.6,89799.0
2007-04-04,20.43,20.89,20.25,20.4,48962.0
2007-04-05,20.75,22.8,20.45,22.15,317066.0
2007-04-09,22.55,22.9,21.5,21.98,129871.0
2007-04-10,21.75,21.98,20.52,20.71,107923.0
2007-04-11,20.6,21.38,20.6,20.89,79376.0
