Date,Open,High,Low,Close,Volume
2006-12-19,8.51,11.14,8.3,11.08,4659236.0
2006-12-20,11.7,12.46,10.08,10.22,2901071.0
2006-12-21,10.2,11.2,9.75,10.25,995810.0
2006-12-22,10.5,12.58,10.2,12.51,2521712.0
2006-12-26,14.41,15.79,13.13,13.5,7382406.0
2006-12-27,13.67,14.09,12.42,13.0,2669217.0
2006-12-28,13.03,17.55,12.75,17.5,7862473.0
2006-12-29,16.9,18.43,15.75,15.8,7720288.0
2007-01-03,16.93,17.14,14.45,14.9,3466626.0
2007-01-04,15.05,16.1,14.75,15.05,2556572.0
2007-01-05,15.0,15.3,14.14,14.4,1410230.0
2007-01-08,14.35,14.71,13.66,13.8,1076500.0
2007-01-09,14.14,15.24,14.0,14.3,2189707.0
2007-01-10,14.0,14.54,13.1,13.1,1199147.0
2007-01-11,13.29,13.81,12.75,12.93,895091.0
2007-01-12,13.25,14.42,12.85,14.25,2053528.0
2007-01-16,14.43,15.07,13.79,13.99,1832804.0
2007-01-17,14.0,14.45,13.8,13.88,628275.0
2007-01-18,14.09,14.09,13.1,13.21,599869.0
2007-01-19,13.03,13.8,13.0,13.57,424777.0
2007-01-22,13.64,13.65,13.06,13.26,264637.0
2007-01-23,13.2,14.16,13.18,13.56,687605.0
2007-01-24,13.59,13.94,13.42,13.53,374947.0
2007-01-25,13.5,13.6,13.04,13.18,363343.0
2007-01-26,13.22,13.6,13.05,13.48,389032.0
2007-01-29,13.55,13.55,13.1,13.12,229580.0
2007-01-30,13.34,13.39,13.06,13.13,177849.0
2007-01-31,13.05,13.05,11.67,11.69,1035893.0
2007-02-01,11.7,12.1,11.31,11.41,448692.0
2007-02-02,11.59,11.84,11.45,11.5,241744.0
2007-02-05,11.5,11.94,10.89,11.25,398827.0
2007-02-06,11.28,11.6,11.12,11.17,250577.0
2007-02-07,11.19,12.36,11.06,11.89,987252.0
2007-02-08,11.85,12.05,11.25,11.47,249284.0
2007-02-09,11.55,11.78,11.0,11.01,319059.0
2007-02-12,11.15,11.16,10.31,10.43,554024.0
2007-02-13,10.38,10.78,10.23,10.52,298221.0
2007-02-14,10.42,11.8,10.25,11.3,1375050.0
