Date,Open,High,Low,Close,Volume
2009-09-25,12.5,13.0,10.6,10.75,62266466.0
2009-09-28,11.59,11.63,10.96,11.01,16512164.0
2009-09-29,11.4,11.55,11.02,11.5,8313719.0
2009-09-30,11.78,11.96,11.5,11.7,7584984.0
2009-10-01,11.85,11.85,11.1,11.16,4723185.0
2009-10-02,11.04,11.34,11.0,11.17,3715443.0
2009-10-05,11.27,11.66,11.25,11.26,3471767.0
2009-10-06,11.35,11.39,10.99,11.06,5037355.0
2009-10-07,11.12,11.15,10.33,10.41,5481838.0
2009-10-08,10.5,10.73,10.2,10.4,3312370.0
2009-10-09,10.39,10.9,10.31,10.52,3979632.0
2009-10-12,10.7,10.8,10.19,10.33,3150750.0
2009-10-13,10.33,10.41,9.74,9.85,5615269.0
2009-10-14,10.0,10.41,9.91,10.03,6319787.0
2009-10-15,10.03,10.39,9.98,10.27,4083525.0
2009-10-16,10.39,10.45,10.24,10.32,3200317.0
2009-10-19,10.45,10.53,10.2,10.31,1895913.0
2009-10-20,10.4,10.4,10.21,10.31,1535616.0
2009-10-21,10.28,10.4,10.18,10.21,2361869.0
2009-10-22,10.17,10.17,9.9,9.95,2247110.0
2009-10-23,10.0,10.0,9.77,9.82,1968805.0
2009-10-26,9.8,9.95,9.55,9.56,1585881.0
2009-10-27,9.5,9.74,9.35,9.56,2162210.0
2009-10-28,9.45,9.5,8.76,8.79,3120980.0
2009-10-29,8.9,9.85,8.9,9.85,3096452.0
2009-10-30,10.01,10.1,9.71,9.96,2268276.0
2009-11-02,9.95,10.4,9.9,10.27,1701771.0
2009-11-03,10.22,10.78,10.02,10.69,2335569.0
2009-11-04,10.9,11.07,10.45,10.56,2474792.0
2009-11-05,10.78,11.04,10.71,11.01,1849534.0
2009-11-06,11.0,11.18,10.8,10.93,1279755.0
2009-11-09,10.93,11.42,10.85,11.4,2071459.0
2009-11-10,11.45,11.49,11.08,11.37,1403283.0
2009-11-11,11.25,11.25,10.33,10.61,2287220.0
2009-11-12,10.61,10.8,10.2,10.36,1844218.0
2009-11-13,10.4,10.88,10.4,10.84,1041893.0
2009-11-16,10.96,11.06,10.45,10.93,2116936.0
2009-11-17,10.75,10.8,10.45,10.58,1108121.0
2009-11-18,10.7,10.75,10.28,10.48,1223650.0
2009-11-19,10.32,10.35,10.04,10.12,903293.0
2009-11-20,10.14,10.45,10.04,10.3,674055.0
2009-11-23,10.64,10.66,10.4,10.5,447880.0
2009-11-24,10.6,10.6,10.2,10.36,517773.0
2009-11-25,10.29,10.37,10.2,10.35,816289.0
2009-11-26,,,,10.35,0.0
2009-11-27,10.08,10.35,10.0,10.15,630426.0
2009-11-30,10.3,10.4,10.16,10.24,2066915.0
2009-12-01,10.26,10.7,10.16,10.61,1866912.0
2009-12-02,10.47,10.57,10.0,10.23,5128893.0
2009-12-03,10.23,10.27,9.91,9.99,3546891.0
2009-12-04,10.09,10.17,9.25,9.31,4259157.0
2009-12-07,9.35,9.75,9.28,9.71,2990739.0
2009-12-08,9.6,10.11,9.58,9.99,2177431.0
2009-12-09,9.99,10.49,9.99,10.33,2309788.0
2009-12-10,10.18,10.5,10.02,10.35,1816217.0
2009-12-11,10.28,10.49,10.06,10.44,1010908.0
2009-12-14,10.41,10.77,10.29,10.73,1300796.0
2009-12-15,10.48,10.87,10.2,10.23,1115992.0
2009-12-16,10.26,10.59,10.25,10.44,313460.0
2009-12-17,10.31,10.41,10.08,10.25,575458.0
2009-12-18,10.19,10.65,10.19,10.56,886014.0
2009-12-21,10.44,10.79,10.19,10.3,694941.0
2009-12-22,10.15,10.26,9.95,10.2,823318.0
2009-12-23,10.25,10.34,10.2,10.27,201299.0
2009-12-24,10.12,10.27,10.12,10.25,207339.0
2009-12-25,,,,10.25,0.0
2009-12-28,10.25,10.4,10.13,10.18,337285.0
2009-12-29,10.1,10.35,10.09,10.28,464693.0
2009-12-30,10.21,10.31,10.12,10.3,585848.0
2009-12-31,10.3,10.31,10.15,10.19,345872.0
2010-01-01,,,,10.19,0.0
2010-01-04,10.35,10.7,10.15,10.65,1369500.0
2010-01-05,10.49,10.77,10.49,10.68,1070473.0
2010-01-06,10.75,10.95,10.51,10.9,1790017.0
2010-01-07,10.7,10.85,10.46,10.66,859293.0
2010-01-08,10.51,10.9,10.47,10.59,1629999.0
