Date,Open,High,Low,Close,Volume
2013-11-22,14.11,16.14,12.4,13.35,9216763.0
2013-11-25,14.8,17.25,14.4,17.19,1808704.0
2013-11-26,17.2,17.5,16.01,16.01,948929.0
2013-11-27,16.3,16.96,16.0,16.07,667752.0
2013-11-29,16.42,16.46,14.24,15.26,404862.0
2013-12-02,15.01,15.64,14.5,15.35,346830.0
2013-12-03,15.5,15.5,14.05,14.65,934813.0
2013-12-04,14.68,15.06,13.6,14.52,987412.0
2013-12-05,14.33,15.29,14.01,14.53,407879.0
2013-12-06,15.0,15.09,14.16,14.22,487616.0
2013-12-09,14.17,16.5,14.17,15.39,1357875.0
2013-12-10,15.26,15.96,14.35,15.5,516216.0
2013-12-11,16.0,16.59,15.3,15.81,771639.0
2013-12-12,15.61,15.84,14.83,15.07,380859.0
2013-12-13,15.5,17.25,15.18,17.11,764584.0
2013-12-16,17.97,18.74,16.2,17.07,1500083.0
2013-12-17,17.3,17.3,16.4,16.47,237533.0
2013-12-18,17.27,17.86,16.52,16.99,640752.0
2013-12-19,17.0,17.35,16.61,17.01,246615.0
2013-12-20,17.14,17.79,16.72,17.03,488967.0
2013-12-23,17.57,18.74,17.2,18.24,470637.0
2013-12-24,18.24,19.81,18.24,19.57,528641.0
2013-12-26,19.5,20.35,19.0,19.41,447378.0
2013-12-27,19.53,20.79,19.25,19.9,650354.0
2013-12-30,19.97,22.17,19.91,21.7,809191.0
2013-12-31,21.98,21.98,20.22,20.53,653141.0
2014-01-02,20.64,22.33,20.55,22.24,405745.0
2014-01-03,22.3,23.32,20.55,21.32,816861.0
2014-01-06,21.13,21.4,19.2,20.18,896782.0
2014-01-07,20.35,21.58,19.68,19.95,783593.0
2014-01-08,20.2,22.18,20.2,21.97,1048798.0
2014-01-09,22.43,23.0,20.84,21.08,780494.0
2014-01-10,21.11,21.74,20.21,21.03,296509.0
2014-01-13,21.0,21.48,20.11,20.31,557755.0
2014-01-14,20.01,21.35,20.0,21.05,203904.0
2014-01-15,21.0,21.32,20.5,21.09,326886.0
2014-01-16,21.3,24.32,21.27,23.95,1044664.0
2014-01-17,24.5,25.67,22.72,23.01,781960.0
2014-01-21,24.17,24.95,22.75,23.36,386554.0
2014-01-22,23.5,23.9,22.52,23.41,187607.0
2014-01-23,21.41,22.82,20.5,21.13,702117.0
2014-01-24,20.56,21.5,19.57,20.0,535419.0
2014-01-27,19.79,20.47,18.12,19.17,542164.0
2014-01-28,19.34,21.7,19.34,21.45,547536.0
2014-01-29,21.24,21.5,20.34,20.99,225980.0
2014-01-30,21.0,21.47,20.52,20.65,246639.0
2014-01-31,20.18,20.45,19.5,20.04,207803.0
2014-02-03,20.9,21.0,19.5,19.53,249668.0
2014-02-04,19.83,21.14,19.51,20.56,259215.0
2014-02-05,20.5,20.7,19.84,20.48,182504.0
2014-02-06,20.5,21.48,19.89,20.09,365531.0
2014-02-07,20.35,21.25,20.0,20.62,237801.0
2014-02-10,20.54,21.45,20.54,20.82,222037.0
2014-02-11,20.93,22.73,20.62,21.06,521735.0
2014-02-12,22.5,23.4,21.72,23.08,594932.0
2014-02-13,22.71,23.86,21.86,23.76,322546.0
2014-02-14,23.76,24.73,23.04,24.25,335028.0
2014-02-18,24.5,26.75,24.47,26.5,1159092.0
2014-02-19,26.34,28.49,25.63,26.88,686569.0
2014-02-20,27.48,27.95,25.81,26.39,345058.0
2014-02-21,27.0,27.01,25.85,26.11,182295.0
2014-02-24,26.28,27.9,26.28,27.26,352240.0
2014-02-25,27.63,27.63,25.79,25.8,439218.0
2014-02-26,26.99,26.99,24.8,25.3,540868.0
2014-02-27,25.29,26.35,24.33,26.12,657585.0
2014-02-28,26.0,28.1,25.75,27.56,489073.0
2014-03-03,26.05,27.71,26.0,27.29,457591.0
2014-03-04,27.81,33.87,27.81,31.83,715466.0
2014-03-05,31.55,32.44,30.75,31.0,527890.0
2014-03-06,31.0,31.93,29.5,30.05,407793.0
2014-03-07,30.65,31.0,28.6,30.33,311616.0
2014-03-10,30.06,30.13,28.49,28.93,295335.0
2014-03-11,29.17,29.98,28.01,28.21,195157.0
2014-03-12,27.67,28.85,26.51,28.07,212269.0
2014-03-13,27.93,29.75,27.5,27.95,317803.0
2014-03-14,28.0,28.0,26.5,26.81,306465.0
2014-03-17,27.01,28.5,27.0,27.11,206178.0
2014-03-18,27.17,29.4,27.17,28.65,134350.0
2014-03-19,28.67,29.89,28.65,29.0,156793.0
2014-03-20,28.77,29.45,27.62,27.99,148464.0
2014-03-21,28.27,29.33,28.01,28.78,207139.0
2014-03-24,28.84,28.92,26.31,27.21,288695.0
2014-03-25,27.71,28.4,26.9,28.11,300157.0
2014-03-26,28.5,28.65,21.36,21.56,1091382.0
2014-03-27,22.01,23.0,19.96,20.02,860154.0
2014-03-28,20.2,21.15,19.4,19.7,435699.0
2014-03-31,20.0,21.19,19.25,20.91,559222.0
2014-04-01,21.26,25.0,21.26,24.74,886945.0
2014-04-02,24.99,25.2,23.12,24.18,272200.0
2014-04-03,23.55,24.02,22.01,22.4,401542.0
2014-04-04,22.5,23.3,20.08,20.58,412722.0
2014-04-07,20.52,21.5,18.01,19.06,474231.0
2014-04-08,19.16,21.0,19.16,20.89,503299.0
2014-04-09,20.89,21.35,19.6,20.66,243276.0
2014-04-10,20.53,20.65,18.51,18.72,279575.0
2014-04-11,18.5,19.91,18.31,18.97,257719.0
2014-04-14,19.15,19.78,18.72,19.03,140170.0
2014-04-15,19.03,19.6,16.9,18.07,490750.0
2014-04-16,18.2,18.97,17.69,18.73,138492.0
2014-04-17,18.77,19.25,18.2,19.08,103587.0
2014-04-21,19.03,19.28,18.19,19.15,137456.0
2014-04-22,19.07,21.16,18.65,20.51,386514.0
2014-04-23,20.45,21.13,19.8,20.12,152375.0
2014-04-24,20.34,20.55,18.79,18.94,273004.0
2014-04-25,18.78,18.78,17.65,17.75,294855.0
2014-04-28,17.68,18.67,16.26,16.6,682086.0
2014-04-29,16.6,17.32,16.05,16.61,296839.0
2014-04-30,16.63,16.63,15.35,16.36,301908.0
2014-05-01,16.24,17.64,16.15,16.78,274751.0
2014-05-02,16.5,17.5,16.2,17.35,239158.0
2014-05-05,17.66,17.7,16.79,16.95,131875.0
2014-05-06,16.93,16.93,15.9,15.94,149438.0
2014-05-07,15.9,16.19,14.6,14.76,516102.0
2014-05-08,14.78,15.4,14.11,14.66,259758.0
2014-05-09,14.53,14.59,13.52,13.73,346347.0
2014-05-12,14.07,16.0,14.07,15.96,400686.0
2014-05-13,16.04,16.04,15.0,15.13,314544.0
2014-05-14,15.09,15.26,14.59,14.63,127663.0
2014-05-15,14.66,14.9,13.82,14.4,139936.0
2014-05-16,14.35,14.6,14.11,14.41,126210.0
2014-05-19,14.41,15.26,14.1,15.1,239096.0
2014-05-20,14.92,15.48,14.89,15.11,165473.0
2014-05-21,15.35,16.0,15.14,15.6,471846.0
2014-05-22,15.76,15.99,13.62,13.86,546266.0
2014-05-23,13.86,14.4,13.68,13.98,232874.0
2014-05-27,14.3,14.44,12.57,13.86,607155.0
2014-05-28,12.6,12.85,11.59,12.51,1524903.0
2014-05-29,12.55,13.44,12.48,12.65,549771.0
2014-05-30,12.62,13.1,12.02,12.08,377801.0
2014-06-02,12.36,12.94,12.09,12.16,351902.0
2014-06-03,12.07,12.8,12.0,12.7,445567.0
2014-06-04,12.62,12.88,12.17,12.63,194499.0
2014-06-05,12.64,12.98,12.22,12.44,329866.0
2014-06-06,12.44,12.98,12.42,12.98,179930.0
