Date,Open,High,Low,Close,Volume
2010-04-15,11.0,11.4,9.86,10.9,59608.0
2010-04-16,10.1,10.68,9.86,10.16,17822.0
2010-04-19,10.16,10.16,9.66,9.66,6512.0
2010-04-20,9.4,10.38,9.14,9.9,12806.0
2010-04-21,9.42,9.9,9.42,9.84,3620.0
2010-04-22,9.6,9.9,9.5,9.7,13676.0
2010-04-23,9.5,9.9,9.32,9.52,2450.0
2010-04-26,9.3,9.52,8.62,9.24,18007.0
2010-04-27,9.34,9.48,8.28,8.3,15736.0
2010-04-28,8.4,8.94,8.4,8.7,8948.0
2010-04-29,8.8,9.18,8.8,8.98,6250.0
2010-04-30,8.98,8.98,8.62,8.8,1386.0
2010-05-03,8.92,9.0,8.5,8.54,2822.0
2010-05-04,8.56,8.56,8.22,8.34,10379.0
2010-05-05,8.1,8.4,8.04,8.14,6688.0
2010-05-06,8.04,8.36,7.8,8.0,22176.0
2010-05-07,8.0,8.3,7.9,8.02,9960.0
2010-05-10,8.3,8.3,7.7,8.0,8775.0
2010-05-11,8.1,8.1,8.0,8.1,3300.0
2010-05-12,8.18,9.0,8.18,8.38,21714.0
2010-05-13,8.6,9.0,8.1,8.7,6300.0
2010-05-14,8.72,8.72,8.0,8.22,5782.0
2010-05-17,8.56,8.56,6.7,7.36,17984.0
2010-05-18,8.2,8.2,7.5,7.62,4800.0
2010-05-19,7.96,7.96,7.18,7.7,2758.0
2010-05-20,7.0,7.3,7.0,7.28,10940.0
2010-05-21,6.72,7.52,6.72,7.5,7308.0
2010-05-24,7.66,8.2,7.5,8.1,10254.0
2010-05-25,7.04,7.98,7.0,7.76,4275.0
2010-05-26,8.1,8.1,7.9,8.04,5250.0
2010-05-27,8.26,8.28,7.6,7.6,3350.0
2010-05-28,7.2,7.8,7.2,7.7,11620.0
2010-05-31,,,,7.7,0.0
2010-06-01,7.66,8.2,7.54,8.0,11740.0
2010-06-02,8.2,8.2,7.3,7.9,5499.0
2010-06-03,7.9,7.9,7.6,7.7,175.0
2010-06-04,7.3,7.7,7.3,7.54,1775.0
2010-06-07,7.88,8.0,7.4,7.85,9648.0
2010-06-08,7.52,8.02,7.5,7.8,15400.0
2010-06-09,7.38,8.14,7.38,8.14,4414.0
2010-06-10,8.1,8.22,7.68,8.08,4650.0
2010-06-11,7.64,8.18,7.64,8.16,2000.0
