Date,Open,High,Low,Close,Volume
2010-09-13,4.15,4.4,4.11,4.4,15286.0
2010-09-14,4.16,4.25,4.12,4.25,12617.0
2010-09-15,4.2,4.2,4.1,4.15,15088.0
2010-09-16,4.3,4.3,4.19,4.19,9350.0
2010-09-17,4.3,4.3,4.09,4.15,16215.0
2010-09-20,4.39,4.39,4.08,4.16,10502.0
2010-09-21,4.15,4.2,4.15,4.15,5973.0
2010-09-22,4.15,4.15,4.07,4.13,8042.0
2010-09-23,4.15,4.16,4.15,4.16,2239.0
2010-09-24,4.16,4.16,3.18,4.1,12367.0
2010-09-27,4.15,4.15,4.0,4.0,4579.0
2010-09-28,3.2,4.11,3.2,4.05,6855.0
2010-09-29,4.11,4.15,4.04,4.04,6260.0
2010-09-30,4.12,4.18,4.05,4.18,19882.0
2010-10-01,3.45,4.18,3.42,4.05,11452.0
2010-10-04,4.16,4.16,3.48,4.08,4104.0
2010-10-05,4.15,4.15,3.53,4.02,12087.0
2010-10-06,4.1,4.16,4.01,4.15,13930.0
2010-10-07,4.16,4.16,3.61,3.91,11180.0
2010-10-08,3.89,4.15,3.66,4.03,11283.0
2010-10-11,3.95,4.06,3.82,3.99,5789.0
2010-10-12,3.91,3.91,3.64,3.76,4654.0
2010-10-13,4.1,4.1,4.0,4.0,1640.0
2010-10-14,4.1,4.12,3.66,3.9,7579.0
2010-10-15,4.0,4.0,3.98,3.98,2645.0
2010-10-18,4.0,4.0,3.7,3.77,3512.0
2010-10-19,4.0,4.0,3.5,3.5,3317.0
2010-10-20,3.5,4.0,3.5,3.55,1860.0
2010-10-21,4.0,4.1,3.71,4.0,6225.0
2010-10-22,4.15,4.15,3.83,3.83,3295.0
2010-10-25,4.12,4.12,3.9,3.92,1786.0
2010-10-26,4.12,4.12,3.72,4.08,2855.0
2010-10-27,4.08,4.1,3.71,4.0,2174.0
2010-10-28,4.0,4.0,3.76,3.76,3235.0
2010-10-29,3.76,3.84,3.75,3.84,1770.0
2010-11-01,3.9,4.0,3.71,3.99,2998.0
2010-11-02,3.97,3.97,3.79,3.97,1675.0
2010-11-03,3.8,3.96,3.33,3.33,5499.0
2010-11-04,3.98,3.98,3.38,3.96,6550.0
2010-11-05,3.98,3.98,3.42,3.65,7069.0
2010-11-08,3.58,3.58,3.53,3.54,1020.0
2010-11-09,3.55,3.93,3.5,3.86,6520.0
2010-11-10,3.87,3.87,3.78,3.78,1470.0
2010-11-11,3.76,3.77,3.35,3.72,4053.0
2010-11-12,3.38,3.9,3.38,3.9,1003.0
2010-11-15,3.59,3.6,3.25,3.42,2969.0
2010-11-16,3.73,3.73,3.41,3.41,1904.0
2010-11-17,3.4,3.6,3.4,3.55,1853.0
2010-11-18,3.58,3.58,3.58,3.58,100.0
2010-11-19,3.26,3.52,3.26,3.46,800.0
2010-11-22,3.27,4.05,2.67,3.48,44798.0
2010-11-23,3.05,3.4,3.05,3.28,4350.0
2010-11-24,3.28,3.55,3.28,3.44,800.0
2010-11-26,3.23,3.69,3.23,3.59,982.0
2010-11-29,3.54,3.55,3.18,3.55,1775.0
2010-11-30,3.55,3.59,3.4,3.4,870.0
2010-12-01,3.5,3.69,3.29,3.49,8635.0
2010-12-02,3.78,3.78,3.01,3.13,10070.0
2010-12-03,3.65,3.73,3.45,3.46,3000.0
2010-12-06,3.4,3.52,3.4,3.52,500.0
2010-12-07,3.48,3.5,3.2,3.42,4193.0
2010-12-08,3.18,3.42,3.18,3.2,3804.0
2010-12-09,3.22,3.38,3.2,3.37,7123.0
2010-12-10,3.39,3.39,3.22,3.32,2562.0
2010-12-13,3.31,3.37,3.16,3.3,3716.0
2010-12-14,3.39,3.39,3.16,3.27,4588.0
2010-12-15,3.25,3.25,3.15,3.17,5200.0
2010-12-16,3.15,3.28,3.15,3.28,2100.0
2010-12-17,3.19,3.38,3.16,3.28,1460.0
2010-12-20,3.11,3.32,3.11,3.32,1700.0
2010-12-21,3.62,3.62,3.16,3.28,2591.0
2010-12-22,3.17,3.32,3.1,3.21,14697.0
2010-12-23,3.46,3.46,3.12,3.35,3930.0
2010-12-27,3.28,3.28,3.28,3.28,500.0
2010-12-28,3.42,3.43,3.1,3.11,3084.0
2010-12-29,3.18,3.4,2.65,2.97,16846.0
2010-12-30,2.78,3.1,2.78,2.96,5253.0
2010-12-31,2.93,2.93,2.92,2.92,10587.0
2011-01-03,2.94,3.02,2.9,3.0,8124.0
2011-01-04,3.3,3.32,3.2,3.2,3318.0
2011-01-05,3.33,3.35,3.16,3.35,8220.0
2011-01-06,3.35,3.35,3.3,3.34,3143.0
2011-01-07,3.38,3.38,3.34,3.38,4630.0
2011-01-10,3.38,3.5,3.28,3.5,4902.0
