Date,Open,High,Low,Close,Volume
2006-10-26,22.0,23.75,21.5,22.5,9167710.0
2006-10-27,22.9,25.78,21.5,25.44,2408736.0
2006-10-30,26.5,26.77,23.57,24.99,1255561.0
2006-10-31,24.55,25.74,24.2,24.54,510548.0
2006-11-01,24.4,25.42,23.65,24.9,608269.0
2006-11-02,25.0,25.7,24.35,25.59,283936.0
2006-11-03,25.89,25.95,24.81,25.37,261078.0
2006-11-06,25.6,27.0,25.24,26.69,620938.0
2006-11-07,26.89,27.1,26.22,26.29,292386.0
2006-11-08,26.05,26.3,25.55,26.21,214369.0
2006-11-09,26.3,26.79,25.52,25.55,230651.0
2006-11-10,25.96,27.2,25.56,26.2,473685.0
2006-11-13,26.99,27.1,26.43,26.69,237981.0
2006-11-14,27.03,29.94,27.0,28.3,1098280.0
2006-11-15,28.5,31.68,27.4,30.7,1433803.0
2006-11-16,29.25,30.99,28.86,30.49,743842.0
2006-11-17,30.6,31.18,28.58,30.77,361746.0
2006-11-20,31.2,34.5,30.79,34.08,657331.0
2006-11-21,33.8,34.8,31.61,33.15,824134.0
2006-11-22,33.22,33.79,32.51,33.47,331714.0
2006-11-24,33.48,33.48,32.58,33.0,168549.0
2006-11-27,33.0,34.49,32.23,32.4,600696.0
2006-11-28,32.25,32.25,28.85,30.94,965678.0
2006-11-29,30.97,32.0,30.6,31.57,412644.0
2006-11-30,31.98,32.0,30.57,30.57,328521.0
2006-12-01,30.2,31.5,30.11,31.04,324662.0
2006-12-04,30.8,32.77,30.21,32.41,434952.0
2006-12-05,32.41,34.11,32.4,33.39,361431.0
2006-12-06,33.42,34.31,33.39,33.66,257240.0
2006-12-07,33.89,34.18,32.88,33.31,115404.0
2006-12-08,33.14,34.45,33.09,34.09,122078.0
2006-12-11,34.5,35.96,34.2,35.45,414394.0
2006-12-12,35.5,35.87,34.2,34.37,238512.0
2006-12-13,34.23,35.36,34.23,35.2,228557.0
2006-12-14,35.52,35.52,34.5,34.5,250945.0
2006-12-15,34.75,35.24,32.64,33.02,362528.0
2006-12-18,33.6,34.75,33.25,33.77,279713.0
2006-12-19,33.5,34.3,32.1,33.48,146078.0
2006-12-20,34.0,34.86,33.78,34.32,138502.0
2006-12-21,34.4,34.4,32.82,33.0,192436.0
2006-12-22,33.0,33.47,31.05,32.35,284756.0
2006-12-26,32.5,34.0,32.5,33.28,113266.0
2006-12-27,33.52,35.6,33.07,35.23,313850.0
2006-12-28,35.23,38.88,34.85,38.14,1019824.0
2006-12-29,38.15,39.02,36.87,37.54,707854.0
2007-01-03,38.87,40.3,37.36,39.0,857019.0
2007-01-04,38.6,39.0,37.36,37.82,423114.0
2007-01-05,38.49,40.37,38.03,39.85,932032.0
2007-01-08,40.46,40.54,38.54,39.95,632360.0
2007-01-09,39.96,39.97,37.7,38.19,536137.0
2007-01-10,37.69,38.3,36.05,38.14,630370.0
2007-01-11,37.09,39.73,37.0,37.54,511746.0
2007-01-12,38.5,39.22,37.6,37.74,444764.0
2007-01-16,38.15,39.89,37.5,39.27,583997.0
2007-01-17,39.59,41.85,39.02,40.84,1093353.0
2007-01-18,41.12,41.15,38.55,38.94,803363.0
2007-01-19,38.55,38.73,37.51,38.25,641290.0
2007-01-22,39.65,39.65,38.51,39.25,490697.0
2007-01-23,39.5,40.2,38.76,40.05,356126.0
2007-01-24,40.1,42.0,39.73,42.0,652743.0
2007-01-25,41.9,43.75,41.7,42.31,1034812.0
2007-01-26,43.4,45.73,43.25,44.93,931482.0
2007-01-29,46.0,47.49,45.6,47.0,1275529.0
2007-01-30,46.79,47.17,45.73,45.85,808450.0
2007-01-31,45.0,45.7,43.8,44.74,968305.0
2007-02-01,45.0,45.49,44.28,44.49,426093.0
2007-02-02,44.79,46.0,44.07,44.63,574262.0
2007-02-05,44.85,44.91,42.74,43.38,704600.0
2007-02-06,43.92,44.75,43.37,44.73,481196.0
2007-02-07,45.18,46.46,44.65,45.73,629692.0
2007-02-08,46.17,49.0,45.85,48.26,723755.0
2007-02-09,48.99,49.5,45.5,46.39,825087.0
2007-02-12,46.79,47.0,45.1,45.69,432043.0
2007-02-13,45.69,45.99,43.1,43.31,866938.0
2007-02-14,43.1,45.58,43.1,45.0,478589.0
2007-02-15,45.65,46.25,44.04,44.94,275531.0
2007-02-16,44.6,45.24,44.15,44.46,208845.0
2007-02-20,44.85,46.48,44.61,46.3,440344.0
2007-02-21,47.02,48.36,46.2,46.7,710280.0
2007-02-22,47.35,47.7,45.29,45.65,661758.0
2007-02-23,45.88,46.45,45.65,46.35,268390.0
2007-02-26,46.88,47.26,45.81,46.76,273666.0
2007-02-27,44.0,44.0,39.2,40.55,2566980.0
2007-02-28,41.8,42.5,39.35,42.21,1201041.0
2007-03-01,39.43,40.79,38.17,39.04,1250446.0
2007-03-02,38.5,39.71,36.83,37.29,1355951.0
2007-03-05,35.54,36.54,33.74,34.0,1971897.0
2007-03-06,35.8,36.99,35.5,36.35,1263883.0
2007-03-07,36.75,38.18,35.08,35.7,1872389.0
2007-03-08,36.07,38.95,36.02,38.03,1131153.0
2007-03-09,39.25,39.25,37.25,37.75,578800.0
2007-03-12,38.4,38.75,37.53,38.15,294541.0
2007-03-13,38.0,38.0,34.68,35.25,786700.0
2007-03-14,34.9,36.0,33.85,35.8,897345.0
2007-03-15,35.8,39.2,35.59,36.23,224745.0
2007-03-16,36.23,36.84,35.25,35.7,220094.0
2007-03-19,36.31,37.3,36.31,36.79,204474.0
2007-03-20,37.08,37.08,35.81,36.0,233296.0
2007-03-21,35.85,37.9,35.85,37.84,292395.0
2007-03-22,38.0,39.25,37.84,39.17,455285.0
2007-03-23,39.25,39.25,37.55,37.85,270630.0
2007-03-26,38.3,38.73,37.55,37.7,170015.0
2007-03-27,37.82,37.83,36.97,37.37,146326.0
2007-03-28,36.64,37.18,36.31,36.53,227073.0
2007-03-29,36.95,37.35,35.21,36.18,398550.0
2007-03-30,36.18,36.64,35.66,36.34,161380.0
2007-04-02,36.17,36.21,35.22,35.85,284271.0
2007-04-03,36.0,36.0,35.0,35.4,485200.0
2007-04-04,35.0,35.6,34.77,35.17,407503.0
2007-04-05,35.6,35.6,34.89,35.35,244937.0
2007-04-09,35.63,37.39,35.61,36.9,467899.0
2007-04-10,36.08,36.93,35.8,36.03,220767.0
2007-04-11,36.29,36.48,35.36,35.58,159308.0
2007-04-12,35.58,35.74,35.13,35.46,155452.0
2007-04-13,35.4,36.0,35.21,35.77,175611.0
2007-04-16,36.86,36.86,35.51,35.74,300997.0
2007-04-17,35.8,36.8,35.3,35.37,192568.0
2007-04-18,35.27,35.5,35.05,35.46,185488.0
2007-04-19,35.0,35.34,34.79,35.0,234564.0
2007-04-20,35.45,35.8,34.7,34.79,186398.0
2007-04-23,34.73,34.79,32.83,33.37,697191.0
2007-04-24,33.37,33.65,31.45,31.89,649713.0
2007-04-25,31.64,32.58,30.83,32.52,739181.0
2007-04-26,33.19,36.4,32.7,35.4,880460.0
2007-04-27,35.29,36.18,34.42,35.72,390561.0
2007-04-30,36.0,36.0,34.17,34.27,463164.0
2007-05-01,34.75,35.34,34.0,34.28,1628946.0
2007-05-02,34.13,34.4,32.7,32.97,990670.0
2007-05-03,32.78,33.6,32.36,32.99,533284.0
2007-05-04,33.09,33.5,32.92,33.26,226701.0
2007-05-07,33.75,33.8,32.7,33.45,309533.0
2007-05-08,33.2,33.62,32.68,32.8,164571.0
2007-05-09,32.87,33.0,32.38,32.69,233454.0
2007-05-10,32.32,33.0,32.1,32.92,282020.0
2007-05-11,33.81,33.81,32.41,33.6,368300.0
2007-05-14,33.99,34.17,33.42,34.15,519415.0
2007-05-15,34.1,34.1,33.24,33.43,352181.0
2007-05-16,33.2,33.5,32.6,32.89,234358.0
2007-05-17,33.0,33.25,32.3,32.51,261488.0
2007-05-18,32.93,33.7,32.5,33.7,318960.0
2007-05-21,34.09,36.5,34.01,36.23,1028656.0
2007-05-22,33.5,35.18,32.8,33.18,1585265.0
2007-05-23,33.03,33.46,32.57,32.66,687949.0
2007-05-24,32.28,32.5,29.49,30.1,1069416.0
2007-05-25,30.01,30.62,29.35,29.83,531448.0
2007-05-29,30.01,30.98,30.0,30.32,445068.0
2007-05-30,29.89,30.17,28.8,29.47,787022.0
2007-05-31,29.55,30.1,29.0,29.32,600222.0
2007-06-01,29.15,29.35,28.26,28.77,774770.0
2007-06-04,28.48,31.8,28.48,31.7,1105814.0
2007-06-05,31.78,32.09,30.98,31.12,531078.0
2007-06-06,31.01,31.12,30.15,30.98,421200.0
2007-06-07,31.29,31.86,30.22,30.36,747763.0
2007-06-08,30.26,31.18,30.21,30.7,189094.0
2007-06-11,30.7,32.0,30.52,31.2,486920.0
2007-06-12,31.58,32.84,31.21,32.08,478319.0
2007-06-13,32.15,32.98,31.0,32.63,684662.0
2007-06-14,32.6,32.89,32.3,32.82,314919.0
2007-06-15,33.0,33.1,31.98,32.51,512589.0
2007-06-18,32.57,32.57,30.56,30.81,558700.0
2007-06-19,30.8,32.02,30.8,32.0,345952.0
2007-06-20,32.1,34.3,31.29,31.6,918379.0
2007-06-21,31.6,32.63,31.56,32.14,241238.0
2007-06-22,32.14,33.0,31.85,32.31,209967.0
2007-06-25,32.31,32.8,31.6,32.07,204081.0
2007-06-26,31.81,32.45,30.8,30.91,172260.0
2007-06-27,31.24,31.25,30.18,30.64,378039.0
2007-06-28,30.64,32.67,30.4,32.19,507392.0
2007-06-29,32.05,32.29,31.75,32.21,293325.0
2007-07-02,31.97,34.15,31.97,33.89,535358.0
2007-07-03,33.47,34.2,33.38,34.1,148055.0
2007-07-05,34.3,34.75,34.19,34.65,460194.0
2007-07-06,34.69,34.7,33.74,34.68,181850.0
2007-07-09,34.67,36.96,34.5,36.7,701750.0
2007-07-10,36.65,36.88,36.05,36.06,328042.0
2007-07-11,36.17,36.78,35.1,35.9,247022.0
2007-07-12,35.72,35.83,34.9,35.73,242175.0
2007-07-13,35.48,35.7,34.3,34.4,343219.0
2007-07-16,34.21,34.24,33.1,33.47,204528.0
2007-07-17,34.46,34.46,33.13,33.29,277786.0
2007-07-18,33.04,33.1,31.6,32.31,488346.0
2007-07-19,32.0,32.58,31.08,31.7,410588.0
2007-07-20,31.7,32.08,31.21,31.57,215647.0
2007-07-23,31.74,31.75,30.65,30.81,432752.0
2007-07-24,30.55,31.46,30.25,30.27,381294.0
2007-07-25,30.6,31.09,30.02,30.46,231350.0
2007-07-26,30.5,30.52,27.17,28.68,724085.0
2007-07-27,28.65,30.19,28.5,30.0,542404.0
2007-07-30,29.61,30.78,29.57,29.9,256516.0
2007-07-31,30.34,30.92,30.0,30.38,218896.0
2007-08-01,30.05,30.19,28.12,28.82,345649.0
2007-08-02,29.16,30.4,28.91,29.84,353496.0
2007-08-03,29.86,30.0,29.0,29.23,281925.0
2007-08-06,29.23,29.24,26.81,27.76,574943.0
2007-08-07,27.75,28.2,27.16,27.83,357890.0
2007-08-08,28.18,29.77,27.85,28.88,392958.0
2007-08-09,28.07,30.76,28.0,29.78,308546.0
2007-08-10,28.62,29.94,28.0,29.15,371903.0
2007-08-13,30.4,30.49,29.5,30.15,308492.0
2007-08-14,30.42,30.49,28.19,28.81,252027.0
2007-08-15,28.48,28.48,25.65,26.74,903709.0
2007-08-16,26.04,26.17,24.0,25.83,1153595.0
2007-08-17,25.19,26.85,25.1,26.4,738780.0
2007-08-20,26.5,27.58,26.5,26.95,448077.0
2007-08-21,26.6,27.8,25.93,27.32,304009.0
2007-08-22,27.4,28.0,27.3,27.68,186090.0
2007-08-23,27.7,28.1,27.6,27.93,271972.0
2007-08-24,27.83,27.84,27.19,27.4,177084.0
2007-08-27,27.5,29.32,27.13,28.75,292793.0
2007-08-28,28.35,28.71,28.1,28.5,172437.0
2007-08-29,28.8,30.75,28.61,29.9,292338.0
2007-08-30,29.55,30.25,29.2,29.57,93345.0
2007-08-31,30.47,30.5,29.65,29.66,133364.0
2007-09-04,29.99,31.0,29.72,30.66,214074.0
2007-09-05,30.21,31.19,30.0,30.98,166343.0
2007-09-06,31.02,31.19,30.52,31.01,101886.0
2007-09-07,30.6,30.65,29.57,30.13,320945.0
2007-09-10,30.03,30.12,29.0,29.08,192029.0
2007-09-11,29.06,29.54,28.57,29.28,252465.0
2007-09-12,29.2,29.9,28.8,29.07,156403.0
2007-09-13,29.1,29.21,28.55,29.05,86330.0
2007-09-14,29.09,29.12,28.6,28.71,143999.0
2007-09-17,28.5,28.95,28.41,28.55,168014.0
2007-09-18,28.6,29.25,28.4,28.72,552244.0
2007-09-19,28.5,29.7,28.5,29.03,469427.0
2007-09-20,29.0,30.21,28.26,28.58,337847.0
2007-09-21,28.68,29.94,28.68,29.65,286990.0
2007-09-24,29.75,30.91,29.2,29.89,339961.0
2007-09-25,29.94,30.46,29.4,30.36,194260.0
2007-09-26,30.0,32.64,30.0,31.89,576001.0
2007-09-27,32.5,36.38,32.28,35.23,1422640.0
2007-09-28,35.2,35.5,34.42,34.8,600337.0
2007-10-01,34.0,37.22,33.72,36.81,1221330.0
2007-10-02,37.1,37.27,35.84,36.56,606486.0
2007-10-03,35.5,36.03,34.46,35.22,619532.0
2007-10-04,35.65,36.51,35.13,35.4,654537.0
2007-10-05,36.1,37.2,35.8,36.19,1017693.0
2007-10-08,36.07,36.1,34.94,35.76,165175.0
2007-10-09,35.78,36.1,35.67,35.93,321526.0
2007-10-10,36.0,36.08,35.43,35.8,226676.0
2007-10-11,37.0,39.81,35.85,36.24,1756628.0
2007-10-12,36.75,36.75,35.8,35.98,538259.0
2007-10-15,36.18,36.95,35.75,36.0,480721.0
2007-10-16,35.5,35.99,34.9,35.5,298833.0
2007-10-17,36.98,42.45,36.51,41.65,2361287.0
2007-10-18,39.26,41.12,38.31,40.56,1218583.0
2007-10-19,41.07,42.3,39.75,39.99,1634523.0
2007-10-22,38.97,44.3,38.97,43.39,1375318.0
2007-10-23,44.34,46.0,44.0,45.71,1058359.0
2007-10-24,45.3,46.25,44.42,45.74,941670.0
2007-10-25,45.74,47.78,44.7,46.51,704257.0
2007-10-26,47.66,50.08,46.61,48.27,843620.0
2007-10-29,48.2,48.77,46.0,46.41,591632.0
2007-10-30,45.13,45.17,41.36,42.21,1148333.0
2007-10-31,42.8,44.8,42.25,44.03,336870.0
2007-11-01,43.0,43.44,41.54,41.64,292895.0
2007-11-02,41.26,42.94,40.29,41.86,414586.0
2007-11-05,40.02,40.73,39.05,39.74,558449.0
2007-11-06,40.39,41.85,39.89,41.08,287949.0
2007-11-07,40.45,40.92,38.9,38.91,241076.0
2007-11-08,38.81,40.26,37.8,38.97,362461.0
2007-11-09,37.95,38.63,36.0,36.33,563059.0
2007-11-12,36.4,37.85,35.6,36.06,412225.0
2007-11-13,36.75,38.65,36.62,37.8,348550.0
2007-11-14,38.33,38.83,35.82,36.16,272459.0
2007-11-15,35.54,36.5,34.39,34.97,312497.0
2007-11-16,35.38,37.65,34.58,37.07,388837.0
2007-11-19,36.12,36.73,34.75,35.62,375905.0
2007-11-20,36.02,36.3,33.5,33.54,566035.0
2007-11-21,31.6,32.78,30.63,31.59,777741.0
2007-11-23,32.29,34.54,31.97,33.43,411326.0
2007-11-26,33.5,36.9,33.5,35.54,589699.0
2007-11-27,35.75,36.39,34.4,36.08,386994.0
2007-11-28,36.06,38.38,35.69,38.31,480924.0
2007-11-29,38.49,38.89,37.11,38.88,319019.0
2007-11-30,39.1,41.5,38.69,40.18,444584.0
2007-12-03,40.0,40.0,38.38,38.75,321877.0
2007-12-04,38.75,39.55,35.7,36.81,620998.0
2007-12-05,37.39,38.99,36.0,38.62,285757.0
2007-12-06,37.67,39.39,37.67,38.98,227090.0
2007-12-07,38.4,39.12,35.88,36.59,321043.0
2007-12-10,36.27,37.93,36.1,37.58,254191.0
2007-12-11,37.67,38.05,35.5,36.03,181351.0
2007-12-12,37.41,38.05,36.79,37.53,281900.0
2007-12-13,37.5,37.51,36.11,36.69,221349.0
2007-12-14,36.13,36.85,35.6,36.61,206674.0
2007-12-17,36.31,36.84,35.43,36.13,182278.0
2007-12-18,36.21,36.8,34.99,35.01,265939.0
2007-12-19,34.95,35.46,34.72,35.25,227123.0
2007-12-20,35.5,35.5,34.26,35.1,263475.0
2007-12-21,35.0,35.61,34.55,35.0,289250.0
2007-12-24,35.1,35.8,34.75,35.15,97182.0
2007-12-26,35.02,35.66,35.02,35.57,122129.0
2007-12-27,35.32,36.13,35.01,35.41,210653.0
2007-12-28,35.77,36.15,35.0,35.58,163036.0
2007-12-31,36.15,36.15,34.85,35.62,128465.0
2008-01-02,36.0,36.0,34.55,34.76,144625.0
2008-01-03,34.54,35.1,33.72,34.8,435129.0
2008-01-04,34.14,34.72,33.33,33.57,360055.0
2008-01-07,33.79,34.45,32.55,34.09,280693.0
2008-01-08,34.43,34.43,32.5,32.5,138244.0
2008-01-09,32.91,32.91,30.5,31.48,345695.0
2008-01-10,31.48,31.51,30.18,30.81,261198.0
2008-01-11,30.81,30.81,28.65,29.37,561163.0
2008-01-14,29.71,30.66,29.05,30.18,294849.0
2008-01-15,29.65,30.0,28.16,28.73,417347.0
2008-01-16,28.96,29.27,27.4,27.68,468346.0
2008-01-17,27.56,28.38,26.89,27.15,283303.0
2008-01-18,27.09,28.37,26.73,28.07,367051.0
2008-01-22,26.07,27.55,24.3,26.06,847958.0
2008-01-23,24.55,28.0,24.39,27.85,610417.0
2008-01-24,27.8,29.39,27.0,29.3,422100.0
2008-01-25,30.0,30.0,28.0,28.0,377838.0
2008-01-28,27.55,28.49,26.73,26.83,293252.0
2008-01-29,27.47,28.4,26.5,28.37,196039.0
2008-01-30,28.0,28.49,27.02,27.41,221481.0
2008-01-31,27.8,28.63,26.68,27.99,170934.0
2008-02-01,28.46,30.75,27.59,30.5,262451.0
2008-02-04,31.07,31.16,29.14,29.14,337637.0
2008-02-05,29.1,29.76,28.24,28.24,203155.0
2008-02-06,28.02,28.77,27.3,27.4,218626.0
2008-02-07,27.1,27.85,26.81,27.1,460491.0
2008-02-08,26.75,27.96,26.75,27.11,170133.0
2008-02-11,27.15,27.38,26.5,26.62,170901.0
2008-02-12,27.16,27.81,26.9,27.58,367187.0
2008-02-13,27.5,27.78,26.9,27.51,180882.0
2008-02-14,27.75,28.65,27.15,27.78,395115.0
2008-02-15,27.29,27.64,26.46,26.55,331964.0
2008-02-19,26.55,27.67,26.2,26.5,310142.0
2008-02-20,26.49,26.87,26.2,26.56,391861.0
2008-02-21,26.58,26.87,26.05,26.5,534387.0
2008-02-22,26.32,27.61,26.32,27.61,355881.0
2008-02-25,27.46,27.52,26.31,27.01,464635.0
2008-02-26,28.0,29.74,27.88,28.34,568493.0
2008-02-27,28.29,28.88,28.05,28.38,330362.0
2008-02-28,28.95,29.15,27.38,27.79,249678.0
2008-02-29,27.98,28.52,27.0,27.13,300165.0
2008-03-03,28.37,28.5,26.5,26.9,576428.0
2008-03-04,25.16,25.2,22.75,24.51,1937759.0
2008-03-05,24.5,25.0,24.3,24.73,623485.0
2008-03-06,24.5,24.84,23.66,23.8,616928.0
2008-03-07,23.8,23.88,22.6,22.94,511333.0
2008-03-10,23.0,23.42,22.67,22.75,367888.0
2008-03-11,23.38,23.69,21.33,22.0,717168.0
2008-03-12,22.2,22.64,20.88,21.17,400335.0
2008-03-13,20.64,20.64,17.98,19.2,1287346.0
2008-03-14,19.5,20.83,19.07,20.68,1413343.0
2008-03-17,19.58,20.0,18.34,19.58,678699.0
2008-03-18,19.13,21.62,19.13,20.1,1132292.0
2008-03-19,19.79,20.5,17.79,18.19,542314.0
2008-03-20,18.38,18.88,18.16,18.75,360245.0
2008-03-24,18.8,21.1,18.8,20.66,477182.0
2008-03-25,21.23,21.44,20.01,20.41,312158.0
2008-03-26,20.32,20.52,19.82,19.92,292404.0
2008-03-27,19.97,20.98,19.2,19.38,161047.0
2008-03-28,19.48,19.71,18.62,19.26,400508.0
2008-03-31,19.18,19.81,18.5,19.69,367344.0
2008-04-01,19.9,20.68,19.63,20.61,512101.0
2008-04-02,20.91,21.18,20.18,20.59,484279.0
2008-04-03,20.84,22.13,20.23,21.99,413873.0
2008-04-04,22.0,22.4,21.05,22.0,432174.0
2008-04-07,22.4,23.56,22.32,22.82,463082.0
2008-04-08,22.52,23.1,21.5,21.69,353420.0
2008-04-09,21.93,21.93,20.9,21.09,432509.0
2008-04-10,20.95,22.9,20.57,22.52,463745.0
2008-04-11,22.25,22.25,20.93,21.05,479501.0
2008-04-14,21.0,21.84,21.0,21.42,235068.0
2008-04-15,21.37,21.67,21.04,21.62,308803.0
2008-04-16,21.58,21.96,21.5,21.91,227884.0
2008-04-17,21.8,21.92,21.38,21.69,328218.0
2008-04-18,22.03,22.09,20.77,20.91,593776.0
2008-04-21,21.08,22.6,21.0,22.2,370933.0
2008-04-22,21.83,22.35,21.05,21.21,291928.0
