Date,Open,High,Low,Close,Volume
2006-12-20,12.5,12.5,9.91,9.96,8430275.0
2006-12-21,10.07,10.55,9.9,10.39,2015008.0
2006-12-22,10.62,11.0,10.5,10.97,505997.0
2006-12-26,11.36,12.34,11.01,12.14,726141.0
2006-12-27,12.4,12.45,11.75,11.98,237501.0
2006-12-28,11.96,12.0,11.3,11.46,421424.0
2006-12-29,11.46,11.7,11.11,11.69,198208.0
2007-01-03,11.59,11.59,10.81,10.99,408425.0
2007-01-04,11.14,11.14,10.4,11.0,602313.0
2007-01-05,11.0,11.48,10.89,11.13,291939.0
2007-01-08,11.5,11.5,10.5,10.66,95688.0
2007-01-09,10.77,10.77,10.21,10.29,104343.0
2007-01-10,10.3,10.51,10.3,10.45,132783.0
2007-01-11,10.54,10.59,10.44,10.54,69053.0
2007-01-12,10.62,10.74,10.27,10.6,61049.0
2007-01-16,11.0,11.0,10.57,10.7,247984.0
2007-01-17,10.78,10.97,10.51,10.97,156745.0
2007-01-18,11.0,12.29,11.0,11.8,903927.0
2007-01-19,11.8,12.16,11.49,12.06,610443.0
2007-01-22,12.42,13.1,11.89,12.94,1104193.0
2007-01-23,12.6,13.5,12.5,13.31,603690.0
2007-01-24,13.34,13.34,12.5,12.71,287743.0
2007-01-25,13.18,13.18,12.7,12.92,234162.0
2007-01-26,12.9,14.1,12.85,14.0,561105.0
2007-01-29,14.01,15.08,13.39,13.51,957697.0
2007-01-30,14.5,15.6,13.91,15.04,1629313.0
2007-01-31,14.8,15.49,14.66,15.03,460027.0
2007-02-01,15.08,15.2,14.51,14.99,577044.0
2007-02-02,14.99,15.07,14.59,14.8,196407.0
2007-02-05,14.9,15.92,14.81,15.6,706751.0
2007-02-06,15.75,15.75,14.86,15.06,601213.0
2007-02-07,15.22,15.44,14.85,14.93,233430.0
2007-02-08,15.0,15.1,14.29,14.65,296606.0
2007-02-09,14.46,14.64,13.23,13.68,438654.0
2007-02-12,14.19,14.33,13.67,13.94,226980.0
2007-02-13,13.8,13.96,13.58,13.87,76381.0
2007-02-14,14.24,15.65,14.24,14.88,991247.0
2007-02-15,15.24,16.66,14.8,14.99,1386485.0
2007-02-16,15.47,15.56,14.48,14.58,270464.0
2007-02-20,15.31,15.8,14.72,15.71,291697.0
2007-02-21,16.01,16.58,15.34,15.49,1028031.0
2007-02-22,15.63,15.72,14.7,14.8,464974.0
2007-02-23,15.15,16.27,14.91,15.54,2016946.0
2007-02-26,16.5,17.1,16.1,16.45,2670400.0
2007-02-27,15.3,15.3,13.38,14.1,1761889.0
2007-02-28,14.5,15.0,14.15,14.29,1005589.0
2007-03-01,13.29,13.85,13.02,13.6,700465.0
2007-03-02,13.73,14.0,13.25,13.4,454857.0
2007-03-05,12.8,13.03,12.27,12.33,743196.0
2007-03-06,12.77,13.7,12.77,13.57,615868.0
2007-03-07,12.55,13.8,12.42,12.97,1121434.0
2007-03-08,13.42,13.46,12.51,12.63,1017721.0
2007-03-09,12.72,13.06,12.54,12.8,417185.0
2007-03-12,12.84,12.84,12.24,12.7,1141723.0
2007-03-13,12.51,13.0,12.28,12.5,769827.0
2007-03-14,12.3,12.78,12.28,12.55,480285.0
2007-03-15,12.52,12.78,12.44,12.57,519593.0
2007-03-16,12.6,12.67,12.15,12.31,740305.0
2007-03-19,12.3,12.36,11.89,12.2,863391.0
2007-03-20,12.18,12.3,12.0,12.12,140384.0
2007-03-21,12.28,12.28,11.88,12.12,430525.0
2007-03-22,12.2,13.18,12.2,13.07,754389.0
2007-03-23,13.25,13.97,13.07,13.26,820469.0
2007-03-26,13.4,13.52,12.58,12.75,451839.0
2007-03-27,13.0,13.28,12.78,13.0,501784.0
2007-03-28,13.0,13.05,12.45,12.56,305493.0
2007-03-29,12.71,12.99,12.4,12.66,837692.0
2007-03-30,12.98,13.0,12.45,12.57,293025.0
2007-04-02,12.58,12.75,12.15,12.36,372181.0
2007-04-03,12.48,12.86,12.16,12.4,341266.0
2007-04-04,12.46,12.58,12.25,12.5,435562.0
2007-04-05,12.6,12.95,12.51,12.61,267973.0
2007-04-09,12.73,13.6,12.59,13.54,571303.0
2007-04-10,13.49,14.2,13.26,13.43,731933.0
2007-04-11,13.7,13.73,12.98,13.01,524715.0
2007-04-12,12.92,13.03,12.66,12.79,615963.0
2007-04-13,12.89,13.45,12.69,13.04,809183.0
2007-04-16,13.36,17.69,13.22,17.68,5172978.0
2007-04-17,16.8,17.0,15.0,15.0,4354776.0
2007-04-18,15.33,16.43,15.0,16.02,3449845.0
2007-04-19,15.66,16.51,15.26,15.34,1828786.0
2007-04-20,16.0,16.13,15.41,15.87,962489.0
2007-04-23,15.96,17.0,15.45,15.97,2644869.0
2007-04-24,16.3,16.34,15.65,15.95,629665.0
2007-04-25,16.25,17.2,16.1,16.73,1860631.0
2007-04-26,16.92,17.15,16.0,16.14,820748.0
2007-04-27,15.91,15.91,15.35,15.55,504409.0
2007-04-30,15.55,15.68,14.23,14.27,1068837.0
2007-05-01,14.32,14.5,13.43,13.77,893065.0
2007-05-02,14.08,14.65,13.85,14.39,526381.0
2007-05-03,14.64,14.7,14.25,14.45,226981.0
2007-05-04,14.86,15.29,14.43,14.54,754703.0
2007-05-07,14.89,14.89,14.25,14.46,339156.0
2007-05-08,14.3,14.38,14.0,14.35,219404.0
