Date,Open,High,Low,Close,Volume
2007-02-07,95.3,97.5,82.5,89.0,2136126.0
2007-02-08,90.7,91.0,85.0,87.9,253618.0
2007-02-09,87.55,90.0,84.5,85.25,184828.0
2007-02-12,85.75,85.75,80.85,81.5,106791.0
2007-02-13,81.0,87.75,80.9,87.5,147063.0
2007-02-14,91.5,98.0,90.0,93.1,485863.0
2007-02-15,94.2,94.35,90.05,91.32,222494.0
2007-02-16,92.0,92.5,90.1,91.95,68679.0
2007-02-20,95.5,96.5,92.0,92.6,101418.0
2007-02-21,93.15,99.35,92.5,96.95,343151.0
2007-02-22,97.5,102.85,96.8,101.0,290446.0
2007-02-23,101.55,105.5,101.25,102.25,223089.0
2007-02-26,103.2,105.0,101.0,102.3,159737.0
2007-02-27,95.0,97.85,90.9,91.55,286354.0
2007-02-28,96.25,98.05,87.5,96.25,225930.0
2007-03-01,93.45,94.95,87.5,92.1,165217.0
2007-03-02,90.9,94.55,89.8,90.5,99996.0
2007-03-05,87.5,88.95,81.25,84.15,142311.0
2007-03-06,88.5,91.65,88.35,89.65,161774.0
2007-03-07,89.65,91.75,87.9,91.0,75636.0
2007-03-08,92.65,99.0,92.56,99.0,126512.0
2007-03-09,100.0,101.0,95.0,96.1,78277.0
2007-03-12,96.1,100.0,93.35,97.95,68957.0
2007-03-13,96.75,100.0,92.5,94.45,109207.0
2007-03-14,93.9,95.5,91.05,94.5,81757.0
2007-03-15,94.5,94.5,91.0,91.35,42482.0
2007-03-16,91.35,91.35,85.4,86.25,174450.0
2007-03-19,88.35,88.5,82.75,83.85,262305.0
2007-03-20,85.0,86.6,84.25,85.55,97263.0
2007-03-21,88.6,89.0,85.45,87.05,175873.0
2007-03-22,87.1,91.05,86.85,90.0,148387.0
2007-03-23,90.35,90.5,88.85,90.1,71972.0
2007-03-26,90.55,91.55,86.6,87.5,70921.0
2007-03-27,88.1,88.9,84.75,85.25,70820.0
2007-03-28,84.65,85.75,82.75,82.95,84953.0
2007-03-29,83.8,89.55,83.75,87.7,151252.0
2007-03-30,94.1,97.5,87.7,90.45,529116.0
2007-04-02,93.0,94.25,90.7,94.0,151994.0
2007-04-03,94.6,96.3,92.9,94.05,162307.0
2007-04-04,93.75,97.85,92.9,97.7,231726.0
2007-04-05,98.15,98.7,94.25,95.2,96672.0
2007-04-09,95.9,97.2,93.15,94.8,60625.0
2007-04-10,95.0,98.9,94.3,96.75,176371.0
2007-04-11,97.1,101.4,96.25,97.55,360136.0
2007-04-12,98.25,108.75,95.75,108.15,735357.0
2007-04-13,110.6,121.05,108.15,121.0,851401.0
2007-04-16,125.25,141.5,124.75,141.0,1405494.0
2007-04-17,133.75,135.45,123.3,124.65,1120891.0
2007-04-18,122.0,131.5,120.25,127.6,636930.0
2007-04-19,123.1,132.3,117.5,119.2,547695.0
2007-04-20,125.95,126.75,119.5,124.1,329508.0
2007-04-23,122.6,136.75,122.6,131.2,550517.0
2007-04-24,131.75,135.75,129.0,132.5,239372.0
2007-04-25,136.55,144.4,134.05,139.55,565048.0
2007-04-26,139.15,142.5,133.0,135.15,231375.0
2007-04-27,130.95,132.5,128.85,131.9,224389.0
2007-04-30,130.0,135.39,118.65,121.95,350796.0
2007-05-01,121.25,121.6,111.05,114.6,549341.0
2007-05-02,115.5,122.08,115.5,120.65,298507.0
2007-05-03,122.75,123.75,117.5,119.6,159011.0
2007-05-04,123.05,128.55,120.75,121.7,256870.0
2007-05-07,123.0,127.25,120.5,125.05,203980.0
2007-05-08,124.2,124.2,119.2,121.6,173364.0
2007-05-09,122.25,128.1,120.0,125.0,117608.0
2007-05-10,125.2,133.75,123.45,126.8,377898.0
2007-05-11,129.9,134.15,128.2,131.25,195487.0
2007-05-14,134.4,140.45,132.55,139.45,593125.0
2007-05-15,126.0,133.95,123.8,127.95,1019585.0
2007-05-16,129.2,129.25,119.25,123.1,397457.0
2007-05-17,123.1,125.02,120.1,120.55,168670.0
2007-05-18,117.0,117.7,112.5,113.3,348980.0
2007-05-21,112.0,119.9,111.86,116.75,291828.0
2007-05-22,117.95,123.85,117.5,122.5,256901.0
