Date,Open,High,Low,Close,Volume
2005-01-03,51.81,53.5,49.9,50.72,552512.0
2005-01-04,50.5,51.67,45.5,48.5,1300292.0
2005-01-05,48.37,49.06,47.13,48.2,328315.0
2005-01-06,48.3,49.69,47.5,47.6,277466.0
2005-01-07,47.19,48.55,46.5,47.48,317811.0
2005-01-10,47.5,48.13,46.5,47.19,353374.0
2005-01-11,47.5,48.72,46.57,47.89,286208.0
2005-01-12,47.1,47.82,41.7,45.05,1131393.0
2005-01-13,44.8,46.85,42.5,43.32,435077.0
2005-01-14,43.75,44.98,43.0,43.82,298925.0
2005-01-18,27.74,29.11,26.6,28.32,7451620.0
2005-01-19,27.73,29.48,25.5,25.82,2399883.0
2005-01-20,24.5,25.49,23.8,24.05,1437641.0
2005-01-21,24.77,25.1,23.82,24.02,788115.0
2005-01-24,23.91,24.12,20.55,20.75,1541716.0
2005-01-25,21.9,23.54,20.22,22.64,2091748.0
2005-01-26,22.51,23.39,21.83,22.85,736598.0
2005-01-27,22.87,23.38,22.0,22.44,498568.0
2005-01-28,22.77,22.94,21.96,22.2,358693.0
2005-01-31,22.55,24.48,22.45,24.2,788361.0
2005-02-01,24.75,24.79,23.1,23.34,357122.0
2005-02-02,23.5,25.95,23.25,25.02,998491.0
2005-02-03,25.1,27.25,24.52,27.25,1002975.0
2005-02-04,28.0,28.09,26.27,27.31,778540.0
2005-02-07,27.5,27.87,24.56,24.93,489421.0
2005-02-08,23.52,25.09,22.95,24.05,413173.0
2005-02-09,24.2,24.2,22.49,23.19,249663.0
2005-02-10,22.75,23.29,22.05,22.22,306987.0
2005-02-11,22.12,22.98,22.12,22.65,150887.0
2005-02-14,23.17,23.67,22.59,23.05,116864.0
2005-02-15,23.15,23.54,21.75,21.87,310668.0
2005-02-16,21.72,22.19,21.25,21.38,679966.0
2005-02-17,21.77,21.77,20.2,20.35,290778.0
2005-02-18,20.41,22.47,20.41,21.28,344374.0
2005-02-22,22.0,22.48,21.23,22.11,378249.0
2005-02-23,22.26,22.5,20.5,20.8,223426.0
2005-02-24,20.64,20.92,20.2,20.83,120376.0
2005-02-25,20.55,21.37,20.55,20.97,108066.0
2005-02-28,21.49,21.84,20.2,20.28,272083.0
2005-03-01,20.17,23.65,20.17,23.33,907821.0
2005-03-02,22.8,23.1,22.13,22.61,292576.0
2005-03-03,22.23,23.39,21.23,21.32,290130.0
2005-03-04,21.42,21.87,20.66,20.8,267168.0
2005-03-07,21.07,21.88,20.42,20.97,506540.0
2005-03-08,21.2,21.75,20.57,21.26,213084.0
2005-03-09,21.18,21.72,20.42,20.46,184095.0
2005-03-10,20.41,21.24,19.95,20.18,268848.0
2005-03-11,20.1,20.63,19.05,19.41,762406.0
2005-03-14,18.25,19.2,16.75,16.8,1267583.0
2005-03-15,16.68,17.09,16.16,16.38,795979.0
2005-03-16,16.2,16.8,16.2,16.72,268779.0
2005-03-17,16.7,16.7,16.31,16.37,115923.0
2005-03-18,16.25,16.25,15.71,16.0,221539.0
2005-03-21,15.96,15.96,14.9,15.1,362504.0
2005-03-22,15.0,17.32,15.0,16.72,772895.0
2005-03-23,16.84,17.2,15.58,15.8,395912.0
2005-03-24,16.17,16.49,15.76,15.95,114958.0
2005-03-28,15.95,16.3,15.57,15.64,177930.0
2005-03-29,15.84,16.11,15.4,15.43,238849.0
2005-03-30,15.4,17.45,15.4,16.75,469625.0
2005-03-31,17.2,17.5,16.94,16.94,440286.0
2005-04-01,17.5,17.9,17.2,17.26,168749.0
2005-04-04,17.18,17.64,16.82,17.42,132085.0
2005-04-05,17.31,18.39,17.31,18.06,189060.0
2005-04-06,18.5,18.5,17.8,17.99,145052.0
2005-04-07,18.25,18.25,17.1,17.24,140149.0
2005-04-08,17.37,17.72,17.37,17.45,75994.0
2005-04-11,17.3,17.4,16.6,17.12,89999.0
2005-04-12,16.82,17.16,16.82,17.04,32738.0
2005-04-13,17.3,17.52,16.9,17.02,40036.0
2005-04-14,16.85,17.08,16.54,16.6,51813.0
2005-04-15,16.51,16.86,16.05,16.06,68497.0
2005-04-18,15.75,17.24,15.75,17.23,181260.0
2005-04-19,17.34,17.5,17.0,17.29,42772.0
2005-04-20,17.48,17.48,16.76,16.87,27980.0
2005-04-21,16.78,17.51,16.0,17.39,86205.0
2005-04-22,17.39,17.73,17.17,17.34,56755.0
2005-04-25,17.0,17.67,17.0,17.5,65605.0
2005-04-26,17.17,17.29,16.55,17.04,74256.0
2005-04-27,16.82,17.14,16.82,17.09,43901.0
2005-04-28,16.85,17.17,16.85,17.1,35053.0
2005-04-29,16.89,17.51,16.85,17.05,97152.0
2005-05-02,17.08,17.45,17.04,17.3,46120.0
2005-05-03,17.48,17.48,17.15,17.43,28226.0
2005-05-04,17.42,21.15,17.42,20.7,594376.0
2005-05-05,21.79,21.22,20.1,20.68,284430.0
2005-05-06,20.93,21.0,19.95,20.44,98499.0
2005-05-09,18.65,18.65,14.7,14.7,1887125.0
2005-05-10,15.0,15.0,13.5,13.8,1213183.0
2005-05-11,14.06,14.1,13.23,13.41,385425.0
2005-05-12,13.36,13.7,13.15,13.33,278809.0
2005-05-13,13.25,13.53,13.1,13.18,231354.0
2005-05-16,13.09,13.4,12.57,12.71,293174.0
2005-05-17,12.6,12.72,12.21,12.31,289880.0
2005-05-18,12.45,13.3,12.31,12.81,357537.0
2005-05-19,13.03,13.43,12.8,13.16,266498.0
