Date,Open,High,Low,Close,Volume
2005-01-03,3.26,3.35,3.23,3.24,36200.0
2005-01-04,3.2,3.2,3.18,3.2,22600.0
2005-01-05,3.2,3.3,3.2,3.25,20000.0
2005-01-06,3.2,3.23,3.2,3.22,6200.0
2005-01-07,3.2,3.27,3.18,3.27,16400.0
2005-01-10,3.22,3.22,3.22,3.22,400.0
2005-01-11,3.23,3.3,3.22,3.3,19600.0
2005-01-12,3.38,3.45,3.36,3.42,25200.0
2005-01-13,3.44,3.47,3.41,3.47,18400.0
2005-01-14,3.38,3.44,3.38,3.44,6200.0
2005-01-18,3.47,3.6,3.45,3.48,22800.0
2005-01-19,3.52,3.55,3.4,3.48,20600.0
2005-01-20,3.45,3.48,3.28,3.45,36400.0
2005-01-21,3.5,3.5,3.4,3.45,4000.0
2005-01-24,3.39,3.39,3.18,3.18,27200.0
2005-01-25,3.18,3.18,3.15,3.15,14600.0
2005-01-26,3.13,3.13,2.96,3.02,47000.0
2005-01-27,3.04,3.04,3.03,3.04,1800.0
2005-01-28,3.08,3.08,3.04,3.08,8800.0
2005-01-31,3.0,3.05,3.0,3.02,7000.0
2005-02-01,3.02,3.06,3.02,3.06,2800.0
2005-02-02,3.08,3.18,3.08,3.12,35000.0
2005-02-03,3.12,3.12,3.08,3.09,7600.0
2005-02-04,3.09,3.15,3.08,3.12,9800.0
2005-02-07,3.14,3.14,3.12,3.14,3000.0
2005-02-08,3.15,3.16,3.15,3.16,4400.0
2005-02-09,3.12,3.22,3.12,3.22,17400.0
2005-02-10,3.24,3.29,3.24,3.29,16400.0
2005-02-11,3.25,3.37,3.25,3.35,18800.0
2005-02-14,3.38,3.45,3.38,3.45,49800.0
2005-02-15,3.45,3.47,3.38,3.47,103800.0
2005-02-16,3.43,3.47,3.42,3.47,4600.0
2005-02-17,3.4,3.4,3.3,3.3,24600.0
2005-02-18,3.2,3.24,3.2,3.22,7000.0
2005-02-22,3.15,3.18,3.13,3.15,9400.0
2005-02-23,3.11,3.18,3.06,3.18,5600.0
2005-02-24,3.19,3.19,3.12,3.19,6600.0
2005-02-25,3.16,3.2,3.15,3.16,12000.0
2005-02-28,3.22,3.22,3.18,3.2,5600.0
2005-03-01,3.24,3.25,3.21,3.25,2600.0
2005-03-02,3.21,3.21,3.2,3.2,1400.0
2005-03-03,3.2,3.2,3.16,3.16,5000.0
2005-03-04,,,,3.16,0.0
2005-03-07,3.08,3.12,3.05,3.12,7200.0
2005-03-08,3.1,3.12,3.1,3.12,7200.0
2005-03-09,3.08,3.08,2.94,3.02,45800.0
2005-03-10,3.05,3.07,2.9,2.95,16200.0
2005-03-11,2.95,3.02,2.95,3.02,1000.0
2005-03-14,2.98,3.02,2.95,3.02,36000.0
2005-03-15,2.9,2.94,2.82,2.85,17400.0
2005-03-16,2.88,2.88,2.73,2.73,9600.0
2005-03-17,2.76,2.8,2.75,2.75,4800.0
2005-03-18,2.82,2.82,2.82,2.82,1200.0
2005-03-21,,,,2.82,0.0
2005-03-22,,,,2.82,0.0
2005-03-23,2.85,2.85,2.75,2.78,4200.0
2005-03-24,2.82,2.9,2.82,2.88,20000.0
2005-03-28,2.92,2.95,2.89,2.95,1800.0
2005-03-29,2.88,2.93,2.85,2.85,14800.0
2005-03-30,2.88,3.0,2.85,2.91,46000.0
2005-03-31,2.9,2.94,2.9,2.91,6800.0
2005-04-01,2.9,3.05,2.9,3.05,8600.0
2005-04-04,2.92,2.92,2.9,2.91,7200.0
2005-04-05,2.92,3.0,2.92,3.0,18800.0
2005-04-06,2.94,2.98,2.94,2.98,1600.0
2005-04-07,2.98,3.02,2.92,3.0,1600.0
2005-04-08,2.99,3.51,2.95,3.45,354600.0
2005-04-11,3.5,3.56,3.32,3.38,368400.0
2005-04-12,3.39,3.4,3.31,3.32,87000.0
2005-04-13,3.32,3.42,3.32,3.35,85200.0
2005-04-14,3.44,3.44,3.32,3.38,29000.0
2005-04-15,3.4,3.45,3.35,3.36,24200.0
2005-04-18,3.35,3.35,2.84,2.95,205000.0
2005-04-19,2.99,3.06,2.97,3.02,25000.0
2005-04-20,3.02,3.04,2.95,2.95,12400.0
2005-04-21,2.96,2.98,2.8,2.84,73600.0
2005-04-22,2.88,2.88,2.8,2.82,42200.0
2005-04-25,2.84,2.9,2.84,2.84,17400.0
2005-04-26,2.88,2.88,2.84,2.84,8000.0
2005-04-27,2.84,2.84,2.82,2.84,2200.0
2005-04-28,2.8,2.8,2.7,2.7,32200.0
2005-04-29,2.7,2.73,2.7,2.73,5400.0
2005-05-02,2.74,2.85,2.74,2.85,11200.0
2005-05-03,2.8,2.87,2.8,2.87,22800.0
2005-05-04,2.88,2.93,2.88,2.92,11000.0
2005-05-05,2.95,2.97,2.92,2.92,30600.0
2005-05-06,2.92,2.98,2.88,2.98,8800.0
2005-05-09,2.96,3.04,2.9,3.04,14600.0
2005-05-10,3.04,3.09,3.04,3.09,6600.0
2005-05-11,3.0,3.0,3.0,3.0,15600.0
2005-05-12,3.02,3.02,2.99,3.0,11600.0
2005-05-13,3.0,3.0,2.98,2.98,17200.0
2005-05-16,2.98,3.02,2.93,2.95,9200.0
2005-05-17,2.9,3.0,2.9,3.0,8800.0
2005-05-18,2.98,3.05,2.98,3.0,13400.0
2005-05-19,2.98,2.98,2.95,2.97,3400.0
2005-05-20,2.93,2.93,2.93,2.93,1400.0
2005-05-23,2.92,2.94,2.92,2.94,11800.0
2005-05-24,2.92,2.94,2.92,2.94,3000.0
2005-05-25,2.92,2.92,2.9,2.92,8800.0
2005-05-26,2.9,2.94,2.9,2.94,19200.0
2005-05-27,2.92,2.97,2.91,2.97,16600.0
2005-05-31,2.95,2.95,2.86,2.86,8200.0
2005-06-01,2.9,2.96,2.9,2.95,12600.0
2005-06-02,2.9,2.95,2.9,2.95,600.0
2005-06-03,2.92,2.95,2.9,2.95,5800.0
2005-06-06,2.95,3.0,2.9,2.92,15600.0
2005-06-07,2.95,2.95,2.93,2.95,1000.0
2005-06-08,2.93,2.94,2.93,2.93,1000.0
