Date,Open,High,Low,Close,Volume
2010-08-18,7.95,8.4,7.25,7.99,26224.0
2010-08-19,8.0,8.0,7.6,7.8,30273.0
2010-08-20,7.98,7.98,7.95,7.96,25524.0
2010-08-23,8.4,8.6,7.95,8.45,40050.0
2010-08-24,8.8,10.94,8.52,9.49,84699.0
2010-08-25,9.41,11.95,9.38,10.6,160373.0
2010-08-26,11.14,11.15,9.9,10.17,34861.0
2010-08-27,10.14,10.18,9.2,9.37,28502.0
2010-08-30,9.0,9.2,7.6,8.64,83250.0
2010-08-31,8.57,9.4,8.57,8.92,45053.0
2010-09-01,9.2,9.2,8.78,9.15,37379.0
2010-09-02,9.54,9.54,9.05,9.1,24520.0
2010-09-03,9.54,9.54,9.2,9.3,12037.0
2010-09-06,,,,9.3,0.0
2010-09-07,10.12,11.1,9.36,9.92,67281.0
2010-09-08,9.98,10.1,9.95,10.02,22060.0
2010-09-09,10.6,10.98,10.0,10.6,46912.0
2010-09-10,10.6,10.61,10.02,10.02,33168.0
2010-09-13,10.35,10.35,9.9,9.93,24117.0
2010-09-14,9.95,10.35,9.5,10.0,40351.0
2010-09-15,10.2,10.25,9.7,10.0,17626.0
2010-09-16,10.01,10.01,9.5,9.59,22262.0
2010-09-17,9.63,9.63,9.25,9.49,25380.0
2010-09-20,10.0,10.0,9.64,9.8,20465.0
2010-09-21,9.99,9.99,9.71,9.85,9380.0
2010-09-22,9.89,9.99,9.51,9.56,16464.0
2010-09-23,9.5,9.7,8.6,8.72,55253.0
2010-09-24,8.8,8.8,7.32,7.34,105436.0
2010-09-27,7.57,7.78,6.12,6.5,65112.0
2010-09-28,6.73,8.5,6.62,8.5,167125.0
2010-09-29,8.91,8.91,7.5,8.42,123428.0
2010-09-30,9.12,9.22,8.7,9.06,72435.0
2010-10-01,9.17,9.17,8.8,8.9,27239.0
2010-10-04,9.0,9.02,8.83,8.83,18027.0
2010-10-05,8.5,9.1,8.5,9.08,46904.0
2010-10-06,10.0,10.0,8.8,9.05,60026.0
2010-10-07,8.95,9.32,8.94,9.17,27771.0
2010-10-08,9.2,9.5,9.06,9.19,36839.0
2010-10-11,9.47,9.47,8.82,9.2,13809.0
2010-10-12,9.44,9.44,8.85,9.08,22568.0
2010-10-13,9.35,9.35,8.51,8.9,26963.0
2010-10-14,9.0,9.0,8.68,8.69,32593.0
2010-10-15,8.67,8.96,8.6,8.7,19294.0
2010-10-18,8.71,9.0,8.71,8.81,9901.0
2010-10-19,9.0,9.0,8.6,8.77,8507.0
2010-10-20,8.62,8.77,8.6,8.77,9700.0
2010-10-21,8.77,8.86,8.68,8.71,9939.0
2010-10-22,8.67,8.76,8.5,8.52,15979.0
2010-10-25,8.85,8.85,8.51,8.78,16604.0
2010-10-26,8.5,8.57,8.5,8.57,280.0
2010-10-27,8.54,8.61,8.15,8.26,27778.0
2010-10-28,8.16,8.25,7.8,8.0,18854.0
2010-10-29,8.05,8.35,7.9,7.95,5119.0
2010-11-01,7.92,8.2,7.68,8.12,9615.0
2010-11-02,7.72,8.14,7.01,7.05,44570.0
2010-11-03,7.01,8.24,7.0,7.43,134771.0
2010-11-04,7.35,8.16,7.35,7.84,16886.0
2010-11-05,7.8,7.8,7.16,7.28,39354.0
2010-11-08,7.12,7.79,7.12,7.75,27462.0
2010-11-09,7.77,7.8,7.5,7.6,11745.0
2010-11-10,7.57,7.57,7.25,7.43,6709.0
2010-11-11,7.35,7.59,7.26,7.27,3512.0
2010-11-12,7.35,9.0,7.35,8.1,30335.0
2010-11-15,8.5,8.75,8.25,8.49,38444.0
2010-11-16,8.95,8.95,8.29,8.65,28944.0
2010-11-17,8.85,8.85,8.45,8.79,22522.0
2010-11-18,8.82,8.82,8.65,8.7,5381.0
2010-11-19,8.7,8.98,8.7,8.98,20481.0
2010-11-22,8.99,9.18,8.94,9.1,29828.0
2010-11-23,9.17,9.17,8.95,9.1,9373.0
2010-11-24,9.1,9.17,8.16,9.11,21699.0
2010-11-26,8.86,9.11,8.7,9.11,4590.0
2010-11-29,9.17,9.17,8.72,9.13,6258.0
2010-11-30,9.14,9.14,8.72,9.1,3556.0
2010-12-01,8.95,9.05,8.73,8.87,18282.0
2010-12-02,8.44,8.66,8.25,8.48,28519.0
2010-12-03,8.71,8.71,8.15,8.16,8868.0
2010-12-06,8.1,8.16,7.86,7.95,40614.0
2010-12-07,8.07,8.07,7.1,7.17,48885.0
2010-12-08,7.51,7.51,6.75,6.77,30307.0
2010-12-09,6.7,7.91,6.7,7.42,60375.0
2010-12-10,7.42,7.42,6.83,7.29,37145.0
2010-12-13,6.71,7.28,6.71,6.75,42489.0
2010-12-14,6.71,7.1,6.38,7.0,33924.0
2010-12-15,7.26,7.26,6.87,6.89,13380.0
2010-12-16,6.89,7.0,6.25,6.3,77727.0
2010-12-17,6.5,6.74,6.43,6.5,20195.0
2010-12-20,6.36,6.55,6.01,6.1,41356.0
2010-12-21,7.04,7.04,6.03,6.04,52044.0
2010-12-22,6.04,7.0,6.04,6.83,66422.0
2010-12-23,6.75,7.25,6.54,7.0,28448.0
2010-12-27,7.1,7.1,6.41,6.49,48318.0
