Date,Open,High,Low,Close,Volume
2010-05-14,40.0,41.5,38.0,39.4,109703.0
2010-05-17,39.7,39.7,32.5,35.3,9100.0
2010-05-18,35.9,36.6,32.5,33.0,5442.0
2010-05-19,34.9,34.9,31.6,31.8,10177.0
2010-05-20,31.8,31.8,29.5,29.5,13150.0
2010-05-21,29.0,33.0,29.0,32.0,3139.0
2010-05-24,32.9,32.9,29.2,29.2,3314.0
2010-05-25,31.3,31.3,29.2,29.6,2609.0
2010-05-26,32.1,34.5,29.9,30.4,1840.0
2010-05-27,32.1,33.3,29.4,30.0,2190.0
2010-05-28,29.1,33.0,29.1,31.1,3445.0
2010-05-31,,,,31.1,0.0
2010-06-01,31.9,31.9,29.5,30.0,866.0
2010-06-02,30.0,30.4,27.9,29.4,2860.0
2010-06-03,29.5,30.0,28.6,29.6,1154.0
2010-06-04,30.0,30.5,27.5,27.5,735.0
2010-06-07,30.4,30.4,27.7,27.7,1110.0
2010-06-08,27.45,27.5,25.3,26.6,1448.0
2010-06-09,25.3,25.64,24.6,24.6,2176.0
2010-06-10,24.2,27.9,24.2,26.0,2478.0
2010-06-11,27.4,27.4,26.0,26.5,864.0
2010-06-14,27.5,27.5,25.0,25.7,1161.0
2010-06-15,27.5,29.9,27.4,28.2,4679.0
2010-06-16,28.7,29.2,26.2,28.0,1830.0
2010-06-17,27.9,27.9,26.4,26.4,690.0
2010-06-18,26.9,29.7,26.5,29.4,2180.0
2010-06-21,28.1,28.7,27.0,28.6,1607.0
2010-06-22,28.0,28.0,27.4,27.7,409.0
2010-06-23,28.4,28.4,27.6,28.1,150.0
2010-06-24,30.4,35.1,27.0,28.0,31002.0
2010-06-25,28.05,28.9,27.8,27.8,2592.0
2010-06-28,28.0,28.01,27.2,27.5,2617.0
2010-06-29,27.1,27.6,26.0,26.2,1135.0
2010-06-30,26.1,28.55,25.0,25.6,1614.0
2010-07-01,25.8,27.8,22.31,24.2,3899.0
2010-07-02,24.8,28.0,23.7,23.7,4328.0
2010-07-05,,,,23.7,0.0
2010-07-06,24.7,24.71,23.7,23.7,2650.0
2010-07-07,25.4,25.4,23.11,24.1,1614.0
2010-07-08,24.5,25.5,24.1,25.0,1903.0
2010-07-09,24.1,27.0,24.0,26.3,1229.0
2010-07-12,26.0,26.37,26.0,26.0,275.0
2010-07-13,26.0,26.0,25.5,26.0,1735.0
2010-07-14,26.1,27.5,26.1,26.5,838.0
2010-07-15,27.2,27.2,25.8,25.8,965.0
2010-07-16,25.6,25.6,24.5,25.0,4422.0
2010-07-19,24.7,25.9,24.7,24.8,460.0
2010-07-20,24.5,25.0,24.5,24.9,610.0
2010-07-21,24.4,25.0,24.3,24.3,665.0
2010-07-22,24.5,25.5,23.5,23.5,8740.0
2010-07-23,24.0,24.2,22.6,23.9,22180.0
2010-07-26,24.3,25.0,24.2,24.5,4834.0
2010-07-27,24.1,25.2,24.1,24.5,4336.0
2010-07-28,24.0,24.0,23.5,23.8,1420.0
2010-07-29,24.5,25.2,23.8,24.4,3350.0
2010-07-30,23.9,25.5,23.9,24.2,1690.0
2010-08-02,24.2,25.6,24.2,25.6,875.0
2010-08-03,26.7,28.0,26.2,26.2,9472.0
2010-08-04,26.3,26.9,26.1,26.2,1853.0
2010-08-05,26.2,26.5,25.6,25.6,2445.0
2010-08-06,25.6,26.5,25.2,25.2,2666.0
2010-08-09,25.1,25.4,24.69,24.8,1380.0
2010-08-10,24.2,26.2,24.1,24.2,2450.0
2010-08-11,24.34,24.34,23.7,23.7,760.0
2010-08-12,23.7,23.7,21.6,22.1,11453.0
2010-08-13,22.4,24.59,22.4,22.6,10884.0
2010-08-16,22.9,24.9,22.9,24.1,7174.0
2010-08-17,24.1,24.5,24.1,24.2,590.0
2010-08-18,24.5,25.0,23.7,24.2,1027.0
2010-08-19,23.7,24.2,23.12,23.8,27510.0
2010-08-20,23.3,25.0,23.3,23.5,1601.0
2010-08-23,23.0,23.24,22.4,22.4,2410.0
2010-08-24,22.4,22.6,22.1,22.5,7975.0
2010-08-25,22.5,23.5,22.2,22.9,1222.0
2010-08-26,22.6,23.3,22.0,22.0,3601.0
2010-08-27,22.0,22.5,21.5,21.7,11447.0
2010-08-30,22.0,22.0,21.5,21.6,1031.0
2010-08-31,22.4,22.66,22.0,22.5,3869.0
2010-09-01,22.5,22.5,21.8,22.0,1796.0
2010-09-02,22.0,23.0,22.0,22.5,3676.0
2010-09-03,23.5,23.5,23.0,23.5,739.0
2010-09-06,,,,23.5,0.0
2010-09-07,23.0,23.9,22.8,23.9,723.0
2010-09-08,23.0,23.0,22.45,22.5,760.0
2010-09-09,23.0,24.6,23.0,24.2,29946.0
2010-09-10,24.5,24.6,24.0,24.0,3645.0
2010-09-13,23.8,23.8,22.9,22.9,6254.0
2010-09-14,23.7,24.0,22.6,23.2,5440.0
2010-09-15,24.0,24.0,23.5,23.5,99.0
2010-09-16,23.2,23.5,22.5,23.14,1370.0
2010-09-17,22.3,23.1,21.5,23.1,43764.0
2010-09-20,23.4,23.4,22.0,22.8,1662.0
2010-09-21,23.0,24.88,23.0,24.1,9172.0
2010-09-22,23.3,23.3,23.0,23.1,2385.0
2010-09-23,23.3,24.24,23.1,23.1,3560.0
2010-09-24,24.1,24.1,23.1,23.5,650.0
2010-09-27,23.5,24.6,23.1,23.1,3962.0
2010-09-28,23.1,23.5,23.0,23.1,1515.0
2010-09-29,23.1,23.5,23.1,23.5,110.0
2010-09-30,24.0,24.1,23.5,23.5,260.0
2010-10-01,23.56,24.1,23.5,24.1,200.0
