Date,Open,High,Low,Close,Volume
2005-01-03,9.8,9.87,9.24,9.41,301777.0
2005-01-04,9.3,9.65,8.26,8.41,1015781.0
2005-01-05,8.27,8.68,8.1,8.4,782873.0
2005-01-06,8.69,8.92,8.3,8.75,465569.0
2005-01-07,8.83,8.94,8.65,8.75,250967.0
2005-01-10,8.9,8.9,8.66,8.75,234171.0
2005-01-11,8.73,8.73,8.06,8.17,407879.0
2005-01-12,8.14,8.33,7.61,7.84,658613.0
2005-01-13,7.83,8.2,7.6,8.01,299021.0
2005-01-14,7.9,8.21,7.9,8.14,157706.0
2005-01-18,8.16,8.4,7.86,8.03,138791.0
2005-01-19,8.25,8.33,7.91,8.07,216126.0
2005-01-20,7.98,8.24,7.72,7.88,444151.0
2005-01-21,8.15,8.15,7.6,7.7,171486.0
2005-01-24,7.57,7.86,7.22,7.32,217286.0
2005-01-25,7.28,7.92,7.25,7.6,263541.0
2005-01-26,7.61,8.44,7.61,8.37,337426.0
2005-01-27,8.2,8.74,8.01,8.51,299056.0
2005-01-28,8.63,8.66,7.9,8.04,371831.0
2005-01-31,8.1,8.33,8.04,8.18,377777.0
2005-02-01,8.21,8.33,7.66,7.72,1053211.0
2005-02-02,7.99,8.33,7.85,8.33,432967.0
2005-02-03,10.96,11.1,9.62,10.36,7234525.0
2005-02-04,10.1,10.51,9.9,10.32,1086453.0
2005-02-07,10.3,10.7,9.91,10.03,840662.0
2005-02-08,9.78,9.79,9.31,9.62,786715.0
2005-02-09,9.38,9.74,9.25,9.4,260912.0
2005-02-10,9.39,9.45,9.11,9.23,239072.0
2005-02-11,9.2,9.59,8.76,9.56,391734.0
2005-02-14,9.56,9.9,9.43,9.7,150543.0
2005-02-15,9.66,9.89,9.22,9.35,203459.0
2005-02-16,9.31,9.63,9.26,9.5,129113.0
2005-02-17,9.69,9.69,9.08,9.12,175134.0
2005-02-18,9.12,9.29,8.93,9.06,165912.0
2005-02-22,9.2,9.49,9.05,9.2,144390.0
2005-02-23,9.08,9.41,8.95,9.31,118389.0
2005-02-24,9.21,9.27,8.8,9.1,393428.0
2005-02-25,9.0,9.14,8.81,8.85,256952.0
2005-02-28,8.9,8.95,8.5,8.95,198966.0
2005-03-01,8.9,9.79,8.9,9.74,374032.0
2005-03-02,9.65,10.08,9.4,9.83,373644.0
2005-03-03,9.85,9.88,9.19,9.68,394766.0
2005-03-04,9.68,9.84,9.31,9.39,113184.0
2005-03-07,9.27,9.55,9.16,9.22,140741.0
2005-03-08,9.16,9.4,9.0,9.22,170722.0
2005-03-09,9.21,9.62,9.16,9.28,157971.0
2005-03-10,9.33,9.38,8.85,8.97,182936.0
2005-03-11,8.88,8.93,8.66,8.66,183270.0
2005-03-14,8.66,8.8,8.27,8.4,177941.0
2005-03-15,8.31,8.55,8.3,8.36,161696.0
2005-03-16,8.4,8.5,8.27,8.27,123529.0
2005-03-17,8.26,8.4,7.93,8.0,144309.0
2005-03-18,8.0,8.05,7.72,7.9,203492.0
2005-03-21,7.8,7.95,7.75,7.78,130505.0
2005-03-22,7.75,8.35,7.65,8.06,428364.0
2005-03-23,8.19,8.2,7.82,8.15,66146.0
2005-03-24,8.2,8.49,8.01,8.23,97391.0
2005-03-28,8.13,8.13,7.29,7.48,587644.0
2005-03-29,7.4,7.81,7.35,7.5,202186.0
2005-03-30,7.51,8.02,7.51,8.0,184220.0
2005-03-31,8.03,8.03,7.75,8.0,176374.0
2005-04-01,8.33,8.33,7.75,7.87,143375.0
2005-04-04,7.96,8.07,7.76,7.85,90839.0
2005-04-05,7.8,8.06,7.65,7.72,167123.0
2005-04-06,7.8,7.8,7.58,7.67,134506.0
2005-04-07,7.7,7.78,7.6,7.74,110239.0
2005-04-08,7.72,7.94,7.68,7.81,114135.0
2005-04-11,7.99,7.99,7.8,7.81,60485.0
2005-04-12,7.79,7.87,7.7,7.75,90918.0
2005-04-13,7.84,7.84,7.6,7.61,69819.0
2005-04-14,7.59,7.66,7.35,7.37,123287.0
2005-04-15,7.35,7.37,6.8,6.86,393358.0
2005-04-18,6.9,7.04,6.78,6.9,192127.0
2005-04-19,6.92,7.21,6.86,7.21,99939.0
2005-04-20,7.26,7.31,6.9,6.99,72226.0
2005-04-21,7.1,7.32,7.02,7.28,152365.0
2005-04-22,7.28,7.29,7.05,7.14,59928.0
2005-04-25,7.25,7.26,7.1,7.16,20354.0
2005-04-26,7.16,7.21,6.78,6.8,130103.0
2005-04-27,6.8,7.1,6.66,7.02,242488.0
2005-04-28,6.95,7.21,6.95,7.03,127875.0
2005-04-29,7.16,7.26,6.99,7.0,70806.0
2005-05-02,7.0,7.15,7.0,7.15,81342.0
2005-05-03,7.25,7.25,7.0,7.02,47917.0
2005-05-04,7.03,7.13,7.02,7.08,45068.0
2005-05-05,7.18,7.19,7.06,7.16,28353.0
2005-05-06,7.12,7.12,6.96,7.05,66358.0
2005-05-09,7.09,7.1,6.96,6.97,90335.0
2005-05-10,7.05,7.06,6.9,6.99,132791.0
2005-05-11,7.07,7.66,7.01,7.64,275038.0
2005-05-12,7.62,7.63,7.3,7.38,138689.0
2005-05-13,7.41,7.44,7.1,7.17,59365.0
2005-05-16,7.23,7.55,7.19,7.44,80553.0
2005-05-17,7.44,7.86,7.38,7.61,199451.0
2005-05-18,7.7,7.85,7.55,7.65,224683.0
2005-05-19,7.72,7.92,7.6,7.92,242509.0
2005-05-20,7.94,7.97,7.61,7.8,346223.0
2005-05-23,7.6,7.62,6.95,7.31,833713.0
2005-05-24,7.26,7.88,7.26,7.83,579824.0
2005-05-25,7.85,7.97,7.6,7.85,224727.0
2005-05-26,7.95,8.0,7.72,8.0,210962.0
2005-05-27,8.0,8.1,7.99,8.01,102833.0
2005-05-31,8.01,8.9,8.01,8.9,590587.0
2005-06-01,8.8,9.92,8.72,9.55,1487860.0
2005-06-02,9.6,9.66,9.14,9.52,331638.0
2005-06-03,9.5,9.6,9.13,9.46,187433.0
2005-06-06,9.4,9.61,9.19,9.26,206494.0
2005-06-07,9.27,9.88,9.1,9.12,443654.0
2005-06-08,9.13,9.35,9.0,9.02,179837.0
2005-06-09,8.98,9.36,8.85,9.23,126887.0
2005-06-10,9.1,9.6,9.01,9.37,146607.0
2005-06-13,9.4,9.65,9.35,9.53,168026.0
2005-06-14,9.55,9.57,9.33,9.5,96529.0
2005-06-15,9.57,9.65,9.25,9.5,68517.0
2005-06-16,9.53,9.53,9.3,9.42,42867.0
2005-06-17,9.23,9.42,9.1,9.2,216626.0
2005-06-20,9.19,9.48,9.12,9.47,120092.0
2005-06-21,9.39,10.25,9.24,9.89,592709.0
2005-06-22,9.89,10.0,9.3,9.38,299866.0
2005-06-23,9.5,9.95,9.29,9.37,324992.0
2005-06-24,9.39,9.44,9.14,9.33,86181.0
2005-06-27,9.19,9.27,9.1,9.23,136581.0
2005-06-28,9.24,9.41,9.16,9.34,68205.0
2005-06-29,9.4,9.4,9.15,9.15,56254.0
2005-06-30,9.2,9.2,9.0,9.15,120468.0
2005-07-01,9.05,9.15,9.0,9.02,22177.0
2005-07-05,9.0,9.25,9.0,9.24,65205.0
2005-07-06,9.18,9.3,9.08,9.17,60963.0
2005-07-07,9.05,9.27,9.04,9.27,57785.0
2005-07-08,9.32,9.32,9.16,9.23,23647.0
2005-07-11,9.28,9.59,9.25,9.37,107754.0
2005-07-12,9.42,9.58,9.37,9.49,82870.0
2005-07-13,9.5,9.57,9.32,9.44,54380.0
2005-07-14,9.5,9.57,9.35,9.45,83736.0
2005-07-15,9.46,9.49,9.3,9.37,55512.0
2005-07-18,9.46,9.5,9.35,9.49,72756.0
2005-07-19,9.51,10.2,9.51,9.76,289693.0
2005-07-20,9.76,9.76,9.48,9.58,91637.0
2005-07-21,9.72,10.35,9.45,10.04,570555.0
2005-07-22,10.0,10.27,9.56,10.0,236293.0
2005-07-25,9.79,10.1,9.75,9.93,108859.0
2005-07-26,9.95,10.25,9.76,10.09,60127.0
2005-07-27,10.1,10.1,9.96,10.03,49830.0
2005-07-28,10.14,10.54,10.05,10.51,285773.0
2005-07-29,10.55,10.73,10.4,10.65,109913.0
2005-08-01,10.75,10.8,10.6,10.68,111575.0
2005-08-02,10.8,10.94,10.65,10.87,137956.0
2005-08-03,11.6,11.62,10.92,11.01,443635.0
2005-08-04,11.0,11.15,10.71,10.75,185420.0
2005-08-05,10.89,11.27,10.75,10.8,237829.0
2005-08-08,11.0,11.01,10.5,10.53,232014.0
2005-08-09,10.56,10.93,10.25,10.8,178582.0
2005-08-10,10.93,10.93,10.57,10.77,150492.0
2005-08-11,10.85,10.85,10.57,10.79,113719.0
2005-08-12,10.85,10.92,10.44,10.68,262334.0
2005-08-15,10.75,11.3,10.75,11.25,368755.0
2005-08-16,11.92,12.1,10.27,10.45,915885.0
2005-08-17,10.4,10.67,10.4,10.4,161965.0
2005-08-18,10.39,10.54,10.01,10.27,161489.0
2005-08-19,10.26,10.33,10.13,10.14,109635.0
2005-08-22,10.03,10.51,9.9,10.22,234880.0
2005-08-23,10.34,10.55,10.0,10.51,115212.0
2005-08-24,10.33,10.48,10.15,10.32,57885.0
2005-08-25,10.27,10.6,10.01,10.6,191280.0
2005-08-26,10.6,10.67,10.2,10.29,102713.0
2005-08-29,10.33,10.88,10.23,10.8,197753.0
2005-08-30,10.64,10.9,10.42,10.58,177052.0
2005-08-31,10.6,10.75,10.55,10.71,148822.0
2005-09-01,10.73,10.73,10.54,10.62,116865.0
2005-09-02,10.6,10.67,10.54,10.65,50096.0
2005-09-06,10.6,10.85,10.28,10.85,109789.0
2005-09-07,10.99,11.01,10.85,10.93,117872.0
2005-09-08,10.79,10.97,10.6,10.74,57728.0
2005-09-09,10.8,11.77,10.8,11.37,547110.0
2005-09-12,11.5,11.8,11.06,11.36,553001.0
2005-09-13,11.37,11.37,11.04,11.08,123362.0
2005-09-14,11.06,11.14,10.62,10.84,216295.0
2005-09-15,10.72,11.0,10.69,10.99,111122.0
2005-09-16,10.86,11.0,10.25,10.74,1280742.0
2005-09-19,10.57,10.9,10.51,10.84,129761.0
2005-09-20,11.01,11.39,11.01,11.39,323483.0
2005-09-21,11.4,11.4,11.13,11.33,165800.0
2005-09-22,11.44,11.74,11.11,11.73,193118.0
2005-09-23,11.67,13.04,11.65,12.87,1105776.0
2005-09-26,13.2,13.43,12.75,13.25,811042.0
2005-09-27,13.25,13.62,13.11,13.38,722932.0
2005-09-28,13.19,13.24,12.58,13.15,256721.0
2005-09-29,13.24,14.11,12.9,13.65,563761.0
2005-09-30,13.75,14.25,13.69,14.08,418261.0
2005-10-03,14.09,14.48,14.09,14.48,262488.0
2005-10-04,14.84,14.84,13.59,13.71,575807.0
2005-10-05,13.56,13.62,12.73,13.38,581859.0
2005-10-06,13.31,13.38,12.5,12.65,399714.0
2005-10-07,12.46,13.53,12.31,12.89,251158.0
2005-10-10,12.89,13.42,12.66,13.16,213392.0
2005-10-11,13.35,13.49,12.75,13.08,242729.0
2005-10-12,13.15,13.15,12.43,12.85,273002.0
2005-10-13,12.58,12.83,12.02,12.8,216187.0
2005-10-14,12.9,13.56,12.63,13.51,267095.0
2005-10-17,13.51,13.59,13.11,13.39,198046.0
2005-10-18,13.49,14.04,13.3,13.72,257134.0
2005-10-19,13.65,13.72,13.27,13.7,99011.0
2005-10-20,13.7,13.86,13.34,13.54,166641.0
2005-10-21,13.45,13.84,13.27,13.54,135232.0
2005-10-24,13.5,13.5,13.03,13.26,151489.0
2005-10-25,13.07,13.16,12.91,13.11,56243.0
2005-10-26,13.14,13.2,13.0,13.09,37850.0
2005-10-27,13.01,13.12,12.39,12.83,247173.0
2005-10-28,12.72,12.72,11.56,12.28,475942.0
2005-10-31,12.41,12.69,12.31,12.68,140040.0
2005-11-01,12.55,12.95,12.37,12.75,100432.0
2005-11-02,12.79,13.1,12.75,12.92,35860.0
2005-11-03,13.0,13.0,12.52,12.78,58768.0
2005-11-04,12.64,12.99,12.45,12.99,42474.0
2005-11-07,13.12,13.12,12.84,13.0,59107.0
2005-11-08,12.89,12.94,12.68,12.73,32058.0
2005-11-09,12.72,12.72,12.17,12.61,181636.0
2005-11-10,12.61,13.79,12.54,13.56,266916.0
2005-11-11,13.62,14.03,13.48,13.67,302562.0
2005-11-14,13.54,13.54,12.8,13.39,286432.0
2005-11-15,13.62,13.82,12.9,13.46,453270.0
2005-11-16,13.27,13.8,13.25,13.72,220929.0
2005-11-17,13.74,14.25,13.21,13.96,384137.0
2005-11-18,13.9,14.15,12.75,13.0,350493.0
2005-11-21,12.89,12.9,12.27,12.66,390211.0
2005-11-22,12.39,12.73,11.52,11.82,630465.0
2005-11-23,11.8,12.05,11.58,11.68,376270.0
2005-11-25,11.75,12.07,11.74,11.9,135126.0
2005-11-28,12.0,12.22,11.85,12.0,401519.0
2005-11-29,12.08,12.15,11.61,11.7,131023.0
2005-11-30,11.7,11.76,11.48,11.53,333134.0
2005-12-01,11.55,11.8,11.53,11.68,199733.0
2005-12-02,11.62,11.78,11.61,11.62,142634.0
2005-12-05,11.62,11.8,11.29,11.4,166497.0
2005-12-06,11.3,11.5,11.08,11.18,235910.0
2005-12-07,11.2,11.2,10.72,10.94,247593.0
2005-12-08,10.7,11.02,10.7,10.78,121208.0
2005-12-09,10.73,11.0,10.73,11.0,139164.0
2005-12-12,11.0,11.74,11.0,11.44,288838.0
2005-12-13,11.65,11.75,11.31,11.33,79197.0
2005-12-14,11.29,11.5,11.29,11.46,97005.0
2005-12-15,11.37,11.73,11.36,11.68,91268.0
2005-12-16,11.75,11.8,11.39,11.53,73517.0
2005-12-19,11.47,11.74,11.3,11.68,261845.0
2005-12-20,11.52,11.8,11.52,11.76,64207.0
2005-12-21,11.8,12.05,11.59,12.05,91869.0
2005-12-22,12.0,12.06,11.9,11.95,175268.0
2005-12-23,11.88,12.07,11.87,12.07,80241.0
2005-12-27,12.06,12.09,11.85,12.01,48677.0
2005-12-28,12.0,12.03,11.46,11.99,233849.0
2005-12-29,11.76,11.9,11.73,11.86,80677.0
2005-12-30,11.85,12.8,11.85,12.5,414643.0
2006-01-03,12.51,12.67,12.41,12.55,253169.0
2006-01-04,12.75,13.89,12.65,13.79,508130.0
2006-01-05,13.67,14.03,13.5,13.96,392800.0
2006-01-06,14.16,14.74,14.0,14.74,734073.0
2006-01-09,14.92,15.15,14.75,15.04,1022381.0
2006-01-10,15.04,15.04,14.67,14.94,285299.0
2006-01-11,14.98,15.05,13.22,13.5,1705745.0
2006-01-12,13.64,14.07,13.21,13.3,407443.0
2006-01-13,13.43,13.56,13.06,13.13,382972.0
2006-01-17,13.18,13.23,12.78,13.1,292205.0
2006-01-18,12.83,13.18,12.75,12.83,340148.0
2006-01-19,13.0,13.56,12.75,12.86,711884.0
2006-01-20,12.96,13.11,12.35,12.5,320310.0
2006-01-23,12.53,13.0,12.4,12.73,494262.0
2006-01-24,12.65,13.0,12.64,12.73,261665.0
2006-01-25,12.75,12.95,12.52,12.81,187315.0
2006-01-26,12.9,13.2,12.8,13.03,201518.0
2006-01-27,13.15,13.28,12.86,12.91,405578.0
2006-01-30,13.1,13.24,12.92,12.93,310264.0
2006-01-31,13.23,13.5,12.99,13.38,461863.0
2006-02-01,13.3,13.4,12.68,12.97,537206.0
2006-02-02,13.06,13.1,12.7,12.72,166283.0
2006-02-03,12.82,12.82,12.52,12.7,113839.0
2006-02-06,12.78,12.78,12.1,12.35,323462.0
2006-02-07,12.45,12.45,11.7,12.02,632387.0
2006-02-08,12.08,12.14,11.22,11.8,737558.0
2006-02-09,11.96,12.12,11.43,11.5,485733.0
2006-02-10,11.6,12.1,11.5,11.66,299403.0
2006-02-13,11.95,12.61,11.22,11.75,807833.0
2006-02-14,12.15,12.4,11.5,11.73,401503.0
2006-02-15,11.86,11.86,11.66,11.68,112248.0
2006-02-16,11.6,11.9,11.52,11.72,219234.0
2006-02-17,11.86,11.95,11.62,11.7,200458.0
2006-02-21,11.9,11.95,11.65,11.69,190911.0
2006-02-22,11.75,11.9,11.75,11.82,204308.0
2006-02-23,11.82,11.93,11.77,11.83,295917.0
2006-02-24,11.71,12.55,11.71,12.32,445162.0
2006-02-27,12.64,12.88,12.4,12.6,865329.0
2006-02-28,12.34,12.7,11.88,12.0,778303.0
2006-03-01,11.82,11.95,11.3,11.46,684019.0
2006-03-02,11.65,11.7,11.2,11.26,422408.0
2006-03-03,11.27,11.36,11.15,11.24,329484.0
2006-03-06,11.15,11.7,11.1,11.5,455853.0
2006-03-07,11.82,11.95,11.49,11.5,307745.0
2006-03-08,11.51,11.61,11.4,11.51,214516.0
2006-03-09,11.51,11.57,11.06,11.09,205074.0
2006-03-10,11.08,11.23,10.9,11.05,222761.0
2006-03-13,10.97,11.54,10.97,11.48,137350.0
2006-03-14,11.52,11.64,11.28,11.63,186266.0
2006-03-15,11.53,11.82,11.51,11.75,140031.0
2006-03-16,11.75,12.46,11.7,12.34,371101.0
2006-03-17,12.42,12.42,11.92,12.28,207252.0
