Date,Open,High,Low,Close,Volume
2005-02-04,10.26,10.9,10.16,10.25,7013191.0
2005-02-07,10.32,10.37,10.0,10.0,710887.0
2005-02-08,10.0,10.0,9.04,9.4,727322.0
2005-02-09,9.4,9.4,8.85,9.0,621501.0
2005-02-10,9.24,9.24,8.5,8.6,215867.0
2005-02-11,8.55,9.41,8.5,9.41,282636.0
2005-02-14,9.46,9.56,9.2,9.5,152996.0
2005-02-15,9.32,9.56,9.25,9.36,60716.0
2005-02-16,9.23,9.46,8.81,8.95,238828.0
2005-02-17,9.0,9.1,8.57,8.8,211849.0
2005-02-18,8.5,8.85,8.5,8.71,210700.0
2005-02-22,8.7,9.1,8.7,9.07,60255.0
2005-02-23,9.0,9.15,8.86,9.03,64540.0
2005-02-24,9.03,9.03,8.75,8.8,46375.0
2005-02-25,8.75,9.24,8.75,8.81,15093.0
2005-02-28,9.22,9.22,8.81,8.85,23487.0
2005-03-01,9.2,9.2,8.83,9.0,78132.0
2005-03-02,9.13,9.3,9.0,9.0,57243.0
2005-03-03,8.85,9.0,8.75,8.8,67444.0
2005-03-04,8.75,9.05,8.65,8.72,49570.0
2005-03-07,8.51,8.95,8.51,8.9,54716.0
2005-03-08,8.51,8.89,8.51,8.73,24309.0
2005-03-09,8.65,8.8,8.35,8.48,63540.0
2005-03-10,8.35,8.64,8.3,8.3,68894.0
2005-03-11,8.72,9.2,8.27,8.28,53455.0
2005-03-14,8.3,8.53,7.67,7.71,107509.0
2005-03-15,7.72,8.29,7.72,7.76,44097.0
2005-03-16,7.8,8.45,7.8,8.3,66657.0
2005-03-17,8.5,8.55,8.16,8.16,62975.0
2005-03-18,8.2,8.4,8.16,8.18,26461.0
2005-03-21,8.13,8.42,8.06,8.35,49184.0
2005-03-22,8.29,8.35,8.06,8.06,49444.0
2005-03-23,8.06,8.06,7.85,7.85,88490.0
2005-03-24,7.93,8.25,7.9,8.25,39400.0
2005-03-28,8.35,8.51,8.11,8.2,19243.0
2005-03-29,8.15,8.35,8.02,8.12,18365.0
2005-03-30,8.2,8.8,8.2,8.44,25128.0
2005-03-31,8.5,8.5,8.3,8.45,45949.0
2005-04-01,8.6,8.7,8.29,8.5,116721.0
2005-04-04,8.65,9.36,8.45,9.36,112335.0
2005-04-05,9.16,9.45,9.07,9.4,142258.0
2005-04-06,9.46,9.78,9.43,9.69,115565.0
2005-04-07,9.7,9.9,9.5,9.7,102182.0
2005-04-08,9.8,9.96,9.5,9.79,125251.0
2005-04-11,9.66,10.26,9.66,10.0,75468.0
2005-04-12,10.04,10.04,9.44,9.5,45084.0
2005-04-13,9.42,9.5,9.2,9.3,6642.0
2005-04-14,9.3,9.7,9.3,9.3,57611.0
2005-04-15,9.25,9.3,9.15,9.3,13350.0
2005-04-18,9.4,9.4,9.01,9.15,36651.0
2005-04-19,9.25,9.5,9.1,9.32,110205.0
2005-04-20,9.25,9.38,8.9,9.0,94481.0
2005-04-21,9.0,9.91,9.0,9.76,123573.0
2005-04-22,9.8,9.8,9.3,9.38,37483.0
2005-04-25,9.8,9.8,9.0,9.11,89408.0
2005-04-26,9.15,9.5,9.1,9.35,32215.0
2005-04-27,9.05,9.37,9.01,9.09,15722.0
2005-04-28,9.13,9.25,9.02,9.1,38094.0
2005-04-29,8.79,9.35,8.79,9.0,74244.0
2005-05-02,9.01,9.54,9.01,9.25,48566.0
2005-05-03,9.7,9.7,9.4,9.41,60264.0
2005-05-04,9.44,9.7,9.44,9.6,16190.0
2005-05-05,9.65,9.65,9.35,9.37,25292.0
2005-05-06,9.63,9.67,9.1,9.35,40031.0
2005-05-09,9.3,9.64,9.1,9.5,42794.0
2005-05-10,9.45,10.76,9.45,10.76,117857.0
2005-05-11,10.95,10.95,10.05,10.2,186091.0
2005-05-12,10.1,10.48,10.05,10.2,66375.0
2005-05-13,10.35,10.35,9.53,9.58,92921.0
2005-05-16,10.2,10.2,9.55,9.84,58532.0
2005-05-17,9.7,10.2,9.55,9.55,70581.0
2005-05-18,9.7,9.95,9.5,9.55,130921.0
2005-05-19,9.87,10.24,9.37,9.75,212332.0
2005-05-20,10.11,10.11,9.0,9.0,222362.0
2005-05-23,9.04,9.2,8.8,9.07,70699.0
2005-05-24,9.02,9.18,8.98,9.0,43581.0
2005-05-25,8.93,9.09,8.9,9.0,25764.0
2005-05-26,9.01,9.1,8.78,8.78,50450.0
2005-05-27,8.77,9.02,8.77,8.9,55149.0
2005-05-31,9.03,9.36,8.9,9.3,132919.0
2005-06-01,9.3,9.79,9.3,9.45,106264.0
2005-06-02,9.46,9.9,9.46,9.63,99021.0
2005-06-03,9.6,9.82,9.46,9.67,93475.0
2005-06-06,9.7,9.93,9.61,9.75,102656.0
2005-06-07,9.86,10.15,9.64,9.69,166358.0
2005-06-08,9.69,9.8,9.45,9.49,113001.0
2005-06-09,9.65,9.75,9.61,9.7,64221.0
2005-06-10,9.95,9.95,9.3,9.7,49449.0
2005-06-13,9.7,9.85,9.5,9.54,55451.0
2005-06-14,9.7,9.8,9.42,9.56,64294.0
2005-06-15,9.51,9.68,9.5,9.52,21530.0
2005-06-16,9.65,9.8,9.52,9.54,47564.0
2005-06-17,9.79,9.79,9.28,9.42,65798.0
2005-06-20,9.5,9.7,9.38,9.69,82230.0
2005-06-21,9.73,10.77,9.52,10.69,336030.0
2005-06-22,11.0,11.71,10.25,11.6,440937.0
2005-06-23,11.8,11.8,10.85,10.89,247206.0
2005-06-24,11.2,11.25,10.43,11.2,132694.0
2005-06-27,11.23,11.3,10.5,10.68,75524.0
2005-06-28,10.7,10.99,10.69,10.92,60872.0
2005-06-29,11.0,11.4,10.5,10.68,50346.0
2005-06-30,10.55,11.0,9.9,10.08,196119.0
2005-07-01,10.08,10.41,10.07,10.35,28392.0
2005-07-05,10.55,10.6,10.35,10.5,41207.0
2005-07-06,10.44,10.59,10.17,10.29,29494.0
2005-07-07,10.18,10.5,10.11,10.39,80255.0
2005-07-08,10.57,10.57,10.28,10.48,39996.0
2005-07-11,10.56,10.83,10.32,10.7,53786.0
2005-07-12,10.78,10.8,10.58,10.7,30431.0
2005-07-13,10.68,11.5,10.46,11.12,98707.0
2005-07-14,11.12,11.12,10.22,10.42,76821.0
2005-07-15,10.5,10.5,10.2,10.2,32746.0
2005-07-18,10.57,10.64,10.2,10.21,38273.0
2005-07-19,10.52,10.58,10.3,10.48,31810.0
2005-07-20,10.51,10.51,9.8,10.01,94630.0
2005-07-21,10.15,10.53,10.15,10.18,71842.0
2005-07-22,10.49,10.49,10.1,10.16,40040.0
2005-07-25,10.17,10.38,10.16,10.17,22319.0
2005-07-26,10.35,10.37,10.06,10.24,25163.0
2005-07-27,10.42,10.59,10.15,10.59,29815.0
2005-07-28,10.45,10.89,9.85,10.0,166684.0
2005-07-29,10.11,10.11,9.67,9.71,101249.0
2005-08-01,9.67,9.9,9.2,9.25,134549.0
2005-08-02,9.25,9.4,9.09,9.1,106546.0
2005-08-03,9.13,9.45,9.13,9.4,67744.0
2005-08-04,9.4,10.25,9.35,9.87,104177.0
2005-08-05,10.0,10.0,9.36,9.95,70371.0
2005-08-08,9.94,10.1,9.3,9.44,76045.0
2005-08-09,9.63,9.71,9.34,9.71,36500.0
2005-08-10,9.6,9.71,9.38,9.43,40023.0
2005-08-11,9.74,9.74,9.3,9.3,53192.0
2005-08-12,9.4,9.5,9.15,9.31,106266.0
2005-08-15,9.38,9.5,9.1,9.42,126544.0
2005-08-16,9.28,9.28,8.9,8.91,200563.0
2005-08-17,9.03,9.05,8.63,8.94,80775.0
2005-08-18,8.88,8.94,8.8,8.8,36050.0
2005-08-19,8.9,9.0,8.78,8.93,38006.0
2005-08-22,8.93,8.94,8.66,8.89,49489.0
2005-08-23,8.9,8.91,8.8,8.81,185760.0
2005-08-24,8.8,8.9,8.61,8.8,20393.0
2005-08-25,8.9,9.01,8.8,8.83,52214.0
2005-08-26,8.88,8.9,8.7,8.8,22853.0
2005-08-29,8.87,8.87,8.71,8.73,12509.0
2005-08-30,8.79,9.03,8.7,8.72,49467.0
2005-08-31,8.7,8.85,8.7,8.74,11038.0
2005-09-01,8.7,8.78,8.7,8.72,58662.0
2005-09-02,8.74,8.85,8.65,8.65,26021.0
2005-09-06,8.65,8.7,8.5,8.5,102972.0
2005-09-07,8.5,8.55,8.33,8.34,111237.0
2005-09-08,8.3,8.31,8.08,8.14,83052.0
