Date,Open,High,Low,Close,Volume
2009-09-04,4.6,5.95,4.6,5.41,1113904.0
2009-09-08,5.67,5.85,5.25,5.26,406985.0
2009-09-09,5.28,5.5,5.2,5.23,155872.0
2009-09-10,5.4,5.8,5.2,5.5,207954.0
2009-09-11,5.5,6.2,5.3,5.85,433006.0
2009-09-14,5.88,6.48,5.87,6.2,332383.0
2009-09-15,6.3,6.5,6.2,6.25,304097.0
2009-09-16,6.25,7.16,6.25,7.16,450219.0
2009-09-17,7.2,7.5,6.77,6.94,409499.0
2009-09-18,6.9,7.25,6.5,6.92,276583.0
2009-09-21,6.85,7.25,6.6,6.9,177645.0
2009-09-22,7.18,7.63,6.74,7.2,467235.0
2009-09-23,7.49,9.2,7.35,8.2,1843151.0
2009-09-24,8.3,9.12,8.23,8.7,585439.0
2009-09-25,9.0,9.6,8.65,9.19,416074.0
2009-09-28,9.57,9.88,9.4,9.84,314519.0
2009-09-29,10.01,10.2,9.11,9.46,362940.0
2009-09-30,9.67,9.67,8.25,8.81,504137.0
2009-10-01,9.85,9.91,9.06,9.2,477874.0
2009-10-02,9.24,9.65,8.82,9.38,220555.0
2009-10-05,9.5,10.36,9.5,10.09,461228.0
2009-10-06,10.34,10.69,9.25,9.43,594294.0
2009-10-07,9.8,10.0,9.55,10.0,360041.0
2009-10-08,10.38,10.4,9.4,9.98,561443.0
2009-10-09,10.04,10.1,9.71,9.94,153931.0
2009-10-12,9.99,10.27,9.62,9.79,206313.0
2009-10-13,9.83,9.83,9.2,9.23,292130.0
2009-10-14,9.67,9.71,9.01,9.12,234214.0
2009-10-15,9.18,9.18,8.5,8.78,351510.0
2009-10-16,8.58,8.98,8.3,8.77,266750.0
2009-10-19,8.65,8.89,8.52,8.76,137666.0
2009-10-20,8.83,8.85,8.16,8.24,250518.0
2009-10-21,8.0,8.1,7.45,7.51,602235.0
2009-10-22,7.39,7.95,7.36,7.77,206467.0
2009-10-23,7.93,8.77,7.93,8.6,431488.0
2009-10-26,8.87,8.99,8.34,8.6,154041.0
2009-10-27,8.77,8.78,8.35,8.48,75799.0
2009-10-28,8.21,8.25,7.11,7.38,201041.0
2009-10-29,6.78,7.2,6.26,7.04,429048.0
2009-10-30,6.8,7.02,6.7,6.99,139669.0
2009-11-02,6.85,7.38,6.85,7.1,135926.0
2009-11-03,6.75,6.99,6.27,6.7,265598.0
2009-11-04,7.25,7.25,6.88,6.99,124610.0
2009-11-05,7.19,8.5,7.06,8.26,188787.0
2009-11-06,8.01,8.87,7.6,8.51,166847.0
2009-11-09,8.3,8.48,8.01,8.26,88605.0
2009-11-10,8.48,9.18,8.48,9.1,277947.0
2009-11-11,9.23,9.58,9.1,9.14,129813.0
2009-11-12,9.23,9.37,8.54,9.1,168464.0
2009-11-13,9.31,9.44,9.21,9.31,159710.0
2009-11-16,9.36,9.4,8.51,8.87,283806.0
2009-11-17,8.81,8.9,8.3,8.61,129490.0
2009-11-18,8.65,9.03,8.61,8.83,72335.0
2009-11-19,9.02,9.02,8.56,8.87,87965.0
2009-11-20,8.91,8.98,8.62,8.77,31920.0
2009-11-23,8.99,9.22,8.66,8.85,128956.0
2009-11-24,8.69,8.8,8.53,8.6,51719.0
2009-11-25,8.6,8.92,8.6,8.69,93509.0
2009-11-27,8.5,8.5,8.13,8.15,128213.0
2009-11-30,8.35,8.45,8.18,8.2,125088.0
2009-12-01,8.33,8.42,8.0,8.26,84014.0
2009-12-02,8.35,11.08,8.35,11.03,2775685.0
2009-12-03,11.0,11.7,10.25,10.74,1250274.0
2009-12-04,10.75,11.71,10.12,10.9,984501.0
2009-12-07,11.2,11.33,10.56,11.17,568515.0
2009-12-08,11.43,11.45,10.72,10.82,378296.0
2009-12-09,10.76,12.2,10.43,12.2,1398761.0
2009-12-10,12.25,12.69,10.26,10.37,1733681.0
2009-12-11,10.46,10.55,9.62,9.93,906588.0
2009-12-14,9.91,10.7,9.7,10.17,484030.0
