Date,Open,High,Low,Close,Volume
2005-01-03,19.15,19.15,17.75,18.06,140376.0
2005-01-04,18.0,18.19,16.95,17.21,241211.0
2005-01-05,17.93,17.93,16.58,17.11,183771.0
2005-01-06,17.79,17.79,16.24,16.65,260440.0
2005-01-07,16.87,16.99,15.9,16.0,190635.0
2005-01-10,15.75,16.29,15.4,15.65,302940.0
2005-01-11,15.94,16.0,14.86,15.02,242691.0
2005-01-12,14.95,15.9,14.8,15.82,249572.0
2005-01-13,15.33,16.39,15.33,16.15,158650.0
2005-01-14,16.19,16.25,15.6,16.1,90025.0
2005-01-18,16.25,16.25,15.54,16.09,90448.0
2005-01-19,16.25,16.25,15.52,15.56,67985.0
2005-01-20,15.36,15.43,13.96,14.16,260143.0
2005-01-21,14.0,14.45,13.66,14.03,258290.0
2005-01-24,14.03,14.45,12.8,13.25,367947.0
2005-01-25,12.96,14.37,12.77,14.12,478345.0
2005-01-26,13.69,15.6,13.69,15.25,395459.0
2005-01-27,15.35,15.39,14.54,14.8,97649.0
2005-01-28,15.25,15.25,14.24,14.44,67884.0
2005-01-31,14.95,15.0,14.3,14.94,80466.0
2005-02-01,15.5,15.5,14.91,15.43,104390.0
2005-02-02,15.74,15.74,14.95,15.42,133202.0
2005-02-03,15.5,15.6,14.82,15.48,79828.0
2005-02-04,15.9,15.9,15.3,15.69,110163.0
2005-02-07,15.99,15.99,14.9,15.88,117651.0
2005-02-08,15.39,15.51,15.0,15.09,150877.0
2005-02-09,15.1,15.39,14.01,14.13,74309.0
2005-02-10,14.02,14.18,13.4,13.66,224912.0
2005-02-11,13.75,14.46,13.31,13.75,156242.0
2005-02-14,14.24,14.24,13.65,13.69,75729.0
2005-02-15,13.75,13.8,13.1,13.31,118452.0
2005-02-16,13.11,13.89,13.11,13.54,116492.0
2005-02-17,13.05,13.79,13.01,13.34,55255.0
2005-02-18,13.24,13.6,13.15,13.25,55272.0
2005-02-22,13.35,14.38,13.11,13.93,164754.0
2005-02-23,13.91,14.4,13.38,13.81,81472.0
2005-02-24,13.46,13.85,13.4,13.68,60504.0
2005-02-25,13.75,13.81,13.3,13.45,35747.0
2005-02-28,13.88,13.89,13.22,13.45,50933.0
2005-03-01,13.68,14.3,13.48,14.19,123475.0
2005-03-02,11.77,12.15,10.32,10.4,1298395.0
2005-03-03,10.71,10.96,10.38,10.58,468347.0
2005-03-04,10.6,10.92,10.5,10.64,275789.0
2005-03-07,10.91,10.95,10.5,10.6,262141.0
2005-03-08,10.9,10.9,10.5,10.56,45992.0
2005-03-09,10.5,10.66,9.8,10.6,264527.0
2005-03-10,10.6,10.7,9.99,10.01,145730.0
2005-03-11,10.5,10.5,9.5,9.55,224439.0
2005-03-14,9.57,9.62,9.03,9.04,165279.0
2005-03-15,9.38,9.38,8.8,8.9,112108.0
2005-03-16,8.89,8.9,8.4,8.69,233975.0
2005-03-17,8.52,8.72,8.31,8.42,199510.0
2005-03-18,8.3,8.88,8.3,8.88,258510.0
2005-03-21,8.86,9.36,8.75,9.27,313461.0
2005-03-22,9.26,9.48,9.0,9.0,78221.0
2005-03-23,9.0,9.07,8.9,8.91,105554.0
2005-03-24,8.84,9.2,8.8,8.84,103561.0
2005-03-28,8.9,9.2,8.9,9.0,81237.0
2005-03-29,9.0,9.28,8.87,8.9,102728.0
2005-03-30,8.84,9.11,8.81,8.9,117742.0
2005-03-31,8.94,9.11,8.9,9.0,35061.0
2005-04-01,9.06,9.11,8.69,8.76,80641.0
2005-04-04,8.7,8.73,8.45,8.73,37480.0
2005-04-05,8.84,8.84,8.52,8.63,71743.0
2005-04-06,8.64,8.75,8.51,8.6,26545.0
2005-04-07,8.58,8.72,8.5,8.6,64057.0
2005-04-08,8.52,8.77,8.52,8.55,36912.0
2005-04-11,8.5,8.7,8.44,8.6,92185.0
2005-04-12,8.6,8.68,8.55,8.62,67069.0
2005-04-13,8.62,8.84,8.62,8.75,56968.0
2005-04-14,8.7,8.83,8.6,8.65,38011.0
2005-04-15,8.61,8.63,8.45,8.5,123036.0
2005-04-18,8.46,8.62,8.01,8.05,96507.0
2005-04-19,8.1,8.14,8.0,8.01,54893.0
2005-04-20,8.0,8.06,7.5,7.61,271669.0
2005-04-21,7.78,8.58,7.75,7.94,297587.0
2005-04-22,8.14,8.14,7.67,7.9,57215.0
