Date,Open,High,Low,Close,Volume
2010-10-26,87.5,92.5,83.75,86.3,2122434.0
2010-10-27,85.0,85.85,79.5,80.25,468012.0
2010-10-28,84.35,84.75,79.5,80.0,161467.0
2010-10-29,80.0,81.65,77.45,81.65,213382.0
2010-11-01,82.5,82.7,75.0,78.2,165468.0
2010-11-02,79.4,79.4,75.12,76.6,105521.0
2010-11-03,75.85,76.2,70.85,72.95,136081.0
2010-11-04,73.0,74.56,67.55,72.05,154657.0
2010-11-05,73.5,75.4,70.0,73.45,79005.0
2010-11-08,72.55,74.15,70.5,71.95,53475.0
2010-11-09,72.5,81.15,72.25,79.05,151532.0
2010-11-10,79.65,82.25,77.5,81.5,75572.0
2010-11-11,81.3,84.25,79.5,83.45,128715.0
2010-11-12,83.0,84.5,80.05,81.85,88035.0
2010-11-15,82.95,83.1,77.6,82.5,42207.0
2010-11-16,81.0,81.22,75.55,77.05,40036.0
2010-11-17,75.6,76.9,70.0,72.9,60371.0
2010-11-18,76.2,76.2,73.25,73.75,35364.0
2010-11-19,74.1,74.65,72.72,73.4,28341.0
2010-11-22,73.0,73.55,70.85,72.8,21077.0
2010-11-23,72.0,72.7,70.05,70.35,25124.0
2010-11-24,71.0,71.9,67.35,68.0,79032.0
2010-11-26,67.25,67.25,63.55,63.9,44650.0
2010-11-29,65.75,67.45,64.5,66.9,59523.0
2010-11-30,48.2,48.8,35.45,40.75,2165387.0
2010-12-01,42.45,42.45,32.25,33.25,787031.0
2010-12-02,34.5,38.9,34.15,38.05,601955.0
2010-12-03,38.5,40.85,38.25,39.0,160056.0
2010-12-06,35.0,35.65,33.7,34.5,313091.0
2010-12-07,35.05,35.2,32.85,33.0,147398.0
2010-12-08,33.0,35.4,33.0,33.95,85790.0
2010-12-09,33.5,35.0,33.0,34.2,87681.0
2010-12-10,34.1,34.7,33.75,34.25,49236.0
2010-12-13,34.5,34.7,33.25,33.55,76492.0
2010-12-14,33.5,34.6,33.08,33.95,127559.0
2010-12-15,34.12,36.2,33.95,34.95,150675.0
2010-12-16,35.65,38.0,34.8,37.45,121355.0
2010-12-17,37.75,38.0,35.5,35.9,79177.0
2010-12-20,36.25,36.75,35.9,36.1,18823.0
2010-12-21,36.5,36.75,35.5,35.6,24229.0
