Date,Open,High,Low,Close,Volume
2010-12-10,6.0,7.0,5.83,6.0,7655255.0
2010-12-13,6.13,6.2,5.31,5.36,2036986.0
2010-12-14,5.4,5.7,5.14,5.36,787969.0
2010-12-15,5.4,5.62,5.17,5.2,443271.0
2010-12-16,5.28,5.57,5.25,5.34,539479.0
2010-12-17,5.34,5.39,5.26,5.3,201530.0
2010-12-20,5.4,5.62,5.35,5.57,285605.0
2010-12-21,5.6,5.65,5.36,5.54,234095.0
2010-12-22,5.5,5.52,5.38,5.45,180803.0
2010-12-23,5.5,5.57,5.4,5.56,135767.0
2010-12-27,5.65,5.65,5.43,5.55,284420.0
2010-12-28,5.5,5.52,5.42,5.5,218658.0
2010-12-29,5.45,5.52,5.25,5.25,231372.0
2010-12-30,5.31,5.45,5.28,5.33,107416.0
2010-12-31,5.35,5.39,5.25,5.34,172011.0
2011-01-03,5.49,5.49,5.26,5.27,128689.0
2011-01-04,5.26,5.4,5.26,5.3,161234.0
2011-01-05,5.29,5.48,5.29,5.39,123884.0
2011-01-06,5.31,5.44,5.21,5.29,264701.0
2011-01-07,5.28,5.31,5.15,5.29,109873.0
2011-01-10,5.25,5.29,5.15,5.18,70507.0
2011-01-11,5.17,5.29,5.12,5.24,121040.0
2011-01-12,5.37,5.37,5.07,5.18,118265.0
2011-01-13,5.16,5.25,5.08,5.15,202342.0
2011-01-14,5.08,5.18,4.98,5.05,203791.0
2011-01-18,5.25,5.25,5.05,5.12,64965.0
2011-01-19,5.29,5.4,5.16,5.16,318009.0
2011-01-20,5.35,6.23,5.26,6.05,1985919.0
2011-01-21,6.25,6.99,6.06,6.83,1843722.0
2011-01-24,6.83,7.24,6.51,6.91,764240.0
2011-01-25,6.73,6.85,6.32,6.67,271034.0
2011-01-26,6.67,7.06,6.44,6.57,391447.0
2011-01-27,6.5,6.75,6.4,6.44,373988.0
2011-01-28,6.36,6.6,6.04,6.3,345637.0
2011-01-31,6.48,7.32,6.24,7.21,1121347.0
2011-02-01,7.26,7.5,6.86,7.2,600393.0
2011-02-02,7.45,7.75,7.01,7.36,402110.0
2011-02-03,7.52,8.5,7.41,8.38,1305298.0
2011-02-04,8.32,8.5,8.0,8.44,318092.0
2011-02-07,8.45,9.05,7.85,8.05,649840.0
2011-02-08,8.15,8.28,8.06,8.14,206935.0
2011-02-09,8.2,8.48,8.2,8.48,252938.0
2011-02-10,8.56,9.97,8.56,9.19,1020579.0
2011-02-11,9.25,9.8,9.04,9.17,742596.0
2011-02-14,9.0,9.08,7.54,8.35,1918185.0
2011-02-15,8.32,8.78,7.89,7.93,705027.0
2011-02-16,8.23,9.26,8.01,9.25,646992.0
2011-02-17,9.34,9.49,9.03,9.08,396343.0
2011-02-18,9.07,9.6,8.9,9.13,269591.0
2011-02-22,8.91,9.2,8.63,9.1,264653.0
