Date,Open,High,Low,Close,Volume
2010-10-04,6.62,6.85,6.0,6.1,15400.0
2010-10-05,6.11,6.15,5.87,6.05,25022.0
2010-10-06,5.7,5.99,5.7,5.95,2633.0
2010-10-07,5.8,5.9,5.7,5.9,3384.0
2010-10-08,5.9,5.92,5.75,5.9,2490.0
2010-10-11,5.77,6.48,5.77,5.81,14295.0
2010-10-12,5.8,6.24,5.4,5.41,23598.0
2010-10-13,5.3,5.42,5.05,5.2,17772.0
2010-10-14,5.07,5.19,4.85,4.99,18878.0
2010-10-15,5.0,5.69,4.99,5.66,6554.0
2010-10-18,5.93,5.99,5.66,5.76,6310.0
2010-10-19,5.75,5.85,5.32,5.32,7839.0
2010-10-20,5.33,6.05,5.33,6.02,4309.0
2010-10-21,5.72,6.08,5.47,5.79,9093.0
2010-10-22,5.51,5.62,5.51,5.6,6900.0
2010-10-25,5.61,5.8,5.61,5.8,1876.0
2010-10-26,5.55,5.62,5.45,5.55,11827.0
2010-10-27,5.45,5.5,5.3,5.44,5964.0
2010-10-28,5.33,5.72,5.24,5.72,25790.0
2010-10-29,5.38,5.49,4.99,5.45,34134.0
2010-11-01,5.31,5.34,5.0,5.14,37886.0
2010-11-02,5.08,5.5,4.92,5.0,24003.0
2010-11-03,5.0,5.01,4.88,5.0,7346.0
2010-11-04,5.0,5.06,4.93,4.93,12642.0
2010-11-05,4.9,4.9,4.75,4.79,6105.0
2010-11-08,4.85,5.49,4.85,5.49,68148.0
2010-11-09,5.5,5.8,4.96,5.05,134162.0
2010-11-10,5.06,5.15,5.0,5.01,47357.0
2010-11-11,5.01,5.03,4.91,5.0,30368.0
2010-11-12,5.0,5.38,4.96,5.2,37435.0
2010-11-15,4.74,5.0,4.74,5.0,9090.0
2010-11-16,4.96,4.96,4.61,4.84,19730.0
2010-11-17,4.74,4.84,4.69,4.78,9051.0
2010-11-18,4.77,4.77,4.52,4.55,9540.0
2010-11-19,4.51,4.8,4.5,4.5,72588.0
2010-11-22,4.5,4.54,4.31,4.47,24792.0
2010-11-23,4.45,4.45,4.19,4.31,21633.0
2010-11-24,4.31,4.38,4.31,4.35,4970.0
2010-11-26,4.4,4.46,4.4,4.45,2606.0
2010-11-29,4.45,4.5,4.4,4.4,15458.0
2010-11-30,4.4,4.5,4.4,4.4,15384.0
2010-12-01,4.4,4.48,4.04,4.48,18981.0
2010-12-02,4.48,4.55,4.27,4.34,11983.0
2010-12-03,4.32,4.36,4.26,4.26,5628.0
2010-12-06,4.3,4.3,4.19,4.19,13217.0
2010-12-07,4.18,4.18,4.05,4.1,13260.0
2010-12-08,4.11,4.11,4.02,4.03,6335.0
2010-12-09,4.13,4.13,4.02,4.02,7126.0
2010-12-10,4.02,4.12,4.01,4.03,18624.0
2010-12-13,4.05,4.06,4.0,4.03,44558.0
2010-12-14,4.11,4.2,4.03,4.07,8316.0
2010-12-15,4.07,4.1,4.03,4.03,8072.0
2010-12-16,4.01,4.02,4.0,4.01,13907.0
2010-12-17,4.0,4.05,4.0,4.01,42482.0
2010-12-20,4.08,4.39,4.02,4.21,18370.0
2010-12-21,4.25,4.3,4.13,4.2,17400.0
2010-12-22,4.14,4.14,4.01,4.11,12208.0
2010-12-23,4.11,4.92,4.03,4.76,49809.0
2010-12-27,5.16,5.16,4.64,4.89,23093.0
2010-12-28,5.3,5.3,4.9,4.96,7350.0
2010-12-29,5.0,5.0,4.8,4.85,23146.0
2010-12-30,4.86,4.9,4.86,4.88,4699.0
2010-12-31,4.89,5.07,4.89,5.01,13796.0
2011-01-03,5.0,5.05,4.91,5.05,7442.0
2011-01-04,5.0,5.0,4.64,4.65,38923.0
2011-01-05,4.68,4.7,4.41,4.41,20029.0
2011-01-06,4.41,4.5,4.41,4.48,8050.0
2011-01-07,4.6,4.69,4.55,4.58,12360.0
2011-01-10,4.66,4.79,4.65,4.72,6214.0
2011-01-11,4.8,4.8,4.71,4.78,3710.0
2011-01-12,4.8,4.88,4.8,4.87,8980.0
2011-01-13,4.8,4.8,4.31,4.62,34857.0
2011-01-14,4.42,4.64,4.42,4.56,10450.0
2011-01-18,4.39,4.59,4.39,4.59,6971.0
2011-01-19,4.51,4.51,4.44,4.44,1916.0
2011-01-20,4.75,4.75,4.62,4.69,17459.0
2011-01-21,4.71,4.75,4.7,4.7,16711.0
2011-01-24,4.62,4.7,4.6,4.6,4992.0
2011-01-25,4.46,4.46,4.41,4.42,6652.0
2011-01-26,4.7,4.7,4.58,4.58,2350.0
