Date,Open,High,Low,Close,Volume
2005-01-03,13.41,13.45,12.98,13.12,3242356.0
2005-01-04,13.14,13.18,12.89,12.96,2567492.0
2005-01-05,12.95,13.24,12.8,12.81,3359932.0
2005-01-06,12.8,13.05,12.56,12.97,3055624.0
2005-01-07,12.88,13.16,12.88,12.98,2117448.0
2005-01-10,13.0,13.12,12.77,12.96,2669652.0
2005-01-11,12.77,12.9,12.38,12.49,5620104.0
2005-01-12,12.5,12.62,12.13,12.5,4087556.0
2005-01-13,12.45,12.92,12.45,12.71,2892792.0
2005-01-14,12.66,12.98,12.66,12.79,2425372.0
2005-01-18,12.6,12.85,12.54,12.76,2945324.0
2005-01-19,12.83,13.14,12.56,12.62,2843428.0
2005-01-20,12.48,12.6,11.68,11.91,8202832.0
2005-01-21,11.94,11.97,11.12,11.26,6652188.0
2005-01-24,11.18,11.38,10.32,10.68,6420232.0
2005-01-25,10.75,11.2,10.7,11.09,4412840.0
2005-01-26,11.08,11.25,10.99,11.14,2495976.0
2005-01-27,11.16,11.17,10.68,10.86,4069004.0
2005-01-28,10.68,10.9,10.14,10.3,6926828.0
2005-01-31,10.38,10.8,10.38,10.54,4483804.0
2005-02-01,10.58,10.75,10.45,10.56,2598568.0
2005-02-02,11.0,11.1,10.78,10.89,4151436.0
2005-02-03,11.05,11.11,10.86,10.94,4160476.0
2005-02-04,11.31,11.31,10.78,10.87,3418168.0
2005-02-07,10.64,10.75,10.19,10.42,4748776.0
2005-02-08,9.69,10.34,9.68,10.31,5963372.0
2005-02-09,10.32,10.42,9.7,9.88,4381344.0
2005-02-10,9.94,10.06,9.64,9.72,4175824.0
2005-02-11,9.65,9.88,9.39,9.68,3691232.0
2005-02-14,9.62,10.3,9.46,10.02,4198168.0
2005-02-15,10.08,10.22,9.95,10.1,2337100.0
2005-02-16,10.13,10.13,9.8,9.88,2798632.0
2005-02-17,9.97,10.06,9.81,9.88,2165928.0
2005-02-18,9.98,10.12,9.89,10.02,2899012.0
2005-02-22,10.41,10.45,10.16,10.16,11557280.0
2005-02-23,10.59,10.84,10.2,10.22,7520880.0
2005-02-24,10.2,10.36,9.85,10.26,3110172.0
2005-02-25,10.38,10.5,10.26,10.44,2169528.0
2005-02-28,10.42,10.68,10.37,10.57,2352148.0
2005-03-01,10.62,11.19,10.57,11.02,11503968.0
2005-03-02,10.9,11.45,10.9,11.36,6010120.0
2005-03-03,11.3,11.73,11.23,11.52,4210780.0
2005-03-04,11.56,11.56,11.24,11.45,3994440.0
