Date,Open,High,Low,Close,Volume
2010-12-21,4.5,4.75,4.25,4.25,1306919.0
2010-12-22,4.37,4.37,4.05,4.25,216766.0
2010-12-23,4.25,4.32,4.12,4.22,112351.0
2010-12-27,4.29,4.4,4.22,4.29,79791.0
2010-12-28,4.29,4.35,4.21,4.21,75150.0
2010-12-29,4.36,5.39,4.26,4.9,630333.0
2010-12-30,5.89,6.11,4.91,5.0,2749433.0
2010-12-31,4.91,5.05,4.7,4.74,378194.0
2011-01-03,4.85,5.25,4.81,4.98,635266.0
2011-01-04,5.2,5.2,4.65,4.74,354347.0
2011-01-05,4.65,5.05,4.56,4.65,240998.0
2011-01-06,4.92,4.92,4.45,4.57,282451.0
2011-01-07,4.67,4.67,4.48,4.55,90547.0
2011-01-10,4.65,4.7,4.49,4.5,90860.0
2011-01-11,4.51,4.62,4.49,4.56,70558.0
2011-01-12,4.6,4.69,4.51,4.57,73307.0
2011-01-13,4.68,4.68,4.36,4.38,113226.0
2011-01-14,4.38,4.57,4.3,4.54,131978.0
2011-01-18,4.4,4.62,4.4,4.55,50820.0
2011-01-19,4.55,4.55,4.2,4.51,218404.0
2011-01-20,4.48,4.51,4.35,4.51,169513.0
2011-01-21,4.42,4.58,4.25,4.3,167349.0
2011-01-24,4.32,4.38,4.2,4.25,81051.0
2011-01-25,4.25,4.25,4.15,4.19,22058.0
2011-01-26,4.16,4.29,4.15,4.25,26998.0
2011-01-27,4.23,4.4,4.23,4.28,24280.0
2011-01-28,4.35,4.35,4.1,4.25,46899.0
2011-01-31,4.25,4.35,4.15,4.3,144277.0
2011-02-01,4.29,4.77,4.29,4.5,274612.0
2011-02-02,4.55,4.68,4.27,4.5,213141.0
2011-02-03,4.52,4.56,4.4,4.49,119436.0
2011-02-04,4.45,4.47,4.3,4.37,87280.0
2011-02-07,4.48,4.57,4.3,4.4,62897.0
2011-02-08,4.37,4.59,4.34,4.55,49200.0
2011-02-09,4.5,4.58,4.4,4.5,35650.0
2011-02-10,4.4,4.48,4.31,4.48,46975.0
2011-02-11,4.45,4.5,4.31,4.36,59545.0
2011-02-14,4.41,4.41,4.25,4.3,57264.0
2011-02-15,4.3,4.45,4.3,4.35,52841.0
2011-02-16,4.59,4.63,4.33,4.37,111875.0
2011-02-17,4.39,4.48,4.35,4.45,28825.0
2011-02-18,4.54,4.54,4.4,4.49,45954.0
2011-02-22,4.36,4.53,4.35,4.42,54771.0
2011-02-23,4.38,4.4,4.2,4.29,87872.0
2011-02-24,4.33,4.39,4.29,4.37,7980.0
2011-02-25,4.27,4.4,4.2,4.35,28006.0
2011-02-28,4.28,4.3,4.25,4.26,22065.0
2011-03-01,4.26,4.33,4.21,4.24,23680.0
2011-03-02,4.22,4.29,4.21,4.27,17450.0
2011-03-03,4.28,4.35,4.21,4.28,17415.0
2011-03-04,4.3,4.31,4.18,4.21,33330.0
2011-03-07,4.15,4.26,4.15,4.23,19009.0
2011-03-08,4.21,4.28,4.1,4.15,19070.0
2011-03-09,4.11,4.12,3.91,4.01,44957.0
2011-03-10,3.9,3.91,3.4,3.74,63247.0
2011-03-11,3.63,3.93,3.63,3.93,28497.0
2011-03-14,3.84,3.9,3.62,3.75,27400.0
2011-03-15,3.68,3.68,3.6,3.65,18687.0
2011-03-16,3.6,3.8,3.54,3.58,9399.0
2011-03-17,3.51,3.73,3.47,3.7,18070.0
2011-03-18,3.7,3.7,3.55,3.56,14100.0
2011-03-21,3.68,3.72,3.36,3.42,19037.0
2011-03-22,3.48,3.6,3.38,3.6,35760.0
2011-03-23,3.74,3.74,3.56,3.66,37939.0
2011-03-24,3.69,3.69,3.33,3.43,48939.0
2011-03-25,3.44,3.63,3.33,3.41,29309.0
2011-03-28,3.45,3.46,3.35,3.36,20865.0
2011-03-29,3.45,3.63,3.45,3.62,26346.0
2011-03-30,3.68,3.7,3.5,3.7,38388.0
2011-03-31,3.66,3.66,3.39,3.59,46291.0
2011-04-01,3.45,3.57,3.44,3.44,11250.0
2011-04-04,3.46,3.53,3.44,3.44,9750.0
2011-04-05,3.38,3.43,3.35,3.35,6885.0
2011-04-06,3.45,3.45,3.15,3.2,34613.0
2011-04-07,3.12,3.24,3.12,3.17,6050.0
2011-04-08,3.19,3.19,2.61,2.77,115111.0
2011-04-11,2.74,2.92,2.26,2.4,184749.0
2011-04-12,2.4,2.4,2.12,2.21,111739.0
2011-04-13,2.6,3.21,2.51,2.77,820087.0
2011-04-14,2.77,2.82,2.62,2.8,130931.0
2011-04-15,2.8,2.8,2.6,2.68,59323.0
2011-04-18,2.65,2.8,2.65,2.67,288333.0
2011-04-19,2.7,3.43,2.7,3.23,333220.0
2011-04-20,3.23,3.35,3.23,3.32,113906.0
2011-04-21,3.35,3.44,3.3,3.38,94515.0
2011-04-25,3.45,3.67,3.4,3.63,145012.0
2011-04-26,3.7,3.79,3.34,3.52,159835.0
2011-04-27,3.5,3.5,3.3,3.44,98036.0
2011-04-28,3.49,3.49,3.27,3.27,21856.0
2011-04-29,3.31,3.31,3.18,3.21,41863.0
2011-05-02,3.23,3.25,2.93,3.23,115700.0
2011-05-03,3.3,3.3,3.06,3.1,25334.0
2011-05-04,3.1,3.1,2.95,3.04,44715.0
2011-05-05,3.01,3.18,2.99,3.06,56302.0
2011-05-06,3.01,3.15,3.01,3.08,5509.0
2011-05-09,2.97,3.08,2.97,3.0,23850.0
2011-05-10,3.0,3.0,2.94,2.97,4796.0
2011-05-11,3.0,3.1,2.95,3.06,40845.0
2011-05-12,3.02,3.17,2.97,3.1,54483.0
2011-05-13,3.12,3.16,3.03,3.14,36571.0
2011-05-16,3.12,3.25,3.01,3.08,26050.0
2011-05-17,3.15,3.22,3.09,3.2,70621.0
2011-05-18,3.24,3.29,3.1,3.18,15700.0
2011-05-19,3.24,3.24,2.84,3.01,44883.0
2011-05-20,3.12,3.17,3.08,3.14,23595.0
2011-05-23,3.18,4.39,3.18,3.87,322439.0
2011-05-24,3.88,3.96,3.55,3.66,57801.0
2011-05-25,3.65,3.72,3.55,3.61,38066.0
2011-05-26,3.59,3.61,3.44,3.44,36717.0
2011-05-27,3.42,3.58,3.36,3.36,25885.0
2011-05-31,3.5,3.5,3.25,3.3,30082.0
2011-06-01,3.3,3.3,3.02,3.09,16850.0
2011-06-02,3.14,3.14,2.88,3.02,53538.0
2011-06-03,3.0,3.08,3.0,3.04,12499.0
2011-06-06,3.05,3.08,3.05,3.05,2080.0
2011-06-07,3.0,3.04,2.91,2.94,20398.0
2011-06-08,2.97,3.02,2.75,2.76,32095.0
2011-06-09,2.75,2.84,2.5,2.56,40476.0
2011-06-10,2.71,2.71,2.5,2.6,23556.0
2011-06-13,2.64,2.64,2.5,2.58,28206.0
2011-06-14,2.57,2.63,2.47,2.6,16045.0
2011-06-15,2.59,2.59,2.4,2.57,269200.0
2011-06-16,2.64,2.71,2.61,2.66,18746.0
2011-06-17,2.66,2.7,2.64,2.66,29723.0
2011-06-20,2.7,2.84,2.65,2.74,9825.0
2011-06-21,2.79,2.85,2.74,2.75,8859.0
2011-06-22,2.83,2.89,2.51,2.8,91888.0
2011-06-23,2.82,3.03,2.8,3.0,35895.0
2011-06-24,3.04,3.08,2.9,2.98,93110.0
2011-06-27,2.87,2.91,2.71,2.9,27582.0
2011-06-28,2.89,2.99,2.87,2.9,7406.0
2011-06-29,2.9,2.98,2.9,2.95,8969.0
2011-06-30,2.9,2.95,2.8,2.8,39558.0
2011-07-01,2.83,2.83,2.75,2.75,7789.0
2011-07-05,2.75,2.75,2.62,2.75,11773.0
2011-07-06,2.66,2.95,2.64,2.94,16917.0
2011-07-07,2.93,3.17,2.93,3.17,38340.0
2011-07-08,3.2,3.46,3.12,3.19,44245.0
2011-07-11,3.23,3.23,3.14,3.15,3776.0
2011-07-12,3.15,3.3,3.15,3.27,13876.0
2011-07-13,3.22,3.29,3.18,3.29,9247.0
2011-07-14,3.26,4.0,3.26,3.94,419166.0
2011-07-15,3.84,4.0,3.44,3.55,72263.0
2011-07-18,3.58,3.7,3.4,3.69,105790.0
2011-07-19,3.69,3.73,3.4,3.51,52362.0
2011-07-20,3.56,3.62,3.48,3.53,50150.0
2011-07-21,3.55,3.66,3.55,3.66,54592.0
2011-07-22,3.72,3.85,3.72,3.78,46391.0
2011-07-25,3.83,3.83,3.5,3.53,42462.0
2011-07-26,3.54,3.66,3.4,3.64,51476.0
2011-07-27,3.62,3.68,3.37,3.39,39648.0
2011-07-28,3.41,3.41,3.2,3.26,16417.0
2011-07-29,3.32,3.32,3.01,3.15,59959.0
2011-08-01,3.15,3.26,2.98,3.08,38853.0
2011-08-02,3.13,3.19,3.0,3.05,126639.0
2011-08-03,3.05,3.19,2.95,3.04,19517.0
2011-08-04,3.09,3.09,2.75,2.76,11000.0
2011-08-05,2.81,2.91,2.74,2.79,27800.0
2011-08-08,2.67,2.79,2.34,2.34,48149.0
2011-08-09,2.5,2.86,2.5,2.6,15619.0
2011-08-10,2.57,2.76,2.44,2.56,18147.0
2011-08-11,2.65,2.96,2.42,2.85,42123.0
2011-08-12,3.02,3.17,2.68,2.76,40000.0
2011-08-15,2.82,2.87,2.6,2.65,34128.0
2011-08-16,2.63,2.84,2.42,2.62,36462.0
2011-08-17,2.6,2.79,2.52,2.52,12700.0
2011-08-18,2.53,2.54,2.26,2.48,10151.0
2011-08-19,2.42,2.68,2.25,2.27,40018.0
2011-08-22,2.34,2.42,2.26,2.26,4753.0
2011-08-23,2.28,2.34,2.26,2.34,11822.0
2011-08-24,2.25,2.29,2.24,2.25,25082.0
2011-08-25,2.26,2.43,2.26,2.43,4709.0
2011-08-26,2.39,2.39,2.26,2.3,1400.0
2011-08-29,2.26,2.42,2.26,2.26,845.0
2011-08-30,2.35,2.35,2.25,2.3,11865.0
2011-08-31,2.35,2.38,2.3,2.3,4100.0
2011-09-01,2.42,2.44,2.39,2.42,4810.0
2011-09-02,2.43,2.43,2.33,2.39,11985.0
2011-09-06,2.35,2.37,2.23,2.32,3030.0
2011-09-07,2.3,2.35,2.16,2.34,16950.0
2011-09-08,2.29,2.39,2.18,2.39,18161.0
2011-09-09,2.33,2.35,2.26,2.34,2550.0
2011-09-12,2.24,2.3,2.18,2.3,1100.0
2011-09-13,2.24,2.3,2.16,2.2,9068.0
2011-09-14,2.24,2.3,2.13,2.13,31000.0
2011-09-15,2.16,2.29,2.16,2.25,5324.0
2011-09-16,2.2,2.3,2.18,2.25,18116.0
2011-09-19,2.13,2.13,1.8,1.99,24435.0
2011-09-20,2.01,2.05,1.75,1.75,47229.0
2011-09-21,1.8,1.88,1.79,1.79,37090.0
2011-09-22,1.78,1.78,1.51,1.62,68181.0
2011-09-23,1.5,1.7,1.44,1.67,37158.0
2011-09-26,1.72,1.72,1.64,1.71,12400.0
2011-09-27,1.73,1.74,1.67,1.74,6360.0
2011-09-28,1.61,1.66,1.53,1.53,9748.0
2011-09-29,1.54,1.56,1.38,1.38,62015.0
2011-09-30,1.31,1.48,1.31,1.48,6867.0
2011-10-03,1.39,1.49,1.39,1.49,3456.0
2011-10-04,1.5,1.67,1.5,1.55,7470.0
2011-10-05,1.6,1.67,1.52,1.52,3682.0
2011-10-06,1.52,1.65,1.5,1.64,6275.0
2011-10-07,1.59,1.6,1.52,1.54,4780.0
2011-10-10,1.59,1.59,1.56,1.59,29601.0
2011-10-11,1.58,1.67,1.54,1.59,3549.0
2011-10-12,1.61,1.61,1.54,1.61,8172.0
2011-10-13,1.62,1.69,1.62,1.64,16813.0
2011-10-14,1.64,1.68,1.52,1.6,15838.0
2011-10-17,1.54,1.57,1.54,1.57,500.0
2011-10-18,1.57,1.57,1.55,1.55,8851.0
2011-10-20,1.53,1.66,1.52,1.56,7595.0
2011-10-21,1.58,1.58,1.52,1.52,6599.0
2011-10-24,1.5,1.6,1.5,1.58,2451.0
2011-10-25,1.52,1.52,1.44,1.45,53844.0
2011-10-26,1.42,1.5,1.42,1.45,21970.0
2011-10-27,1.56,1.56,1.32,1.37,40097.0
2011-10-28,1.44,1.47,1.32,1.46,9000.0
2011-10-31,1.5,1.5,1.41,1.48,1609.0
2011-11-01,1.39,1.39,1.34,1.34,15700.0
2011-11-02,1.43,1.49,1.37,1.42,9032.0
2011-11-03,1.34,1.42,1.34,1.35,7111.0
2011-11-04,1.39,1.42,1.23,1.39,22597.0
2011-11-07,1.44,1.53,1.42,1.48,8232.0
2011-11-08,1.51,1.55,1.4,1.45,16936.0
2011-11-09,1.39,1.44,1.39,1.39,2060.0
2011-11-10,1.42,1.42,1.33,1.33,2108.0
2011-11-11,1.33,1.37,1.3,1.32,1100.0
2011-11-14,1.26,1.27,1.15,1.15,46263.0
2011-11-15,0.99,1.02,0.87,0.88,178940.0
2011-11-16,0.85,0.93,0.84,0.84,110284.0
2011-11-17,0.85,0.92,0.85,0.88,7500.0
2011-11-18,0.94,0.94,0.72,0.85,24039.0
2011-11-21,0.86,0.86,0.76,0.8,6447.0
2011-11-22,0.83,0.83,0.76,0.76,12550.0
