Date,Open,High,Low,Close,Volume
2011-08-02,10.0,9.5,9.5,9.5,445000.0
2011-08-03,,9.5,9.5,9.5,245000.0
2011-09-12,9.49,9.49,9.49,9.49,100000.0
2011-10-03,9.5,9.5,9.5,9.5,100000.0
2011-10-10,9.5,9.51,9.5,9.51,100500.0
2011-10-12,9.48,9.5,9.48,9.5,146000.0
2011-10-13,9.49,9.49,9.45,9.48,6400.0
2011-10-14,9.46,9.46,9.44,9.45,95788.0
2011-10-17,9.45,9.56,9.44,9.52,22512.0
2011-10-18,9.5,9.52,9.5,9.51,100200.0
2011-10-20,9.49,9.49,9.49,9.49,300.0
2011-12-05,9.5,9.54,9.5,9.5,16000.0
2011-12-12,9.52,9.54,9.52,9.54,13900.0
2012-01-05,9.55,9.55,9.52,9.55,9999.0
2012-01-10,9.82,9.82,9.82,9.82,110.0
2012-01-11,9.67,9.67,9.65,9.65,2010.0
2012-01-12,9.76,9.76,9.76,9.76,100.0
2012-02-08,9.53,9.62,9.52,9.62,300.0
2012-02-09,9.62,9.62,9.62,9.62,100.0
2012-02-13,,,,9.62,0.0
2012-02-14,,,,9.62,0.0
2012-02-15,,,,9.62,0.0
2012-02-16,,,,9.62,0.0
2012-02-17,,,,9.62,0.0
2012-02-21,,,,9.62,0.0
2012-02-22,,,,9.62,0.0
2012-02-23,,,,9.62,0.0
2012-02-24,,,,9.62,0.0
2012-02-27,,,,9.62,0.0
2012-02-28,,,,9.62,0.0
2012-02-29,9.63,9.64,9.62,9.64,107100.0
2012-03-01,9.6,9.63,9.6,9.61,1800.0
2012-03-02,,,,9.6,0.0
2012-03-05,,,,9.6,0.0
2012-03-06,9.52,9.64,9.52,9.61,4502.0
2012-03-07,,,,9.52,0.0
2012-03-08,9.63,9.63,9.55,9.62,700.0
2012-03-09,9.62,9.62,9.62,9.62,142.0
2012-03-12,,,,9.62,0.0
2012-03-13,,,,9.62,0.0
2012-03-14,,,,9.62,0.0
2012-03-15,,,,9.62,0.0
2012-03-16,,,,9.62,0.0
2012-03-19,,,,9.62,0.0
2012-03-20,,,,9.62,0.0
2012-03-21,,,,9.62,0.0
2012-03-22,,,,9.62,0.0
2012-03-23,,,,9.62,0.0
2012-03-26,9.73,9.73,9.73,9.73,100.0
2012-03-27,9.65,9.65,9.65,9.65,4884.0
2012-03-28,,,,9.65,0.0
2012-03-29,,,,9.65,0.0
2012-03-30,9.61,9.61,9.61,9.61,1079.0
2012-04-02,9.63,9.63,9.61,9.61,489.0
2012-04-03,9.62,9.62,9.62,9.62,500.0
2012-04-04,,,,9.62,0.0
2012-04-05,,,,9.62,0.0
2012-04-09,,,,9.62,0.0
2012-04-10,,,,9.62,0.0
2012-04-11,,,,9.62,0.0
2012-04-12,,,,9.62,0.0
2012-04-13,,,,9.62,0.0
2012-04-16,,,,9.62,0.0
2012-04-17,9.68,9.72,9.68,9.72,700.0
2012-04-18,9.72,9.72,9.72,9.72,100.0
2012-04-19,9.7,9.71,9.7,9.71,400.0
2012-04-20,9.8,9.8,9.61,9.61,1100.0
2012-04-23,9.65,9.65,9.65,9.65,100.0
2012-04-24,,,,9.65,0.0
2012-04-25,9.63,9.63,9.62,9.62,600.0
2012-04-26,9.55,9.66,9.55,9.66,2541.0
2012-04-27,,,,9.66,0.0
2012-04-30,,,,9.66,0.0
2012-05-01,,,,9.66,0.0
2012-05-02,,,,9.66,0.0
2012-05-03,,,,9.66,0.0
2012-05-04,9.66,9.7,9.6,9.7,2500.0
2012-05-07,,,,9.66,0.0
2012-05-08,9.65,9.68,9.65,9.68,1700.0
2012-05-09,9.7,9.7,9.68,9.7,1200.0
2012-05-10,,,,9.7,0.0
2012-05-11,,,,9.7,0.0
2012-05-14,,,,9.7,0.0
2012-05-15,,,,9.7,0.0
2012-05-16,9.62,9.74,9.62,9.74,3769.0
2012-05-17,,,,9.74,0.0
2012-05-18,,,,9.74,0.0
2012-05-21,9.62,9.68,9.62,9.68,1100.0
2012-05-22,,,,9.68,0.0
2012-05-23,9.68,9.72,9.68,9.72,1098.0
2012-05-24,,,,9.68,0.0
2012-05-25,9.6,9.65,9.6,9.65,3000.0
2012-05-29,9.6,9.65,9.6,9.65,1100.0
2012-05-30,,,,9.68,0.0
2012-05-31,9.63,9.67,9.63,9.67,2200.0
2012-06-01,,,,9.67,0.0
2012-06-04,,,,9.67,0.0
2012-06-05,9.65,9.7,9.65,9.7,700.0
2012-06-06,9.6,9.74,9.6,9.74,1000.0
2012-06-07,,,,9.74,0.0
2012-06-08,,,,9.74,0.0
2012-06-11,,,,9.74,0.0
2012-06-12,,,,9.74,0.0
2012-06-13,,,,9.74,0.0
2012-06-14,9.67,9.72,9.59,9.72,10401.0
2012-06-15,,,,9.7,0.0
2012-06-18,,,,9.7,0.0
2012-06-19,9.7,9.72,9.7,9.72,800.0
2012-06-20,,,,9.71,0.0
2012-06-21,9.84,9.84,9.8,9.8,2000.0
2012-06-22,,,,9.84,0.0
2012-06-25,,,,9.84,0.0
2012-06-26,,,,9.84,0.0
2012-06-27,9.7,9.8,9.7,9.8,1500.0
2012-06-28,,,,9.79,0.0
2012-06-29,,,,9.79,0.0
2012-07-02,,,,9.79,0.0
2012-07-03,,,,9.79,0.0
2012-07-05,,,,9.79,0.0
2012-07-06,9.7,9.7,9.7,9.7,10000.0
2012-07-09,,,,9.7,0.0
2012-07-10,,,,9.7,0.0
2012-07-11,9.7,9.75,9.7,9.75,1600.0
2012-07-12,,,,9.7,0.0
2012-07-13,,,,9.7,0.0
2012-07-16,9.36,9.75,9.36,9.39,300.0
2012-07-17,9.8,9.8,9.7,9.7,1300.0
2012-07-18,,,,9.8,0.0
2012-07-19,9.79,9.79,9.79,9.79,100.0
2012-07-20,9.85,9.85,9.85,9.85,100.0
2012-07-23,,,,9.85,0.0
2012-07-24,,,,9.85,0.0
2012-07-25,9.75,9.86,9.75,9.86,150100.0
2012-07-26,9.76,9.9,9.76,9.9,131800.0
2012-07-27,,,,9.86,0.0
2012-07-30,,,,9.86,0.0
2012-07-31,,,,9.86,0.0
2012-08-01,,,,9.86,0.0
2012-08-02,,,,9.86,0.0
2012-08-03,,,,9.86,0.0
2012-08-06,,,,10.12,0.0
2012-08-07,,,,10.12,0.0
2012-08-08,,,,10.12,0.0
2012-08-09,,,,10.12,0.0
2012-08-10,,,,10.12,0.0
2012-08-13,,,,10.12,0.0
2012-08-14,,,,10.12,0.0
2012-08-15,9.89,9.89,9.89,9.89,100.0
2012-08-16,,,,9.89,0.0
2012-08-17,,,,9.89,0.0
2012-08-20,,,,9.89,0.0
2012-08-21,,,,9.89,0.0
2012-08-22,,,,9.89,0.0
2012-08-23,,,,9.89,0.0
2012-08-24,,,,9.89,0.0
2012-08-27,,,,9.89,0.0
2012-08-28,,,,9.89,0.0
2012-08-29,9.92,9.92,9.89,9.89,450.0
2012-08-30,,,,9.92,0.0
2012-08-31,,,,9.92,0.0
2012-09-04,,,,9.92,0.0
2012-09-05,9.92,9.92,9.88,9.88,5100.0
2012-09-06,9.72,9.72,9.72,9.72,100.0
2012-09-07,,,,9.72,0.0
2012-09-10,9.88,10.48,9.75,10.36,6752.0
2012-09-11,,,,10.36,0.0
2012-09-12,,,,10.36,0.0
2012-09-13,,,,10.36,0.0
2012-09-14,,,,10.36,0.0
2012-09-17,,,,10.36,0.0
2012-09-18,,,,10.36,0.0
2012-09-19,,,,10.36,0.0
2012-09-20,,,,10.36,0.0
2012-09-21,,,,10.36,0.0
2012-09-24,,,,10.36,0.0
2012-09-25,,,,10.36,0.0
2012-09-26,,,,10.36,0.0
2012-09-27,,,,10.36,0.0
2012-09-28,,,,10.36,0.0
2012-10-01,,,,10.36,0.0
2012-10-02,,,,10.36,0.0
2012-10-03,,,,10.36,0.0
2012-10-04,,,,10.36,0.0
2012-10-05,,,,10.36,0.0
2012-10-08,,,,10.36,0.0
2012-10-09,,,,10.36,0.0
2012-10-10,9.82,9.82,9.82,9.82,100.0
2012-10-11,9.91,9.91,9.91,9.91,100.0
2012-10-12,,,,9.82,0.0
2012-10-15,,,,9.82,0.0
2012-10-16,,,,9.82,0.0
2012-10-17,,,,9.82,0.0
2012-10-18,,,,9.82,0.0
2012-10-19,,,,9.82,0.0
2012-10-22,,,,9.82,0.0
2012-10-23,9.92,9.92,9.91,9.91,1552.0
2012-10-24,9.92,9.92,9.92,9.92,100.0
2012-10-25,9.91,9.91,9.91,9.91,100.0
