Date,Open,High,Low,Close,Volume
2007-07-26,17.5,21.22,17.4,20.4,9984791.0
2007-07-27,20.5,25.86,20.0,25.65,1936065.0
2007-07-30,27.4,30.08,27.38,28.3,2912517.0
2007-07-31,29.43,29.43,23.02,24.1,859294.0
2007-08-01,24.12,24.12,20.71,21.0,1483493.0
2007-08-02,22.17,24.22,21.9,24.09,1737047.0
2007-08-03,24.3,25.25,23.4,23.71,473399.0
2007-08-06,24.34,24.34,23.01,23.3,327747.0
2007-08-07,24.0,25.5,23.55,25.14,370252.0
2007-08-08,25.5,27.63,25.5,26.33,762531.0
2007-08-09,26.0,26.0,22.0,23.75,572963.0
2007-08-10,23.18,23.9,22.3,23.79,442760.0
2007-08-13,24.35,24.75,22.75,23.21,112283.0
2007-08-14,22.8,23.04,21.59,22.15,354001.0
2007-08-15,21.59,22.39,21.46,21.94,249759.0
2007-08-16,21.3,21.31,18.38,19.44,559033.0
2007-08-17,20.12,21.31,20.12,20.65,469480.0
2007-08-20,20.96,22.4,20.96,22.38,305825.0
2007-08-21,21.2,22.65,20.91,21.26,205015.0
2007-08-22,21.56,22.1,21.37,21.75,239764.0
2007-08-23,21.75,22.16,21.5,22.0,132418.0
2007-08-24,21.9,22.35,21.31,22.2,71605.0
2007-08-27,22.38,22.83,21.35,22.29,56526.0
2007-08-28,21.22,21.79,21.13,21.65,78519.0
2007-08-29,21.1,22.81,20.64,22.54,131646.0
2007-08-30,21.3,23.19,21.3,22.83,393883.0
2007-08-31,23.19,23.19,22.09,22.67,224819.0
2007-09-04,23.0,23.8,22.01,23.4,243541.0
2007-09-05,22.77,24.3,22.77,23.75,243082.0
2007-09-06,23.5,23.91,23.05,23.12,184586.0
2007-09-07,23.17,23.17,21.78,22.08,122796.0
2007-09-10,22.2,22.85,22.06,22.6,63551.0
2007-09-11,22.51,22.95,22.5,22.78,54505.0
2007-09-12,22.59,24.68,22.59,24.35,132184.0
2007-09-13,22.85,24.5,22.8,24.02,201122.0
2007-09-14,24.5,26.29,23.93,25.48,311843.0
2007-09-17,25.48,25.48,24.59,24.8,119797.0
2007-09-18,24.99,25.9,24.0,25.0,276813.0
2007-09-19,25.3,25.48,24.81,25.17,353651.0
2007-09-20,25.5,28.09,25.22,27.79,759509.0
2007-09-21,29.38,29.58,28.06,29.5,813589.0
2007-09-24,29.5,29.9,28.25,28.88,493505.0
2007-09-25,28.0,28.06,26.5,27.71,386944.0
2007-09-26,28.0,30.5,28.0,28.9,1219794.0
2007-09-27,29.84,29.88,27.15,27.6,284336.0
2007-09-28,29.0,29.0,26.09,27.08,332626.0
2007-10-01,26.8,28.11,26.5,27.65,248515.0
2007-10-02,28.44,28.9,27.3,28.15,520767.0
2007-10-03,28.0,28.0,26.79,27.3,338313.0
2007-10-04,26.72,27.47,26.65,27.08,281463.0
2007-10-05,27.84,31.25,27.21,30.54,871495.0
2007-10-08,30.8,32.8,29.03,32.47,663156.0
2007-10-09,31.78,33.0,30.8,32.56,667200.0
2007-10-10,32.56,32.97,31.4,32.72,388187.0
2007-10-11,32.72,34.33,29.5,30.25,1156714.0
2007-10-12,29.5,32.63,29.5,32.29,358400.0
2007-10-15,32.55,32.61,30.72,31.71,371326.0
2007-10-16,30.83,31.88,29.64,29.92,447067.0
2007-10-17,29.5,30.8,28.45,30.73,501854.0
2007-10-18,29.33,30.21,28.3,29.18,405152.0
2007-10-19,29.97,29.97,26.55,27.01,952035.0
2007-10-22,26.59,27.79,25.57,27.4,585635.0
2007-10-23,27.99,28.89,27.4,28.27,397169.0
2007-10-24,28.5,28.5,26.67,27.6,291510.0
2007-10-25,27.96,27.96,26.0,26.45,499568.0
2007-10-26,26.18,29.0,26.15,28.87,369212.0
2007-10-29,29.0,29.57,27.59,28.07,351419.0
2007-10-30,28.6,31.45,28.37,30.73,847741.0
2007-10-31,30.5,37.0,30.15,34.69,1287110.0
2007-11-01,34.05,34.07,31.28,32.0,842631.0
2007-11-02,32.01,32.53,30.5,31.05,405688.0
2007-11-05,30.68,33.0,30.56,31.58,398495.0
2007-11-06,32.61,34.0,30.72,33.5,374020.0
2007-11-07,31.6,33.21,31.51,32.0,286652.0
2007-11-08,31.96,32.4,28.64,30.9,440238.0
2007-11-09,34.5,34.99,26.74,28.03,1317190.0
2007-11-12,27.42,27.99,23.0,23.49,752661.0
2007-11-13,24.33,28.71,23.9,27.83,1163564.0
2007-11-14,27.83,28.94,26.25,27.38,328395.0
2007-11-15,26.5,27.5,25.59,26.77,378627.0
2007-11-16,26.0,26.5,25.2,25.5,292745.0
2007-11-19,25.3,25.5,24.11,24.29,347996.0
2007-11-20,24.5,24.5,21.24,21.52,630099.0
2007-11-21,21.1,21.1,19.6,19.71,1098402.0
2007-11-23,20.58,20.95,19.13,19.47,421689.0
2007-11-26,19.73,21.92,19.57,21.48,720624.0
2007-11-27,21.2,23.8,21.19,23.0,640185.0
2007-11-28,23.76,25.24,23.2,24.17,510788.0
2007-11-29,24.25,24.39,23.11,23.68,255108.0
2007-11-30,23.5,24.85,23.2,24.22,304417.0
2007-12-03,24.96,25.14,23.81,24.33,322940.0
2007-12-04,26.25,26.94,25.61,25.99,1768980.0
2007-12-05,27.49,29.86,27.01,29.12,951373.0
2007-12-06,29.99,31.8,28.02,30.0,960413.0
2007-12-07,31.0,31.6,30.1,31.53,986540.0
2007-12-10,31.98,31.99,30.02,30.5,585269.0
2007-12-11,30.91,31.87,29.1,29.61,733756.0
2007-12-12,31.0,31.0,29.51,30.0,412045.0
2007-12-13,29.23,30.36,28.13,30.2,548577.0
2007-12-14,29.0,29.43,28.4,29.1,556763.0
2007-12-17,29.0,29.01,26.25,27.07,729802.0
2007-12-18,26.18,27.77,25.8,27.28,841645.0
2007-12-19,26.68,27.74,26.39,27.0,383370.0
2007-12-20,27.56,27.79,26.64,26.98,127061.0
2007-12-21,28.47,28.62,26.9,27.74,414917.0
2007-12-24,27.61,29.1,27.61,28.9,78139.0
2007-12-26,29.49,29.49,28.01,28.31,184047.0
2007-12-27,28.42,29.4,27.61,27.99,183112.0
2007-12-28,28.0,28.95,27.6,28.38,356090.0
2007-12-31,28.2,28.54,27.48,27.88,178673.0
2008-01-02,28.0,29.83,28.0,29.75,707888.0
2008-01-03,29.75,30.76,29.57,30.27,402635.0
2008-01-04,29.15,29.93,28.58,29.42,301807.0
2008-01-07,29.89,29.92,26.89,27.13,649330.0
2008-01-08,27.5,29.61,27.5,27.9,548497.0
2008-01-09,28.0,30.0,28.0,29.99,569775.0
2008-01-10,29.12,31.34,29.01,30.1,417547.0
2008-01-11,30.2,30.23,27.9,29.13,454676.0
2008-01-14,29.0,29.0,28.01,28.28,250661.0
2008-01-15,28.0,28.2,25.84,26.0,459140.0
2008-01-16,25.21,25.21,22.31,23.44,967008.0
2008-01-17,23.97,24.22,20.98,21.25,1096198.0
2008-01-18,22.25,23.48,21.88,22.63,1178192.0
2008-01-22,19.73,22.5,18.81,21.72,836913.0
2008-01-23,21.55,23.5,20.17,23.01,1154939.0
2008-01-24,23.5,24.75,22.8,24.04,920896.0
2008-01-25,25.0,25.56,24.0,25.08,494733.0
2008-01-28,25.08,25.08,23.71,24.2,277578.0
2008-01-29,24.75,24.75,22.5,23.43,577478.0
2008-01-30,22.9,23.51,21.76,22.18,311183.0
2008-01-31,22.18,23.0,21.88,22.35,625353.0
2008-02-01,23.29,24.47,23.0,23.4,598306.0
2008-02-04,24.23,24.23,23.59,23.75,321269.0
2008-02-05,23.55,23.61,22.3,22.45,279491.0
2008-02-06,23.0,23.21,22.26,22.52,95369.0
2008-02-07,21.95,23.86,21.8,23.63,171767.0
2008-02-08,23.57,23.57,22.79,23.01,154282.0
2008-02-11,23.72,23.74,22.75,23.74,48589.0
2008-02-12,23.75,24.8,23.55,24.2,143148.0
2008-02-13,24.45,25.25,24.25,25.0,374292.0
2008-02-14,25.25,25.25,23.68,23.68,75756.0
2008-02-15,23.05,23.83,22.65,23.15,443329.0
2008-02-19,23.44,24.19,23.09,23.4,193495.0
2008-02-20,23.35,23.5,22.86,23.13,229570.0
2008-02-21,23.36,24.84,23.36,24.26,439824.0
2008-02-22,24.35,25.5,24.05,25.46,593021.0
2008-02-25,26.55,28.79,26.55,28.6,1857703.0
2008-02-26,27.99,30.0,27.8,28.6,1000063.0
2008-02-27,28.4,29.5,27.8,28.79,716394.0
2008-02-28,28.79,28.79,27.66,27.73,284770.0
2008-02-29,27.09,28.0,26.06,27.03,581188.0
2008-03-03,26.83,27.17,26.47,26.77,358138.0
2008-03-04,26.47,27.26,26.05,26.88,274474.0
2008-03-05,27.08,27.97,26.11,27.79,261127.0
2008-03-06,27.2,27.8,26.9,27.34,212049.0
2008-03-07,26.83,27.64,26.65,27.05,423065.0
2008-03-10,27.0,27.0,25.56,25.6,356469.0
2008-03-11,26.0,26.32,24.31,25.15,327557.0
2008-03-12,26.9,26.9,25.55,26.3,388071.0
2008-03-13,25.58,26.8,24.5,26.17,460510.0
2008-03-14,26.0,26.0,24.69,25.0,181207.0
2008-03-17,24.19,25.0,22.3,22.52,603615.0
2008-03-18,23.46,23.69,22.25,23.47,546519.0
2008-03-19,23.79,24.0,21.83,21.9,481022.0
2008-03-20,21.88,22.33,21.01,21.97,606015.0
2008-03-24,22.55,24.31,22.35,23.82,909939.0
2008-03-25,24.24,24.98,23.67,24.87,490589.0
2008-03-26,25.01,25.45,24.44,24.91,1167621.0
2008-03-27,24.8,25.04,23.7,23.82,505012.0
2008-03-28,23.84,24.19,23.15,23.21,375782.0
2008-03-31,23.87,23.98,22.3,22.71,427807.0
2008-04-01,23.34,24.5,23.06,24.33,405907.0
2008-04-02,24.51,25.49,24.05,25.0,513236.0
2008-04-03,24.72,26.08,24.36,26.08,526246.0
2008-04-04,26.1,26.91,25.9,26.75,551605.0
2008-04-07,26.54,27.38,25.6,25.85,453541.0
2008-04-08,25.52,26.13,25.37,25.58,280983.0
2008-04-09,25.47,25.99,24.92,25.35,358448.0
2008-04-10,25.38,26.98,24.87,26.69,395472.0
2008-04-11,26.1,26.65,25.54,25.78,340776.0
2008-04-14,25.84,26.0,24.77,24.97,322244.0
2008-04-15,25.02,25.55,24.56,25.0,370912.0
2008-04-16,25.43,27.07,25.43,26.4,674609.0
2008-04-17,26.62,26.89,25.92,26.28,411682.0
2008-04-18,27.0,27.49,26.37,27.42,680584.0
2008-04-21,26.87,27.39,26.6,26.96,356008.0
2008-04-22,26.96,27.16,25.67,26.62,261209.0
2008-04-23,26.57,27.35,26.42,27.06,225661.0
2008-04-24,27.18,27.28,26.16,26.92,256011.0
2008-04-25,27.24,27.24,25.4,26.7,657722.0
2008-04-28,27.57,28.42,27.45,27.77,966273.0
2008-04-29,28.0,28.07,27.4,27.79,480859.0
2008-04-30,28.16,29.0,27.58,28.72,942867.0
2008-05-01,29.11,31.06,28.92,30.97,1718970.0
2008-05-02,31.6,32.18,31.06,31.72,1067399.0
2008-05-05,31.6,33.52,31.07,33.06,913324.0
2008-05-06,33.15,33.15,30.2,31.0,774943.0
2008-05-07,30.9,30.9,28.87,29.05,1029818.0
2008-05-08,29.52,30.47,27.4,30.11,1051935.0
2008-05-09,29.9,31.3,29.19,30.88,671376.0
2008-05-12,30.9,31.7,29.7,30.6,456544.0
2008-05-13,30.43,30.58,28.51,29.05,1122318.0
2008-05-14,29.45,30.33,29.25,30.0,1291400.0
2008-05-15,29.69,31.85,29.69,30.31,930739.0
2008-05-16,30.75,31.3,30.05,31.3,1439214.0
2008-05-19,31.5,31.83,27.15,27.31,4056051.0
2008-05-20,27.26,27.3,25.45,25.57,2265376.0
2008-05-21,25.68,26.82,25.6,25.83,937837.0
2008-05-22,25.83,26.14,24.8,24.95,580923.0
2008-05-23,24.75,24.82,23.62,23.85,883007.0
2008-05-27,24.0,25.58,24.0,25.32,904031.0
2008-05-28,26.24,26.47,25.32,25.37,917521.0
2008-05-29,25.91,26.09,25.37,25.58,410635.0
2008-05-30,25.97,27.73,25.68,26.97,988911.0
2008-06-02,26.34,27.22,25.41,25.52,575068.0
2008-06-03,26.44,26.44,25.45,25.79,485543.0
2008-06-04,25.96,26.46,25.48,25.49,505266.0
2008-06-05,25.82,26.15,25.13,25.45,450056.0
2008-06-06,25.67,25.67,23.61,24.05,772774.0
2008-06-09,24.07,24.38,22.43,22.58,968444.0
2008-06-10,22.94,22.94,21.4,22.24,1246742.0
2008-06-11,22.12,23.0,22.07,22.48,822444.0
