Date,Open,High,Low,Close,Volume
2009-10-22,59.84,59.84,56.0,56.4,54303.0
2009-10-23,56.48,57.6,56.48,57.6,3750.0
2009-10-26,57.6,57.6,52.4,56.72,1470.0
2009-10-27,54.4,54.4,54.4,54.4,75.0
2009-10-28,52.0,53.76,48.16,52.8,14836.0
2009-10-29,52.32,52.4,51.28,51.6,4191.0
2009-10-30,51.6,54.56,51.52,53.92,6349.0
2009-11-02,58.32,58.32,48.68,52.0,1926.0
2009-11-03,51.2,58.4,51.2,52.8,2420.0
2009-11-04,55.84,56.0,51.92,53.6,1488.0
2009-11-05,49.2,54.4,49.2,53.44,7092.0
2009-11-06,55.6,55.6,52.08,53.6,3850.0
2009-11-09,52.8,55.36,52.16,55.36,400.0
2009-11-10,56.0,56.16,54.0,55.6,3045.0
2009-11-11,54.0,55.6,54.0,54.4,150.0
2009-11-12,55.6,55.6,55.6,55.6,397.0
2009-11-13,55.6,55.6,55.6,55.6,75.0
2009-11-16,48.88,55.52,48.88,53.12,5664.0
2009-11-17,48.08,55.44,48.08,52.8,875.0
2009-11-18,48.24,54.0,48.24,49.6,2079.0
2009-11-19,46.0,46.88,46.0,46.0,136335.0
2009-11-20,46.0,50.24,46.0,48.0,28088.0
2009-11-23,49.6,50.4,48.08,50.4,7855.0
2009-11-24,49.6,50.24,48.8,49.6,1220.0
2009-11-25,50.0,50.0,48.8,50.0,10032.0
2009-11-26,,,,50.0,0.0
2009-11-27,48.0,48.8,47.36,47.36,4500.0
2009-11-30,47.84,50.0,47.84,48.96,3431.0
2009-12-01,50.4,50.4,49.68,50.0,9717.0
2009-12-02,50.4,52.0,50.16,51.12,7713.0
2009-12-03,50.88,51.76,50.4,51.2,4399.0
2009-12-04,52.0,52.0,50.48,50.64,1210.0
2009-12-07,51.28,52.0,51.12,51.2,2043.0
2009-12-08,51.04,51.04,50.4,50.56,572.0
2009-12-09,51.2,51.28,49.36,50.08,3078.0
2009-12-10,50.0,50.4,49.68,49.84,2675.0
2009-12-11,50.32,50.8,49.84,50.8,17806.0
2009-12-14,51.92,52.8,50.88,52.4,14852.0
2009-12-15,51.6,51.6,48.64,50.4,1125.0
2009-12-16,50.8,50.8,50.0,50.4,24612.0
2009-12-17,50.8,50.8,49.6,49.6,90.0
2009-12-18,50.4,50.8,49.6,50.64,6418.0
2009-12-21,49.6,50.8,48.08,50.8,4397.0
2009-12-22,50.72,51.6,50.72,51.36,888.0
2009-12-23,51.68,51.68,50.8,51.28,3016.0
2009-12-24,51.6,52.32,51.2,51.2,2732.0
2009-12-25,,,,51.2,0.0
2009-12-28,51.2,51.68,50.36,51.6,7475.0
2009-12-29,52.0,53.12,51.4,52.4,4717.0
2009-12-30,52.32,53.6,52.0,53.2,3176.0
2009-12-31,,,,53.6,0.0
2010-01-01,,,,53.6,0.0
2010-01-04,54.24,54.4,53.6,54.0,11180.0
2010-01-05,54.4,54.4,54.0,54.16,7259.0
2010-01-06,54.4,54.56,54.0,54.56,9232.0
2010-01-07,54.8,54.97,54.48,54.64,6338.0
2010-01-08,54.08,55.44,54.08,54.72,2023.0
2010-01-11,55.12,56.0,54.39,55.6,2163.0
2010-01-12,53.6,56.0,53.6,55.6,2326.0
2010-01-13,56.0,56.0,54.72,55.84,832.0
2010-01-14,55.76,56.48,54.96,56.24,2861.0
2010-01-15,,,,56.32,0.0
2010-01-18,,,,56.32,0.0
2010-01-19,56.4,56.72,55.21,56.0,5712.0
2010-01-20,55.28,55.92,52.08,54.88,1482.0
2010-01-21,55.92,55.92,51.04,51.76,2318.0
2010-01-22,50.8,51.6,50.56,50.96,898.0
2010-01-25,51.64,51.64,47.28,49.2,9521.0
2010-01-26,49.2,52.24,48.88,49.04,3420.0
2010-01-27,48.16,49.28,46.16,48.08,8100.0
2010-01-28,48.56,48.56,46.96,47.84,3823.0
2010-01-29,48.08,48.16,47.2,47.44,1850.0
2010-02-01,48.08,51.44,47.52,51.44,4891.0
2010-02-02,50.8,50.8,48.16,48.4,14642.0
2010-02-03,48.0,48.08,47.2,47.2,7283.0
2010-02-04,47.6,47.6,46.0,46.08,4894.0
2010-02-05,47.04,47.6,45.68,46.32,23599.0
2010-02-08,46.8,46.8,44.64,44.64,1382.0
2010-02-09,44.8,46.32,43.04,44.0,8486.0
2010-02-10,45.2,45.2,42.08,43.76,2704.0
2010-02-11,46.84,46.84,43.68,46.08,1277.0
2010-02-12,,,,45.52,0.0
2010-02-15,,,,45.52,0.0
2010-02-16,46.8,46.8,45.44,46.08,4247.0
2010-02-17,46.08,46.4,45.68,46.0,8098.0
2010-02-18,46.48,46.48,45.76,45.76,3259.0
2010-02-19,46.0,51.84,45.76,48.4,18809.0
2010-02-22,48.72,50.8,48.0,49.28,17106.0
2010-02-23,49.28,49.6,48.8,49.52,4384.0
2010-02-24,49.52,49.6,48.8,49.2,13432.0
2010-02-25,48.8,49.2,48.0,48.48,1659.0
2010-02-26,48.08,49.92,48.0,49.52,3224.0
2010-03-01,49.6,53.2,48.56,51.92,5231.0
2010-03-02,50.8,51.36,49.8,50.48,2701.0
2010-03-03,51.92,51.92,49.04,50.08,3678.0
2010-03-04,52.0,52.0,49.2,50.0,7720.0
2010-03-05,50.4,50.4,49.6,49.68,5580.0
2010-03-08,50.16,50.8,49.52,49.92,3074.0
2010-03-09,50.32,50.4,49.44,49.44,3700.0
2010-03-10,50.48,51.12,48.8,51.04,19690.0
2010-03-11,51.6,53.12,50.96,52.08,4214.0
2010-03-12,52.8,54.0,52.08,53.6,9535.0
2010-03-15,53.12,55.72,52.4,53.2,8351.0
2010-03-16,54.4,54.72,46.8,50.24,24689.0
2010-03-17,48.72,50.0,43.2,43.92,45122.0
2010-03-18,44.08,45.2,40.1,41.6,14935.0
2010-03-19,42.4,44.64,39.92,40.8,41716.0
2010-03-22,40.8,43.36,37.44,41.6,22967.0
2010-03-23,41.92,47.2,40.0,46.4,58439.0
2010-03-24,46.48,49.52,46.4,47.2,20201.0
2010-03-25,47.84,47.84,46.0,47.2,9012.0
2010-03-26,47.2,48.4,47.2,47.2,4829.0
2010-03-29,47.68,51.04,47.68,50.4,12471.0
2010-03-30,51.12,51.52,49.04,50.37,9844.0
2010-03-31,51.84,53.6,50.48,51.6,73104.0
2010-04-01,,,,46.96,0.0
2010-04-02,,,,46.96,0.0
2010-04-05,48.16,49.2,48.16,48.72,10164.0
2010-04-06,48.8,48.8,46.98,47.44,16214.0
2010-04-07,46.72,47.2,45.84,45.92,35513.0
2010-04-08,45.84,48.48,42.4,47.6,28502.0
2010-04-09,48.0,48.0,46.56,46.96,3817.0
2010-04-12,46.96,48.0,46.0,46.24,17000.0
2010-04-13,46.0,49.44,46.0,47.6,37896.0
2010-04-14,53.36,53.36,47.92,48.08,18158.0
2010-04-15,47.84,48.45,46.48,46.48,18055.0
2010-04-16,46.64,48.16,46.56,48.16,6809.0
2010-04-19,48.0,49.76,46.96,48.88,8290.0
2010-04-20,49.04,49.2,47.76,48.96,8374.0
2010-04-21,49.12,51.04,48.24,49.68,7167.0
2010-04-22,49.84,50.64,48.88,50.08,6779.0
2010-04-23,49.68,50.64,49.36,49.6,8033.0
2010-04-26,49.84,49.84,47.36,48.48,7343.0
2010-04-27,48.47,48.8,48.24,48.24,3305.0
2010-04-28,48.72,48.72,44.4,47.44,7847.0
2010-04-29,48.0,48.8,47.04,48.4,4329.0
2010-04-30,48.64,48.64,45.2,46.0,7303.0
2010-05-03,45.92,48.64,45.84,48.08,5261.0
2010-05-04,47.44,48.24,45.52,47.92,9633.0
2010-05-05,47.28,48.48,47.2,48.08,3845.0
2010-05-06,47.6,47.6,29.2,42.32,35242.0
2010-05-07,42.0,44.0,39.2,40.32,23508.0
2010-05-10,42.0,42.92,41.68,42.0,9686.0
2010-05-11,42.24,45.08,41.52,43.76,3170.0
2010-05-12,44.0,44.72,43.76,44.16,5513.0
2010-05-13,44.64,45.68,44.17,45.52,3965.0
2010-05-14,44.4,44.72,42.4,42.88,6323.0
2010-05-17,42.88,46.0,42.32,43.04,8099.0
