Date,Open,High,Low,Close,Volume
2010-12-20,5.01,5.07,4.9,5.05,241300.0
2010-12-21,5.05,5.05,4.9,4.97,112900.0
2010-12-22,5.1,5.1,4.75,4.9,112408.0
2010-12-23,5.05,5.29,5.05,5.05,30595.0
2010-12-27,4.5,5.05,4.5,5.05,13399.0
2010-12-28,5.0,5.1,5.0,5.05,8303.0
2010-12-29,5.0,5.24,5.0,5.16,20394.0
2010-12-30,5.19,5.19,5.05,5.05,18920.0
2010-12-31,5.05,5.05,5.0,5.05,19758.0
2011-01-03,5.02,5.1,5.0,5.1,13636.0
2011-01-04,5.05,5.05,5.0,5.04,18296.0
2011-01-05,5.05,5.1,5.0,5.05,10356.0
2011-01-06,5.05,5.06,5.0,5.05,9673.0
2011-01-07,5.06,5.06,5.0,5.03,21061.0
2011-01-10,5.01,5.05,5.0,5.05,14250.0
2011-01-11,5.01,5.05,5.01,5.01,7494.0
2011-01-12,5.05,5.05,5.01,5.05,6206.0
2011-01-13,5.01,5.05,5.01,5.05,7630.0
2011-01-14,5.01,5.05,5.01,5.05,2400.0
2011-01-18,5.25,5.25,5.12,5.2,1788.0
2011-01-19,5.1,5.1,5.0,5.0,4803.0
2011-01-20,5.05,5.05,5.05,5.05,100.0
2011-01-21,5.05,5.1,5.0,5.06,3215.0
2011-01-24,5.0,5.0,4.8,4.85,1889.0
2011-01-25,4.95,4.95,4.84,4.84,2806.0
2011-01-26,4.7,5.0,4.7,4.94,800.0
2011-01-27,4.76,4.99,4.76,4.9,1400.0
2011-01-28,4.5,5.0,4.5,4.85,2100.0
2011-01-31,4.65,5.15,4.65,5.06,13534.0
2011-02-01,5.15,5.15,4.9,4.9,1000.0
2011-02-02,4.7,4.9,4.7,4.9,705.0
2011-02-03,4.71,4.71,4.71,4.71,100.0
2011-02-04,4.75,4.81,4.7,4.81,4596.0
2011-02-07,4.71,5.0,4.51,4.84,14260.0
2011-02-08,4.56,4.6,4.52,4.56,3098.0
2011-02-09,4.5,4.6,4.5,4.6,1700.0
2011-02-10,4.5,4.6,4.5,4.6,2600.0
2011-02-11,4.6,4.65,4.6,4.6,1395.0
2011-02-14,4.61,4.61,4.51,4.51,1996.0
2011-02-15,4.52,4.52,4.5,4.5,2410.0
2011-02-16,4.5,5.0,4.5,4.82,13573.0
2011-02-17,5.0,5.0,4.7,4.7,7800.0
2011-02-18,4.75,4.75,4.75,4.75,100.0
2011-02-22,4.7,4.7,4.7,4.7,25000.0
2011-02-23,4.7,4.7,4.7,4.7,25000.0
2011-02-28,4.55,4.6,4.55,4.6,7502.0
2011-03-03,4.55,4.55,4.55,4.55,400.0
2011-03-04,4.6,4.6,4.55,4.55,1299.0
2011-03-07,4.65,4.7,4.65,4.7,218.0
2011-03-09,4.7,4.7,4.55,4.55,2210.0
2011-03-10,4.7,4.7,4.55,4.55,21981.0
2011-03-14,4.18,4.99,4.17,4.65,5700.0
2011-03-15,4.19,4.26,4.17,4.26,2100.0
2011-03-16,4.19,4.19,4.19,4.19,340.0
2011-03-17,4.2,4.2,4.2,4.2,1000.0
2011-03-18,4.25,4.25,4.25,4.25,1677.0
2011-03-21,4.18,4.26,4.18,4.26,1899.0
2011-03-22,4.2,4.2,4.05,4.05,9300.0
2011-03-23,4.0,4.0,3.46,3.46,21799.0
2011-03-24,3.52,3.6,3.52,3.6,200.0
2011-03-25,3.62,3.62,3.62,3.62,100.0
2011-03-28,4.0,4.0,3.75,3.75,5236.0
2011-03-29,3.72,4.0,3.36,4.0,1900.0
2011-03-30,3.42,3.89,3.25,3.69,10673.0
2011-04-01,3.74,3.75,3.74,3.75,1000.0
2011-04-04,3.66,3.68,3.58,3.58,2175.0
2011-04-05,3.53,3.53,3.25,3.25,1500.0
2011-04-08,3.26,3.26,3.2,3.2,5955.0
2011-04-11,2.59,3.0,2.59,2.89,26673.0
2011-04-12,2.76,2.79,2.74,2.74,3000.0
2011-04-13,2.7,2.7,2.6,2.6,7050.0
2011-04-14,2.7,2.7,2.7,2.7,1000.0
2011-04-18,2.73,2.8,2.7,2.7,2600.0
2011-04-19,3.0,3.0,2.95,2.95,2700.0
2011-04-21,2.71,2.73,2.71,2.73,200.0
2011-04-26,2.76,2.9,2.76,2.9,1200.0
2011-04-28,3.11,3.11,3.11,3.11,755.0
2011-04-29,3.28,3.55,3.28,3.53,8550.0
2011-05-02,3.6,3.64,3.5,3.55,5499.0
2011-05-03,3.44,3.8,3.44,3.8,4984.0
2011-05-04,3.8,4.71,3.8,4.05,5270.0
2011-05-05,3.9,3.95,3.9,3.95,2400.0
2011-05-09,4.6,4.6,3.83,3.83,3000.0
2011-05-10,3.89,3.89,3.51,3.51,3800.0
2011-05-12,3.29,3.87,3.29,3.4,1500.0
2011-05-16,3.29,3.3,3.29,3.3,2400.0
2011-05-20,3.25,3.25,3.25,3.25,1398.0
2011-05-23,3.08,3.08,3.0,3.0,2604.0
2011-05-25,2.92,3.6,2.92,3.42,3700.0
2011-05-26,2.83,3.57,2.82,3.25,1800.0
2011-05-31,3.35,3.35,3.21,3.21,900.0
2011-06-01,3.0,3.16,2.8,3.16,5382.0
2011-06-02,3.13,3.13,3.12,3.12,373.0
2011-06-03,3.1,3.1,3.1,3.1,550.0
2011-06-07,,,,2.99,0.0
2011-06-08,2.8,2.85,2.7,2.7,2892.0
2011-06-13,2.65,2.65,2.65,2.65,300.0
2011-06-14,2.69,2.69,2.69,2.69,900.0
2011-06-15,2.52,2.52,2.4,2.4,500.0
2011-06-17,2.6,2.6,2.12,2.12,3099.0
2011-06-20,2.28,2.28,2.25,2.25,1002.0
2011-06-21,2.1,2.57,1.76,1.76,8200.0
2011-06-22,2.57,2.9,2.35,2.79,17877.0
2011-06-23,3.2,3.45,2.69,3.0,30985.0
2011-06-24,3.19,4.0,3.16,3.3,37093.0
2011-06-27,3.3,3.3,2.37,2.67,13789.0
2011-06-28,2.66,5.13,2.66,5.1,180392.0
2011-06-29,5.19,6.88,4.05,4.5,507274.0
2011-06-30,4.1,4.46,3.93,4.24,65233.0
2011-07-01,3.97,4.17,3.73,3.75,26519.0
2011-07-05,3.66,4.06,3.5,3.93,37860.0
2011-07-06,4.12,4.12,3.44,3.97,35117.0
2011-07-07,3.61,4.02,3.6,3.77,37181.0
2011-07-08,3.75,3.77,3.37,3.58,18974.0
2011-07-11,3.29,3.57,3.28,3.47,22782.0
2011-07-12,3.5,4.75,3.49,4.45,119079.0
2011-07-13,4.44,4.83,4.25,4.51,89377.0
2011-07-14,4.47,4.69,4.28,4.28,19023.0
2011-07-15,4.28,4.52,4.28,4.4,1400.0
2011-07-18,4.29,4.36,4.03,4.36,14617.0
2011-07-19,4.2,4.2,3.81,3.81,9500.0
2011-07-20,3.67,3.79,3.36,3.46,18192.0
