Date,Open,High,Low,Close,Volume
2009-06-26,7.65,11.24,7.65,10.0,65824.0
2009-06-29,11.0,11.0,9.38,9.62,75990.0
2009-06-30,9.78,9.82,8.5,8.97,54726.0
2009-07-01,6.88,7.6,6.88,6.96,1762082.0
2009-07-02,6.97,6.97,6.72,6.88,270944.0
2009-07-03,,,,6.88,0.0
2009-07-06,6.8,6.8,6.5,6.55,292956.0
2009-07-07,6.6,6.74,6.5,6.52,123098.0
2009-07-08,6.66,6.66,6.02,6.04,317320.0
2009-07-09,6.06,6.3,5.83,5.85,264044.0
2009-07-10,5.81,6.0,5.55,5.96,111644.0
2009-07-13,6.01,6.31,6.01,6.1,62012.0
2009-07-14,6.37,6.7,6.22,6.52,238188.0
2009-07-15,6.64,6.7,6.41,6.55,116788.0
2009-07-16,6.55,6.87,6.38,6.75,170700.0
2009-07-17,6.82,7.09,6.75,6.94,284294.0
2009-07-20,7.09,7.29,6.62,6.92,253646.0
2009-07-21,7.24,7.25,6.98,7.22,201346.0
2009-07-22,7.2,7.62,7.1,7.27,417218.0
2009-07-23,7.4,7.55,7.3,7.45,195324.0
2009-07-24,7.48,7.72,7.42,7.43,135458.0
2009-07-27,7.5,7.85,7.42,7.53,247054.0
2009-07-28,7.71,7.71,7.02,7.18,167454.0
2009-07-29,7.24,7.4,7.02,7.2,58350.0
2009-07-30,7.4,8.6,7.2,8.0,598752.0
2009-07-31,8.32,8.45,7.92,8.05,256280.0
2009-08-03,8.12,8.28,7.88,7.96,94014.0
2009-08-04,8.1,8.1,7.63,7.72,65552.0
2009-08-05,7.8,8.08,7.79,8.0,82494.0
2009-08-06,8.1,8.12,7.82,7.94,73938.0
2009-08-07,7.94,7.94,7.46,7.72,150312.0
2009-08-10,7.72,7.72,7.15,7.34,123150.0
2009-08-11,7.26,7.46,6.52,6.95,154386.0
2009-08-12,7.0,7.3,6.9,7.14,160498.0
2009-08-13,7.25,7.38,7.1,7.15,120308.0
2009-08-14,7.15,7.34,6.25,6.7,492762.0
2009-08-17,6.64,6.64,6.26,6.4,209988.0
2009-08-18,6.36,6.55,6.3,6.42,74288.0
2009-08-19,6.32,6.32,6.12,6.22,131602.0
2009-08-20,6.22,6.55,6.22,6.4,87794.0
2009-08-21,6.48,6.84,6.48,6.68,165076.0
2009-08-24,6.73,7.12,6.73,7.02,170528.0
2009-08-25,7.1,7.25,6.72,7.2,114958.0
2009-08-26,7.22,7.22,7.04,7.09,55924.0
2009-08-27,7.0,7.15,6.81,7.0,65794.0
2009-08-28,7.0,7.0,6.8,7.0,33572.0
2009-08-31,6.74,6.88,6.56,6.87,40748.0
2009-09-01,7.1,7.5,6.84,7.2,246030.0
2009-09-02,7.49,7.49,6.96,7.06,128572.0
2009-09-03,7.25,7.25,6.8,7.16,118320.0
2009-09-04,7.25,7.45,7.06,7.38,36876.0
2009-09-08,7.45,7.49,7.12,7.32,78766.0
2009-09-09,7.35,8.1,7.15,7.74,432940.0
2009-09-10,7.82,7.88,7.52,7.68,186416.0
2009-09-11,7.72,7.72,7.45,7.56,103272.0
2009-09-14,7.74,7.88,7.55,7.76,82630.0
2009-09-15,7.82,8.1,7.7,7.95,96672.0
2009-09-16,7.92,8.0,7.7,7.83,31558.0
2009-09-17,7.92,8.1,7.7,8.02,128924.0
2009-09-18,8.1,8.1,7.9,8.0,34016.0
2009-09-21,7.99,8.05,7.75,7.9,37728.0
2009-09-22,7.99,8.08,7.82,8.08,213852.0
2009-09-23,7.95,8.25,7.75,8.14,144090.0
2009-09-24,8.2,8.25,7.6,7.74,98980.0
2009-09-25,7.5,7.86,7.5,7.69,66750.0
2009-09-28,7.89,8.0,7.6,7.95,42902.0
2009-09-29,8.0,8.0,7.68,7.79,55924.0
2009-09-30,7.86,7.89,7.64,7.8,35570.0
2009-10-01,7.89,7.89,6.9,7.57,59886.0
2009-10-02,7.46,7.5,7.16,7.16,61918.0
2009-10-05,7.2,7.28,7.18,7.18,32374.0
2009-10-06,7.3,7.43,7.25,7.38,50474.0
2009-10-07,7.48,7.7,7.41,7.62,30184.0
2009-10-08,7.74,7.95,7.7,7.95,45962.0
2009-10-09,7.92,9.5,7.75,8.74,392312.0
2009-10-12,9.2,9.92,8.74,9.8,356898.0
2009-10-13,10.11,10.32,9.62,9.92,286094.0
2009-10-14,10.36,10.36,9.28,9.46,271884.0
2009-10-15,9.47,9.72,9.04,9.7,94578.0
2009-10-16,9.72,9.92,9.2,9.42,56912.0
2009-10-19,9.45,9.68,9.42,9.58,53664.0
