Date,Open,High,Low,Close,Volume
2005-01-03,17.82,18.03,17.3,17.33,1090584.0
2005-01-04,17.27,17.46,16.85,16.96,1463692.0
2005-01-05,16.9,17.2,16.6,16.67,1031934.0
2005-01-06,16.77,16.9,16.25,16.29,1189570.0
2005-01-07,16.42,16.49,16.06,16.08,1111299.0
2005-01-10,16.06,16.29,15.85,15.93,798808.0
2005-01-11,15.9,16.03,15.48,15.54,959421.0
2005-01-12,15.55,16.1,15.4,16.05,1177464.0
2005-01-13,15.96,16.17,15.58,15.7,744097.0
2005-01-14,15.79,16.02,15.7,15.91,620692.0
2005-01-18,15.83,16.08,15.7,15.96,1623853.0
2005-01-19,16.02,16.12,15.43,15.43,659833.0
2005-01-20,15.56,16.67,15.52,15.62,2723705.0
2005-01-21,15.76,15.88,15.11,15.31,1371099.0
2005-01-24,15.41,15.71,14.66,14.74,1792281.0
2005-01-25,14.96,15.55,14.9,15.25,1257653.0
2005-01-26,15.45,15.85,15.35,15.8,1072224.0
2005-01-27,15.63,16.12,15.61,15.77,1159401.0
2005-01-28,15.9,16.05,14.9,15.62,1830162.0
2005-01-31,15.68,16.0,15.53,15.69,973213.0
2005-02-01,16.22,16.39,15.94,16.35,2113326.0
2005-02-02,16.5,16.79,16.35,16.63,1156772.0
2005-02-03,16.67,16.88,16.4,16.48,1203857.0
2005-02-04,16.66,17.23,16.6,17.22,2023029.0
2005-02-07,15.27,15.76,14.76,15.26,5304222.0
2005-02-08,15.07,16.2,15.06,15.71,4738419.0
2005-02-09,15.71,15.93,15.21,15.32,1421095.0
2005-02-10,15.41,15.69,15.17,15.25,1175301.0
2005-02-11,15.03,15.6,15.0,15.39,1019722.0
2005-02-14,15.26,15.82,15.26,15.71,674915.0
2005-02-15,15.78,15.95,15.59,15.6,1003804.0
2005-02-16,15.57,15.85,15.41,15.58,907122.0
2005-02-17,15.6,15.87,15.53,15.7,862870.0
2005-02-18,15.92,16.65,15.81,16.46,1717494.0
2005-02-22,17.3,17.7,16.94,17.28,4330863.0
2005-02-23,17.21,17.42,16.26,16.46,1600439.0
2005-02-24,16.4,16.73,16.18,16.58,928725.0
2005-02-25,16.46,16.89,16.46,16.83,874643.0
2005-02-28,16.75,18.3,16.75,17.92,3676074.0
2005-03-01,17.87,19.23,17.86,18.8,3574093.0
2005-03-02,18.68,18.89,18.1,18.28,1709915.0
2005-03-03,18.41,19.31,18.27,18.94,2947206.0
