Date,Open,High,Low,Close,Volume
2010-04-20,6.65,7.0,6.55,6.55,73342.0
2010-04-21,6.4,6.52,6.01,6.1,383679.0
2010-04-22,6.01,6.16,5.81,6.03,137242.0
2010-04-23,6.13,6.2,6.01,6.12,109591.0
2010-04-26,6.19,6.44,6.06,6.29,213830.0
2010-04-27,6.33,6.33,6.1,6.15,103667.0
2010-04-28,6.19,6.29,6.1,6.15,93974.0
2010-04-29,6.3,6.3,6.11,6.2,183948.0
2010-04-30,6.25,6.25,6.12,6.21,68999.0
2010-05-03,6.3,6.32,6.05,6.16,87269.0
2010-05-04,6.21,6.24,5.9,5.93,81739.0
2010-05-05,5.99,5.99,5.7,5.8,106879.0
2010-05-06,5.71,6.02,5.01,5.4,159408.0
2010-05-07,5.51,5.51,4.91,5.22,206259.0
2010-05-10,5.46,5.61,5.4,5.43,74714.0
2010-05-11,5.45,5.71,5.4,5.59,51379.0
2010-05-12,5.67,6.0,5.6,5.93,124818.0
2010-05-13,6.06,6.06,5.81,5.85,129892.0
2010-05-14,5.84,5.9,5.7,5.8,44595.0
2010-05-17,5.8,6.0,5.76,5.96,154027.0
2010-05-18,6.38,6.45,5.62,5.63,201683.0
2010-05-19,5.72,5.77,5.4,5.56,109698.0
2010-05-20,5.36,5.4,5.0,5.03,139682.0
2010-05-21,4.87,5.34,4.84,5.27,97478.0
2010-05-24,5.28,5.74,5.2,5.41,81879.0
2010-05-25,5.28,5.28,5.0,5.12,121183.0
2010-05-26,5.2,5.47,5.2,5.38,41054.0
2010-05-27,5.59,5.68,5.5,5.63,38657.0
2010-05-28,5.65,5.65,5.51,5.55,34438.0
2010-06-01,5.5,5.57,5.35,5.37,80548.0
2010-06-02,5.48,5.5,5.37,5.37,35750.0
2010-06-03,5.46,5.63,5.37,5.37,56310.0
2010-06-04,5.3,5.39,5.3,5.36,60766.0
2010-06-07,5.36,5.43,5.3,5.37,58537.0
2010-06-08,5.36,5.61,5.31,5.61,83183.0
2010-06-09,5.68,5.85,5.5,5.58,61380.0
2010-06-10,5.62,5.74,5.54,5.6,26002.0
2010-06-11,5.55,5.92,5.55,5.79,134369.0
2010-06-14,5.91,5.94,5.4,5.45,58411.0
2010-06-15,5.54,5.59,5.39,5.43,43509.0
2010-06-16,5.44,5.59,5.39,5.57,44649.0
2010-06-17,5.55,5.63,5.43,5.59,41996.0
2010-06-18,5.66,5.68,5.45,5.48,19600.0
2010-06-21,5.55,5.93,5.55,5.62,46394.0
2010-06-22,5.79,5.79,5.39,5.39,51184.0
2010-06-23,5.49,5.49,5.39,5.4,17428.0
2010-06-24,5.38,5.41,5.24,5.24,26110.0
2010-06-25,5.22,5.23,5.0,5.16,47867.0
2010-06-28,5.13,5.49,5.13,5.38,108182.0
2010-06-29,5.25,5.37,5.15,5.28,163922.0
2010-06-30,5.16,5.2,4.9,5.05,139477.0
2010-07-01,5.42,5.45,5.11,5.24,154321.0
2010-07-02,5.3,5.32,5.15,5.27,27662.0
2010-07-06,5.33,5.33,5.15,5.31,50160.0
2010-07-07,5.31,5.31,5.22,5.22,18296.0
2010-07-08,5.3,5.36,5.21,5.23,35595.0
2010-07-09,5.2,5.3,5.19,5.3,24249.0
2010-07-12,5.27,5.35,5.25,5.3,23597.0
2010-07-13,5.33,5.4,5.26,5.33,81208.0
2010-07-14,5.33,5.37,5.25,5.35,120711.0
2010-07-15,5.31,5.39,5.3,5.39,14010.0
2010-07-16,5.35,5.4,5.35,5.36,23390.0
2010-07-19,5.43,5.67,5.43,5.51,34424.0
2010-07-20,5.47,5.53,5.44,5.52,12856.0
2010-07-21,5.58,5.58,5.35,5.42,29384.0
2010-07-22,5.48,5.5,5.44,5.5,18763.0
2010-07-23,5.36,5.71,5.36,5.71,35173.0
2010-07-26,5.73,6.0,5.71,6.0,70641.0
2010-07-27,6.0,6.12,5.76,5.9,35098.0
2010-07-28,5.81,5.92,5.75,5.89,48693.0
2010-07-29,5.97,5.97,5.9,5.9,8823.0
2010-07-30,5.73,5.88,5.73,5.74,19876.0
2010-08-02,5.81,5.87,5.71,5.71,60306.0
2010-08-03,5.66,5.84,5.66,5.77,16060.0
2010-08-04,5.8,6.02,5.75,5.93,32821.0
2010-08-05,5.87,6.43,5.87,6.29,85262.0
2010-08-06,6.25,6.31,6.14,6.23,48324.0
2010-08-09,6.25,6.53,6.08,6.52,141659.0
2010-08-10,6.52,6.59,6.04,6.2,136316.0
2010-08-11,6.03,6.23,5.78,5.97,129952.0
2010-08-12,5.87,6.06,5.78,5.92,30043.0
