Date,Open,High,Low,Close,Volume
2009-11-16,9.85,9.89,8.35,8.53,7138552.0
2009-11-17,8.4,8.65,8.09,8.24,3266651.0
2009-11-18,7.73,7.95,7.56,7.7,3771535.0
2009-11-19,7.85,7.92,7.7,7.85,1405445.0
2009-11-20,7.8,7.81,7.46,7.55,1821921.0
2009-11-23,7.74,7.75,7.11,7.39,2384657.0
2009-11-24,7.3,7.31,7.07,7.21,1258426.0
2009-11-25,7.51,7.68,7.33,7.6,2532130.0
2009-11-26,,,,7.6,0.0
2009-11-27,7.2,7.45,7.15,7.36,848217.0
2009-11-30,7.51,7.65,7.38,7.4,987569.0
2009-12-01,7.55,7.55,7.35,7.51,890658.0
2009-12-02,7.52,7.6,7.4,7.57,804500.0
2009-12-03,7.62,7.63,7.45,7.45,726685.0
2009-12-04,7.4,7.58,7.38,7.54,949853.0
2009-12-07,7.47,7.54,7.41,7.51,646227.0
2009-12-08,7.4,7.54,7.35,7.5,1011667.0
2009-12-09,7.45,7.5,7.32,7.38,853760.0
2009-12-10,7.36,7.39,7.13,7.14,1131423.0
2009-12-11,7.15,7.2,6.66,6.83,2031146.0
2009-12-14,6.77,6.8,6.22,6.34,2520350.0
2009-12-15,6.38,6.6,6.35,6.52,1639194.0
2009-12-16,6.5,6.69,6.5,6.57,715728.0
2009-12-17,6.5,6.51,6.22,6.28,1152737.0
2009-12-18,6.28,6.41,6.25,6.41,830423.0
2009-12-21,6.37,6.37,5.93,6.1,1412161.0
2009-12-22,6.03,6.06,5.71,5.77,1922583.0
2009-12-23,5.8,5.97,5.59,5.94,1601828.0
2009-12-24,6.02,6.29,6.0,6.25,810431.0
2009-12-25,,,,6.25,0.0
2009-12-28,6.76,6.76,6.51,6.62,1531710.0
2009-12-29,6.59,6.59,6.34,6.45,1028906.0
2009-12-30,6.38,6.44,6.19,6.34,813332.0
2009-12-31,6.3,6.44,6.3,6.33,700371.0
2010-01-01,,,,6.33,0.0
2010-01-04,6.4,6.62,6.39,6.55,935377.0
2010-01-05,6.6,6.68,6.56,6.68,824800.0
2010-01-06,6.66,6.76,6.66,6.67,661331.0
2010-01-07,6.66,6.7,6.51,6.64,555107.0
2010-01-08,6.48,6.67,6.48,6.67,638201.0
2010-01-11,7.02,7.49,7.0,7.39,2526703.0
2010-01-12,7.33,7.38,7.1,7.25,1059304.0
2010-01-13,7.5,7.78,7.25,7.45,1752292.0
2010-01-14,7.45,7.53,7.25,7.4,663696.0
2010-01-15,7.35,7.4,7.25,7.28,508535.0
2010-01-18,,,,7.28,0.0
2010-01-19,7.28,7.55,7.28,7.49,685692.0
2010-01-20,7.48,7.55,7.38,7.51,812346.0
2010-01-21,7.14,7.3,7.03,7.24,2015408.0
2010-01-22,7.18,7.29,7.11,7.19,1524957.0
2010-01-25,7.17,7.2,6.93,6.97,981249.0
2010-01-26,6.7,6.88,6.35,6.35,1656681.0
