Date,Open,High,Low,Close,Volume
2010-07-08,4.55,4.6,4.53,4.6,2400.0
2010-07-09,4.6,4.8,4.5,4.68,9100.0
2010-07-12,4.65,4.85,4.6,4.75,9300.0
2010-07-13,4.68,4.7,4.6,4.65,15800.0
2010-07-14,4.7,4.7,4.6,4.6,6900.0
2010-07-15,4.6,4.75,4.58,4.75,9200.0
2010-07-16,4.66,4.67,4.65,4.67,5600.0
2010-07-19,4.8,4.8,4.68,4.8,10800.0
2010-07-20,4.7,4.75,4.59,4.75,8600.0
2010-07-21,4.68,4.72,4.68,4.72,6700.0
2010-07-22,4.68,4.72,4.6,4.72,7300.0
2010-07-23,4.6,4.7,4.6,4.68,8400.0
2010-07-26,4.68,4.7,4.1,4.5,7794.0
2010-07-27,4.37,4.65,4.37,4.6,3714.0
2010-07-28,4.5,4.65,4.5,4.65,4400.0
2010-07-29,4.6,4.65,4.6,4.65,5246.0
2010-07-30,4.65,4.65,4.6,4.6,1530.0
2010-08-02,4.62,4.9,4.62,4.7,4900.0
2010-08-03,,,,4.7,0.0
2010-08-04,4.65,4.9,4.48,4.48,3000.0
2010-08-05,4.65,4.65,4.65,4.65,1500.0
2010-08-06,4.7,4.7,4.7,4.7,1000.0
2010-08-09,4.6,4.66,4.4,4.4,1670.0
2010-08-10,4.6,4.7,4.6,4.7,1680.0
2010-08-11,4.9,4.9,4.3,4.31,1425.0
2010-08-12,4.9,4.9,4.9,4.9,250.0
2010-08-13,4.2,4.55,4.2,4.55,1396.0
2010-08-16,4.29,4.3,4.29,4.29,1200.0
2010-08-17,4.5,4.5,4.5,4.5,230.0
2010-08-18,4.12,4.7,4.12,4.7,730.0
2010-08-19,4.31,4.31,4.29,4.3,1317.0
2010-08-20,4.3,4.35,4.3,4.35,334.0
2010-08-23,4.85,4.89,4.82,4.82,3150.0
2010-08-24,4.89,4.89,4.89,4.89,100.0
2010-08-25,4.89,4.89,4.49,4.5,2190.0
2010-08-26,,,,4.5,0.0
2010-08-27,4.26,4.26,4.03,4.07,3911.0
2010-08-30,4.07,4.07,4.07,4.07,100.0
2010-08-31,,,,4.07,0.0
2010-09-01,4.05,4.05,4.05,4.05,2770.0
2010-09-02,3.98,3.98,3.98,3.98,100.0
2010-09-03,3.98,4.48,3.98,4.47,13700.0
2010-09-06,,,,4.47,0.0
2010-09-07,4.25,4.25,4.2,4.2,469.0
2010-09-08,4.2,4.45,4.0,4.05,13700.0
2010-09-09,4.43,4.44,4.05,4.4,17750.0
2010-09-10,,,,4.4,0.0
2010-09-13,4.4,4.5,4.39,4.45,9500.0
2010-09-14,4.3,4.31,4.3,4.3,500.0
2010-09-15,4.14,4.14,4.14,4.14,150.0
2010-09-16,4.1,4.45,4.1,4.4,3088.0
2010-09-17,4.1,4.1,4.1,4.1,200.0
2010-09-21,4.08,4.45,4.08,4.35,4600.0
2010-09-22,4.13,4.38,4.13,4.27,2700.0
2010-09-23,4.25,4.26,4.1,4.11,1200.0
2010-09-24,4.11,4.11,4.1,4.11,900.0
2010-09-28,4.0,4.05,4.0,4.05,200.0
2010-09-29,4.05,4.05,4.05,4.05,200.0
2010-09-30,4.04,4.38,4.04,4.3,8111.0
2010-10-01,4.12,4.12,4.05,4.05,1522.0
2010-10-04,4.05,4.05,4.0,4.0,200.0
2010-10-05,4.1,4.1,4.1,4.1,3900.0
2010-10-07,4.01,4.35,3.83,4.3,8700.0
2010-10-08,4.29,4.29,4.09,4.09,522.0
2010-10-11,4.07,4.25,4.03,4.05,13006.0
2010-10-12,3.86,4.2,3.85,4.2,4900.0
2010-10-13,3.78,4.43,3.7,4.01,7582.0
2010-10-14,3.81,4.01,3.7,4.01,5969.0
2010-10-18,4.0,4.2,3.8,4.1,6564.0
2010-10-19,3.87,4.1,3.85,4.1,2550.0
2010-10-20,3.91,4.1,3.81,4.0,2690.0
2010-10-21,4.0,4.1,3.8,4.05,4800.0
2010-10-22,4.1,4.1,3.85,3.85,1400.0
2010-10-25,4.0,4.1,4.0,4.05,1600.0
2010-10-26,4.15,4.19,3.91,4.19,600.0
2010-10-27,4.03,4.05,4.0,4.05,2000.0
2010-10-28,3.96,4.09,3.7,4.03,8947.0
2010-10-29,4.02,4.1,4.02,4.1,2861.0
2010-11-01,3.9,4.1,3.6,4.1,5377.0
2010-11-02,3.9,3.9,3.9,3.9,100.0
2010-11-03,3.9,4.03,3.8,4.03,794.0
2010-11-04,3.8,3.8,3.75,3.75,731.0
2010-11-05,3.75,3.75,3.5,3.54,2944.0
2010-11-08,3.54,3.9,3.54,3.59,4098.0
2010-11-09,3.86,3.9,3.7,3.7,3100.0
2010-11-10,3.7,3.7,3.62,3.7,4200.0
2010-11-12,3.61,3.61,3.61,3.61,835.0
2010-11-15,3.89,3.9,3.5,3.59,2800.0
2010-11-16,3.88,4.26,3.64,3.66,22275.0
2010-11-17,3.73,3.89,3.66,3.74,3226.0
2010-11-18,3.72,3.72,3.71,3.71,1000.0
2010-11-19,3.66,3.66,3.66,3.66,1700.0
2010-11-22,3.69,3.69,3.69,3.69,2111.0
2010-11-23,3.7,3.7,3.7,3.7,5700.0
2010-11-26,3.75,3.75,3.75,3.75,300.0
2010-11-29,3.75,3.75,3.75,3.75,700.0
2010-11-30,3.75,3.75,3.7,3.7,1800.0
2010-12-01,3.9,3.9,3.4,3.65,5131.0
2010-12-02,3.75,3.8,3.68,3.7,11669.0
2010-12-03,4.0,4.0,3.32,3.41,5450.0
2010-12-06,3.78,3.8,3.45,3.75,800.0
2010-12-07,3.9,3.9,3.89,3.89,200.0
2010-12-08,3.54,3.54,3.5,3.5,4200.0
2010-12-09,3.66,3.86,3.45,3.86,7200.0
2010-12-10,3.94,3.94,3.6,3.67,11152.0
2010-12-13,3.7,3.7,3.6,3.6,3467.0
2010-12-14,3.6,3.6,3.6,3.6,315.0
2010-12-15,3.53,3.53,3.53,3.53,100.0
2010-12-16,3.53,3.53,3.53,3.53,2698.0
2010-12-20,3.73,3.73,3.65,3.65,1700.0
2010-12-21,3.65,3.65,3.42,3.42,6437.0
2010-12-22,3.5,3.5,3.5,3.5,1200.0
2010-12-27,3.68,3.68,3.4,3.4,1860.0
2010-12-28,3.5,3.55,3.25,3.25,9616.0
2010-12-29,3.65,3.65,3.25,3.38,4680.0
2010-12-30,3.29,3.38,3.29,3.38,547.0
2010-12-31,3.63,3.63,3.25,3.3,32434.0
2011-01-03,3.3,3.32,3.3,3.3,3803.0
2011-01-05,3.27,5.4,3.27,4.2,48546.0
2011-01-06,4.2,4.21,3.81,3.89,9155.0
2011-01-07,3.9,3.9,3.7,3.71,2940.0
2011-01-10,3.7,3.7,3.7,3.7,685.0
2011-01-11,3.66,3.66,3.58,3.6,2575.0
2011-01-12,3.6,3.6,3.56,3.56,8930.0
2011-01-13,3.82,3.82,3.52,3.52,1700.0
2011-01-14,3.54,3.96,3.54,3.68,7800.0
2011-01-18,3.88,3.94,3.67,3.67,1000.0
2011-01-19,3.91,3.91,3.84,3.84,300.0
2011-01-20,3.7,3.7,3.68,3.68,400.0
2011-01-21,3.62,3.63,3.62,3.62,1100.0
2011-01-24,3.83,3.9,3.83,3.83,3300.0
2011-01-25,3.87,3.97,3.65,3.73,5800.0
2011-01-26,3.65,3.97,3.64,3.74,2700.0
2011-01-28,3.64,3.68,3.64,3.64,200.0
2011-01-31,3.65,3.73,3.65,3.73,1300.0
2011-02-01,3.91,3.91,3.76,3.76,313.0
2011-02-02,3.71,3.71,3.7,3.7,1300.0
2011-02-03,3.71,3.72,3.7,3.7,500.0
2011-02-04,3.69,3.69,3.67,3.67,300.0
2011-02-08,3.65,3.67,3.62,3.67,2000.0
2011-02-09,3.66,3.66,3.66,3.66,1200.0
2011-02-14,3.66,3.66,3.66,3.66,200.0
2011-02-16,3.65,3.65,3.6,3.6,2023.0
2011-02-17,3.64,3.64,3.6,3.6,1000.0
2011-02-22,3.67,3.67,3.6,3.6,2635.0
2011-02-23,3.64,3.64,3.6,3.6,1400.0
2011-02-25,3.63,3.72,3.55,3.62,2495.0
2011-02-28,3.72,3.72,3.72,3.72,100.0
2011-03-01,3.62,3.62,3.6,3.6,2600.0
2011-03-04,3.62,3.62,3.59,3.6,1200.0
2011-03-07,3.61,3.61,3.6,3.6,1000.0
2011-03-08,3.61,3.62,3.6,3.6,2970.0
2011-03-09,3.6,3.62,3.59,3.61,4500.0
2011-03-10,3.74,3.75,3.7,3.7,4890.0
2011-03-11,3.78,3.83,3.77,3.83,4035.0
2011-03-14,3.87,3.87,3.83,3.85,4500.0
2011-03-15,3.85,3.85,3.72,3.72,4200.0
2011-03-16,3.78,3.78,3.78,3.78,1000.0
2011-03-17,3.78,3.78,3.7,3.7,1000.0
2011-03-18,3.74,3.75,3.74,3.75,300.0
2011-03-21,3.75,3.8,3.75,3.8,3300.0
2011-03-23,3.8,3.8,3.8,3.8,1000.0
2011-03-24,3.79,3.79,3.77,3.77,1000.0
