Date,Open,High,Low,Close,Volume
2005-01-03,66.66,67.5,65.49,66.6,739500.0
2005-01-04,67.38,68.1,63.3,64.08,1127500.0
2005-01-05,63.75,63.78,61.92,62.13,909400.0
2005-01-06,62.7,63.27,54.6,59.82,1054267.0
2005-01-07,48.57,49.14,45.57,47.91,8280000.0
2005-01-10,48.12,49.89,47.1,49.41,1913800.0
2005-01-11,49.17,50.1,48.75,49.56,1276567.0
2005-01-12,49.5,49.86,48.78,49.47,610367.0
2005-01-13,49.56,50.97,49.2,50.43,692700.0
2005-01-14,50.28,52.2,50.28,50.88,1411000.0
2005-01-18,50.61,52.02,49.77,50.79,727633.0
2005-01-19,52.14,52.5,50.58,50.94,975800.0
2005-01-20,50.82,50.91,48.69,48.96,1008200.0
2005-01-21,49.29,49.68,48.45,48.63,409900.0
2005-01-24,48.51,49.14,47.31,47.49,525300.0
2005-01-25,48.3,48.9,47.22,47.64,602967.0
2005-01-26,48.09,49.05,47.73,48.9,407767.0
2005-01-27,48.45,49.5,48.09,48.45,533200.0
2005-01-28,48.51,49.23,48.09,48.51,405633.0
2005-01-31,48.93,49.68,48.81,49.29,497367.0
2005-02-01,49.11,49.53,48.6,48.84,498700.0
2005-02-02,48.87,49.41,48.45,48.96,352200.0
2005-02-03,48.3,48.45,45.72,46.08,1392400.0
2005-02-04,45.9,47.25,45.9,46.74,1413100.0
2005-02-07,46.74,47.76,45.39,45.51,878633.0
2005-02-08,45.51,46.5,44.76,44.76,1086533.0
2005-02-09,47.49,47.64,43.65,43.8,2432433.0
2005-02-10,44.7,44.7,42.63,42.78,1296533.0
2005-02-11,42.45,43.53,42.42,43.14,870300.0
2005-02-14,43.38,44.19,42.81,43.41,540800.0
2005-02-15,43.35,44.61,42.9,44.22,1054600.0
2005-02-16,44.13,44.37,42.63,43.08,996100.0
2005-02-17,43.05,43.11,41.31,41.4,1190733.0
2005-02-18,41.7,42.15,40.56,40.59,924600.0
2005-02-22,40.44,41.07,40.14,40.23,889800.0
2005-02-23,40.8,40.8,39.51,39.87,852333.0
2005-02-24,40.11,40.65,39.96,40.32,756333.0
2005-02-25,40.5,40.92,39.66,39.9,782133.0
2005-02-28,38.82,39.84,38.55,38.64,1107267.0
2005-03-01,38.55,38.64,37.17,37.47,1917400.0
2005-03-02,37.47,40.56,37.38,40.14,2409000.0
2005-03-03,40.95,41.25,38.97,39.45,1342533.0
2005-03-04,40.8,40.86,39.12,39.15,784833.0
2005-03-07,39.99,41.37,39.57,41.04,783900.0
2005-03-08,41.58,41.7,39.6,39.69,1024833.0
2005-03-09,40.05,40.38,39.66,40.2,728567.0
2005-03-10,40.05,40.38,38.16,38.94,1081967.0
2005-03-11,38.94,39.69,38.04,38.1,710533.0
2005-03-14,38.25,39.63,38.04,39.42,679733.0
2005-03-15,39.45,39.75,38.64,38.94,855867.0
2005-03-16,39.3,39.93,38.7,39.09,430333.0
2005-03-17,39.54,39.78,38.64,38.82,348300.0
2005-03-18,38.94,39.27,38.34,38.88,498700.0
2005-03-21,39.03,39.72,38.7,39.33,511267.0
2005-03-22,39.6,39.87,37.98,38.19,555367.0
2005-03-23,38.19,38.58,37.35,37.5,742467.0
2005-03-24,37.65,38.04,37.2,37.29,656867.0
2005-03-28,37.65,37.74,36.15,36.54,727233.0
2005-03-29,36.72,36.75,34.89,35.1,1030467.0
2005-03-30,35.25,35.7,34.68,35.52,1005133.0
2005-03-31,33.45,33.6,31.02,32.85,4210233.0
2005-04-01,33.15,33.87,32.7,32.76,1029967.0
2005-04-04,32.7,32.94,31.59,32.22,728567.0
2005-04-05,32.25,32.37,31.11,31.23,758533.0
2005-04-06,31.35,31.8,29.85,30.66,2295900.0
2005-04-07,30.63,33.69,30.27,32.85,1465000.0
2005-04-08,32.97,33.51,32.46,33.33,971067.0
2005-04-11,33.6,33.93,32.1,32.22,626300.0
2005-04-12,32.79,32.79,31.5,32.28,447833.0
2005-04-13,32.61,33.27,32.19,32.22,739433.0
2005-04-14,33.06,33.15,32.16,32.76,549733.0
2005-04-15,33.0,33.15,30.75,30.93,721100.0
2005-04-18,31.08,32.31,31.05,31.83,682600.0
2005-04-19,31.95,33.57,31.95,33.21,720400.0
2005-04-20,33.54,33.9,31.62,32.1,560900.0
2005-04-21,32.4,33.03,31.5,32.88,528267.0
2005-04-22,33.0,33.93,31.89,32.22,531400.0
2005-04-25,32.61,32.82,31.71,31.86,337633.0
2005-04-26,31.59,32.13,30.15,30.36,579900.0
2005-04-27,30.15,30.75,29.25,29.76,879333.0
2005-04-28,29.91,30.06,28.5,28.8,759733.0
2005-04-29,29.4,29.4,27.99,28.5,730067.0
2005-05-02,28.65,29.16,28.29,29.07,636200.0
2005-05-03,29.25,29.4,28.71,28.89,637833.0
2005-05-04,29.01,29.52,27.78,29.4,1456133.0
2005-05-05,29.22,32.07,28.89,31.35,1850033.0
2005-05-06,21.0,22.83,20.76,21.72,11623067.0
2005-05-09,21.75,21.78,20.34,20.55,2437833.0
2005-05-10,20.52,20.94,20.1,20.79,1339867.0
2005-05-11,20.67,20.94,20.4,20.52,1126433.0
2005-05-12,20.88,21.39,20.55,21.15,1117800.0
2005-05-13,21.33,21.69,21.09,21.27,905967.0
2005-05-16,21.27,21.48,20.76,20.88,712600.0
2005-05-17,20.94,20.94,20.34,20.52,1081467.0
2005-05-18,20.64,21.24,20.4,21.06,1158067.0
2005-05-19,21.24,21.87,21.09,21.63,914133.0
2005-05-20,21.87,21.87,21.36,21.69,531167.0
2005-05-23,22.05,22.32,21.78,22.17,812200.0
2005-05-24,22.2,22.44,21.87,22.05,731433.0
2005-05-25,22.05,22.14,21.78,21.9,714200.0
2005-05-26,22.29,22.32,21.6,21.9,770033.0
2005-05-27,21.84,21.9,21.45,21.57,493733.0
2005-05-31,21.57,22.35,21.57,22.08,647067.0
2005-06-01,22.29,22.47,21.81,22.05,627033.0
2005-06-02,22.05,22.35,21.84,22.29,573067.0
2005-06-03,22.47,24.81,22.29,24.45,1774233.0
2005-06-06,24.75,26.31,23.64,25.89,1487633.0
2005-06-07,26.4,26.4,24.84,25.26,1237800.0
2005-06-08,25.44,25.95,25.08,25.23,726100.0
2005-06-09,25.35,25.47,24.81,25.14,595767.0
2005-06-10,25.56,26.07,25.08,26.04,644333.0
2005-06-13,26.25,26.46,25.11,25.17,813467.0
2005-06-14,25.29,26.01,25.17,25.71,496500.0
2005-06-15,25.8,25.95,24.93,25.2,665900.0
2005-06-16,25.62,25.62,22.71,23.4,3136300.0
2005-06-17,23.88,24.24,23.04,23.1,976100.0
2005-06-20,23.25,23.37,22.53,22.53,785833.0
2005-06-21,22.56,22.8,22.14,22.32,779400.0
2005-06-22,22.32,22.98,22.08,22.83,695567.0
2005-06-23,22.95,23.01,22.2,22.2,730733.0
2005-06-24,22.2,22.53,21.57,22.11,1405133.0
2005-06-27,21.99,22.14,20.67,20.85,1350933.0
2005-06-28,20.79,21.63,20.67,21.48,790400.0
2005-06-29,21.69,22.8,21.48,22.59,882233.0
2005-06-30,22.86,23.25,22.2,22.47,815233.0
2005-07-01,23.01,23.04,22.17,22.56,356533.0
2005-07-05,22.59,22.68,22.02,22.17,464667.0
2005-07-06,22.05,22.53,22.02,22.02,539633.0
2005-07-07,21.93,21.93,21.3,21.81,596067.0
2005-07-08,21.81,22.35,21.66,22.26,470567.0
2005-07-11,24.0,25.92,23.58,25.47,2635500.0
2005-07-12,26.13,26.13,24.9,25.05,1066100.0
2005-07-13,25.26,26.88,25.05,26.58,1694333.0
2005-07-14,27.27,27.36,25.98,26.1,895167.0
2005-07-15,26.01,26.37,25.5,25.65,463767.0
2005-07-18,26.4,26.61,25.83,26.07,544667.0
2005-07-19,26.31,26.7,25.65,26.52,477767.0
2005-07-20,26.1,26.94,26.04,26.37,474033.0
2005-07-21,26.37,27.3,26.34,26.64,805533.0
2005-07-22,26.76,26.97,26.34,26.91,527233.0
2005-07-25,27.0,27.03,26.16,26.19,469033.0
2005-07-26,26.25,26.94,26.16,26.79,466433.0
2005-07-27,27.0,27.57,26.79,27.27,688233.0
2005-07-28,27.27,27.45,26.64,26.7,385233.0
2005-07-29,26.85,26.91,26.13,26.46,449767.0
2005-08-01,26.7,27.0,26.16,26.46,497600.0
2005-08-02,26.46,26.64,25.23,25.62,998267.0
2005-08-03,23.25,24.46,23.19,23.7,2102400.0
2005-08-04,23.58,24.51,23.55,24.15,824133.0
