Date,Open,High,Low,Close,Volume
2005-11-15,10.01,10.01,8.36,8.36,4211679.0
2005-11-16,8.6,8.65,7.61,8.39,3781036.0
2005-11-17,8.45,9.29,8.4,9.25,1495823.0
2005-11-18,9.01,9.16,8.98,9.07,171926.0
2005-11-21,8.8,9.07,8.8,9.0,231154.0
2005-11-22,8.78,9.5,8.78,9.36,191721.0
2005-11-23,9.4,9.4,9.0,9.02,170230.0
2005-11-25,9.0,9.05,9.0,9.01,25715.0
2005-11-28,9.0,9.02,8.9,8.91,288005.0
2005-11-29,9.01,9.01,8.8,8.81,279425.0
2005-11-30,8.8,8.82,8.5,8.5,189392.0
2005-12-01,8.5,9.0,8.5,8.51,317749.0
2005-12-02,8.51,9.0,8.51,8.6,93747.0
2005-12-05,8.51,8.56,8.45,8.5,247441.0
2005-12-06,8.43,8.99,8.4,8.56,43234.0
2005-12-07,8.56,8.7,8.45,8.55,24875.0
2005-12-08,8.79,8.79,8.45,8.46,38123.0
2005-12-09,8.55,8.75,8.48,8.52,40840.0
2005-12-12,8.55,8.61,8.45,8.46,387056.0
2005-12-13,8.5,8.65,8.45,8.5,597727.0
2005-12-14,8.41,8.94,8.4,8.62,616005.0
2005-12-15,8.65,8.99,8.55,8.76,216066.0
2005-12-16,8.72,8.98,8.72,8.73,262005.0
2005-12-19,8.85,8.85,8.53,8.56,45136.0
2005-12-20,8.56,8.75,8.5,8.57,56755.0
2005-12-21,8.6,8.63,8.51,8.56,68822.0
2005-12-22,8.55,8.65,8.4,8.53,106961.0
2005-12-23,8.64,9.42,8.6,9.08,364713.0
2005-12-27,8.9,9.5,8.75,8.9,55744.0
2005-12-28,8.96,8.96,8.72,8.75,91152.0
2005-12-29,8.71,9.38,8.71,9.25,58640.0
2005-12-30,9.06,10.0,9.06,9.78,230188.0
2006-01-03,10.0,10.45,10.0,10.3,422981.0
2006-01-04,10.5,10.5,10.01,10.38,213051.0
2006-01-05,10.08,10.4,10.08,10.21,143665.0
2006-01-06,10.18,10.25,9.53,9.99,109476.0
2006-01-09,10.06,10.25,10.0,10.01,69007.0
2006-01-10,10.06,10.29,10.05,10.11,165441.0
2006-01-11,10.15,10.35,10.11,10.14,469815.0
2006-01-12,10.2,10.2,9.67,9.95,112266.0
2006-01-13,10.0,10.31,10.0,10.15,143071.0
2006-01-17,10.24,10.24,9.85,9.97,71884.0
2006-01-18,9.83,10.15,9.41,10.03,131128.0
2006-01-19,9.99,10.3,9.81,9.94,72638.0
2006-01-20,9.66,9.94,9.66,9.72,33210.0
2006-01-23,9.71,9.97,9.7,9.85,44484.0
2006-01-24,9.77,9.99,9.75,9.76,19446.0
2006-01-25,9.78,9.83,9.66,9.66,30672.0
2006-01-26,9.72,11.25,9.64,10.84,221623.0
2006-01-27,10.88,11.01,10.7,10.83,233472.0
2006-01-30,11.0,11.91,10.81,11.69,382259.0
2006-01-31,11.82,11.82,11.25,11.44,139460.0
2006-02-01,11.65,11.67,11.55,11.55,126768.0
2006-02-02,11.64,12.7,11.5,12.12,320370.0
2006-02-03,12.01,12.66,12.01,12.44,220864.0
2006-02-06,12.74,13.2,12.45,12.75,430804.0
2006-02-07,12.75,12.75,11.5,11.99,185612.0
2006-02-08,12.2,12.2,11.24,11.53,61292.0
2006-02-09,11.41,11.52,10.92,11.27,223416.0
2006-02-10,11.4,11.94,10.94,11.84,339768.0
2006-02-13,11.95,12.0,11.75,11.97,28551.0
2006-02-14,11.95,11.95,11.09,11.69,162349.0
2006-02-15,11.76,12.0,11.22,11.8,51966.0
2006-02-16,12.0,12.3,11.01,12.0,181796.0
2006-02-17,12.0,12.01,11.61,11.65,25769.0
2006-02-21,11.65,12.17,10.9,11.1,120325.0
2006-02-22,11.0,11.25,10.75,10.97,93988.0
2006-02-23,10.72,12.53,10.72,11.95,199972.0
2006-02-24,12.4,12.5,11.61,12.0,131574.0
2006-02-27,12.5,12.57,11.68,11.69,192422.0
2006-02-28,11.25,11.51,10.75,10.98,234570.0
2006-03-01,11.0,11.8,10.85,11.4,209579.0
2006-03-02,11.38,11.45,11.11,11.45,63980.0
2006-03-03,11.33,11.5,11.04,11.15,116180.0
2006-03-06,11.1,11.54,11.1,11.4,122415.0
2006-03-07,11.28,11.7,11.24,11.7,87770.0
2006-03-08,11.59,11.8,11.55,11.8,131861.0
2006-03-09,11.8,12.4,11.8,12.32,245598.0
2006-03-10,12.5,14.2,12.26,14.2,855795.0
2006-03-13,14.4,14.7,13.72,13.9,350334.0
2006-03-14,14.08,14.5,13.75,13.97,127480.0
2006-03-15,14.8,16.69,14.53,16.33,1369130.0
2006-03-16,16.76,20.49,16.65,19.27,3570026.0
2006-03-17,19.5,19.7,17.27,18.0,1093101.0
2006-03-20,18.35,19.75,17.1,18.9,781080.0
2006-03-21,19.65,19.75,18.01,18.4,562674.0
2006-03-22,18.18,18.8,17.55,18.39,312727.0
2006-03-23,18.65,19.48,18.22,18.45,466678.0
2006-03-24,18.85,19.24,18.52,18.99,296450.0
2006-03-27,19.5,20.99,19.1,19.31,1230417.0
2006-03-28,19.31,19.31,18.69,18.69,285543.0
2006-03-29,18.65,18.9,18.0,18.13,284781.0
2006-03-30,18.27,19.17,18.0,18.45,247089.0
2006-03-31,18.3,18.48,17.75,18.0,108316.0
2006-04-03,18.29,18.85,17.85,18.2,224318.0
2006-04-04,18.03,18.59,17.95,18.14,137169.0
2006-04-05,18.28,20.02,17.92,19.98,563743.0
2006-04-06,20.2,20.2,18.9,19.58,363232.0
2006-04-07,19.84,19.88,18.98,19.29,147327.0
2006-04-10,19.3,22.64,19.3,22.12,976976.0
2006-04-11,22.39,23.34,19.35,19.71,920040.0
2006-04-12,20.0,20.9,19.16,20.29,320930.0
2006-04-13,20.4,20.53,19.9,20.35,90050.0
2006-04-17,20.49,21.22,19.81,20.06,205985.0
2006-04-18,19.6,21.15,19.6,21.15,239991.0
2006-04-19,21.22,21.95,20.4,20.76,151224.0
2006-04-20,20.79,20.99,18.5,19.4,605779.0
2006-04-21,19.5,19.5,18.65,18.83,187112.0
2006-04-24,18.59,18.8,17.98,18.05,349870.0
2006-04-25,18.04,18.42,17.32,17.74,321970.0
2006-04-26,17.89,20.2,17.56,19.34,515127.0
2006-04-27,19.2,20.2,18.65,19.06,529935.0
2006-04-28,19.1,19.15,18.76,18.76,194497.0
2006-05-01,18.8,18.92,17.5,17.59,217004.0
2006-05-02,17.6,18.14,17.32,17.99,189814.0
2006-05-03,17.81,18.07,17.51,17.75,122452.0
2006-05-04,17.67,18.48,17.47,17.54,146401.0
2006-05-05,17.86,17.9,17.3,17.46,130824.0
2006-05-08,17.32,17.93,15.51,16.31,777815.0
2006-05-09,15.85,17.0,15.66,16.78,353289.0
2006-05-10,16.71,17.0,16.15,16.4,193369.0
2006-05-11,16.6,16.64,15.75,16.15,239518.0
2006-05-12,16.15,16.41,15.79,16.0,113112.0
2006-05-15,15.76,15.85,15.4,15.6,565163.0
2006-05-16,15.64,16.07,15.32,15.6,241965.0
2006-05-17,15.6,16.02,15.5,15.92,324479.0
2006-05-18,16.0,17.0,16.0,16.33,224713.0
2006-05-19,16.22,17.5,16.22,16.91,207628.0
2006-05-22,17.0,17.5,16.6,16.89,111724.0
2006-05-23,16.8,18.26,16.8,17.55,258270.0
2006-05-24,17.55,17.87,16.68,17.01,142166.0
2006-05-25,17.03,17.31,16.69,16.72,66478.0
2006-05-26,16.72,16.88,16.0,16.37,104638.0
2006-05-30,16.02,16.32,15.63,15.95,82022.0
2006-05-31,15.75,16.46,15.75,16.35,64371.0
2006-06-01,16.2,16.58,16.11,16.36,79938.0
2006-06-02,16.26,16.45,15.51,15.82,139215.0
2006-06-05,15.65,15.81,15.3,15.36,88864.0
2006-06-06,15.3,15.65,14.2,14.2,240339.0
2006-06-07,14.18,14.82,13.49,14.46,307047.0
2006-06-08,14.5,15.96,14.34,14.52,171885.0
2006-06-09,14.52,15.04,13.98,14.14,130084.0
2006-06-12,14.2,14.5,13.44,13.48,196740.0
2006-06-13,13.61,13.65,12.8,12.99,172912.0
2006-06-14,13.15,13.5,12.9,13.33,131324.0
2006-06-15,13.5,14.88,13.2,14.88,128615.0
2006-06-16,14.88,14.88,13.91,14.01,157349.0
2006-06-19,14.1,14.46,13.97,14.21,51506.0
2006-06-20,14.15,14.29,13.92,14.18,71940.0
2006-06-21,14.28,15.1,14.04,14.99,185377.0
2006-06-22,14.85,14.94,14.29,14.5,100069.0
2006-06-23,14.56,14.56,14.15,14.2,120897.0
2006-06-26,14.25,14.45,13.45,13.67,157176.0
2006-06-27,13.2,13.5,12.9,13.12,143137.0
2006-06-28,13.02,13.75,12.8,13.48,163896.0
2006-06-29,13.45,14.0,13.21,13.36,114483.0
2006-06-30,13.3,13.68,12.5,12.57,450229.0
2006-07-03,12.48,12.61,12.3,12.56,111173.0
2006-07-05,12.68,12.79,12.21,12.5,141474.0
2006-07-06,12.49,12.85,12.45,12.62,129507.0
