Date,Open,High,Low,Close,Volume
2009-09-03,7.22,7.5,6.7,6.9,198718.0
2009-09-04,7.19,7.2,6.9,7.02,115618.0
2009-09-08,7.12,7.2,6.93,7.0,198660.0
2009-09-09,7.0,7.2,6.8,6.9,265681.0
2009-09-10,7.35,7.63,7.27,7.4,503956.0
2009-09-11,7.4,7.5,7.25,7.35,167849.0
2009-09-14,7.35,7.4,7.09,7.19,202677.0
2009-09-15,7.06,7.5,7.06,7.5,173073.0
2009-09-16,7.6,7.6,7.15,7.29,232030.0
2009-09-17,7.38,7.47,7.01,7.14,162905.0
2009-09-18,7.12,7.2,7.0,7.02,109197.0
2009-09-21,7.08,7.1,6.92,6.99,174535.0
2009-09-22,7.4,7.6,7.26,7.5,689546.0
2009-09-23,7.65,8.49,7.65,8.15,826825.0
2009-09-24,8.15,8.5,7.9,8.39,288336.0
2009-09-25,8.4,8.4,8.01,8.05,166323.0
2009-09-28,8.14,8.74,8.14,8.32,397743.0
2009-09-29,8.57,8.59,8.05,8.15,233952.0
2009-09-30,8.15,8.7,7.58,8.35,578244.0
2009-10-01,8.35,8.38,7.7,7.88,190690.0
2009-10-02,7.75,9.28,7.7,9.02,1329112.0
2009-10-05,9.5,10.37,9.3,10.19,1406764.0
2009-10-06,10.69,10.73,9.6,10.0,1065995.0
2009-10-07,10.18,10.6,10.01,10.31,502254.0
2009-10-08,10.5,10.6,10.1,10.14,473637.0
2009-10-09,10.25,10.8,10.15,10.73,476411.0
2009-10-12,10.32,11.67,10.2,11.27,954037.0
2009-10-13,11.8,11.86,11.28,11.5,813534.0
2009-10-14,11.98,12.0,11.35,11.56,409029.0
2009-10-15,11.56,11.69,11.41,11.55,192216.0
2009-10-16,11.49,11.69,11.35,11.59,216647.0
2009-10-19,11.89,11.97,11.6,11.72,257317.0
2009-10-20,11.59,11.59,10.17,10.35,1291370.0
2009-10-21,10.22,10.63,9.7,10.0,540059.0
2009-10-22,10.09,10.75,9.1,10.62,1082583.0
2009-10-23,10.81,10.84,9.92,10.09,383779.0
2009-10-26,10.47,10.47,9.42,9.63,403217.0
2009-10-27,9.5,9.57,9.13,9.23,380675.0
2009-10-28,9.04,9.1,8.0,8.04,836481.0
2009-10-29,8.18,8.86,8.18,8.8,589254.0
2009-10-30,9.39,9.39,8.4,8.73,569779.0
2009-11-02,8.92,9.17,8.5,8.74,324708.0
2009-11-03,9.0,9.7,8.75,9.5,408274.0
2009-11-04,9.81,9.92,9.55,9.78,296633.0
